Symbol,Date,Open,High,Low,Close,Close_Chg,ATR,Vol10_Sig,Range_ATR,Fib_Status,EMA20_Sig,EMA20_Cnt,High_Low,Support,Break_Sup_Res,Brakeout_10,Resistance,Brakeout_20,Bull_Signal,Bear_Signal
HDFCLIFE,06/15/2023,585.05,585.05,574.0,578.15,-1.18,12.06,Normal Volume,0.9,,Close_LT_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,,,,0.0,3.0
HDFCLIFE,06/16/2023,577.8,615.0,576.6,609.55,5.43,13.94,Super Volume,2.8,,Close_LT_20EMA,0.0,HH_HL,Price_Crs_Abv_Supp,Cur_Res_Broken_Up,Breakout_10_Up,,,4.0,1.0
HDFCLIFE,06/19/2023,609.95,629.0,602.1,626.55,2.79,14.86,Super Volume,1.8,,Close_LT_20EMA,0.0,HH_HL,,,Breakout_10_Up,,,2.0,1.0
HDFCLIFE,06/20/2023,627.0,644.85,624.2,643.7,2.74,15.28,Super Volume,1.4,,Close_LT_20EMA,0.0,HH_HL,,,Breakout_10_Up,,,2.0,1.0
HDFCLIFE,06/21/2023,645.0,659.95,640.05,642.5,-0.19,15.61,Above Avg Volume,1.3,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,06/22/2023,642.5,655.8,637.25,639.0,-0.54,15.82,Normal Volume,1.2,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,06/23/2023,642.45,643.0,623.8,626.9,-1.89,16.06,Normal Volume,1.2,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,06/26/2023,619.95,632.35,616.75,630.25,0.53,16.03,Normal Volume,1.0,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,06/27/2023,641.0,674.0,637.1,667.2,5.86,18.01,Super Volume,2.0,,Close_LT_20EMA,0.0,HH_HL,Price_Abv_Supp,Cur_Res_Broken_Up,,,,3.0,1.0
HDFCLIFE,06/28/2023,667.2,671.95,641.55,651.95,-2.29,18.89,Super Volume,1.6,,Close_GT_20EMA,1.0,LH_HL,,,,,,1.5,0.0
HDFCLIFE,06/30/2023,652.0,657.5,638.5,651.2,-0.12,18.9,Normal Volume,1.0,,Close_GT_20EMA,2.0,LH_LL,,,,,,1.0,1.0
HDFCLIFE,07/03/2023,651.0,657.0,644.05,650.7,-0.08,18.47,Normal Volume,0.7,,Close_GT_20EMA,3.0,LH_HL,,,,,,1.5,0.0
HDFCLIFE,07/04/2023,654.4,657.25,644.6,647.0,-0.57,18.06,Normal Volume,0.7,,Close_GT_20EMA,4.0,HH_HL,,,,,,2.0,0.0
HDFCLIFE,07/05/2023,647.0,675.95,645.05,673.6,4.11,18.98,Normal Volume,1.6,,Close_GT_20EMA,5.0,HH_HL,Price_Crs_Abv_Supp,Cur_Res_Broken_Up,,,,4.0,0.0
HDFCLIFE,07/06/2023,674.55,677.7,659.5,661.15,-1.85,18.92,Normal Volume,1.0,,Close_GT_20EMA,6.0,HH_HL,,,,,,2.0,0.0
HDFCLIFE,07/07/2023,660.6,679.0,656.7,658.1,-0.46,19.16,Normal Volume,1.2,,Close_GT_20EMA,7.0,HH_LL,,,,Price_Crs_Blw_Prev_Res,,1.0,1.5
HDFCLIFE,07/10/2023,660.0,674.75,659.05,668.25,1.54,18.98,Normal Volume,0.8,,Close_GT_20EMA,8.0,LH_HL,,Cur_Res_Broken_Up,,,,2.5,0.0
HDFCLIFE,07/11/2023,671.0,684.8,670.75,672.55,0.64,18.81,Normal Volume,0.7,,Close_GT_20EMA,9.0,HH_HL,,,,,,2.0,0.0
HDFCLIFE,07/12/2023,675.9,677.5,669.75,671.7,-0.13,18.02,Normal Volume,0.4,,Close_GT_20EMA,10.0,LH_LL,,,,,,1.0,1.0
HDFCLIFE,07/13/2023,676.0,690.85,676.0,680.6,1.32,18.1,Normal Volume,0.8,,Close_GT_20EMA,11.0,HH_HL,,,,,,2.0,0.0
HDFCLIFE,07/14/2023,683.85,684.8,660.55,670.05,-1.55,18.54,Above Avg Volume,1.3,,Close_GT_20EMA,12.0,LH_LL,,,,,,1.0,1.0
HDFCLIFE,07/17/2023,672.95,674.85,662.1,667.15,-0.43,18.13,Normal Volume,0.7,,Close_GT_20EMA,13.0,LH_HL,,,,,,1.5,0.0
HDFCLIFE,07/18/2023,667.0,667.0,653.35,656.55,-1.59,17.82,Above Avg Volume,0.8,Cls_Crs_Abv_F50,Close_GT_20EMA,14.0,LH_LL,,,,Price_Crs_Blw_Prev_Res,,2.0,1.5
HDFCLIFE,07/19/2023,658.0,660.45,649.05,659.05,0.38,17.36,Above Avg Volume,0.7,Cls_Crs_Abv_F50,Close_GT_20EMA,15.0,LH_LL,,,,,,2.0,1.0
HDFCLIFE,07/20/2023,660.0,662.85,651.55,661.05,0.3,16.93,Normal Volume,0.7,Cls_Crs_Abv_F50,Close_GT_20EMA,16.0,HH_HL,Price_Crs_Abv_Supp,,,,,4.0,0.0
HDFCLIFE,07/21/2023,662.5,662.5,633.65,647.3,-2.08,17.78,Above Avg Volume,1.6,Cls_Crs_Abv_F618,Cross_Blw_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,Breakout_10_Down,,,1.0,4.0
HDFCLIFE,07/24/2023,653.6,660.2,646.05,653.15,0.9,17.52,Super Volume,0.8,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
HDFCLIFE,07/25/2023,653.15,660.0,650.0,651.8,-0.21,16.98,Above Avg Volume,0.6,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
HDFCLIFE,07/26/2023,652.0,660.0,648.0,658.6,1.04,16.63,Normal Volume,0.7,Cls_Crs_Abv_F618,Cross_Abv_20EMA,1.0,HH_LL,Price_Crs_Abv_Supp,,,,,4.0,0.0
HDFCLIFE,07/27/2023,658.6,668.25,657.2,662.45,0.58,16.23,Normal Volume,0.7,Cls_Crs_Abv_F50,Close_GT_20EMA,2.0,HH_HL,,,,,,3.0,0.0
HDFCLIFE,07/28/2023,663.0,664.45,654.5,659.3,-0.48,15.78,Normal Volume,0.6,,Close_GT_20EMA,3.0,LH_LL,,,,Price_Crs_Blw_Res,,1.0,2.0
HDFCLIFE,07/31/2023,652.0,655.0,644.45,646.85,-1.89,15.71,Normal Volume,0.7,,Cross_Blw_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,08/01/2023,641.15,646.8,638.0,642.75,-0.63,15.22,Normal Volume,0.6,,Close_LT_20EMA,0.0,LH_LL,,Prev_Sup_Broken_Down,,,,0.0,3.0
HDFCLIFE,08/02/2023,642.75,644.9,637.0,642.85,0.02,14.7,Normal Volume,0.5,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,08/03/2023,637.1,640.95,629.1,632.7,-1.58,14.63,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,Breakout_10_Down,,Breakout_20_Down,0.0,4.0
HDFCLIFE,08/04/2023,635.95,644.25,635.15,642.2,1.5,14.41,Normal Volume,0.6,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,08/07/2023,645.0,649.75,639.25,648.8,1.03,14.13,Normal Volume,0.7,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,08/08/2023,650.0,654.85,642.1,645.45,-0.52,14.03,Above Avg Volume,0.9,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,08/09/2023,646.0,652.0,643.15,645.8,0.05,13.66,Normal Volume,0.6,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
HDFCLIFE,08/10/2023,645.0,651.5,638.1,640.0,-0.9,13.64,Normal Volume,1.0,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,08/11/2023,640.0,641.9,632.0,633.6,-1.0,13.38,Normal Volume,0.7,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,08/14/2023,632.1,638.0,625.6,632.75,-0.13,13.31,Normal Volume,0.9,,Close_LT_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,,,,0.0,3.0
HDFCLIFE,08/16/2023,627.1,629.8,619.65,625.15,-1.2,13.29,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,Breakout_10_Down,,Breakout_20_Down,0.0,4.0
HDFCLIFE,08/17/2023,625.15,630.95,622.2,628.4,0.52,12.97,Normal Volume,0.7,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,08/18/2023,623.0,627.45,616.75,625.95,-0.39,12.87,Above Avg Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,08/21/2023,625.0,629.35,623.0,625.15,-0.13,12.41,Normal Volume,0.5,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
HDFCLIFE,08/22/2023,625.0,654.05,624.2,635.85,1.71,13.65,Super Volume,2.2,,Close_LT_20EMA,0.0,HH_HL,Price_Crs_Abv_Prev_Sup,,,,,1.5,1.0
HDFCLIFE,08/23/2023,638.0,638.5,630.1,633.2,-0.42,13.28,Normal Volume,0.6,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
HDFCLIFE,08/24/2023,635.0,637.5,628.5,630.5,-0.43,12.97,Normal Volume,0.7,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
HDFCLIFE,08/25/2023,630.0,635.85,625.75,628.3,-0.35,12.77,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
DRREDDY,06/15/2023,4696.6,4855.0,4696.0,4803.45,2.22,63.09,Super Volume,2.5,,Close_LT_20EMA,0.0,HH_HL,,,Breakout_10_Up,,,2.0,1.0
DRREDDY,06/16/2023,4844.85,4940.0,4825.15,4915.05,2.32,68.34,Super Volume,1.7,,Close_LT_20EMA,0.0,HH_HL,,,Breakout_10_Up,,,2.0,1.0
DRREDDY,06/19/2023,4951.0,5024.0,4862.05,4879.0,-0.73,75.03,Super Volume,2.2,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
DRREDDY,06/20/2023,4879.0,4926.75,4867.05,4901.2,0.46,73.93,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_HL,,,,,,0.5,1.0
DRREDDY,06/21/2023,4921.95,4950.0,4893.7,4910.4,0.19,72.67,Normal Volume,0.8,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
DRREDDY,06/22/2023,4911.55,4926.95,4890.0,4899.45,-0.22,70.12,Normal Volume,0.5,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
DRREDDY,06/23/2023,4901.0,5015.0,4901.0,4993.9,1.93,73.37,Above Avg Volume,1.6,,Close_LT_20EMA,0.0,HH_HL,Price_Crs_Abv_Supp,Cur_Res_Broken_Up,,,,3.0,1.0
DRREDDY,06/26/2023,4989.9,5074.0,4952.0,5041.6,0.96,76.84,Super Volume,1.6,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
DRREDDY,06/27/2023,5041.6,5086.55,5016.0,5025.6,-0.32,76.39,Above Avg Volume,0.9,,Close_LT_20EMA,0.0,HH_HL,,,,,,1.0,1.0
DRREDDY,06/28/2023,5025.55,5119.4,5004.35,5107.85,1.64,79.15,Super Volume,1.5,,Close_GT_20EMA,1.0,HH_LL,,,Breakout_10_Up,,,3.0,0.0
DRREDDY,06/30/2023,5116.0,5174.95,5110.1,5159.6,1.01,78.29,Normal Volume,0.8,,Close_GT_20EMA,2.0,HH_HL,,,Breakout_10_Up,,Breakout_20_Up,4.0,0.0
DRREDDY,07/03/2023,5159.6,5179.0,5090.3,5098.3,-1.19,79.03,Normal Volume,1.1,,Close_GT_20EMA,3.0,HH_LL,,,,,,1.0,1.0
DRREDDY,07/04/2023,5114.9,5204.75,5085.05,5188.4,1.77,81.94,Normal Volume,1.5,,Close_GT_20EMA,4.0,HH_LL,,,,,,2.0,0.0
DRREDDY,07/05/2023,5185.0,5201.8,5137.0,5178.35,-0.19,80.72,Normal Volume,0.8,,Close_GT_20EMA,5.0,LH_HL,,,,,,1.5,0.0
DRREDDY,07/06/2023,5178.45,5258.5,5170.0,5231.8,1.03,81.27,Above Avg Volume,1.1,,Close_GT_20EMA,6.0,HH_HL,,,,,,2.0,0.0
DRREDDY,07/07/2023,5230.0,5273.15,5110.0,5182.5,-0.94,87.12,Above Avg Volume,1.9,,Close_GT_20EMA,7.0,HH_LL,,,,,,1.0,1.0
DRREDDY,07/10/2023,5194.95,5215.0,5145.0,5154.95,-0.53,85.9,Normal Volume,0.8,,Close_GT_20EMA,8.0,LH_HL,,,,,,1.5,0.0
DRREDDY,07/11/2023,5144.0,5215.0,5113.55,5165.85,0.21,87.01,Normal Volume,1.2,,Close_GT_20EMA,9.0,HH_LL,,,,,,2.0,0.0
DRREDDY,07/12/2023,5150.0,5198.95,5130.0,5189.0,0.45,85.72,Normal Volume,0.8,,Close_GT_20EMA,10.0,LH_HL,Price_Crs_Abv_Supp,,,,,2.5,0.0
DRREDDY,07/13/2023,5190.0,5203.15,5134.9,5142.45,-0.9,84.47,Above Avg Volume,0.8,,Close_GT_20EMA,11.0,HH_HL,,Cur_Sup_Broken_Down,,Price_Crs_Blw_Prev_Res,,2.0,1.5
DRREDDY,07/14/2023,5155.0,5164.9,5076.25,5092.05,-0.98,84.77,Above Avg Volume,1.0,,Close_GT_20EMA,12.0,LH_LL,,,,,,1.0,1.0
DRREDDY,07/17/2023,5099.65,5245.0,5093.0,5229.75,2.7,89.64,Above Avg Volume,1.7,Cls_Crs_Abv_F382,Close_GT_20EMA,13.0,HH_HL,,Cur_Res_Broken_Up,,,,4.0,0.0
DRREDDY,07/18/2023,5203.5,5215.7,5146.55,5191.0,-0.74,89.18,Normal Volume,0.8,,Close_GT_20EMA,14.0,LH_HL,,,,,,1.5,0.0
DRREDDY,07/19/2023,5184.0,5270.0,5161.6,5221.35,0.58,90.55,Above Avg Volume,1.2,,Close_GT_20EMA,15.0,HH_HL,,,,,,2.0,0.0
DRREDDY,07/20/2023,5249.0,5394.7,5240.0,5339.3,2.26,96.47,Super Volume,1.6,,Close_GT_20EMA,16.0,HH_HL,,,Breakout_10_Up,,Breakout_20_Up,4.0,0.0
DRREDDY,07/21/2023,5323.3,5339.75,5277.6,5288.2,-0.96,94.01,Normal Volume,0.7,,Close_GT_20EMA,17.0,LH_HL,,,,,,1.5,0.0
DRREDDY,07/24/2023,5278.25,5436.85,5278.25,5391.7,1.96,98.63,Above Avg Volume,1.6,,Close_GT_20EMA,18.0,HH_HL,,,,,,2.0,0.0
DRREDDY,07/25/2023,5420.0,5479.95,5391.85,5425.4,0.63,97.89,Normal Volume,0.9,,Close_GT_20EMA,19.0,HH_HL,,,,,,2.0,0.0
DRREDDY,07/26/2023,5440.0,5490.0,5401.05,5475.65,0.93,97.25,Normal Volume,0.9,,Close_GT_20EMA,20.0,HH_HL,,,,,,2.0,0.0
DRREDDY,07/27/2023,5530.0,5614.0,5420.05,5507.0,0.57,104.16,Super Volume,1.9,,Close_GT_20EMA,21.0,HH_HL,,,Breakout_10_Up,,Breakout_20_Up,4.0,0.0
DRREDDY,07/28/2023,5512.0,5618.0,5512.0,5583.0,1.38,104.64,Above Avg Volume,1.0,,Close_GT_20EMA,22.0,HH_HL,,,,,,2.0,0.0
DRREDDY,07/31/2023,5584.55,5660.4,5570.0,5640.45,1.03,103.63,Normal Volume,0.9,,Close_GT_20EMA,23.0,HH_HL,,,Breakout_10_Up,,Breakout_20_Up,4.0,0.0
DRREDDY,08/01/2023,5639.85,5709.35,5607.1,5667.05,0.47,103.53,Normal Volume,1.0,,Close_GT_20EMA,24.0,HH_HL,,,Breakout_10_Up,,Breakout_20_Up,4.0,0.0
DRREDDY,08/02/2023,5667.1,5695.85,5634.45,5660.45,-0.12,100.52,Normal Volume,0.6,,Close_GT_20EMA,25.0,LH_HL,,,,,,1.5,0.0
DRREDDY,08/03/2023,5645.0,5734.0,5621.5,5659.5,-0.02,101.38,Normal Volume,1.1,,Close_GT_20EMA,26.0,HH_LL,,,,,,1.0,1.0
DRREDDY,08/04/2023,5659.6,5711.0,5640.0,5649.55,-0.18,99.21,Normal Volume,0.7,,Close_GT_20EMA,27.0,LH_HL,,,,,,1.5,0.0
DRREDDY,08/07/2023,5660.0,5688.0,5618.9,5630.7,-0.33,97.06,Normal Volume,0.7,,Close_GT_20EMA,28.0,LH_LL,,,,,,1.0,1.0
DRREDDY,08/08/2023,5652.0,5738.95,5645.0,5657.95,0.48,97.85,Above Avg Volume,1.0,,Close_GT_20EMA,29.0,HH_HL,Price_Abv_Supp,,,,,3.0,0.0
DRREDDY,08/09/2023,5671.1,5883.75,5671.1,5871.0,3.77,106.99,Super Volume,2.0,,Close_GT_20EMA,30.0,HH_HL,,Cur_Res_Broken_Up,Breakout_10_Up,,Breakout_20_Up,5.0,0.0
DRREDDY,08/10/2023,5880.1,5916.65,5806.0,5851.15,-0.34,107.25,Normal Volume,1.0,,Close_GT_20EMA,31.0,HH_HL,,,,,,2.0,0.0
DRREDDY,08/11/2023,5854.0,5885.05,5808.15,5823.0,-0.48,105.09,Normal Volume,0.7,,Close_GT_20EMA,32.0,LH_HL,,,,,,1.5,0.0
DRREDDY,08/14/2023,5829.95,5879.0,5800.0,5823.35,0.01,103.22,Normal Volume,0.8,,Close_GT_20EMA,33.0,LH_LL,,,,,,1.0,1.0
