Symbol,Date,Open,High,Low,Close,Close_Chg,ATR,Vol10_Sig,Range_ATR,Fib_Status,EMA20_Sig,EMA20_Cnt,High_Low,Support,Break_Sup_Res,Brakeout_10,Resistance,Brakeout_20,Bull_Signal,Bear_Signal
HDFCLIFE,01/03/2024,644.0,648.45,636.1,637.2,-1.29,13.28,Normal Volume,0.9,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
DRREDDY,01/03/2024,5926.8,5970.0,5888.2,5931.9,0.09,111.07,Normal Volume,0.7,,Close_GT_20EMA,8.0,HH_HL,,,,,,2.0,0.0
ITC,01/03/2024,470.25,480.7,469.35,477.25,1.47,7.47,Super Volume,1.5,,Close_GT_20EMA,23.0,HH_HL,,,Breakout_10_Up,,Breakout_20_Up,4.0,0.0
HINDUNILVR,01/03/2024,2599.0,2628.6,2595.55,2606.55,-0.28,33.67,Normal Volume,1.0,Cls_Crs_Abv_F382,Close_GT_20EMA,13.0,LH_LL,,,,,,2.0,1.0
TCS,01/03/2024,3767.0,3771.85,3687.05,3691.75,-2.42,68.05,Above Avg Volume,1.2,,Cross_Blw_20EMA,0.0,LH_LL,,,Breakout_10_Down,,,0.0,3.0
ZEEL,01/03/2024,288.0,291.0,282.35,285.65,-0.71,12.08,Normal Volume,0.7,,Close_GT_20EMA,5.0,LH_HL,,,,,,1.5,0.0
JSWSTEEL,01/03/2024,870.0,870.0,836.0,837.65,-3.74,19.41,Super Volume,1.8,,Cross_Blw_20EMA,0.0,LH_LL,,Cur_Sup_Broken_Down,,Price_Crs_Blw_Prev_Res,,0.0,3.5
ASIANPAINT,01/03/2024,3391.35,3399.0,3365.0,3373.6,-0.52,49.09,Normal Volume,0.7,,Close_GT_20EMA,38.0,HH_HL,,,,,,2.0,0.0
HDFC,07/12/2023,2755.8,2777.65,2710.6,2724.3,-0.84,45.98,Super Volume,1.5,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
RELIANCE,01/03/2024,2610.0,2634.0,2577.2,2583.3,-1.09,36.82,Normal Volume,1.5,,Close_GT_20EMA,34.0,HH_HL,,,,,,2.0,0.0
AXISBANK,01/03/2024,1091.0,1102.6,1081.3,1098.6,0.49,20.02,Above Avg Volume,1.1,,Cross_Abv_20EMA,1.0,HH_LL,,,,,,2.0,0.0
WIPRO,01/03/2024,463.9,463.9,455.0,455.9,-2.83,12.51,Normal Volume,0.7,,Close_GT_20EMA,34.0,LH_LL,,,,,,1.0,1.0
HCLTECH,01/03/2024,1460.0,1465.0,1435.5,1437.75,-2.16,29.99,Normal Volume,1.0,,Close_GT_20EMA,35.0,LH_LL,,,,,,1.0,1.0
NESTLEIND,01/03/2024,27345.0,27417.3,26573.0,26635.2,-2.16,508.68,Normal Volume,1.7,,Close_GT_20EMA,11.0,LH_LL,,,,,,1.0,1.0
TATAMOTORS,01/03/2024,786.05,790.0,776.25,781.45,-0.38,17.56,Normal Volume,0.8,,Close_GT_20EMA,9.0,LH_LL,,,,,,1.0,1.0
SBIN,01/03/2024,639.35,648.0,635.8,643.45,0.63,12.04,Normal Volume,1.0,,Close_GT_20EMA,23.0,HH_HL,,,,,,2.0,0.0
INFY,01/03/2024,1519.95,1519.95,1488.0,1490.0,-2.89,30.8,Above Avg Volume,1.0,,Cross_Blw_20EMA,0.0,LH_LL,,,Breakout_10_Down,,,0.0,3.0
BAJAJAUTO,01/03/2024,6644.05,7059.85,6604.0,6986.5,4.82,153.99,Super Volume,3.0,Cls_Crs_Abv_F382,Close_GT_20EMA,61.0,HH_HL,Price_Crs_Abv_Supp,Cur_Res_Broken_Up,,,,5.0,0.0
TITAN,01/03/2024,3708.0,3709.95,3665.0,3693.05,-0.14,56.93,Normal Volume,0.8,,Close_GT_20EMA,41.0,HH_HL,Price_Crs_Abv_Supp,,,,,3.0,0.0
MARUTI,01/03/2024,10200.0,10210.0,10065.0,10077.65,-1.18,180.56,Normal Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
ICICIBANK,01/03/2024,984.7,988.0,975.1,984.05,0.18,15.66,Above Avg Volume,0.8,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
BRITANNIA,01/03/2024,29.95,29.95,29.41,29.5,-99.44,1618.88,Normal Volume,0.0,,Cross_Blw_20EMA,0.0,LH_LL,,,,Price_Blw_Cur_Sup,,0.0,3.0
EICHERMOT,01/03/2024,3894.05,3928.95,3878.45,3887.6,-0.13,98.34,Normal Volume,0.5,,Close_LT_20EMA,0.0,LH_LL,,,,,,0.0,2.0
SUNPHARMA,01/03/2024,1296.2,1304.65,1291.15,1298.6,0.19,21.1,Normal Volume,0.6,,Close_GT_20EMA,42.0,HH_HL,,,,,,2.0,0.0
IOC,01/03/2024,130.55,133.85,130.3,132.7,1.65,3.87,Normal Volume,0.9,,Close_GT_20EMA,44.0,HH_HL,Price_Crs_Abv_Supp,Cur_Res_Broken_Up,,,,4.0,0.0
POWERGRID,01/03/2024,236.0,238.7,234.6,237.05,-0.34,5.17,Normal Volume,0.8,,Close_GT_20EMA,42.0,LH_LL,,,,,,1.0,1.0
