Date,Open,High,Low,Close,Volume
2016-09-15,266.05,269.75,262.0,267.4,2969754
2016-09-16,268.0,275.0,267.7,271.15,5596231
2016-09-19,272.0,277.7,269.65,276.15,3949553
2016-09-20,276.95,276.95,267.85,270.1,4084585
2016-09-21,275.0,276.0,268.0,269.7,5226987
2016-09-22,273.2,277.4,271.55,275.35,4923688
2016-09-23,276.75,277.7,273.3,275.1,3066615
2016-09-26,274.5,274.5,268.8,270.4,2817192
2016-09-27,273.0,273.7,263.8,264.7,3623937
2016-09-28,266.7,272.0,262.1,271.0,4450516
2016-09-29,273.3,273.7,254.45,256.8,7369816
2016-09-30,258.0,259.8,249.1,256.75,8404996
2016-10-03,260.7,267.5,259.3,264.5,3775937
2016-10-04,267.6,269.8,263.1,268.7,3083178
2016-10-05,269.95,269.95,264.0,265.45,2157411
2016-10-06,267.0,267.6,261.2,264.9,3683355
2016-10-07,267.4,268.2,262.35,266.85,3109737
2016-10-10,268.95,268.95,263.15,264.0,4104061
2016-10-13,263.3,263.3,248.1,251.1,5621911
2016-10-14,252.0,256.2,251.25,254.35,2690365
2016-10-17,253.0,255.05,249.4,250.75,1657111
2016-10-18,251.55,269.0,251.55,267.0,4975655
2016-10-19,269.0,273.4,262.8,271.6,4745567
2016-10-20,272.85,286.4,268.7,285.25,7256284
2016-10-21,286.0,288.25,281.65,285.75,4031821
2016-10-24,285.4,294.9,283.0,285.65,7433061
2016-10-25,286.65,317.0,280.55,312.8,20614093
2016-10-26,312.95,316.5,299.35,305.1,11974635
2016-10-27,305.45,308.8,299.35,305.0,6866827
2016-10-28,306.0,309.7,302.35,307.0,6175751
2016-10-30,308.9,308.9,304.0,305.3,429360
2016-11-01,307.0,308.0,301.45,305.15,5197221
2016-11-02,300.0,304.15,297.15,299.9,4954922
2016-11-03,299.7,301.9,287.1,288.2,5762076
2016-11-04,289.0,291.85,284.25,287.7,6331988
2016-11-07,298.3,298.3,290.8,293.5,4697049
2016-11-08,295.7,295.7,286.5,289.85,4446596
2016-11-09,268.0,283.0,260.9,282.4,7432798
2016-11-10,289.0,297.15,286.0,294.55,4488690
2016-11-11,288.0,293.0,272.85,276.75,4430411
2016-11-15,280.7,280.7,258.0,266.65,4007163
2016-11-16,271.0,275.0,260.9,265.25,3586045
2016-11-17,267.0,269.4,262.2,264.6,2448535
2016-11-18,265.0,266.3,256.8,261.9,2821119
2016-11-21,262.05,265.0,245.15,255.7,4715918
2016-11-22,257.0,263.2,257.0,260.8,4773262
2016-11-23,263.95,264.7,258.1,263.7,4191100
2016-11-24,263.7,263.7,256.15,257.7,4052569
2016-11-25,260.0,266.0,255.75,265.05,3644381
2016-11-28,266.95,274.5,264.15,272.75,5898358
2016-11-29,275.0,280.0,267.6,276.9,4965658
2016-11-30,278.9,281.9,276.25,277.9,4877016
2016-12-01,280.0,280.35,271.7,275.1,2039195
2016-12-02,273.7,274.4,264.25,265.9,2854273
2016-12-05,266.5,273.4,263.7,268.7,4802020
2016-12-06,274.0,274.5,270.1,271.9,3001729
2016-12-07,272.5,282.9,272.3,277.4,3768935
2016-12-08,279.9,288.3,279.9,287.1,4172911
2016-12-09,289.45,291.3,284.25,285.65,3130514
2016-12-12,285.0,285.45,279.3,281.35,1781321
2016-12-13,281.4,287.2,278.45,286.0,2703309
2016-12-14,287.45,288.35,282.1,283.85,2454540
2016-12-15,290.1,291.65,283.05,284.25,4952579
2016-12-16,286.0,286.0,279.2,280.25,3752270
2016-12-19,280.9,281.0,275.25,276.45,2479261
2016-12-20,276.1,276.1,268.45,272.4,1657363
2016-12-21,274.4,275.65,270.1,274.2,2500157
2016-12-22,271.75,273.5,261.1,263.55,2771674
2016-12-23,262.15,268.5,259.05,262.9,3336863
2016-12-26,262.0,262.0,257.25,260.0,2684615
2016-12-27,261.0,269.65,258.2,266.95,5604754
2016-12-28,267.9,271.85,267.1,268.5,3862488
2016-12-29,268.0,268.1,262.65,264.65,4400374
2016-12-30,265.0,271.15,264.4,268.45,3744173
2017-01-02,269.8,276.9,267.0,273.8,2622173
2017-01-03,275.2,277.7,272.05,273.95,2064823
2017-01-04,275.15,276.9,272.2,274.9,2741205
2017-01-05,276.3,288.9,275.5,287.5,5997054
2017-01-06,288.8,291.8,285.0,286.05,5651466
2017-01-09,286.35,289.0,282.6,284.7,2877279
2017-01-10,285.1,294.7,285.0,293.9,5779720
2017-01-11,295.9,299.75,294.5,295.65,3323800
2017-01-12,297.0,298.85,289.55,292.75,3420733
2017-01-13,294.5,295.15,290.55,294.05,1699998
2017-01-16,294.7,302.95,292.4,300.65,3614730
2017-01-17,302.45,302.45,292.6,294.85,2231245
2017-01-18,296.75,300.55,290.05,291.9,2613239
2017-01-19,292.1,297.5,292.0,295.35,2290542
2017-01-20,295.0,296.35,283.4,284.15,3279639
2017-01-23,285.15,289.35,284.15,286.25,2261781
2017-01-24,287.0,294.95,286.0,293.15,1945278
2017-01-25,295.25,306.1,294.45,304.65,4477090
2017-01-27,305.0,308.95,302.1,303.95,3386640
2017-01-30,303.75,305.85,301.35,302.6,2241418
2017-01-31,303.5,305.95,292.5,293.35,3859712
2017-02-01,295.55,306.0,293.65,304.6,3158512
2017-02-02,305.45,308.6,301.2,304.15,3018242
2017-02-03,304.55,311.25,301.7,303.55,3352462
2017-02-06,305.85,311.0,302.6,309.2,2426463
2017-02-07,309.3,310.4,301.25,303.65,1803476
2017-02-08,306.05,306.9,299.0,305.55,1581009
2017-02-09,306.5,308.1,300.85,304.8,2032244
2017-02-10,305.6,313.7,305.1,311.25,5313049
2017-02-13,313.2,314.8,304.6,309.55,2291161
2017-02-14,310.0,315.9,305.25,307.0,6996004
2017-02-15,308.1,313.5,297.0,299.95,4562477
2017-02-16,300.0,303.0,294.0,298.6,2837571
2017-02-17,300.1,302.5,295.8,297.25,2264046
2017-02-20,298.2,302.9,296.1,300.3,1690844
2017-02-21,300.5,305.4,298.3,304.15,2559043
2017-02-22,305.0,306.5,297.45,300.3,3507421
2017-02-23,300.35,303.4,295.8,297.25,6593433
