Date,Open,High,Low,Close,Volume
2016-09-15,27.75,27.9,27.35,27.5,2113966
2016-09-16,27.75,28.05,27.1,27.65,7968511
2016-09-19,27.65,27.9,27.45,27.65,2503703
2016-09-20,28.0,28.2,27.7,27.85,3299753
2016-09-21,27.75,28.1,27.5,27.65,2047289
2016-09-22,28.0,28.05,27.55,27.9,2858814
2016-09-23,27.9,28.2,27.7,27.8,3468418
2016-09-26,27.8,28.0,27.45,27.5,2005120
2016-09-27,27.6,27.75,27.25,27.35,2352067
2016-09-28,27.3,27.6,27.3,27.35,2776011
2016-09-29,27.45,27.65,24.8,25.05,9492886
2016-09-30,25.1,25.2,24.6,24.9,10570312
2016-10-03,25.15,25.75,25.1,25.65,4165012
2016-10-04,25.65,26.05,25.6,25.75,3477005
2016-10-05,25.95,26.05,25.65,25.7,2715935
2016-10-06,25.9,26.4,25.25,25.4,5161300
2016-10-07,25.4,26.1,25.2,25.9,11783813
2016-10-10,25.95,26.25,25.75,25.9,2942515
2016-10-13,25.8,25.85,25.0,25.2,4404589
2016-10-14,25.35,26.2,25.25,26.05,10051152
2016-10-17,26.15,26.9,25.5,26.5,13293803
2016-10-18,26.7,27.15,26.5,26.65,12067234
2016-10-19,26.65,27.35,26.6,27.05,13151366
2016-10-20,27.15,27.8,27.1,27.65,12525001
2016-10-21,27.6,27.85,27.4,27.7,5931567
2016-10-24,27.95,28.2,26.7,26.95,15065741
2016-10-25,26.95,27.1,25.6,25.8,24281634
2016-10-26,25.9,26.6,25.7,25.95,7422824
2016-10-27,26.0,27.25,25.7,26.8,119562566
2016-10-28,26.3,27.65,26.15,27.35,17439525
2016-10-30,27.65,27.65,27.2,27.35,1789390
2016-11-01,27.3,27.65,27.05,27.15,6203431
2016-11-02,26.9,26.95,26.45,26.55,4950453
2016-11-03,26.45,26.95,26.15,26.25,4680606
2016-11-04,26.35,26.65,25.2,25.35,7184973
2016-11-07,25.75,26.35,25.6,25.8,5186127
2016-11-08,26.0,26.05,25.55,25.9,3897645
2016-11-09,24.2,24.85,23.15,24.6,11174979
2016-11-10,25.5,26.3,25.15,25.85,6827381
2016-11-11,25.75,25.75,24.85,25.1,5230827
2016-11-15,25.0,25.2,24.2,24.35,5384464
2016-11-16,24.5,24.8,24.0,24.05,3179227
2016-11-17,24.15,24.9,24.0,24.45,3567506
2016-11-18,24.5,24.75,24.3,24.55,1890044
2016-11-21,24.6,25.0,23.65,23.9,3997073
2016-11-22,24.0,24.25,23.7,24.0,3315745
2016-11-23,24.3,24.9,24.0,24.7,6519299
2016-11-24,24.7,24.7,23.75,24.05,7691698
2016-11-25,24.55,24.7,24.25,24.45,2893807
2016-11-28,24.45,27.45,24.4,27.25,22439112
2016-11-29,27.25,28.55,26.85,28.3,22269136
2016-11-30,28.5,28.9,28.0,28.7,16057621
2016-12-01,28.7,29.75,28.25,29.1,16697840
2016-12-02,29.0,29.65,28.45,29.15,13615538
2016-12-05,29.0,31.6,28.85,31.1,20036205
2016-12-06,32.05,32.65,31.7,32.25,22469935
2016-12-07,32.25,34.05,31.15,31.8,38412048
2016-12-08,32.15,32.35,31.3,31.75,11056079
2016-12-09,31.9,32.2,31.4,31.8,6699626
2016-12-12,32.05,32.85,31.5,32.0,8088219
2016-12-13,32.0,32.55,31.65,32.3,6566075
2016-12-14,32.4,32.5,31.8,31.85,3890544
2016-12-15,31.5,32.85,31.4,32.6,10015714
2016-12-16,32.9,32.9,31.8,31.95,6202817
2016-12-19,31.95,32.2,31.4,31.5,5288911
2016-12-20,31.75,31.85,30.1,30.35,6760350
2016-12-21,30.5,31.15,30.35,30.55,3608885
2016-12-22,30.5,30.55,29.2,29.35,6118477
2016-12-23,29.5,29.7,28.65,29.15,8273969
2016-12-26,29.15,29.2,27.75,27.9,5153924
2016-12-27,28.0,29.5,27.3,28.55,6931697
2016-12-28,28.8,29.35,28.4,28.85,5836584
2016-12-29,28.85,30.5,28.75,30.2,9591318
2016-12-30,30.3,30.7,29.9,30.05,15449242
2017-01-02,30.05,30.8,29.1,30.6,15128286
2017-01-03,30.75,30.95,30.2,30.65,4458540
2017-01-04,30.85,31.8,30.75,31.65,9124470
2017-01-05,31.65,32.75,31.65,32.6,7912151
2017-01-06,32.7,33.1,32.1,32.7,9754559
