Date,Open,High,Low,Close,Volume
2016-09-15,214.8,219.9,213.6,215.5,4719164
2016-09-16,216.0,217.95,208.25,213.45,3749895
2016-09-19,215.2,222.2,214.45,221.35,5757699
2016-09-20,222.85,223.7,216.05,217.25,5620605
2016-09-21,216.5,219.5,213.2,215.1,3723720
2016-09-22,218.0,218.7,212.8,215.7,2828200
2016-09-23,216.0,223.0,213.9,221.0,4590732
2016-09-26,221.0,221.75,215.6,216.25,2195480
2016-09-27,217.6,219.85,214.05,215.25,2597505
2016-09-28,214.0,221.65,210.6,220.45,6489227
2016-09-29,221.7,225.0,207.8,210.5,7063592
2016-09-30,210.0,221.4,210.0,219.95,3633516
2016-10-03,222.0,225.65,220.45,223.85,2873544
2016-10-04,224.1,225.9,219.3,220.6,2607046
2016-10-05,222.65,233.35,221.8,229.45,7048803
2016-10-06,230.95,234.75,225.05,227.5,4734834
2016-10-07,230.1,231.0,222.65,223.8,2240468
2016-10-10,224.1,228.9,223.1,223.7,2038308
2016-10-13,223.3,224.65,215.0,223.3,3176077
2016-10-14,222.75,223.65,215.6,216.75,3257357
2016-10-17,216.75,216.75,208.2,209.5,3341161
2016-10-18,210.5,220.9,206.1,219.7,5967957
2016-10-19,220.2,220.6,211.2,211.75,4508177
2016-10-20,212.0,215.15,210.45,212.3,3409691
2016-10-21,214.0,215.3,209.7,212.95,2446018
2016-10-24,214.9,215.05,209.1,209.8,2001973
2016-10-25,209.8,213.75,209.2,212.05,2096346
2016-10-26,211.0,216.1,207.4,208.3,3284971
2016-10-27,207.2,210.5,198.7,199.6,4846243
2016-10-28,200.0,203.75,199.0,201.9,2506033
2016-10-30,203.9,203.9,199.9,201.25,313694
2016-11-01,201.8,209.35,201.3,205.9,3268615
2016-11-02,204.35,204.35,198.35,199.2,1886663
2016-11-03,199.1,204.55,196.65,197.5,2484882
2016-11-04,198.15,200.95,190.1,193.15,2504600
2016-11-07,198.4,198.4,193.0,193.55,1844271
2016-11-08,194.9,199.0,190.55,197.55,3727718
2016-11-09,182.55,197.4,177.8,195.65,6049755
2016-11-10,197.0,203.35,194.7,195.55,2886090
2016-11-11,193.0,198.9,191.5,192.7,2835153
2016-11-15,194.9,194.9,182.1,186.75,3119302
2016-11-16,190.0,191.95,183.05,184.2,3105884
2016-11-17,183.0,187.5,182.65,185.6,1497150
2016-11-18,186.6,190.3,183.25,189.2,2019695
2016-11-21,189.7,189.85,178.65,181.55,2571775
2016-11-22,182.0,184.9,178.55,183.6,1858610
2016-11-23,184.2,184.5,176.1,177.95,3927960
2016-11-24,175.0,179.5,173.3,178.05,4103030
2016-11-25,179.8,181.75,177.65,180.85,1460448
2016-11-28,181.0,185.95,180.75,181.9,2212790
2016-11-29,184.75,185.85,181.8,184.1,1576827
2016-11-30,186.0,192.0,186.0,190.9,4014074
2016-12-01,192.25,192.5,187.5,188.15,1902668
2016-12-02,187.0,187.45,181.3,182.05,1875276
2016-12-05,182.0,187.5,179.6,186.5,2068990
2016-12-06,187.9,191.4,187.5,189.35,2078436
2016-12-07,189.4,190.9,186.5,188.7,1533694
2016-12-08,192.0,196.0,190.9,194.5,2700524
2016-12-09,197.0,198.8,194.45,197.75,2185182
2016-12-12,197.0,197.5,192.8,194.2,2224388
2016-12-13,194.0,197.25,192.95,196.8,1570751
2016-12-14,197.85,198.8,195.0,197.55,1893893
2016-12-15,196.9,203.2,195.45,201.3,4181174
2016-12-16,201.95,202.35,193.5,194.85,2790785
2016-12-19,194.2,196.85,192.1,195.75,2068003
2016-12-20,196.25,197.8,191.7,195.35,3089581
2016-12-21,195.4,195.75,189.8,192.45,5455440
2016-12-22,189.95,192.1,187.6,189.65,1798771
2016-12-23,189.7,191.5,187.9,189.35,1328790
2016-12-26,189.0,189.35,183.9,185.2,1303544
2016-12-27,184.8,188.6,179.65,187.85,2207500
2016-12-28,188.8,189.0,182.5,183.15,2405817
2016-12-29,183.0,186.0,182.35,185.35,3051743
2016-12-30,185.4,186.7,183.6,184.9,2138316
2017-01-02,187.0,187.85,183.85,185.85,1781042
2017-01-03,186.9,188.25,185.4,187.25,1360567
2017-01-04,187.7,189.4,184.5,185.3,1244450
2017-01-05,185.6,188.65,185.6,187.7,1595767
2017-01-06,187.65,191.85,186.75,188.9,2580440
2017-01-09,189.75,189.9,185.0,186.25,1325132
2017-01-10,186.6,195.9,186.1,194.45,2495539
2017-01-11,197.0,198.6,195.65,197.1,3622122
2017-01-12,197.35,198.55,193.35,194.8,2046050
2017-01-13,194.8,194.8,185.05,187.75,5589804
2017-01-16,185.25,188.5,184.6,186.85,2842194
2017-01-17,187.5,191.5,187.3,187.85,2488815
2017-01-18,188.55,190.4,186.6,188.95,2435356
2017-01-19,188.75,188.75,184.7,185.6,2291906
2017-01-20,185.85,186.95,182.65,183.75,2066552
2017-01-23,184.0,186.7,183.3,184.7,1211178
2017-01-24,185.35,186.5,184.05,185.05,2431531
2017-01-25,185.6,187.45,184.4,186.75,3912026
2017-01-27,188.0,189.8,186.1,187.35,1741509
2017-01-30,187.3,187.4,183.3,183.9,1390787
2017-01-31,183.4,183.5,179.0,180.4,2025683
2017-02-01,180.3,189.0,176.25,186.95,7118554
2017-02-02,187.0,188.75,182.1,184.45,2558578
2017-02-03,184.2,187.3,181.3,183.3,2777653
2017-02-06,184.0,184.9,181.35,182.15,1670342
2017-02-07,181.7,185.0,180.45,182.65,2725144
2017-02-08,182.3,186.65,181.45,185.9,2462154
2017-02-09,186.3,187.85,182.25,183.6,1739437
2017-02-10,183.6,184.25,181.05,182.45,2590030
2017-02-13,183.3,183.3,178.25,179.25,1726610
2017-02-14,180.0,180.0,174.5,175.45,1972119
2017-02-15,174.55,176.85,173.35,174.2,2517954
2017-02-16,174.3,179.7,171.6,178.9,4054456
2017-02-17,179.95,181.5,176.6,179.5,2274487
2017-02-20,179.0,182.0,178.15,179.75,2545288
2017-02-21,180.45,180.85,178.85,180.0,2152875
2017-02-22,180.85,182.8,178.9,179.9,3638530
2017-02-23,180.7,185.15,179.6,184.45,4030414
2017-02-27,185.2,187.0,183.75,185.05,2991680
2017-02-28,185.8,189.45,185.1,187.6,3301330
2017-03-01,188.95,191.15,184.6,185.65,2229344
2017-03-02,186.9,187.65,180.6,181.4,1864411
2017-03-03,180.8,184.0,179.65,183.45,2264868
2017-03-06,184.2,184.45,181.8,182.7,1515319
2017-03-07,182.4,183.5,180.55,181.25,1249252
2017-03-08,180.25,182.35,177.8,179.9,1628933
2017-03-09,179.9,182.55,179.05,179.5,2079204
2017-03-10,181.9,181.9,178.45,179.1,1590706
2017-03-14,183.0,187.3,181.25,186.1,3340317
2017-03-15,187.2,196.5,187.0,194.1,9848960
2017-03-16,195.7,198.65,194.6,196.25,3822845
2017-03-17,197.4,199.8,191.8,198.85,4872998
2017-03-20,204.0,205.9,202.0,203.0,8999554
2017-03-21,204.0,205.95,199.2,204.95,4512017
2017-03-22,203.8,207.95,202.1,204.65,7102360
2017-03-23,206.6,208.0,204.0,206.5,4474217
2017-03-24,206.7,211.3,205.1,209.25,6289999
2017-03-27,208.75,211.9,206.6,210.6,4714879
2017-03-28,211.0,212.5,203.3,203.95,4666644
2017-03-29,203.5,210.5,200.65,209.4,6029056
2017-03-30,211.1,211.1,207.15,207.9,2759080
2017-03-31,208.9,210.9,207.6,208.7,1893678
2017-04-03,209.0,211.45,208.65,210.25,1688873
2017-04-05,211.5,214.15,210.9,211.95,2484413
2017-04-06,212.0,215.3,210.3,212.85,3386136
2017-04-07,211.5,216.5,210.0,213.45,3579041
2017-04-10,216.0,218.0,214.15,216.7,3368676
2017-04-11,217.55,232.95,216.75,227.75,9480815
2017-04-12,229.9,229.9,220.1,221.2,4711488
2017-04-13,221.25,227.3,220.95,222.35,3646063
2017-04-17,223.0,231.4,220.75,229.25,5253164
2017-04-18,229.95,236.45,225.3,227.0,5388471
2017-04-19,227.7,233.0,226.15,230.55,3249841
2017-04-20,231.45,241.0,228.95,240.1,5839488
2017-04-21,241.9,242.35,233.2,237.1,4537956
2017-04-24,238.05,242.3,235.5,241.5,4364101
2017-04-25,242.4,244.4,239.0,242.75,2993642
2017-04-26,242.7,249.5,241.85,247.25,6171207
2017-04-27,249.0,249.9,245.4,248.1,3700308
2017-04-28,248.0,248.15,242.1,244.0,1879173
2017-05-02,244.2,252.5,241.15,250.25,2997430
2017-05-03,252.0,254.25,243.65,244.65,4256400
2017-05-04,245.1,250.2,241.1,242.8,3174956
2017-05-05,242.5,247.45,239.5,245.9,5050129
2017-05-08,240.0,245.0,238.25,240.35,6158877
2017-05-09,242.0,242.6,232.6,234.6,3771651
2017-05-10,234.95,236.35,228.55,231.65,4538041
2017-05-11,233.7,235.4,229.2,230.4,4696584
2017-05-12,231.6,232.7,225.2,227.05,2467294
2017-05-15,227.6,232.4,225.05,231.9,4347614
2017-05-16,232.0,235.35,230.7,234.4,3426685
2017-05-17,234.1,239.05,231.7,237.35,5219959
2017-05-18,235.1,239.9,230.05,232.65,3965961
2017-05-19,234.4,237.75,230.1,234.65,5363574
2017-05-22,234.0,237.55,230.9,233.75,4429589
2017-05-23,232.0,233.0,225.65,230.5,3349365
2017-05-24,229.0,230.45,217.25,221.45,4210918
2017-05-25,223.7,228.0,218.8,226.9,2798923
2017-05-26,227.45,236.0,223.8,232.1,2473018
2017-05-29,232.0,234.35,225.05,225.65,2325611
2017-05-30,224.0,229.75,222.85,228.2,2050162
2017-05-31,229.3,231.65,227.5,228.6,2233535
2017-06-01,228.0,243.9,227.5,242.8,7092775
2017-06-02,243.15,248.85,241.6,247.15,5512657
2017-06-05,245.15,254.5,245.15,248.2,3539094
2017-06-06,248.95,260.9,242.15,259.35,6377588
2017-06-07,261.95,264.75,257.3,259.45,6591199
2017-06-08,259.95,264.35,257.0,258.2,5124556
2017-06-09,260.1,262.5,255.7,258.0,4079827
2017-06-12,256.8,262.4,254.35,260.35,3182739
2017-06-13,261.0,266.6,253.95,257.3,8151583
2017-06-14,254.4,259.9,251.5,258.15,6064458
2017-06-15,257.0,260.6,254.95,257.2,3452982
2017-06-16,257.3,259.65,254.65,255.65,2155363
2017-06-19,256.95,258.4,253.05,256.7,2695737
2017-06-20,256.95,265.0,256.95,261.75,4810795
2017-06-21,262.0,266.3,258.8,260.3,6463867
2017-06-22,261.1,263.35,255.0,257.3,3234463
2017-06-23,256.9,257.0,246.0,247.05,4146341
2017-06-27,245.35,245.4,238.9,243.25,2949329
2017-06-28,240.0,245.75,237.5,244.3,4211405
2017-06-29,246.5,247.3,241.85,242.9,2014274
2017-06-30,240.0,243.1,239.0,240.7,2152305
2017-07-03,241.0,255.05,241.0,254.6,5023488
2017-07-04,255.7,256.75,250.35,251.2,3128081
2017-07-05,252.8,257.9,251.0,254.55,2260574
2017-07-06,256.25,260.0,255.0,256.4,2911311
2017-07-07,254.9,260.0,252.9,258.75,3812270
2017-07-10,260.0,260.0,251.0,257.25,301951
2017-07-11,257.4,259.7,247.4,249.6,3938837
2017-07-12,247.7,254.0,245.5,252.25,3907251
2017-07-13,251.45,254.85,250.0,251.5,2118858
2017-07-14,252.5,252.5,249.0,251.0,1480370
2017-07-17,251.0,254.75,246.7,253.35,3015300
2017-07-18,252.85,256.9,249.95,252.85,3368756
2017-07-19,253.9,257.35,253.15,255.9,3036591
2017-07-20,256.0,257.45,252.25,253.7,1830875
2017-07-21,253.0,255.7,250.3,252.4,2795175
2017-07-24,254.3,255.5,251.05,253.7,1905074
2017-07-25,253.8,265.7,252.55,264.55,6443067
2017-07-26,265.8,268.9,264.25,266.9,5575016
2017-07-27,266.2,267.15,258.75,261.9,2727039
2017-07-28,261.4,265.4,259.45,263.2,2729167
2017-07-31,263.65,269.9,261.2,266.5,4278814
2017-08-01,267.7,268.0,263.0,266.95,2285358
2017-08-02,266.0,279.0,263.75,277.75,8790037
2017-08-03,278.5,278.6,269.3,270.85,5013187
2017-08-04,261.0,270.4,259.1,262.25,10772073
2017-08-07,255.6,288.45,255.6,285.5,18908914
2017-08-08,285.0,285.0,271.75,280.45,8342293
2017-08-09,276.15,279.0,267.5,270.25,6919830
2017-08-10,269.7,275.75,257.45,262.6,4651785
2017-08-11,260.1,262.5,252.0,257.05,4783508
2017-08-14,260.3,264.75,258.65,262.9,2552441
2017-08-16,265.0,273.95,259.5,272.7,4475188
2017-08-17,272.85,274.75,268.35,269.25,3452974
2017-08-18,267.4,271.8,265.3,270.15,2175670
2017-08-21,270.0,273.7,266.85,268.9,2921377
2017-08-22,270.25,271.7,255.4,259.65,4894280
2017-08-23,260.0,264.95,256.0,259.8,3009326
2017-08-24,261.0,261.4,253.6,257.0,3459869
2017-08-28,257.05,257.65,251.2,252.6,5360565
2017-08-29,249.5,254.65,246.15,249.15,6524043
2017-08-30,251.0,253.3,247.6,248.35,3302942
2017-08-31,248.35,254.2,248.35,253.4,4619190
2017-09-01,256.0,257.05,252.6,256.35,3278369
2017-09-04,257.0,257.0,248.25,250.7,4478038
2017-09-05,250.85,255.0,250.7,253.45,2357609
2017-09-06,251.1,257.1,250.1,254.85,2563552
2017-09-07,256.8,257.6,252.25,253.2,2377279
2017-09-08,253.45,255.4,250.3,252.4,1600999
2017-09-11,253.8,257.2,252.05,256.2,2212611
2017-09-12,257.65,264.5,256.1,263.35,3002793
2017-09-13,266.0,266.55,258.2,260.0,4176745
2017-09-14,260.5,263.1,258.45,259.45,1673275
2017-09-15,258.3,260.45,253.55,255.7,2512542
2017-09-18,259.5,262.95,255.5,261.55,3148346
2017-09-19,261.25,263.3,257.5,258.5,1709213
2017-09-20,268.0,269.0,261.65,262.25,5085001
2017-09-21,262.7,263.8,254.8,257.4,3027899
2017-09-22,259.75,263.0,248.65,251.35,4945207
2017-09-25,253.2,253.2,245.0,249.8,2827572
2017-09-26,243.0,252.2,243.0,248.0,3655722
2017-09-27,248.55,250.1,239.3,241.7,2004251
2017-09-28,242.05,246.3,240.6,243.15,4015188
2017-09-29,244.55,249.4,244.55,245.75,2881800
2017-10-03,249.0,249.7,242.0,244.15,2325570
2017-10-04,245.2,246.25,237.65,238.95,4024911
2017-10-05,237.5,240.8,236.0,239.7,3443418
2017-10-06,239.2,243.75,237.25,242.3,3960690
2017-10-09,243.6,243.9,236.5,238.1,3689179
2017-10-10,238.4,242.8,238.05,242.25,2879505
2017-10-11,242.9,244.35,236.0,238.15,2982730
2017-10-12,239.2,243.0,238.5,242.5,2427106
2017-10-13,246.4,246.4,240.35,242.2,1801541
2017-10-16,242.4,245.7,240.45,242.35,2832308
2017-10-17,242.35,247.0,240.95,246.0,1810140
2017-10-18,246.9,248.9,242.85,243.55,1753632
2017-10-19,243.55,243.95,240.0,241.3,200575
2017-10-23,241.0,242.5,237.0,239.75,2839975
2017-10-24,239.65,243.65,239.5,240.5,1249906
2017-10-25,241.5,242.5,238.5,241.2,1203040
2017-10-26,240.95,242.5,237.4,238.6,9175736
2017-10-27,239.0,244.8,238.85,243.5,2700936
2017-10-30,245.45,249.65,243.7,246.9,2939875
2017-10-31,246.7,247.3,243.8,246.0,1474552
2017-11-01,248.65,248.65,240.55,244.65,3135278
2017-11-02,241.1,250.8,235.7,237.15,6073028
2017-11-03,237.5,239.9,232.75,236.45,3858578
2017-11-06,236.0,244.2,234.05,242.85,4508729
2017-11-07,242.5,243.75,232.4,234.3,4061444
2017-11-08,234.3,236.75,228.2,229.7,2729724
2017-11-09,232.85,234.0,228.15,233.15,2260142
2017-11-10,234.55,237.9,230.3,236.0,2568531
2017-11-13,237.0,239.2,235.25,236.25,1880772
2017-11-14,236.55,237.35,230.55,231.55,1616032
2017-11-15,233.4,241.05,229.55,232.0,4418215
2017-11-16,233.45,237.0,231.55,233.25,2056626
2017-11-17,235.8,239.0,234.5,236.3,1957214
2017-11-20,236.8,238.0,234.55,235.55,2905664
2017-11-21,237.0,247.0,235.35,245.7,6369579
2017-11-22,247.7,249.8,243.55,248.15,3977673
2017-11-23,250.0,253.9,248.0,252.8,4768486
2017-11-24,253.0,255.4,251.5,254.1,2320121
2017-11-27,251.55,257.5,250.65,256.8,2432690
2017-11-28,256.95,258.3,255.0,256.8,1413873
2017-11-29,255.05,259.6,255.05,258.8,1546171
2017-11-30,255.65,257.75,249.2,250.7,2736138
2017-12-01,251.85,255.65,243.4,244.25,2469582
2017-12-04,245.7,246.9,240.95,242.95,1416428
2017-12-05,241.25,243.0,236.8,239.6,2816961
2017-12-06,237.6,241.4,237.1,238.25,3637090
2017-12-07,239.35,244.65,239.0,243.2,1971658
2017-12-08,245.0,249.35,244.2,247.9,2076472
2017-12-11,249.0,250.4,245.2,246.75,1534556
2017-12-12,247.0,249.95,243.2,244.5,2185339
2017-12-13,245.0,247.0,241.7,245.55,2229760
2017-12-14,245.3,246.7,239.55,240.75,2193001
2017-12-15,243.0,254.1,243.0,249.6,5124428
2017-12-18,248.8,260.25,240.35,255.1,4980855
2017-12-19,255.2,260.85,255.2,259.55,2517564
2017-12-20,259.6,262.65,257.9,260.05,2506464
2017-12-21,261.9,266.7,256.3,265.4,4126638
2017-12-22,266.3,268.85,262.35,264.85,3742427
2017-12-26,263.0,269.95,260.05,267.5,2731077
2017-12-27,267.5,271.35,262.5,268.85,4025076
2017-12-28,269.8,271.5,266.0,268.8,2972180
2017-12-29,267.2,270.3,266.05,268.25,2891635
2018-01-01,268.25,272.7,266.75,268.85,1308125
2018-01-02,268.85,272.4,262.2,267.55,2819943
2018-01-03,267.6,271.0,267.6,269.95,1504749
2018-01-04,270.9,272.0,268.4,270.9,2423527
2018-01-05,270.1,283.5,269.75,280.6,5282717
2018-01-08,282.1,285.0,279.0,283.7,2827715
2018-01-09,283.95,288.65,280.65,285.6,3741055
2018-01-10,287.0,288.15,275.85,278.05,3481128
2018-01-11,278.5,280.45,275.5,279.05,1633890
2018-01-12,279.45,281.8,274.95,278.95,2675592
2018-01-15,280.0,282.0,277.35,278.7,1738472
2018-01-16,277.35,278.0,268.7,271.7,2962659
2018-01-17,273.0,275.0,269.55,273.85,2010538
2018-01-18,274.0,274.65,259.35,261.85,3167641
2018-01-19,261.95,266.0,260.35,264.8,1621095
2018-01-22,265.9,265.9,257.3,259.6,1411127
2018-01-23,261.4,267.95,260.2,264.85,1899243
2018-01-24,264.8,268.7,260.65,267.25,1868919
2018-01-25,269.0,269.6,259.6,261.05,5131170
2018-01-29,263.95,264.4,254.75,257.6,1497214
2018-01-30,256.7,261.35,250.75,258.45,4217855
2018-01-31,259.4,263.75,253.55,254.85,3531429
2018-02-01,255.8,268.5,248.4,262.35,4693162
2018-02-02,258.0,260.25,246.0,249.5,5641354
2018-02-05,241.3,255.7,238.4,252.0,2874449
2018-02-06,240.0,255.4,229.55,248.25,6238520
2018-02-07,250.9,264.9,250.15,261.1,5587479
2018-02-08,261.0,272.0,259.15,269.75,5327898
2018-02-09,262.8,272.0,262.65,270.8,2254834
2018-02-12,272.05,277.8,271.1,274.9,3624552
2018-02-14,279.9,279.95,272.5,274.0,3007377
2018-02-15,274.0,279.0,270.55,272.75,4238095
2018-02-16,273.0,276.0,260.05,261.3,2417120
2018-02-19,262.4,262.85,250.1,254.55,2842510
2018-02-20,255.0,265.5,253.65,264.7,4636403
2018-02-21,266.1,268.0,259.1,262.15,1935835
2018-02-22,260.0,264.65,260.0,262.95,2296396
2018-02-23,264.0,269.85,263.0,268.85,2901084
2018-02-26,270.45,271.0,265.75,268.45,2201918
2018-02-27,269.95,269.95,262.15,264.65,2640754
2018-02-28,265.1,275.5,261.7,274.55,5332447
2018-03-01,274.0,274.0,264.7,265.7,3851150
2018-03-05,266.4,266.7,257.7,259.15,3163425
2018-03-06,260.0,263.0,255.0,258.55,3745933
2018-03-07,260.0,260.0,250.5,254.95,2605902
2018-03-08,255.55,261.25,252.4,260.0,2801164
2018-03-09,263.3,265.2,257.8,260.0,2986138
2018-03-12,260.85,262.8,256.15,262.15,1659940
2018-03-13,260.1,267.95,260.1,264.55,1798681
2018-03-14,263.1,267.65,261.95,267.0,1613608
2018-03-15,266.5,269.5,262.4,266.45,2765849
2018-03-16,264.5,268.7,263.25,265.65,3241898
2018-03-19,263.55,265.5,259.25,261.25,1384506
2018-03-20,261.1,264.3,258.0,263.25,1132351
2018-03-21,263.5,267.3,262.7,263.05,1030507
2018-03-22,262.5,264.25,259.8,260.2,1427843
2018-03-23,253.8,258.4,251.65,256.05,2051561
2018-03-26,257.0,268.75,255.0,267.65,2042206
2018-03-27,269.0,276.0,269.0,274.8,3310412
2018-03-28,272.5,281.8,271.6,277.05,3024236
2018-04-02,277.7,279.65,271.3,277.4,1501332
2018-04-03,277.4,289.45,276.0,285.6,3788338
2018-04-04,286.1,289.05,280.5,282.15,2783007
2018-04-05,284.35,295.35,284.35,292.5,4642680
2018-04-06,292.0,296.2,288.9,294.1,3223111
2018-04-09,294.1,297.5,291.2,293.2,2702990
2018-04-10,296.85,296.85,288.0,290.7,1881153
2018-04-11,290.3,291.6,285.75,286.75,1954853
2018-04-12,288.5,297.2,284.3,294.6,4040620
2018-04-13,296.75,300.5,293.5,296.25,4792776
2018-04-16,293.5,301.5,290.55,300.05,2363413
2018-04-17,301.0,307.25,295.2,296.55,6913502
2018-04-18,298.75,299.2,288.25,289.45,3521201
2018-04-19,291.35,295.95,286.55,292.95,4278681
2018-04-20,291.0,293.65,286.2,287.95,2551938
2018-04-23,287.0,290.5,283.95,289.1,2374803
2018-04-24,289.0,293.0,286.6,288.7,2202561
2018-04-25,288.9,289.15,284.0,284.75,1528321
2018-04-26,283.8,287.4,282.05,285.95,2654908
2018-04-27,287.0,293.9,286.5,292.85,2852936
2018-04-30,295.85,296.85,293.05,294.35,1769276
2018-05-02,296.85,300.7,287.65,290.2,3122546
2018-05-03,291.5,295.3,285.15,286.35,2402684
2018-05-04,285.55,287.95,282.0,286.45,1888110
2018-05-07,287.15,294.8,285.55,293.9,2189545
2018-05-08,294.9,296.45,288.2,289.1,2067280
2018-05-09,288.85,292.85,285.55,286.6,2545142
2018-05-10,288.05,291.9,282.1,283.6,2873706
2018-05-11,288.6,289.65,274.1,280.0,3776298
2018-05-14,281.9,287.5,278.55,286.3,2561495
2018-05-15,285.4,290.8,283.45,288.05,1992223
2018-05-16,287.5,295.4,285.2,294.05,2123951
2018-05-17,295.0,295.0,286.9,288.45,1831666
2018-05-18,289.45,290.5,284.5,285.95,1404964
2018-05-21,285.0,286.45,273.15,276.0,2647317
2018-05-22,276.0,278.0,269.6,274.25,1686995
2018-05-23,273.25,277.85,271.25,274.9,1653827
2018-05-24,275.0,276.3,266.25,272.6,2318445
2018-05-25,272.7,282.2,271.05,279.5,1420896
2018-05-28,282.95,297.4,280.5,287.05,5098864
2018-05-29,288.0,291.35,279.15,280.0,2483607
2018-05-30,277.0,280.75,273.75,276.15,2661368
2018-05-31,276.55,277.55,267.0,269.3,2039549
2018-06-01,269.95,271.7,263.0,266.0,2252213
2018-06-04,269.0,270.45,264.35,266.05,2099074
2018-06-05,268.0,270.35,260.6,269.05,5148797
2018-06-06,269.25,274.5,266.65,273.4,2271168
