Date,Open,High,Low,Close,Volume
2016-09-15,82.8,83.0,80.6,81.6,24953966
2016-09-16,81.7,82.45,80.0,81.1,17923252
2016-09-19,81.5,84.85,81.4,84.6,17605080
2016-09-20,84.9,85.5,83.6,84.05,7983834
2016-09-21,84.0,84.6,82.5,82.7,8204310
2016-09-22,84.0,84.45,82.85,83.95,7863354
2016-09-23,83.8,83.8,82.4,82.65,6965998
2016-09-26,82.45,82.6,81.55,81.8,5604720
2016-09-27,82.3,82.45,81.05,81.45,4298620
2016-09-28,81.7,82.25,81.15,81.85,5888057
2016-09-29,82.5,82.6,75.85,76.45,25942259
2016-09-30,76.45,80.25,75.05,79.6,17726459
2016-10-03,79.15,83.45,79.1,83.1,15146036
2016-10-04,83.25,83.25,80.6,81.35,9924305
2016-10-05,81.0,82.4,81.0,81.65,7890459
2016-10-06,82.0,83.35,80.2,80.8,9686492
2016-10-07,81.2,81.5,80.6,81.2,4109674
2016-10-10,81.85,81.85,80.1,80.75,4582597
2016-10-13,80.45,80.95,78.55,79.4,9111707
2016-10-14,79.45,81.2,79.1,80.65,5534240
2016-10-17,80.7,82.25,80.2,81.6,8163161
2016-10-18,82.4,84.0,82.4,83.85,12181856
2016-10-19,84.4,84.9,83.9,84.35,6681033
2016-10-20,84.7,86.4,84.4,85.7,10381584
2016-10-21,86.45,87.4,85.95,87.05,11706419
2016-10-24,87.4,88.35,86.2,88.05,11364973
2016-10-25,88.0,88.15,86.35,87.65,6574506
2016-10-26,87.35,88.2,86.7,87.2,6960265
2016-10-27,86.6,87.15,84.7,84.9,8381704
2016-10-28,85.0,90.75,84.85,90.25,23011807
2016-10-30,90.65,91.7,90.45,91.35,4396740
2016-11-01,91.5,92.6,89.6,90.1,17959653
2016-11-02,89.0,91.15,87.9,89.85,9715881
2016-11-03,89.85,92.5,89.5,91.3,19000581
2016-11-04,91.95,92.45,89.2,90.9,13973645
2016-11-07,91.9,92.3,89.2,89.45,8246926
2016-11-08,89.5,92.15,88.15,91.75,25643558
2016-11-09,83.55,92.0,82.7,91.4,19492970
2016-11-10,92.2,93.5,88.8,89.4,13694262
2016-11-11,88.5,89.95,87.0,87.35,11917291
2016-11-15,87.35,87.35,81.5,82.65,11732021
2016-11-16,83.8,84.15,77.8,79.0,15418449
2016-11-17,79.0,80.15,78.0,78.8,9769230
2016-11-18,79.3,80.4,78.65,79.65,7590789
2016-11-21,80.5,80.5,75.5,75.85,11381674
2016-11-22,76.7,76.9,73.5,75.6,16820607
2016-11-23,76.2,77.75,74.85,77.2,10031839
2016-11-24,77.5,77.5,75.4,75.65,18199666
2016-11-25,76.4,77.7,75.65,77.0,9725101
2016-11-28,77.85,78.5,77.05,78.15,8574030
2016-11-29,78.6,81.15,78.25,79.9,10406070
2016-11-30,80.1,80.6,79.15,79.5,8910488
2016-12-01,80.0,80.1,77.3,77.55,14821619
2016-12-02,77.65,78.75,74.3,74.7,17264782
2016-12-05,75.55,77.5,74.8,77.2,9434046
2016-12-06,77.7,79.0,76.35,78.05,9658215
2016-12-07,78.15,78.5,76.15,76.7,7101836
2016-12-08,77.3,78.6,77.1,77.9,6327162
2016-12-09,78.0,79.95,77.8,79.55,7858724
2016-12-12,79.0,80.2,78.55,79.5,9402280
2016-12-13,79.8,79.95,77.1,77.9,5793135
2016-12-14,78.0,78.3,76.85,77.2,4617544
2016-12-15,76.05,78.75,76.05,77.8,4894002
2016-12-16,78.25,78.4,77.2,77.65,6095452
2016-12-19,77.9,79.9,77.3,78.7,9584506
2016-12-20,79.35,79.5,76.55,76.9,7059007
2016-12-21,77.5,78.45,77.3,77.55,4725054
2016-12-22,77.85,79.8,76.85,77.45,7630191
2016-12-23,77.2,78.65,76.15,77.7,7685714
2016-12-26,77.8,77.9,76.25,76.5,4475664
2016-12-27,76.5,78.4,75.05,78.05,7041030
2016-12-28,78.5,78.7,77.8,78.25,5706223
2016-12-29,77.25,79.4,77.25,79.0,7832998
2016-12-30,79.9,80.9,79.65,80.1,13540359
2017-01-02,80.5,81.5,79.15,81.0,12823600
2017-01-03,81.4,81.55,80.45,81.05,7610206
2017-01-04,81.5,84.55,81.25,83.85,14148219
2017-01-05,84.65,84.95,82.8,83.95,10474833
2017-01-06,84.2,85.7,83.15,85.3,10508449
2017-01-09,85.85,85.85,84.6,84.95,4664481
2017-01-10,85.2,85.3,84.2,84.95,3603984
2017-01-11,85.0,86.3,84.95,85.6,4205231
2017-01-12,85.5,85.6,83.8,84.3,4126412
2017-01-13,84.3,85.2,83.35,84.55,6292908
2017-01-16,84.1,86.1,84.05,85.6,4419274
2017-01-17,86.0,86.85,85.35,85.95,4294619
2017-01-18,85.9,87.1,85.05,86.9,7922410
2017-01-19,86.9,87.65,86.2,87.05,6301901
2017-01-20,86.7,87.4,85.25,85.55,6238368
2017-01-23,86.15,86.7,85.4,86.3,4001215
2017-01-24,86.35,89.0,86.35,88.7,10324396
2017-01-25,89.0,89.35,86.3,86.55,20149829
2017-01-27,86.6,92.75,86.6,92.45,37997580
2017-01-30,91.75,93.15,91.3,92.05,10516489
2017-01-31,91.75,91.85,89.7,90.75,10318662
2017-02-01,91.6,93.1,90.6,92.15,20594085
2017-02-02,93.0,95.1,91.55,94.85,16589288
2017-02-03,95.0,95.7,93.7,94.5,9703414
2017-02-06,94.5,95.95,94.5,95.1,9884473
2017-02-07,95.0,95.35,92.9,94.05,9030584
2017-02-08,95.3,97.0,93.8,95.35,17150699
2017-02-09,96.2,96.75,94.4,95.3,8401454
2017-02-10,95.7,95.7,92.4,92.95,12076962
2017-02-13,93.35,93.6,91.4,92.1,7004255
2017-02-14,91.9,92.8,90.65,92.35,5806015
2017-02-15,92.45,94.6,91.3,93.2,15411491
2017-02-16,93.5,94.4,92.7,94.25,6246431
2017-02-17,94.25,94.9,93.25,93.9,4167887
2017-02-20,93.9,94.75,93.2,94.5,4353919
2017-02-21,94.8,96.0,94.0,95.1,6703138
2017-02-22,95.15,95.85,92.0,92.5,8164293
2017-02-23,92.5,92.75,90.2,90.55,12335146
2017-02-27,91.0,91.25,88.65,89.0,10941288
2017-02-28,89.5,91.0,88.95,90.65,6712922
2017-03-01,91.45,91.85,89.0,89.2,8753905
2017-03-02,89.7,90.2,86.95,87.35,7239228
2017-03-03,87.65,88.4,86.2,87.35,6648170
2017-03-06,88.0,90.9,87.5,90.5,10795662
2017-03-07,92.0,93.4,91.0,91.2,21140168
2017-03-08,91.8,91.8,89.3,91.1,8249126
2017-03-09,90.35,91.35,90.0,90.45,4067316
2017-03-10,91.05,91.1,90.0,90.55,4731348
