Date,Open,High,Low,Close,Volume
2016-09-15,1170.0,1175.5,1160.0,1173.55,616127
2016-09-16,1173.6,1181.25,1152.0,1155.15,1136226
2016-09-19,1157.2,1172.0,1157.2,1163.6,550698
2016-09-20,1164.0,1173.7,1162.6,1165.05,966451
2016-09-21,1165.9,1176.0,1165.9,1170.6,615798
2016-09-22,1182.3,1197.0,1175.0,1192.0,913747
2016-09-23,1201.0,1203.5,1185.0,1191.2,668223
2016-09-26,1195.0,1195.0,1174.9,1183.0,817715
2016-09-27,1184.2,1203.0,1184.2,1192.55,532323
2016-09-28,1193.0,1201.0,1188.1,1193.5,566690
2016-09-29,1194.35,1203.35,1160.0,1167.35,1125599
2016-09-30,1167.0,1179.95,1156.0,1160.7,478253
2016-10-03,1170.0,1199.0,1165.4,1193.0,747111
2016-10-04,1202.0,1203.0,1179.4,1192.55,503642
2016-10-05,1188.0,1224.0,1185.0,1208.75,1080751
2016-10-06,1210.1,1222.4,1201.7,1209.5,746006
2016-10-07,1208.0,1210.0,1180.8,1184.6,873434
2016-10-10,1189.0,1219.0,1189.0,1212.65,570180
2016-10-13,1227.0,1227.3,1208.85,1216.6,1391322
2016-10-14,1216.1,1220.0,1202.25,1205.75,354200
2016-10-17,1208.1,1208.4,1178.5,1182.3,365921
2016-10-18,1186.4,1193.35,1165.55,1174.5,1339044
2016-10-19,1180.0,1184.15,1163.25,1169.3,1201677
2016-10-20,1175.0,1177.0,1163.25,1165.75,448785
2016-10-21,1172.9,1172.9,1144.4,1153.5,948987
2016-10-24,1161.15,1162.0,1124.1,1127.5,1287073
2016-10-25,1131.95,1158.3,1117.1,1139.75,3014876
2016-10-26,1153.3,1157.0,1113.9,1123.1,1323248
2016-10-27,1133.0,1134.4,1081.0,1085.45,1764517
2016-10-28,1081.0,1096.95,1066.05,1069.9,1732990
2016-10-30,1080.0,1085.0,1070.0,1075.75,149226
2016-11-01,1077.1,1088.2,1072.0,1076.7,983171
2016-11-02,1067.9,1083.35,1055.35,1062.75,872573
2016-11-03,1058.3,1075.0,1033.45,1037.15,1075107
2016-11-04,1039.2,1054.8,1035.1,1043.05,976222
2016-11-07,1048.0,1059.6,1027.9,1037.35,829767
2016-11-08,1044.75,1060.0,1040.0,1057.0,780312
2016-11-09,999.0,1058.1,952.0,1050.95,2005884
2016-11-10,1056.0,1060.0,1008.0,1011.3,1719037
2016-11-11,1000.0,1004.95,958.0,962.3,2665967
2016-11-15,970.95,970.95,869.0,890.8,5354021
2016-11-16,917.5,945.9,903.0,935.7,3032067
2016-11-17,946.0,947.15,917.0,918.45,1310176
2016-11-18,925.9,928.95,899.85,908.2,1335202
2016-11-21,918.0,918.0,891.75,900.0,1639425
2016-11-22,908.0,912.95,895.0,907.75,1678288
2016-11-23,915.9,946.4,912.0,942.05,2371811
2016-11-24,938.25,965.75,932.05,936.1,2908165
2016-11-25,943.9,953.3,938.8,945.45,1460489
2016-11-28,950.0,968.65,933.5,936.1,1335539
2016-11-29,940.4,967.0,935.2,958.55,2507536
2016-11-30,967.95,974.9,952.55,969.9,4460941
2016-12-01,967.0,968.0,936.0,939.15,1517103
2016-12-02,936.0,936.5,902.0,904.85,2139914
2016-12-05,910.0,941.6,895.25,937.65,1881935
2016-12-06,940.9,944.7,924.15,934.15,889147
2016-12-07,936.0,948.5,928.2,932.2,809152
