Date,Open,High,Low,Close,Volume
2016-09-15,785.0,801.0,778.1,782.6,1594700
2016-09-16,786.0,799.6,783.1,785.15,1464908
2016-09-19,788.95,806.0,788.05,804.85,1902581
2016-09-20,810.0,814.5,801.75,805.95,2023790
2016-09-21,809.9,814.65,803.55,807.65,1511927
2016-09-22,814.0,859.75,811.25,856.95,7694607
2016-09-23,860.45,862.9,832.35,841.15,3445219
2016-09-26,842.0,849.0,835.0,838.7,1622232
2016-09-27,842.0,864.9,839.05,860.55,3242810
2016-09-28,871.1,882.8,866.15,869.35,3685022
2016-09-29,876.0,876.5,784.35,825.25,4591243
2016-09-30,829.9,859.8,818.05,855.45,2665449
2016-10-03,862.0,873.95,860.0,870.0,1421425
2016-10-04,870.0,883.0,864.25,867.85,1140725
2016-10-05,872.95,873.0,860.3,866.35,1320553
2016-10-06,874.0,895.0,851.4,856.85,2835229
2016-10-07,841.6,875.0,834.5,855.8,19421500
2016-10-10,859.95,863.7,849.1,856.75,1248029
2016-10-13,853.95,853.95,817.65,821.05,2225473
2016-10-14,825.2,829.6,813.1,823.55,1777821
2016-10-17,830.0,830.0,806.05,809.5,1185530
2016-10-18,815.0,837.95,812.0,835.05,1672372
2016-10-19,839.45,840.4,825.1,827.95,1120956
2016-10-20,833.05,833.05,822.3,825.85,969072
2016-10-21,827.95,827.95,819.0,822.8,853057
2016-10-24,825.1,825.9,814.7,818.4,1067056
2016-10-25,819.5,831.25,819.0,824.9,1027160
2016-10-26,821.2,823.85,803.05,805.7,1088753
2016-10-27,806.95,815.95,798.6,807.9,1389820
2016-10-28,804.0,825.15,800.25,811.8,2041725
2016-10-30,814.95,825.65,813.0,818.05,330586
2016-11-01,824.8,826.75,806.8,809.1,1108116
2016-11-02,803.0,803.0,786.6,789.5,1080545
2016-11-03,793.0,795.0,767.0,769.3,1491112
2016-11-04,761.1,769.0,707.5,728.1,5798528
2016-11-07,756.0,776.5,750.7,767.3,3012387
2016-11-08,773.0,774.0,749.4,755.65,1288030
2016-11-09,700.15,771.6,680.1,759.65,4672674
2016-11-10,772.25,804.4,772.25,792.2,2889100
2016-11-11,785.0,795.3,767.05,772.2,1891457
2016-11-15,783.5,791.0,728.9,733.9,3077803
2016-11-16,746.0,757.0,698.0,714.25,4153680
2016-11-17,710.1,722.9,704.0,710.1,2864150
2016-11-18,715.05,727.8,712.55,722.4,1791827
2016-11-21,725.0,727.25,710.0,712.2,1648255
2016-11-22,719.9,729.5,704.1,720.15,2012919
2016-11-23,725.95,732.15,716.7,730.2,1674693
2016-11-24,728.9,729.95,705.1,709.65,2520798
2016-11-25,716.9,744.4,712.4,740.65,1948129
2016-11-28,740.5,748.1,732.85,736.85,1677926
2016-11-29,740.7,746.9,730.2,740.55,1504955
2016-11-30,745.2,749.5,736.8,740.8,1432415
2016-12-01,744.9,756.9,738.4,743.15,1251385
2016-12-02,743.45,743.45,717.0,719.55,1457782
2016-12-05,723.5,730.6,714.95,724.2,1033306
2016-12-06,730.0,735.35,726.45,731.25,743112
2016-12-07,735.0,735.0,719.0,722.65,901214
2016-12-08,727.1,727.8,715.5,720.5,1652732
2016-12-09,723.0,727.9,720.0,723.9,1182220
2016-12-12,722.9,723.9,712.05,715.3,751910
2016-12-13,717.0,721.45,715.0,718.6,915784
2016-12-14,718.6,722.0,696.0,702.45,3022135
2016-12-15,693.55,708.0,689.05,694.25,1875203
2016-12-16,683.85,699.5,664.1,690.65,4824289
2016-12-19,690.0,712.45,689.35,698.7,2793945
2016-12-20,686.1,694.7,669.35,672.65,5039080
2016-12-21,682.0,687.3,663.55,665.1,2930322
2016-12-22,667.95,670.5,655.65,659.0,1497015
2016-12-23,663.9,667.15,645.35,647.55,2210791
2016-12-26,646.0,646.0,621.9,624.5,2718624
2016-12-27,627.0,649.0,623.0,644.7,1851141
2016-12-28,648.95,660.0,641.35,651.75,1720190
2016-12-29,654.3,655.5,644.6,647.2,1232704
2016-12-30,655.0,672.5,652.0,669.3,2681228
2017-01-02,673.0,678.8,661.1,675.5,1185520
2017-01-03,674.0,675.0,666.35,672.2,794617
2017-01-04,675.0,678.95,664.2,666.95,1108901
2017-01-05,670.0,688.7,666.4,686.25,2070874
2017-01-06,686.5,710.0,683.0,692.4,1493444
