Date,Open,High,Low,Close,Volume
2016-09-15,601.05,603.0,583.3,588.75,7145326
2016-09-16,592.25,612.4,592.25,602.2,19309804
2016-09-19,603.0,606.0,592.85,594.35,5311980
2016-09-20,598.8,599.0,589.15,592.95,4538973
2016-09-21,596.5,600.35,594.5,598.9,5480087
2016-09-22,610.0,612.0,590.0,591.8,10205715
2016-09-23,595.6,596.1,555.7,557.45,30222177
2016-09-26,559.1,560.0,545.3,547.4,14880674
2016-09-27,551.0,554.25,538.7,541.0,9085199
2016-09-28,543.15,550.65,540.5,549.1,10240083
2016-09-29,554.45,554.85,523.45,539.3,16581655
2016-09-30,535.0,547.15,530.6,541.35,5781645
2016-10-03,542.95,552.3,542.9,550.9,5276340
2016-10-04,553.0,553.35,541.0,546.6,5690321
2016-10-05,550.0,550.65,533.25,535.7,8222912
2016-10-06,531.7,535.0,524.05,530.8,10646794
2016-10-07,530.0,539.4,530.0,533.85,7702773
2016-10-10,538.0,538.75,530.3,531.55,3261598
2016-10-13,529.0,529.9,513.2,518.8,10008090
2016-10-14,521.0,525.0,516.8,520.65,4314775
2016-10-17,524.15,533.8,517.1,519.0,7930102
2016-10-18,523.9,534.05,518.4,532.45,13532992
2016-10-19,535.65,542.0,529.1,535.55,10754624
2016-10-20,537.1,544.85,536.0,540.05,6969699
2016-10-21,538.7,539.2,524.2,526.1,6526349
2016-10-24,529.45,530.0,517.55,521.55,10660533
2016-10-25,520.9,531.5,520.1,529.1,7356952
2016-10-26,499.0,502.0,484.5,487.55,38780250
2016-10-27,485.0,489.6,477.3,485.65,17198496
2016-10-28,486.9,494.0,484.55,486.9,12688495
2016-10-30,490.0,491.0,486.2,487.7,937701
2016-11-01,488.05,488.05,474.45,475.8,10425548
2016-11-02,469.8,480.5,468.1,476.8,9885845
2016-11-03,475.5,479.8,473.65,475.85,6631504
2016-11-04,474.4,485.7,474.2,478.7,10868004
2016-11-07,484.75,489.45,482.05,485.4,6990315
2016-11-08,487.05,492.45,483.25,490.85,7460548
2016-11-09,459.0,493.95,458.95,487.55,12824970
2016-11-10,494.0,513.6,494.0,506.95,11433458
2016-11-11,505.0,512.7,495.0,498.75,7085764
2016-11-15,498.0,503.0,476.75,479.3,11822835
2016-11-16,486.85,487.35,470.1,472.7,10704594
2016-11-17,474.35,484.4,471.35,474.1,10250008
2016-11-18,478.0,478.9,472.0,473.45,4572569
2016-11-21,475.9,476.5,463.05,465.7,6217176
2016-11-22,468.05,475.5,458.05,470.75,7313923
2016-11-23,475.0,482.55,469.15,480.5,6477616
2016-11-24,479.7,479.7,466.05,468.2,8199524
2016-11-25,472.25,473.0,465.3,471.2,4674455
2016-11-28,464.0,477.6,461.15,472.9,8268812
