Date,Open,High,Low,Close,Volume
2016-09-15,2971.0,2978.0,2925.15,2931.75,232030
2016-09-16,2932.9,3031.0,2932.9,2981.6,349528
2016-09-19,2984.85,3012.3,2940.0,2945.85,192976
2016-09-20,2923.8,2956.0,2875.0,2886.95,315212
2016-09-21,2889.0,2966.5,2857.05,2902.65,472910
2016-09-22,2936.0,2972.95,2916.65,2926.75,271251
2016-09-23,2926.0,2954.2,2912.6,2929.65,334216
2016-09-26,2924.0,2933.0,2878.0,2891.6,287196
2016-09-27,2918.0,2927.8,2870.0,2875.8,176614
2016-09-28,2879.0,2925.0,2871.55,2913.9,302892
2016-09-29,2941.0,2953.95,2835.2,2846.4,480296
2016-09-30,2857.95,2857.95,2816.8,2827.6,229858
2016-10-03,2830.0,2908.35,2830.0,2880.9,281923
2016-10-04,2903.0,2917.0,2876.05,2894.2,260010
2016-10-05,2900.0,2910.0,2845.8,2857.95,188728
2016-10-06,2869.05,2869.05,2811.2,2823.05,176396
2016-10-07,2827.05,2900.0,2785.0,2883.5,325112
2016-10-10,2892.0,2906.75,2856.1,2876.4,121601
2016-10-13,2865.1,2880.4,2815.05,2825.25,185672
2016-10-14,2838.0,2849.0,2792.4,2798.3,181609
2016-10-17,2805.0,2834.9,2743.65,2753.85,194876
2016-10-18,2756.25,2810.0,2755.55,2792.65,198776
2016-10-19,2801.3,2820.0,2768.85,2787.95,305702
2016-10-20,2797.25,2824.6,2790.0,2796.55,151814
2016-10-21,2810.0,2815.0,2782.0,2802.35,142333
2016-10-24,2808.5,2814.6,2785.1,2790.0,148446
2016-10-25,2797.0,2811.5,2786.0,2801.55,207170
2016-10-26,2795.0,2845.0,2790.05,2823.95,157120
2016-10-27,2824.9,2833.9,2751.3,2761.5,214627
2016-10-28,2764.0,2857.5,2762.0,2848.1,777805
2016-10-30,2875.0,2875.0,2815.0,2830.4,34039
2016-11-01,2830.4,2864.0,2819.6,2825.6,337967
2016-11-02,2818.7,2829.9,2770.0,2818.8,297340
2016-11-03,2810.0,2852.95,2790.0,2829.85,354196
2016-11-04,2829.9,2850.0,2805.5,2814.3,223620
2016-11-07,2830.0,2849.9,2781.0,2824.1,286013
2016-11-08,2834.0,2875.25,2819.25,2865.0,278172
2016-11-09,2746.0,2823.95,2658.1,2778.55,605617
2016-11-10,2790.0,2846.8,2710.6,2726.6,294318
2016-11-11,2709.1,2768.0,2633.0,2647.6,277559
2016-11-15,2632.0,2659.0,2510.35,2576.1,410208
2016-11-16,2601.0,2662.95,2570.2,2605.65,493925
2016-11-17,2590.0,2665.0,2522.0,2549.8,331352
2016-11-18,2556.0,2579.95,2545.0,2574.8,176488
2016-11-21,2575.0,2584.9,2510.0,2524.4,271829
2016-11-22,2540.0,2614.8,2514.85,2599.5,301790
2016-11-23,2639.7,2639.7,2571.0,2600.35,253894
2016-11-24,2591.0,2658.0,2550.0,2630.9,609817
2016-11-25,2620.0,2646.0,2603.15,2613.05,238138
2016-11-28,2619.95,2665.0,2612.0,2637.0,245346
2016-11-29,2640.8,2687.0,2635.05,2664.15,254430
