Date,Open,High,Low,Close,Volume
2016-09-15,1843.05,1896.0,1833.05,1864.0,10604
2016-09-16,1863.95,1880.0,1760.35,1796.65,125326
2016-09-19,1836.0,1852.95,1803.25,1843.6,23067
2016-09-20,1830.05,1850.35,1830.05,1839.95,19886
2016-09-21,1840.0,1893.0,1840.0,1849.95,35042
2016-09-22,1870.0,1870.05,1820.05,1840.1,29137
2016-09-23,1868.9,1897.05,1843.4,1872.0,67676
2016-09-26,1898.95,1898.95,1861.6,1880.25,22521
2016-09-27,1882.05,1953.5,1882.05,1905.05,85088
2016-09-28,1908.0,1964.0,1908.0,1950.0,78702
2016-09-29,1955.0,1965.0,1836.6,1905.0,47696
2016-09-30,1905.0,1925.0,1865.0,1909.6,11327
2016-10-03,1871.0,1952.0,1871.0,1938.2,43295
2016-10-04,1956.0,2000.0,1935.0,1991.7,30128
2016-10-05,2009.0,2241.95,1999.0,2130.4,134855
2016-10-06,2147.0,2197.0,2070.2,2094.75,43960
2016-10-07,2118.0,2120.0,2048.0,2053.8,41627
2016-10-10,2074.9,2074.9,1990.0,2005.8,144268
2016-10-13,2018.0,2023.0,1980.0,2018.45,27137
2016-10-14,2021.6,2109.0,2005.1,2086.85,68810
2016-10-17,2087.05,2169.85,2085.1,2100.0,63972
2016-10-18,2124.0,2187.0,2082.6,2106.6,37941
2016-10-19,2120.0,2138.7,2095.0,2106.6,18786
2016-10-20,2119.9,2143.0,2104.3,2131.7,51248
2016-10-21,2131.0,2199.0,2115.05,2172.6,44807
2016-10-24,2156.15,2189.95,2126.0,2155.0,27046
2016-10-25,2145.0,2197.95,2139.95,2169.15,68630
2016-10-26,2184.65,2238.95,2143.05,2159.15,63416
2016-10-27,2160.0,2175.0,2118.9,2140.0,30422
2016-10-28,2151.2,2188.0,2151.2,2177.4,29644
2016-10-30,2200.0,2225.0,2183.75,2211.65,11612
2016-11-01,2245.0,2245.0,2173.6,2190.7,33513
2016-11-02,2170.0,2225.0,2145.0,2202.4,18051
2016-11-03,2204.9,2210.0,2180.0,2195.0,32120
