Date,Open,High,Low,Close,Volume
2016-09-15,442.0,454.05,435.55,438.18,31131
2016-09-16,440.0,443.8,409.58,414.2,820143
2016-09-19,417.48,430.0,417.48,423.72,44707
2016-09-20,426.98,427.0,412.52,415.85,37028
2016-09-21,413.52,419.5,407.52,412.6,57485
2016-09-22,422.0,422.0,411.6,418.62,56130
2016-09-23,418.0,432.0,417.28,426.1,80431
2016-09-26,425.62,429.22,421.28,425.55,31915
2016-09-27,430.25,431.2,422.88,427.9,27320
2016-09-28,430.0,449.95,427.5,445.82,269764
2016-09-29,449.3,477.45,428.32,456.88,253386
2016-09-30,454.95,517.25,452.58,506.95,205483
2016-10-03,511.0,522.0,491.78,507.12,102273
2016-10-04,507.7,555.5,507.7,548.33,231898
2016-10-05,548.0,602.4,526.3,572.65,433036
2016-10-06,573.28,592.0,561.5,573.25,164002
2016-10-07,574.98,578.5,556.02,558.48,65041
2016-10-10,565.15,570.0,545.12,551.33,48760
2016-10-13,553.85,553.85,520.0,536.62,103892
2016-10-14,532.88,559.5,525.0,552.22,106747
2016-10-17,552.5,557.5,537.52,539.38,61714
2016-10-18,544.48,544.48,526.0,531.7,56351
2016-10-19,537.2,537.2,524.05,529.78,41026
2016-10-20,530.0,538.92,512.75,518.67,39620
2016-10-21,520.0,536.0,519.48,523.2,73357
2016-10-24,523.5,554.0,522.5,544.2,122230
2016-10-25,542.0,549.2,540.05,544.22,31891
2016-10-26,549.4,549.4,530.83,540.38,25138
2016-10-27,539.5,544.0,527.5,531.25,14801
2016-10-28,526.52,539.98,526.5,530.9,7633
2016-10-30,534.88,537.0,527.52,532.0,1978
2016-11-01,538.98,545.0,518.25,524.28,31177
2016-11-02,524.0,530.0,505.25,509.52,23239
2016-11-03,510.5,535.0,506.02,523.3,42500
2016-11-04,520.75,527.5,493.02,495.3,47497
2016-11-07,504.35,516.92,496.5,502.92,22189
2016-11-08,505.02,517.38,502.2,507.2,25256
2016-11-09,493.0,522.0,406.0,511.48,43300
2016-11-10,522.5,529.0,515.0,517.5,18098
2016-11-11,527.45,527.45,491.55,499.15,498035
2016-11-15,500.02,514.0,457.95,482.22,31389
2016-11-16,482.5,500.82,463.42,496.78,28372
2016-11-17,492.48,498.0,475.0,482.28,20057
2016-11-18,495.0,497.0,473.02,492.28,31346
2016-11-21,495.65,496.0,477.5,481.22,24257
2016-11-22,475.0,490.5,457.52,483.18,24933
2016-11-23,490.0,490.5,459.22,463.65,39499
2016-11-24,469.3,473.0,451.0,462.12,64137
2016-11-25,462.5,468.0,452.62,463.1,29087
2016-11-28,472.5,472.5,458.12,462.78,19124
2016-11-29,467.48,467.5,455.98,462.78,42285
2016-11-30,465.02,504.0,465.02,496.38,286490
2016-12-01,530.75,595.65,530.75,595.15,886590
2016-12-02,600.5,642.88,600.48,608.5,837774
2016-12-05,612.25,624.5,600.5,606.45,217395
2016-12-06,605.0,633.95,595.05,615.15,244663
2016-12-07,617.0,624.0,594.25,599.83,95121
2016-12-08,601.5,615.0,597.55,600.08,95789
2016-12-09,602.5,607.0,580.0,583.83,68516
2016-12-12,585.0,605.02,583.15,595.5,50556
2016-12-13,591.0,605.0,589.2,596.62,69643
2016-12-14,595.33,599.42,570.0,578.42,34190
2016-12-15,570.5,582.5,565.05,573.98,41272
2016-12-16,574.5,577.62,547.62,551.92,78868
2016-12-19,548.5,572.45,548.5,565.4,56500
2016-12-20,569.48,569.48,554.42,559.12,23641
2016-12-21,563.98,564.0,540.52,544.25,23818
2016-12-22,547.0,547.0,523.1,525.28,54125
2016-12-23,529.9,530.0,500.8,524.48,94718
2016-12-26,517.5,542.5,514.15,541.7,100973
