Date,Open,High,Low,Close,Volume
2016-09-15,121.5,121.5,117.5,119.15,4407968
2016-09-16,120.3,123.4,116.1,116.55,8715480
2016-09-19,118.4,118.6,116.6,117.15,3379242
2016-09-20,117.8,118.45,116.4,116.8,3136685
2016-09-21,117.5,117.9,115.2,115.85,2754127
2016-09-22,119.6,119.9,117.2,119.65,4352403
2016-09-23,120.0,120.5,118.2,118.45,4061303
2016-09-26,117.95,119.75,117.1,117.7,3760199
2016-09-27,118.3,118.75,116.1,116.55,3026909
2016-09-28,116.7,121.15,116.6,120.0,4807962
2016-09-29,121.2,121.8,109.55,110.15,9674968
2016-09-30,110.4,114.0,108.0,112.5,6582397
2016-10-03,113.95,116.8,113.7,116.4,3656595
2016-10-04,117.0,121.3,115.4,119.05,6860647
2016-10-05,120.0,121.85,119.05,119.65,5434949
2016-10-06,119.4,120.45,115.7,116.65,4672771
2016-10-07,117.25,118.25,116.0,116.95,4269812
2016-10-10,117.7,118.5,115.75,116.1,2102516
2016-10-13,115.0,115.3,109.45,111.0,5859136
2016-10-14,111.6,112.9,110.65,112.05,3575069
2016-10-17,112.3,113.55,110.15,110.7,3359840
2016-10-18,111.5,113.3,110.2,112.7,3218947
2016-10-19,112.95,113.85,112.3,112.8,2592986
2016-10-20,112.95,115.8,112.95,114.45,4552538
2016-10-21,114.45,114.5,112.15,113.35,3036755
2016-10-24,114.1,115.9,113.9,114.95,3197241
2016-10-25,115.15,115.65,113.65,114.05,2253616
2016-10-26,113.6,115.7,112.6,114.15,3439597
2016-10-27,113.1,114.45,112.05,113.55,2724206
2016-10-28,113.9,115.75,113.55,114.85,2562939
2016-10-30,115.4,115.45,114.15,114.65,301355
2016-11-01,114.3,115.5,113.3,113.85,1460779
2016-11-02,112.4,112.5,108.7,109.1,4083659
2016-11-03,108.6,110.75,108.15,108.75,2541459
2016-11-04,109.75,109.75,105.7,106.25,2632923
2016-11-07,107.15,109.4,106.7,108.7,2629608
2016-11-08,109.0,109.9,107.8,109.0,2056221
2016-11-09,102.0,110.65,99.65,109.75,6562333
2016-11-10,112.0,125.2,111.0,124.15,21205199
2016-11-11,122.9,128.75,120.75,122.05,13150957
2016-11-15,123.95,126.9,118.1,123.25,11054523
2016-11-16,126.6,127.4,120.0,121.1,6221454
2016-11-17,121.55,123.65,118.85,119.8,4435328
2016-11-18,120.6,124.0,119.05,121.5,4781031
2016-11-21,122.95,123.4,116.4,117.15,7795290
2016-11-22,118.55,118.9,114.15,117.15,5097412
2016-11-23,118.0,118.6,116.2,117.3,2683883
2016-11-24,116.8,120.6,115.5,120.05,6253340
2016-11-25,121.5,122.95,120.15,121.4,3886441
2016-11-28,117.9,121.0,116.3,117.9,4104514
2016-11-29,118.2,119.6,115.75,116.45,3325502
2016-11-30,116.9,120.0,116.5,119.5,4203214
2016-12-01,119.0,120.8,116.35,116.8,3086047
2016-12-02,115.0,118.65,114.25,116.2,4700250
2016-12-05,115.85,118.0,115.25,117.4,3083909
2016-12-06,118.0,118.4,116.55,117.0,2531825
2016-12-07,117.6,118.1,113.5,114.25,4076370
2016-12-08,115.0,116.65,114.4,114.7,2995595
2016-12-09,115.85,117.5,114.7,117.05,3846596
2016-12-12,117.7,117.7,115.1,115.65,2082108
2016-12-13,115.9,116.3,114.25,115.0,1879647
2016-12-14,115.0,115.6,113.7,113.9,1668227
2016-12-15,112.5,115.45,112.1,114.0,2042204
2016-12-16,114.5,114.75,113.0,113.5,1268045
2016-12-19,113.5,113.85,111.85,112.5,1592113
2016-12-20,112.4,113.25,109.7,110.4,2292476
2016-12-21,110.65,111.4,108.6,109.1,2649256
2016-12-22,108.75,109.45,107.3,107.65,1837748
2016-12-23,107.9,108.65,106.75,107.05,1937319
2016-12-26,106.7,106.75,102.95,103.5,2024903
2016-12-27,103.05,105.0,102.75,104.75,1819990
2016-12-28,105.3,107.15,103.85,104.25,2370261
2016-12-29,103.35,106.85,102.75,105.35,3680668
2016-12-30,106.3,108.4,105.5,107.25,3067129
2017-01-02,107.75,108.25,105.75,107.45,1948756
2017-01-03,107.45,109.4,106.65,108.35,1945442
2017-01-04,108.25,109.0,107.25,107.7,1551444
2017-01-05,108.4,109.9,108.2,109.55,1681563
2017-01-06,109.9,111.9,109.7,110.55,2126290
2017-01-09,111.25,111.8,110.1,111.2,1217696
2017-01-10,111.5,111.95,110.3,111.25,1346360
2017-01-11,112.0,114.8,111.75,114.25,3021697
2017-01-12,115.1,115.4,113.35,114.15,1848355
2017-01-13,114.8,114.8,112.85,114.0,1771669
2017-01-16,114.0,115.7,113.75,115.35,1950670
2017-01-17,115.8,116.75,114.4,115.05,1886859
2017-01-18,115.1,116.2,114.45,115.2,1497600
2017-01-19,115.4,116.65,114.1,115.6,1890361
2017-01-20,115.25,116.1,112.05,112.35,1972392
2017-01-23,111.95,114.5,111.15,114.15,1539471
2017-01-24,114.55,115.7,114.25,114.85,1925095
2017-01-25,115.6,115.6,113.45,115.05,2931315
2017-01-27,116.5,118.25,115.5,117.05,4975696
2017-01-30,116.55,123.6,115.7,120.3,7180324
2017-01-31,120.0,120.4,117.15,117.65,2200898
2017-02-01,117.9,121.6,117.4,121.15,4748611
2017-02-02,121.75,126.2,119.4,125.25,5086596
2017-02-03,125.95,133.9,125.55,132.95,10877464
2017-02-06,134.75,135.75,131.05,132.5,4918430
2017-02-07,132.35,135.8,130.4,133.25,5420168
2017-02-08,133.95,133.95,129.5,132.7,3141295
2017-02-09,133.8,138.5,130.5,136.85,16251543
2017-02-10,137.95,138.25,133.1,133.9,5121092
2017-02-13,134.0,134.25,126.6,128.75,5892227
2017-02-14,128.9,129.9,126.3,128.6,3138195
2017-02-15,128.5,129.3,123.45,123.75,5027701
2017-02-16,124.55,127.25,123.2,125.45,4237844
2017-02-17,126.75,127.0,123.9,124.5,2633546
2017-02-20,124.8,126.6,123.3,126.0,2095807
2017-02-21,127.2,130.1,125.7,128.1,3124184
2017-02-22,129.0,129.75,127.05,127.75,2857954
2017-02-23,127.5,129.0,126.4,127.5,3811654
2017-02-27,127.7,127.7,124.1,125.15,2408075
2017-02-28,125.35,129.3,125.15,128.8,3349979
2017-03-01,128.6,131.3,128.05,128.75,2979313
2017-03-02,129.9,130.7,125.3,125.95,3073889
2017-03-03,125.65,127.0,125.15,125.75,1601098
2017-03-06,126.25,129.25,126.2,128.35,3022971
2017-03-07,128.8,128.85,125.85,126.2,1915896
2017-03-08,126.2,127.3,123.3,125.1,3447405
2017-03-09,124.5,126.1,123.7,124.25,1870916
2017-03-10,125.2,125.8,122.85,123.45,1659841
2017-03-14,127.85,127.85,123.5,123.9,2748605
2017-03-15,124.6,128.7,124.0,126.25,3345607
2017-03-16,127.5,129.15,126.4,128.35,2958467
2017-03-17,129.0,129.05,126.0,126.95,2423037
2017-03-20,127.3,129.9,126.35,128.9,2994945
2017-03-21,129.25,131.4,127.5,128.6,3576953
2017-03-22,127.35,127.65,125.55,125.8,2230088
2017-03-23,126.55,127.2,125.3,126.5,1939771
2017-03-24,126.8,135.8,126.8,133.05,12793047
2017-03-27,132.25,136.85,132.25,135.9,6225880
2017-03-28,136.8,137.75,135.15,135.95,3249704
2017-03-29,137.0,140.45,135.1,138.4,6351155
2017-03-30,138.4,141.4,138.0,138.5,7554582
2017-03-31,139.35,142.4,137.4,139.25,6049376
2017-04-03,139.8,140.65,138.5,139.4,2357992
2017-04-05,139.9,144.2,138.7,143.0,5477904
2017-04-06,142.6,143.6,140.8,141.9,3485791
2017-04-07,141.0,144.4,139.7,141.1,6278796
2017-04-10,141.0,146.3,140.2,145.6,5179845
2017-04-11,145.6,150.4,145.0,149.65,5115360
2017-04-12,149.65,150.7,145.1,147.65,6028649
2017-04-13,146.5,151.45,146.5,149.35,3733086
