Date,Open,High,Low,Close,Volume
2016-09-15,526.05,534.3,520.05,532.05,534254
2016-09-16,533.3,537.2,524.45,526.25,508804
2016-09-19,532.0,532.0,519.1,523.35,618237
2016-09-20,523.0,527.0,519.0,521.55,417644
2016-09-21,520.0,520.0,508.35,510.3,615004
2016-09-22,512.5,516.4,507.65,511.5,897304
2016-09-23,512.0,520.7,502.45,506.65,867894
2016-09-26,506.0,506.0,498.0,501.7,1052110
2016-09-27,501.9,507.05,498.0,499.9,455900
2016-09-28,499.95,505.4,499.5,503.35,280004
2016-09-29,506.0,508.5,475.85,483.35,831212
2016-09-30,475.25,496.65,475.25,490.3,458338
2016-10-03,493.0,501.7,491.15,496.55,237396
2016-10-04,498.0,499.6,487.15,489.05,353932
2016-10-05,490.0,496.35,485.5,492.3,447612
2016-10-06,494.0,496.5,483.0,486.65,294744
2016-10-07,487.0,496.2,485.45,494.65,534863
2016-10-10,497.0,507.5,495.25,501.05,567161
2016-10-13,500.75,505.75,492.3,496.2,536169
2016-10-14,495.0,498.45,484.75,486.8,714482
2016-10-17,485.0,486.8,480.6,482.55,279908
2016-10-18,485.0,490.6,482.25,488.45,274364
2016-10-19,491.5,495.9,486.5,495.15,302068
2016-10-20,497.4,501.65,489.0,494.9,462421
2016-10-21,494.5,497.8,491.1,492.55,238237
2016-10-24,495.5,496.35,487.2,488.5,234510
2016-10-25,491.0,491.95,480.6,481.9,437832
2016-10-26,482.0,485.9,479.0,481.1,414790
2016-10-27,481.1,487.35,469.8,482.95,598318
2016-10-28,483.0,486.0,479.25,481.3,264991
2016-10-30,482.7,487.4,480.0,481.6,114251
2016-11-01,481.8,486.4,481.5,483.85,240027
2016-11-02,481.95,481.95,470.2,471.6,233375
2016-11-03,474.45,476.1,458.15,459.3,364807
2016-11-04,459.35,469.4,448.8,455.6,553656
2016-11-07,462.0,465.3,457.0,460.65,341992
2016-11-08,462.8,466.65,460.65,463.45,311047
2016-11-09,439.9,455.2,422.35,454.05,486585
2016-11-10,456.05,465.8,456.05,461.55,311375
2016-11-11,459.4,460.4,428.5,433.65,695754
2016-11-15,435.0,435.9,419.4,424.2,703415
2016-11-16,428.0,433.0,415.0,428.6,527833
2016-11-17,427.0,431.8,421.0,427.35,337162
2016-11-18,426.95,429.45,420.0,425.3,319233
2016-11-21,427.85,427.9,413.5,419.2,465016
2016-11-22,420.0,423.4,415.25,419.1,207965
2016-11-23,421.0,424.9,415.0,417.15,266454
2016-11-24,418.0,418.0,400.1,402.55,1501914
2016-11-25,403.8,417.9,399.2,412.95,1074669
2016-11-28,411.4,414.6,408.55,411.9,354806
2016-11-29,411.95,418.0,411.25,412.75,460010
2016-11-30,415.9,419.9,413.0,415.85,499151
2016-12-01,415.9,417.05,410.1,414.45,411171
2016-12-02,413.1,417.0,409.0,411.9,673388
2016-12-05,409.8,411.0,404.0,410.0,462862
