Date,Open,High,Low,Close,Volume
2016-09-15,109.07,111.18,108.45,110.84,372087
2016-09-16,111.55,112.18,109.6,110.17,336653
2016-09-19,111.18,112.73,111.0,112.33,339291
2016-09-20,112.91,113.96,112.05,112.55,449172
2016-09-21,113.09,114.09,112.29,113.2,378747
2016-09-22,114.45,114.53,113.27,114.22,379354
2016-09-23,114.55,115.91,114.14,114.67,796068
2016-09-26,113.91,115.91,113.64,115.02,812886
2016-09-27,115.27,116.74,115.27,116.34,867008
2016-09-28,117.09,117.09,116.09,116.45,398779
2016-09-29,116.77,118.09,111.47,112.03,1722899
2016-09-30,113.05,114.04,112.03,113.16,380990
2016-10-03,113.16,116.36,113.16,115.72,257048
2016-10-04,116.62,116.62,114.79,115.44,179207
2016-10-05,116.25,116.25,115.18,115.73,358428
2016-10-06,115.82,116.86,115.06,115.65,354649
2016-10-07,115.65,116.02,114.56,115.24,158395
2016-10-10,115.9,115.91,113.91,114.0,179324
2016-10-13,114.4,114.4,112.73,113.1,209682
2016-10-14,113.45,115.89,112.84,115.41,359676
2016-10-17,116.35,116.36,114.82,114.98,290482
2016-10-18,115.18,116.8,114.11,116.53,405789
2016-10-19,116.82,117.22,115.25,115.69,305809
2016-10-20,115.64,116.47,115.47,115.99,179440
2016-10-21,116.0,116.35,114.32,114.92,106626
2016-10-24,115.71,116.36,114.93,115.32,103526
2016-10-25,115.36,115.82,114.55,115.29,64073
2016-10-26,115.29,115.45,114.11,114.49,78341
2016-10-27,113.82,115.36,113.82,114.49,173412
2016-10-28,118.18,120.68,116.73,118.29,1264625
2016-10-30,119.09,121.45,118.82,120.67,176839
2016-11-01,120.91,122.15,120.0,120.93,490931
2016-11-02,119.64,119.64,118.16,118.35,207674
2016-11-03,118.45,120.39,118.28,118.67,289943
2016-11-04,119.35,119.87,116.93,118.16,332139
2016-11-07,119.18,120.35,118.07,118.36,152131
2016-11-08,118.89,120.73,118.89,119.94,157479
2016-11-09,115.36,119.4,109.47,118.51,355291
2016-11-10,119.64,125.82,119.49,123.95,307372
2016-11-11,122.45,123.48,118.11,118.37,203487
2016-11-15,119.76,119.76,115.18,117.21,236641
2016-11-16,118.91,120.36,116.58,118.76,228017
