Date,Open,High,Low,Close,Volume
2016-09-15,263.75,265.4,260.2,261.15,582966
2016-09-16,262.4,267.0,262.35,265.55,838924
2016-09-19,265.9,268.05,262.6,263.95,223556
2016-09-20,264.0,266.45,263.55,265.55,293918
2016-09-21,265.0,265.9,261.35,262.25,111869
2016-09-22,264.85,265.95,260.5,261.65,224195
2016-09-23,262.95,264.5,259.0,260.2,174693
2016-09-26,260.2,262.2,255.5,256.7,171052
2016-09-27,256.7,264.0,255.3,260.9,338028
2016-09-28,262.25,267.5,262.15,264.9,451038
2016-09-29,265.65,266.5,251.5,256.45,359989
2016-09-30,258.95,261.7,251.3,261.05,172319
2016-10-03,265.0,265.55,258.25,263.8,347351
2016-10-04,263.9,266.45,261.55,263.3,233914
2016-10-05,264.0,269.95,262.35,266.4,595078
2016-10-06,266.2,272.85,265.75,268.55,360559
2016-10-07,268.55,269.85,263.5,264.45,95204
2016-10-10,265.0,269.9,263.3,266.55,134139
2016-10-13,266.55,270.0,261.6,264.15,326625
2016-10-14,266.4,266.75,262.1,264.3,93608
2016-10-17,265.0,266.55,261.6,263.35,326820
2016-10-18,266.9,271.9,265.1,267.9,863032
2016-10-19,269.5,269.5,264.0,266.55,207091
2016-10-20,266.8,268.8,264.0,264.45,183725
2016-10-21,265.0,266.0,262.0,263.35,168502
2016-10-24,263.5,264.65,258.1,258.85,463413
2016-10-25,259.9,261.45,257.0,257.8,241142
2016-10-26,260.4,263.55,256.75,260.1,250004
2016-10-27,263.0,263.0,257.5,259.5,154778
2016-10-28,260.8,261.35,253.75,257.4,218644
2016-10-30,260.85,260.85,257.05,258.35,67099
2016-11-01,259.8,265.0,259.0,260.85,419379
2016-11-02,258.0,261.5,255.0,260.1,251911
2016-11-03,262.9,268.0,256.0,260.2,975266
2016-11-04,261.5,270.5,255.0,259.75,1394742
2016-11-07,261.55,264.9,254.0,255.65,299984
2016-11-08,256.0,257.9,244.35,245.75,778057
2016-11-09,225.0,236.25,196.6,234.85,951136
2016-11-10,241.0,245.4,228.0,229.45,463920
2016-11-11,229.0,229.0,214.0,215.15,777295
2016-11-15,215.2,216.75,195.0,197.6,864313
2016-11-16,202.0,205.7,196.1,198.65,573288
2016-11-17,200.0,208.9,200.0,202.35,492404
2016-11-18,202.6,203.95,184.85,187.1,1879909
2016-11-21,190.0,191.8,179.25,180.25,1112787
2016-11-22,182.0,187.65,177.95,185.4,1051360
2016-11-23,186.5,200.65,185.55,199.4,1084808
2016-11-24,199.0,214.95,198.05,212.3,1354252
2016-11-25,215.5,222.9,215.5,220.25,1437650
2016-11-28,220.0,228.5,217.5,225.8,799157
2016-11-29,227.5,243.15,227.05,241.15,1816308
2016-11-30,242.0,245.45,222.1,228.85,3890021
2016-12-01,230.95,236.65,222.1,234.1,865187
2016-12-02,229.0,229.85,223.5,225.2,425386
2016-12-05,224.0,225.35,215.85,216.9,680476
2016-12-06,218.55,222.1,216.3,218.4,955996
2016-12-07,219.0,229.3,218.75,227.9,922755
2016-12-08,229.5,231.4,224.5,225.9,547021
2016-12-09,226.1,228.25,219.5,220.15,340810
2016-12-12,222.0,222.0,206.15,208.5,830869
2016-12-13,208.0,209.9,199.0,199.45,1134945
2016-12-14,201.35,204.5,200.0,200.3,908899
2016-12-15,199.0,203.15,199.0,199.75,428840
2016-12-16,200.15,203.5,197.15,201.85,527607
2016-12-19,201.9,202.6,197.0,197.3,676843
2016-12-20,197.8,199.2,193.15,194.2,1327391
2016-12-21,196.8,197.0,194.0,195.05,458151
2016-12-22,194.5,204.0,194.5,202.05,715542
2016-12-23,204.0,205.85,200.0,202.6,583935
2016-12-26,201.6,201.9,192.3,193.1,517900
2016-12-27,194.6,196.4,190.0,195.75,300146
2016-12-28,196.95,206.8,196.55,204.8,694053
2016-12-29,206.0,210.5,205.75,209.55,528092
2016-12-30,210.1,214.0,208.0,210.55,315748
2017-01-02,212.0,213.75,209.05,211.55,174503
2017-01-03,212.9,215.0,210.35,213.45,206133
2017-01-04,213.9,218.65,213.55,214.65,332519
2017-01-05,215.0,217.0,213.0,213.95,996063
2017-01-06,214.05,220.55,214.05,219.45,614227
2017-01-09,220.0,226.75,218.5,225.55,505937
2017-01-10,226.0,226.9,218.45,219.75,464699
2017-01-11,220.8,222.25,218.0,218.5,369515
2017-01-12,220.9,220.9,214.25,214.95,235124
2017-01-13,216.6,216.6,213.55,213.95,174119
2017-01-16,213.95,215.85,211.9,213.15,175316
2017-01-17,216.0,216.0,213.15,214.85,336822
2017-01-18,216.3,216.55,214.2,214.7,189147
2017-01-19,215.9,215.9,212.1,213.2,144608
2017-01-20,213.2,214.0,210.0,210.4,244711
2017-01-23,212.0,212.0,207.25,209.5,178524
2017-01-24,211.0,211.65,209.0,210.05,263512
2017-01-25,211.1,214.85,210.55,213.2,353785
2017-01-27,215.0,216.0,210.25,211.15,1101216
2017-01-30,212.0,213.8,211.6,212.85,238459
2017-01-31,212.8,213.45,210.0,211.5,142905
2017-02-01,212.0,215.7,209.2,212.8,509570
2017-02-02,213.0,223.5,213.0,222.2,1333008
2017-02-03,224.2,225.0,222.1,223.1,522144
2017-02-06,224.95,227.8,218.6,219.9,991589
2017-02-07,221.0,221.45,215.0,216.7,538284
2017-02-08,217.5,224.45,217.4,222.9,565837
2017-02-09,223.7,226.0,220.7,225.4,644509
2017-02-10,227.3,231.5,226.1,229.8,1123260
2017-02-13,225.1,228.0,218.5,222.4,522512
2017-02-14,223.0,225.0,220.55,223.15,212799
2017-02-15,224.0,225.0,216.6,222.35,292773
2017-02-16,224.9,227.0,223.05,224.1,228731
2017-02-17,224.6,225.0,221.0,224.05,187572
2017-02-20,224.8,225.05,221.8,224.0,161561
2017-02-21,224.8,225.55,223.5,224.35,257482
2017-02-22,225.6,233.9,224.15,228.45,1072517
2017-02-23,229.7,232.2,226.4,231.45,333386
2017-02-27,233.0,235.0,229.55,233.0,326414
2017-02-28,233.0,236.65,230.0,231.8,1111135
2017-03-01,233.9,233.9,227.3,231.1,557444
2017-03-02,232.0,234.5,228.0,229.95,1907268
2017-03-03,229.9,230.4,223.4,225.1,829067
2017-03-06,225.2,229.1,225.2,227.75,212768
2017-03-07,228.0,228.8,222.5,223.9,1022925
2017-03-08,225.0,225.0,220.3,221.05,1030216
2017-03-09,222.75,229.7,221.1,224.4,1124914
2017-03-10,227.0,227.5,222.7,223.45,428487
2017-03-14,227.5,232.85,223.5,229.6,754548
2017-03-15,231.15,231.15,227.0,228.0,399012
2017-03-16,230.0,232.0,228.0,230.95,501420
2017-03-17,230.95,233.4,226.5,231.9,643939
2017-03-20,231.7,232.0,228.9,229.65,398536
2017-03-21,230.15,233.2,224.1,230.4,2851446
2017-03-22,229.0,229.35,226.8,228.0,345652
2017-03-23,228.05,232.8,228.0,231.25,490615
2017-03-24,232.5,232.7,228.0,228.5,718052
2017-03-27,228.95,232.4,227.2,231.15,457734
2017-03-28,233.55,235.0,228.0,229.45,861225
2017-03-29,231.2,237.0,229.55,234.95,1143183
2017-03-30,235.2,239.75,235.2,238.0,790379
2017-03-31,239.75,243.6,234.3,242.1,714610
2017-04-03,242.9,249.3,240.2,248.3,858009
2017-04-05,248.95,249.45,244.6,247.45,476211
2017-04-06,246.2,246.85,241.6,242.25,316913
2017-04-07,241.5,241.5,237.1,237.75,413232
2017-04-10,239.0,240.2,233.2,234.8,247378
2017-04-11,236.0,237.3,229.3,234.05,506582
2017-04-12,235.95,245.4,235.1,239.05,1044323
2017-04-13,243.0,243.0,233.25,236.15,313206
2017-04-17,239.5,244.4,237.3,241.0,627653
2017-04-18,246.1,247.8,237.5,239.65,472685
2017-04-19,243.4,245.25,238.05,244.6,367993
2017-04-20,249.0,250.4,244.6,246.15,678879
2017-04-21,247.9,249.9,246.0,247.25,416121
2017-04-24,248.4,253.8,246.05,250.55,541879
2017-04-25,252.05,258.3,252.0,257.1,663830
2017-04-26,258.75,261.0,252.65,255.45,559678
