Date,Open,High,Low,Close,Volume
2016-09-15,432.2,438.0,427.95,434.95,569261
2016-09-16,439.35,442.0,432.75,437.68,794447
2016-09-19,437.95,453.6,437.3,452.08,1156752
2016-09-20,454.92,454.92,443.55,446.28,730448
2016-09-21,445.0,453.4,445.0,450.52,765285
2016-09-22,457.45,463.62,449.55,462.42,995352
2016-09-23,464.32,484.6,462.15,471.58,1820346
2016-09-26,469.82,480.45,466.75,469.35,1044559
2016-09-27,471.72,478.7,471.02,473.7,789101
2016-09-28,477.42,479.65,469.52,471.72,844061
2016-09-29,469.0,472.05,427.8,449.2,2291218
2016-09-30,449.0,462.4,445.12,455.4,851916
2016-10-03,461.5,472.0,456.1,470.28,772262
2016-10-04,472.32,474.05,460.5,462.2,770794
2016-10-05,458.9,468.32,440.5,462.52,1252289
2016-10-06,463.0,472.0,457.0,465.42,882691
2016-10-07,475.92,479.75,469.08,478.25,1213929
2016-10-10,483.0,489.0,466.18,468.42,1328453
2016-10-13,466.95,468.4,451.62,456.92,902204
2016-10-14,460.98,462.75,456.52,458.1,371219
2016-10-17,461.12,461.12,442.05,444.85,496503
2016-10-18,447.5,456.0,442.5,452.62,639361
2016-10-19,457.25,458.98,447.75,450.7,523617
2016-10-20,452.0,453.5,445.6,447.02,325735
2016-10-21,447.0,449.5,441.35,444.82,556154
2016-10-24,448.9,449.25,441.78,443.38,407404
2016-10-25,443.88,444.4,435.82,438.15,439198
2016-10-26,439.0,443.85,434.12,435.92,550314
2016-10-27,436.05,439.02,426.5,428.2,689730
2016-10-28,429.95,444.35,429.0,442.45,622388
2016-10-30,443.5,444.72,440.5,442.1,59632
2016-11-01,442.95,443.0,432.12,433.35,316703
2016-11-02,429.98,434.95,425.0,426.78,493871
2016-11-03,426.8,434.42,424.02,425.05,433102
2016-11-04,422.5,426.1,413.25,416.98,545272
2016-11-07,419.0,436.9,418.85,429.32,613289
2016-11-08,431.9,439.25,420.75,424.8,2574461
2016-11-09,394.95,446.2,382.32,438.85,1686321
2016-11-10,444.25,452.0,438.0,440.42,689354
2016-11-11,435.0,448.2,428.4,431.42,701502
2016-11-15,431.42,451.12,422.0,446.25,1409789
2016-11-16,452.0,462.0,446.5,450.75,1372200
2016-11-17,452.0,457.98,446.55,449.88,487633
2016-11-18,451.5,461.7,450.0,453.42,810817
2016-11-21,454.4,456.85,427.82,429.0,506146
2016-11-22,429.05,440.5,422.52,438.22,643364
2016-11-23,438.22,451.8,435.62,448.95,404572
2016-11-24,448.48,459.5,443.75,456.88,1112713
2016-11-25,460.98,466.0,452.75,454.92,992442
2016-11-28,453.0,462.0,447.78,454.4,555197
2016-11-29,453.0,459.18,448.2,450.68,541009
2016-11-30,446.4,455.5,439.4,451.75,4521416
2016-12-01,454.0,455.5,447.75,448.9,420264
2016-12-02,440.0,453.38,434.6,436.48,790966
2016-12-05,432.5,438.72,430.2,436.65,363333
2016-12-06,447.58,453.95,445.75,448.4,907142
2016-12-07,451.5,462.95,449.28,457.62,1212287
2016-12-08,465.0,485.35,463.2,481.75,2168378
2016-12-09,483.5,485.95,474.1,480.3,820060
2016-12-12,481.5,486.52,474.5,484.05,907041
2016-12-13,480.0,501.98,476.28,499.52,2258821
2016-12-14,502.5,504.22,485.5,487.12,986598
2016-12-15,483.5,497.25,482.28,487.7,813483
2016-12-16,491.5,495.12,483.32,484.88,722347
2016-12-19,487.0,489.32,478.0,483.62,862968
2016-12-20,486.0,486.0,471.38,474.95,820097
2016-12-21,477.45,477.45,463.55,465.22,893307
2016-12-22,460.5,463.0,454.55,456.48,809552
2016-12-23,452.55,459.42,450.25,455.98,842836
2016-12-26,457.0,457.0,439.0,440.75,419276
2016-12-27,438.0,457.45,435.15,454.7,666272
2016-12-28,455.0,458.0,448.5,450.0,556906
2016-12-29,449.82,457.25,447.4,453.75,999963
2016-12-30,457.5,462.5,451.28,453.28,600509
2017-01-02,454.0,466.0,454.0,462.25,1105910
2017-01-03,466.5,468.4,458.5,461.05,610175
2017-01-04,464.25,464.95,455.15,456.88,670700
2017-01-05,457.6,464.98,457.6,461.18,645592
2017-01-06,467.5,467.82,454.32,456.05,835224
2017-01-09,458.35,461.45,452.0,453.7,567443
2017-01-10,454.0,467.5,453.5,465.38,1042267
2017-01-11,467.38,479.6,461.6,476.0,1159185
2017-01-12,478.5,482.48,474.22,475.75,845089
2017-01-13,476.0,478.4,468.78,471.8,452273
2017-01-16,472.4,472.4,466.38,467.82,475956
2017-01-17,470.9,472.0,466.3,467.38,267404
2017-01-18,469.4,476.5,467.55,470.58,430941
2017-01-19,472.5,475.0,469.0,471.72,346817
2017-01-20,471.72,474.7,459.3,462.22,406380
2017-01-23,457.5,469.98,457.5,467.55,311140
2017-01-24,467.6,472.35,466.28,470.62,254220
2017-01-25,471.0,481.0,469.35,476.32,1399878
2017-01-27,476.95,482.32,470.25,472.88,577648
2017-01-30,472.5,477.28,470.65,475.72,319317
2017-01-31,475.72,475.72,463.1,465.98,388620
2017-02-01,466.08,487.78,465.0,486.32,1013662
2017-02-02,484.75,492.5,478.82,484.88,873492
2017-02-03,484.88,488.32,472.5,474.4,521292
2017-02-06,485.05,496.0,485.05,494.58,1261909
2017-02-07,496.0,497.32,487.0,490.78,588450
2017-02-08,491.9,501.45,480.0,483.52,3045557
