Date,Open,High,Low,Close,Volume
2016-09-15,319.05,325.0,316.9,322.7,2074012
2016-09-16,322.1,326.5,321.1,323.6,3230892
2016-09-19,323.0,325.0,321.05,324.15,1529681
2016-09-20,324.0,324.0,317.7,319.2,2739997
2016-09-21,320.4,323.0,318.8,321.85,1663305
2016-09-22,323.6,327.95,322.65,327.0,1480515
2016-09-23,326.0,330.0,324.0,326.95,2135834
2016-09-26,326.0,328.7,319.1,320.35,2155103
2016-09-27,321.9,321.9,314.05,314.8,2244406
2016-09-28,313.55,323.45,311.1,321.75,2941322
2016-09-29,322.5,323.7,314.1,315.7,6256119
2016-09-30,315.75,316.5,308.1,314.0,5727632
2016-10-03,314.0,320.0,314.0,318.7,1507552
2016-10-04,317.5,324.85,316.1,324.0,2621167
2016-10-05,322.0,326.15,320.6,321.7,1297532
2016-10-06,324.95,325.25,319.1,322.3,1569393
2016-10-07,322.6,324.45,317.2,319.45,1331294
2016-10-10,318.1,319.9,315.0,315.9,2421849
2016-10-13,312.95,313.9,305.5,306.75,3100457
2016-10-14,307.9,307.9,302.4,305.4,4894941
2016-10-17,305.4,305.85,296.25,301.3,3406493
2016-10-18,302.0,308.0,297.05,306.65,4599085
2016-10-19,306.65,309.45,304.0,306.95,4572957
2016-10-20,307.1,310.5,305.0,309.1,4768039
2016-10-21,311.4,311.4,305.6,309.75,2129413
2016-10-24,306.35,308.0,303.65,306.65,1969377
2016-10-25,303.5,312.4,301.7,311.8,3627374
2016-10-26,315.0,322.9,314.8,317.7,5893311
2016-10-27,314.55,325.65,313.6,323.1,5061205
2016-10-28,322.95,322.95,318.25,318.85,1411617
2016-10-30,319.0,321.5,318.05,318.7,195586
2016-11-01,318.0,320.7,316.25,317.45,2161829
2016-11-02,315.5,315.6,308.65,309.6,2002267
2016-11-03,309.0,315.35,305.3,308.95,2693912
2016-11-04,309.75,310.55,304.05,306.7,2141519
2016-11-07,311.9,311.9,303.7,305.6,1664774
2016-11-08,306.6,306.75,301.0,304.9,1376855
2016-11-09,288.0,305.0,283.05,301.0,5110029
2016-11-10,305.0,314.1,303.25,308.65,2875894
2016-11-11,304.0,307.95,298.35,301.4,1699888
2016-11-15,303.0,304.9,294.0,302.65,2806881
2016-11-16,305.05,311.35,303.3,309.65,2475716
2016-11-17,311.4,315.6,295.15,297.15,3818257
2016-11-18,298.4,304.45,295.25,303.75,3281707
2016-11-21,304.4,305.55,297.45,299.5,1645883
2016-11-22,301.0,305.45,295.0,303.95,2998820
2016-11-23,305.45,308.25,299.15,300.55,1775708
2016-11-24,301.0,304.7,298.4,302.4,4321906
2016-11-25,302.9,306.0,298.65,301.0,1891865
2016-11-28,301.0,321.2,301.0,318.8,4403979
2016-11-29,320.8,326.0,316.8,324.85,4070382
2016-11-30,325.0,326.8,323.8,324.6,4500415
2016-12-01,324.0,324.8,313.55,318.2,6420823
2016-12-02,315.0,321.3,314.3,318.6,1654720
2016-12-05,317.5,328.65,317.5,326.75,2236218
2016-12-06,326.9,331.95,324.75,328.85,2832195
2016-12-07,329.7,334.95,325.1,328.15,2613278
2016-12-08,330.8,334.0,328.4,332.45,1857785
