Date,Open,High,Low,Close,Volume
2016-09-15,98.27,100.97,96.9,100.2,16496905
2016-09-16,101.97,102.2,97.07,97.77,13625503
2016-09-19,97.93,99.6,97.7,98.1,6780450
2016-09-20,98.33,98.87,96.83,97.17,10277767
2016-09-21,98.67,98.67,95.7,96.23,7132314
2016-09-22,97.67,98.53,97.07,98.07,6075695
2016-09-23,98.33,100.47,97.07,97.43,13606551
2016-09-26,97.33,97.83,94.87,95.2,8015791
2016-09-27,95.8,95.97,93.67,94.1,5911208
2016-09-28,94.63,96.47,93.87,95.93,5655891
2016-09-29,96.53,96.87,86.4,88.67,17649238
2016-09-30,88.67,90.23,87.93,89.8,7896315
2016-10-03,91.07,91.93,90.2,91.47,5971271
2016-10-04,92.67,92.73,91.13,92.0,4890091
2016-10-05,92.2,92.6,90.47,91.2,5046364
2016-10-06,91.77,93.33,90.53,90.73,9079770
2016-10-07,90.8,90.93,89.67,90.13,5229819
2016-10-10,90.8,91.07,89.5,89.97,3726383
2016-10-13,89.87,89.93,87.57,88.3,6260360
2016-10-14,88.67,89.3,88.1,88.6,4047167
2016-10-17,88.8,89.27,86.53,87.8,5174195
2016-10-18,88.53,91.33,88.27,90.8,7898215
2016-10-19,92.73,95.77,92.73,94.17,18683689
2016-10-20,94.83,95.27,93.83,94.77,5790946
2016-10-21,94.67,95.1,93.57,94.47,4626655
2016-10-24,94.93,95.13,94.0,94.17,3387593
2016-10-25,94.27,94.87,92.43,93.4,3889544
2016-10-26,93.17,94.53,92.5,92.87,4901590
2016-10-27,92.67,92.8,90.77,92.17,4595440
2016-10-28,92.33,93.3,92.07,92.63,4573165
2016-10-30,93.33,93.47,92.33,92.67,546452
2016-11-01,93.33,95.67,92.4,94.37,7068586
2016-11-02,93.17,93.27,91.1,91.33,5166805
2016-11-03,91.47,93.4,91.33,91.77,3726463
2016-11-04,92.23,92.6,89.1,89.8,5276644
2016-11-07,90.87,93.63,90.8,92.7,6543966
2016-11-08,94.0,97.87,93.7,95.47,23554076
2016-11-09,87.33,93.63,85.93,92.4,15564889
2016-11-10,94.53,95.87,92.73,93.77,9071225
2016-11-11,93.17,95.2,89.67,90.77,11877573
2016-11-15,90.77,92.1,88.07,89.17,6199040
2016-11-16,90.67,91.07,87.37,87.83,4980489
2016-11-17,89.33,90.37,87.73,88.87,8308138
2016-11-18,89.27,90.33,88.5,89.53,3343478
2016-11-21,90.0,90.17,84.23,85.93,8053147
2016-11-22,86.87,86.9,82.4,82.93,12473920
2016-11-23,83.47,84.23,81.67,83.4,8953076
2016-11-24,83.27,83.83,82.3,82.93,8297597
2016-11-25,83.4,85.0,83.13,84.5,4798925
2016-11-28,84.53,86.0,84.13,85.07,4133358
2016-11-29,85.83,86.97,85.3,86.13,4680751
2016-11-30,86.63,87.63,86.07,86.77,5803728
2016-12-01,87.07,87.47,85.43,85.83,2867244
2016-12-02,85.67,86.13,84.17,84.6,3167917
2016-12-05,84.47,86.23,83.73,85.77,3681006
2016-12-06,85.87,86.33,85.0,85.4,3655978
2016-12-07,85.93,86.13,84.27,85.07,3802962
2016-12-08,85.73,86.67,85.47,85.8,3469417
2016-12-09,86.43,86.97,85.67,86.03,3909054
2016-12-12,85.8,85.8,83.97,85.0,3537925
2016-12-13,84.7,84.8,83.43,83.63,3394925
2016-12-14,83.83,84.43,83.2,83.5,2874520
2016-12-15,82.67,84.47,82.6,83.57,2916919
2016-12-16,83.8,83.9,81.67,81.87,5392007
2016-12-19,82.0,82.27,80.7,81.03,4867922
2016-12-20,81.33,81.67,80.43,80.6,2626165
2016-12-21,80.8,81.47,80.37,80.53,2447467
2016-12-22,80.33,80.6,78.8,79.33,3640240
2016-12-23,79.23,80.5,79.03,79.33,3385197
2016-12-26,79.33,79.43,77.7,78.13,2984121
2016-12-27,78.2,79.8,77.4,79.5,2516696
2016-12-28,79.93,80.8,79.4,79.57,2472704
2016-12-29,79.37,80.27,78.93,79.17,4847425
2016-12-30,79.67,81.07,79.33,80.8,5018485
2017-01-02,80.8,82.2,80.47,81.67,3236619
2017-01-03,81.83,84.17,81.73,83.2,5189549
2017-01-04,83.37,85.3,83.37,84.73,6436133
2017-01-05,84.83,85.7,84.1,85.3,4042940
2017-01-06,84.93,85.67,84.07,84.27,4221178
2017-01-09,84.67,85.63,84.0,85.07,2883288
2017-01-10,85.13,86.13,85.13,85.5,2587959
2017-01-11,85.8,86.53,85.47,85.77,4304575
2017-01-12,86.0,86.0,84.1,85.3,5194775
2017-01-13,86.77,86.9,85.33,85.83,6075558
2017-01-16,86.0,86.1,85.17,85.67,2887404
2017-01-17,86.0,86.33,85.07,85.3,1995429
2017-01-18,85.7,89.4,85.5,88.27,11996245
2017-01-19,88.93,89.7,87.77,88.27,6071927
2017-01-20,87.87,88.63,85.67,86.03,3274133
2017-01-23,85.93,86.43,84.67,85.53,4019471
2017-01-24,85.8,88.27,85.8,87.83,7770945
2017-01-25,88.3,88.67,86.57,87.93,7756057
2017-01-27,88.5,94.8,88.5,93.07,16301293
2017-01-30,92.67,93.2,91.63,92.0,4207978
2017-01-31,92.0,94.07,90.8,91.37,6697709
2017-02-01,91.8,93.8,90.47,93.27,8356768
2017-02-02,93.37,94.0,91.8,92.67,5345140
2017-02-03,93.33,95.3,93.0,95.13,7444644
2017-02-06,95.97,97.07,94.8,96.03,8314922
2017-02-07,96.8,103.33,93.53,101.4,45093133
2017-02-08,100.93,104.77,100.0,104.17,25137024
2017-02-09,104.2,105.9,101.8,104.8,12610813
2017-02-10,105.07,106.4,104.23,105.33,8535707
2017-02-13,105.33,105.33,101.4,103.43,4853929
2017-02-14,103.27,105.3,102.47,104.93,5628622
2017-02-15,104.67,104.67,100.83,101.4,5433505
2017-02-16,101.33,102.7,99.1,102.23,5689865
2017-02-17,100.0,102.93,99.7,102.23,6882898
2017-02-20,102.0,103.23,101.4,102.3,3444104
