Date,Open,High,Low,Close,Volume
2016-09-15,154.01,155.92,152.84,154.82,1124888
2016-09-16,155.34,156.11,152.04,153.5,944534
2016-09-19,153.92,157.06,153.4,155.52,1052386
2016-09-20,155.84,161.24,155.34,159.92,2018891
2016-09-21,160.04,160.96,157.12,157.59,1127408
2016-09-22,159.16,161.12,157.89,160.49,871719
2016-09-23,160.82,162.5,159.34,160.41,848970
2016-09-26,160.0,162.94,159.18,161.44,761798
2016-09-27,161.5,164.12,161.5,162.48,952998
2016-09-28,162.66,163.61,161.44,161.95,601267
2016-09-29,162.46,162.86,147.75,153.88,1485519
2016-09-30,153.34,157.0,152.4,155.58,793597
2016-10-03,158.34,161.16,156.75,160.68,569003
2016-10-04,160.34,161.12,157.04,158.1,529048
2016-10-05,159.5,161.34,157.95,159.49,707123
2016-10-06,160.34,161.92,159.34,159.99,730539
2016-10-07,159.54,160.84,156.12,157.38,617022
2016-10-10,158.66,159.32,156.18,157.38,394630
2016-10-13,156.66,159.34,155.05,157.01,963854
2016-10-14,157.65,160.24,157.51,158.66,1378143
2016-10-17,159.72,160.66,156.09,157.9,771897
2016-10-18,159.15,161.45,158.44,160.99,611630
2016-10-19,161.01,167.84,160.66,167.14,1590220
2016-10-20,167.9,167.9,162.65,163.39,1339869
2016-10-21,163.7,170.0,162.88,168.02,4169584
2016-10-24,168.34,169.12,161.12,161.78,1503116
2016-10-25,162.34,162.34,156.25,156.58,1656565
2016-10-26,156.14,156.14,149.72,151.18,1547760
2016-10-27,150.64,155.32,149.15,153.48,2436666
2016-10-28,153.66,155.44,153.36,154.28,872258
2016-10-30,155.34,155.39,153.81,154.43,52158
2016-11-01,155.21,156.15,153.86,154.18,668155
2016-11-02,152.36,154.04,150.84,151.56,824272
2016-11-03,151.66,152.64,150.18,151.18,795474
2016-11-04,153.7,153.92,145.16,146.34,1907092
2016-11-07,147.55,151.12,147.31,149.68,890053
2016-11-08,151.0,151.56,147.0,148.96,553927
2016-11-09,136.38,150.84,134.06,148.06,1543730
2016-11-10,151.16,153.15,149.51,151.22,749210
2016-11-11,150.22,151.16,145.94,146.76,547325
2016-11-15,147.16,148.3,142.78,143.62,681282
2016-11-16,144.34,146.38,143.05,144.91,560811
2016-11-17,145.66,148.16,144.4,147.06,625596
2016-11-18,148.0,148.0,145.01,145.43,426413
2016-11-21,145.75,146.05,140.05,141.99,901213
2016-11-22,142.66,143.68,139.38,141.24,439803
2016-11-23,142.34,144.46,140.59,143.54,843334
2016-11-24,142.16,143.44,141.46,142.55,521247
2016-11-25,143.82,146.81,142.45,146.22,689876
2016-11-28,146.64,148.08,145.36,147.06,389172
2016-11-29,147.51,154.16,147.19,153.35,1304240
2016-11-30,155.16,156.0,152.35,152.8,1302470
2016-12-01,153.34,155.94,153.08,154.21,890545
2016-12-02,155.5,156.34,151.86,152.32,942768
2016-12-05,152.18,153.85,149.18,153.06,683198
2016-12-06,153.84,154.06,151.76,152.96,447896
2016-12-07,153.51,153.99,152.1,152.98,264936
2016-12-08,154.16,155.14,153.49,154.06,377422
2016-12-09,154.62,158.22,154.16,157.28,1008050
2016-12-12,157.4,159.12,155.76,156.66,626726
2016-12-13,157.34,157.34,153.9,155.89,350405
2016-12-14,156.0,157.28,153.51,153.82,418044
2016-12-15,153.0,157.5,152.4,156.36,415309
2016-12-16,156.0,164.82,155.98,163.75,3510774
2016-12-19,165.0,165.0,160.84,161.19,1011444
2016-12-20,161.44,162.66,160.25,160.69,497176
2016-12-21,161.66,161.9,158.85,159.45,453371
2016-12-22,158.0,159.34,155.84,156.72,504987
2016-12-23,155.84,157.16,154.0,155.1,396948
2016-12-26,154.1,154.46,148.39,149.06,711449
2016-12-27,149.24,154.0,146.95,152.82,561849
2016-12-28,153.36,157.16,153.36,154.46,696752
2016-12-29,155.01,158.34,153.58,157.61,701414
2016-12-30,158.55,159.8,157.66,158.31,312567
2017-01-02,157.76,159.05,156.76,158.66,238424
2017-01-03,158.58,158.99,156.88,157.55,241896
2017-01-04,158.0,158.64,155.34,155.65,397319
2017-01-05,156.28,158.31,154.88,157.7,536996
2017-01-06,158.0,161.75,157.59,159.93,714688
2017-01-09,160.95,169.84,160.05,168.92,2310496
2017-01-10,169.58,171.08,165.49,166.18,1292584
2017-01-11,166.5,169.26,165.66,167.12,567493
2017-01-12,170.66,175.29,167.22,168.14,2991220
2017-01-13,169.66,169.66,163.84,165.74,792659
2017-01-16,165.82,168.66,163.34,166.32,614001
2017-01-17,166.66,168.0,165.22,166.1,421838
2017-01-18,165.42,167.5,164.66,165.25,511833
2017-01-19,165.0,168.16,165.0,165.56,816811
2017-01-20,165.49,166.45,161.84,162.3,552677
2017-01-23,162.35,167.2,161.89,166.34,684540
2017-01-24,167.16,167.8,165.18,166.49,663685
2017-01-25,175.0,175.16,167.94,170.44,3192150
2017-01-27,170.62,172.36,169.21,169.92,621872
2017-01-30,168.42,170.76,167.16,169.99,368419
2017-01-31,170.32,172.42,167.66,168.49,767221
2017-02-01,168.5,169.85,165.85,169.54,479043
2017-02-02,169.66,177.66,169.66,176.55,1245596
2017-02-03,176.66,179.0,175.01,176.25,593963
2017-02-06,176.98,185.42,176.84,183.1,977671
2017-02-07,182.48,185.82,180.86,182.9,648725
2017-02-08,182.84,184.05,180.78,181.46,315155
2017-02-09,181.49,185.0,180.92,181.64,418873
2017-02-10,182.5,182.75,179.11,181.52,326048
2017-02-13,182.0,182.02,177.92,179.98,278591
2017-02-14,180.16,180.86,178.66,179.24,227734
2017-02-15,179.16,179.84,175.16,176.45,188187
2017-02-16,175.51,183.24,175.36,182.55,522318
2017-02-17,184.84,187.16,183.66,184.22,714537
2017-02-20,184.16,188.91,182.0,187.76,666752
2017-02-21,187.84,189.75,185.94,188.78,381384
2017-02-22,187.66,188.66,184.36,185.24,298539
2017-02-23,184.98,187.66,184.68,185.29,416155
2017-02-27,185.16,189.59,182.65,187.42,495379
2017-02-28,187.5,190.64,186.36,187.08,622962
2017-03-01,188.0,188.91,185.5,185.71,364727
2017-03-02,186.5,187.0,170.46,172.15,1801225
2017-03-03,170.42,181.16,169.59,178.66,2823034
2017-03-06,179.32,179.88,175.86,178.08,498736
2017-03-07,178.84,181.34,177.61,179.69,525601
2017-03-08,179.84,182.16,178.55,179.76,501757
2017-03-09,179.24,180.24,178.0,178.55,211939
2017-03-10,178.68,179.55,176.1,176.86,250623
2017-03-14,181.14,183.12,176.84,182.4,618347
2017-03-15,186.66,187.5,184.52,186.08,881743
2017-03-16,186.66,188.0,185.5,186.7,334578
2017-03-17,186.88,188.0,184.34,186.74,368569
2017-03-20,186.35,189.06,185.9,187.76,302828
2017-03-21,187.74,192.02,186.66,191.36,871089
2017-03-22,190.0,191.15,188.46,189.18,356319
2017-03-23,190.0,190.5,187.16,188.1,204686
2017-03-24,187.68,191.28,187.68,190.45,361853
2017-03-27,190.84,190.98,188.08,188.74,219750
2017-03-28,190.32,190.84,187.9,190.04,271864
2017-03-29,190.24,193.82,188.75,191.74,438603
2017-03-30,191.16,191.16,189.08,189.84,303780
2017-03-31,189.66,191.5,188.16,188.72,214254
2017-04-03,188.92,190.56,187.96,188.54,190774
2017-04-05,188.48,189.39,186.05,187.28,240533
2017-04-06,187.34,188.34,184.39,185.74,231124
2017-04-07,187.0,187.18,182.6,183.19,288105
2017-04-10,183.0,185.72,183.0,184.18,227504
2017-04-11,184.16,186.15,183.84,185.52,164113
2017-04-12,185.84,190.0,184.16,186.66,662200
2017-04-13,186.04,186.8,180.78,182.72,333756
2017-04-17,182.16,185.84,181.12,185.15,189117
2017-04-18,185.16,188.4,184.0,185.39,300146
2017-04-19,186.16,186.8,184.16,185.08,183554
2017-04-20,185.08,187.5,184.34,186.14,165938
2017-04-21,186.34,187.26,180.28,182.09,454009
2017-04-24,181.5,182.36,175.58,177.59,479242
2017-04-25,184.5,198.0,184.5,194.24,4914405
2017-04-26,196.5,197.4,186.16,187.84,1709278
2017-04-27,187.84,192.5,185.79,186.76,1566059
2017-04-28,183.34,187.5,180.44,183.95,2296936
2017-05-02,185.84,186.08,180.72,181.14,732059
2017-05-03,180.36,180.88,169.51,172.1,3128720
2017-05-04,172.16,177.96,170.18,175.9,2019280
2017-05-05,175.84,176.62,171.66,172.76,1384058
2017-05-08,171.84,176.62,171.84,175.56,597096
2017-05-09,175.84,176.5,173.7,174.34,584202
2017-05-10,166.66,173.0,163.78,167.4,3037526
2017-05-11,168.34,169.66,165.48,166.78,1005584
2017-05-12,167.0,167.71,162.66,163.59,1491654
2017-05-15,165.0,170.5,162.0,168.58,1644846
2017-05-16,168.66,169.2,165.92,167.62,832828
2017-05-17,168.14,168.16,164.5,165.52,582816
2017-05-18,164.52,168.34,162.68,164.7,1109621
2017-05-19,165.74,166.38,161.81,163.3,671836
2017-05-22,164.25,167.66,162.84,163.85,328139
2017-05-23,163.6,163.84,155.96,157.72,1231115
