Date,Open,High,Low,Close,Volume
2016-09-15,1774.98,1792.12,1762.5,1765.8,153247
2016-09-16,1770.0,1781.0,1726.7,1737.75,156301
2016-09-19,1737.75,1743.0,1700.0,1705.8,174082
2016-09-20,1708.0,1725.48,1699.5,1705.25,147744
2016-09-21,1705.5,1722.5,1678.6,1699.05,181719
2016-09-22,1709.5,1717.5,1688.02,1700.48,249683
2016-09-23,1714.45,1730.0,1687.9,1710.55,162504
2016-09-26,1722.5,1724.58,1698.42,1708.52,155740
2016-09-27,1711.05,1728.0,1705.92,1715.62,87324
2016-09-28,1714.9,1728.0,1695.45,1702.1,126163
2016-09-29,1715.0,1717.5,1599.85,1642.78,168170
2016-09-30,1640.0,1693.65,1625.02,1682.0,120206
2016-10-03,1698.92,1761.0,1690.0,1742.78,129680
2016-10-04,1742.0,1742.5,1718.12,1737.68,92818
2016-10-05,1740.0,1753.0,1720.25,1730.25,206313
2016-10-06,1744.95,1748.98,1720.9,1733.5,59465
2016-10-07,1733.5,1737.5,1689.92,1693.32,168780
2016-10-10,1695.0,1705.38,1685.3,1688.4,54748
2016-10-13,1684.5,1684.5,1644.5,1662.72,161322
2016-10-14,1677.0,1677.0,1647.5,1665.38,70676
2016-10-17,1667.65,1667.72,1643.82,1653.2,108441
2016-10-18,1653.25,1660.3,1622.5,1632.3,139269
2016-10-19,1641.95,1675.0,1640.0,1658.45,173746
2016-10-20,1658.5,1677.5,1650.5,1656.58,121382
2016-10-21,1667.5,1672.5,1652.25,1655.35,63515
2016-10-24,1635.15,1664.78,1635.15,1653.95,73215
2016-10-25,1654.2,1661.32,1639.98,1647.68,91094
2016-10-26,1645.0,1654.42,1625.35,1632.9,87960
2016-10-27,1625.0,1634.58,1597.5,1606.05,217025
2016-10-28,1617.0,1664.5,1615.88,1655.98,107954
2016-10-30,1655.98,1664.0,1650.58,1657.85,12617
2016-11-01,1657.5,1670.0,1633.98,1665.28,128594
2016-11-02,1639.0,1656.98,1635.5,1651.3,118002
2016-11-03,1651.3,1662.75,1626.02,1650.75,129160
2016-11-04,1650.0,1690.0,1611.0,1651.0,227573
2016-11-07,1664.5,1674.0,1642.5,1651.28,210916
2016-11-08,1639.0,1650.85,1607.78,1617.78,453378
2016-11-09,1550.0,1595.85,1464.5,1562.1,225840
2016-11-10,1607.5,1620.92,1584.62,1602.08,137274
2016-11-11,1594.92,1594.92,1515.25,1539.68,216039
2016-11-15,1532.0,1532.0,1390.6,1464.68,579245
2016-11-16,1475.0,1530.0,1463.18,1495.5,235149
2016-11-17,1510.0,1510.0,1460.0,1467.52,202752
2016-11-18,1460.5,1462.5,1435.52,1451.3,290700
2016-11-21,1452.5,1464.08,1438.05,1447.15,91182
2016-11-22,1453.05,1460.0,1425.98,1453.02,177238
2016-11-23,1469.5,1488.0,1447.5,1483.88,129498
2016-11-24,1479.0,1494.0,1458.0,1471.28,155070
2016-11-25,1484.98,1487.22,1460.52,1481.0,87882
2016-11-28,1479.98,1495.55,1464.08,1485.25,89016
2016-11-29,1493.5,1519.2,1486.0,1502.72,104156
2016-11-30,1505.0,1536.98,1475.6,1516.45,237369
2016-12-01,1518.02,1531.98,1498.0,1501.68,94489
2016-12-02,1497.4,1507.5,1482.42,1488.4,169703
2016-12-05,1490.0,1541.4,1490.0,1533.2,108580
2016-12-06,1534.8,1537.0,1498.55,1502.22,89657
2016-12-07,1509.0,1522.3,1491.0,1497.38,117622
2016-12-08,1506.5,1534.0,1500.5,1519.38,84693
2016-12-09,1520.95,1531.4,1510.55,1512.68,317721
2016-12-12,1512.75,1514.25,1485.05,1488.52,137358
2016-12-13,1498.92,1498.92,1462.48,1469.32,192044
2016-12-14,1470.0,1484.0,1467.5,1470.82,116887
2016-12-15,1466.0,1477.0,1453.75,1460.1,108279
2016-12-16,1461.62,1469.08,1440.95,1447.65,194080
2016-12-19,1450.0,1457.38,1432.75,1449.8,110005
2016-12-20,1451.0,1454.9,1433.0,1436.05,200544
2016-12-21,1436.05,1449.5,1413.9,1423.85,200871
2016-12-22,1420.0,1424.62,1399.92,1405.32,92589
2016-12-23,1405.02,1420.58,1386.42,1415.6,91370
2016-12-26,1414.95,1415.7,1390.0,1403.65,68000
2016-12-27,1405.12,1428.42,1390.78,1413.42,78676
2016-12-28,1415.0,1444.0,1415.0,1419.8,123554
2016-12-29,1417.5,1449.0,1414.45,1441.58,90143
2016-12-30,1452.5,1461.0,1435.0,1443.15,110334
2017-01-02,1450.55,1450.55,1432.58,1443.22,52245
2017-01-03,1443.5,1445.0,1425.6,1436.12,127593
