Date,Open,High,Low,Close,Volume
2016-09-15,391.0,396.1,384.45,385.25,410034
2016-09-16,384.0,391.85,384.0,388.2,619447
2016-09-19,388.2,393.5,385.85,387.75,830050
2016-09-20,387.75,412.55,368.4,392.95,1479001
2016-09-21,393.95,398.0,387.55,391.4,698764
2016-09-22,393.0,397.3,389.7,392.05,864089
2016-09-23,392.9,398.75,390.1,394.8,707248
2016-09-26,393.05,399.6,391.95,394.05,461592
2016-09-27,394.8,405.65,394.8,397.4,1082961
2016-09-28,397.9,403.0,396.0,398.85,421374
2016-09-29,399.35,402.8,368.1,386.7,895083
2016-09-30,385.1,392.15,355.8,387.8,348271
2016-10-03,391.0,398.1,389.2,390.5,415038
2016-10-04,391.1,394.3,388.5,389.35,471646
2016-10-05,390.05,393.3,387.6,388.9,397808
2016-10-06,389.4,393.6,385.0,387.15,465845
2016-10-07,389.25,391.0,386.65,389.85,261670
2016-10-10,390.35,392.45,385.0,388.25,188207
2016-10-13,388.75,398.25,382.4,393.7,540050
2016-10-14,394.1,398.0,387.65,392.0,392478
2016-10-17,392.0,399.0,386.55,390.15,404007
2016-10-18,390.65,395.5,388.4,394.5,288400
2016-10-19,394.9,396.1,390.0,391.15,207454
2016-10-20,391.0,393.25,386.65,388.25,217343
2016-10-21,388.4,392.45,387.7,391.6,138972
2016-10-24,392.5,393.9,388.85,389.3,308628
2016-10-25,389.9,409.8,389.0,407.85,1079617
2016-10-26,409.05,409.15,373.65,388.2,4057998
2016-10-27,393.5,398.0,386.25,395.1,753195
2016-10-28,395.0,427.0,394.4,422.95,2184910
2016-10-30,423.5,425.5,417.05,418.9,87588
2016-11-01,418.0,429.8,416.05,424.5,798038
2016-11-02,419.0,421.0,404.15,405.45,382954
2016-11-03,405.0,412.9,394.5,396.6,426032
2016-11-04,396.0,399.75,376.25,390.0,1637920
2016-11-07,392.1,402.85,380.2,383.75,642007
2016-11-08,384.2,387.95,372.85,374.65,829023
2016-11-09,357.0,385.85,338.0,383.95,660812
2016-11-10,389.45,416.6,387.1,400.55,1235856
2016-11-11,396.0,404.05,376.75,380.25,690354
2016-11-15,380.0,380.25,352.35,358.25,786961
2016-11-16,361.8,386.5,347.1,373.45,1521918
2016-11-17,374.95,381.05,366.15,369.15,320128
2016-11-18,367.2,376.95,360.15,372.5,770699
2016-11-21,373.0,375.8,362.65,365.9,411590
2016-11-22,365.9,374.0,365.0,371.2,472605
2016-11-23,375.0,393.5,370.35,392.05,812218
2016-11-24,391.55,403.2,382.7,396.25,1360834
2016-11-25,398.05,410.5,395.7,405.2,762452
2016-11-28,406.15,414.0,402.75,410.85,453806
2016-11-29,412.0,414.75,396.0,397.55,563846
2016-11-30,397.6,406.0,393.4,401.7,1264212
2016-12-01,401.95,408.35,397.25,399.95,343753
2016-12-02,398.3,401.25,390.95,395.8,413567
2016-12-05,400.0,403.85,395.3,397.85,470367
2016-12-06,398.9,401.0,393.0,394.15,305304
2016-12-07,397.85,398.85,387.2,391.05,606052
2016-12-08,391.05,398.7,385.0,395.7,428657
2016-12-09,398.4,399.0,388.25,391.4,328979
2016-12-12,392.95,393.2,387.2,390.2,289566
2016-12-13,388.0,391.0,381.15,383.5,477423
2016-12-14,383.0,388.7,379.0,384.0,476333
2016-12-15,383.9,386.75,379.0,380.15,245704
2016-12-16,381.0,384.0,374.0,376.2,505561
2016-12-19,375.0,380.5,370.45,371.35,288535
2016-12-20,373.0,375.25,368.65,370.95,355411
2016-12-21,371.5,373.9,366.5,367.8,318023
2016-12-22,368.05,368.95,354.25,355.85,404950
2016-12-23,358.8,359.8,328.8,336.85,1094980
2016-12-26,338.0,343.4,329.45,338.8,659394
2016-12-27,341.5,354.0,335.4,350.75,543086
2016-12-28,349.9,358.55,343.05,349.8,696423
2016-12-29,343.9,352.25,339.85,350.7,1255393
2016-12-30,352.95,358.05,352.95,356.65,308757
2017-01-02,357.9,360.9,351.55,354.5,479218
2017-01-03,357.0,358.5,353.0,354.8,361396
2017-01-04,355.9,364.7,354.45,362.05,541007
2017-01-05,362.5,368.25,361.2,367.1,482728
2017-01-06,370.0,381.8,368.25,379.45,905369
2017-01-09,377.7,377.7,357.85,361.6,1310348
2017-01-10,360.0,363.3,353.25,355.75,889782
2017-01-11,358.3,362.7,355.45,356.45,702245
2017-01-12,352.1,352.1,345.8,349.8,1028452
2017-01-13,354.0,356.55,345.7,349.85,1090470
2017-01-16,348.0,352.95,347.05,349.7,599899
2017-01-17,348.0,352.0,348.0,349.6,494417
2017-01-18,353.8,359.4,351.0,356.4,1051575
2017-01-19,360.85,364.25,358.1,361.95,4660613
2017-01-20,365.0,365.65,353.45,359.2,826978
2017-01-23,358.0,361.25,353.85,357.85,576356
2017-01-24,360.0,361.45,353.75,359.7,666103
2017-01-25,360.6,361.8,355.4,357.45,930265
2017-01-27,359.8,368.0,359.6,362.45,615194
2017-01-30,364.75,376.9,363.35,375.95,946145
2017-01-31,379.85,380.0,329.4,350.55,4568005
2017-02-01,350.0,355.25,348.65,352.05,1288758
2017-02-02,350.6,366.9,348.0,365.25,1110384
2017-02-03,364.5,368.65,357.65,365.05,677047
2017-02-06,365.8,377.0,365.0,368.0,1070855
2017-02-07,370.15,372.5,363.95,366.55,398025
2017-02-08,367.1,373.75,364.25,372.6,617951
2017-02-09,376.4,376.4,365.1,366.25,822647
2017-02-10,368.0,368.1,363.0,364.1,682783
2017-02-13,365.95,374.0,362.0,373.15,518063
2017-02-14,372.1,375.0,363.2,365.25,584589
2017-02-15,367.0,367.1,356.5,358.4,600674
2017-02-16,359.95,441.0,356.1,429.5,8717348
2017-02-17,447.0,460.75,438.0,450.05,11906571
2017-02-20,447.05,452.0,437.2,443.65,2419319
2017-02-21,445.0,450.2,438.0,439.6,1803791
2017-02-22,443.0,445.0,431.9,434.2,1183133
2017-02-23,431.2,440.0,426.1,430.7,2508383
2017-02-27,435.0,446.4,432.0,437.6,2290833
2017-02-28,438.95,443.1,436.5,440.25,1339798
2017-03-01,443.9,446.55,437.5,438.65,744289
2017-03-02,441.95,442.75,407.9,430.95,2833694
2017-03-03,430.1,435.5,426.0,431.15,685624
2017-03-06,431.6,440.7,431.6,439.3,622316
2017-03-07,441.0,444.4,432.6,436.3,833536
2017-03-08,442.0,444.75,436.95,443.25,1288535
2017-03-09,442.95,442.95,436.9,440.05,563366
2017-03-10,440.6,444.0,434.5,437.9,538525
2017-03-14,441.05,444.0,435.55,439.1,494111
2017-03-15,439.65,452.65,439.65,449.4,1213791
2017-03-16,450.0,452.0,429.0,442.7,1467104
2017-03-17,445.0,447.95,439.3,443.65,979347
2017-03-20,445.95,454.05,441.25,445.5,1049245
2017-03-21,445.5,446.0,439.0,441.55,630559
2017-03-22,441.0,441.15,432.0,438.35,645574
2017-03-23,437.95,449.0,437.9,447.95,529094
2017-03-24,446.0,456.5,442.65,445.5,1663231
2017-03-27,440.0,452.85,439.0,449.9,617721
2017-03-28,449.0,454.2,447.3,452.95,2946255
2017-03-29,449.5,453.95,445.5,448.4,650631
2017-03-30,449.0,453.9,447.6,450.4,989796
2017-03-31,452.95,455.0,439.6,442.0,984841
2017-04-03,444.0,447.55,441.95,442.9,365002
2017-04-05,445.0,450.9,444.0,449.35,377482
2017-04-06,449.0,450.75,443.6,447.85,272186
2017-04-07,449.9,466.85,446.3,455.45,2814964
2017-04-10,460.0,463.0,448.7,451.25,962234
2017-04-11,455.75,460.6,451.5,459.05,1584033
2017-04-12,458.0,462.05,451.0,456.65,537935
2017-04-13,457.0,459.75,451.0,452.45,329044
2017-04-17,453.05,455.0,448.75,452.95,321369
2017-04-18,453.0,453.05,439.25,442.7,866177
2017-04-19,446.0,449.65,442.3,443.7,486488
2017-04-20,444.05,450.0,444.05,449.25,283156
2017-04-21,449.0,452.0,446.0,449.95,291411
2017-04-24,448.0,454.8,442.45,452.65,575192
2017-04-25,453.2,463.25,451.25,456.9,889482
2017-04-26,457.0,461.5,450.95,455.7,495836
2017-04-27,462.0,463.85,442.1,443.7,916695
2017-04-28,443.2,444.0,438.45,440.25,363266
2017-05-02,440.5,452.4,440.5,448.7,550595
2017-05-03,447.1,455.8,446.15,452.7,577981
2017-05-04,453.0,459.75,453.0,457.8,379828
2017-05-05,456.0,475.0,456.0,466.1,1404664
2017-05-08,469.0,472.1,463.8,466.6,481844
2017-05-09,466.6,475.95,464.1,473.85,497061
2017-05-10,477.0,497.0,465.5,470.15,3179188
2017-05-11,473.5,495.55,473.5,493.1,2035675
2017-05-12,494.5,497.0,482.4,487.9,1022910
