Date,Open,High,Low,Close,Volume
2016-09-15,311.65,313.75,302.7,304.5,4995883
2016-09-16,308.65,312.45,298.1,300.1,7444504
2016-09-19,303.45,305.55,300.9,303.15,2710325
2016-09-20,307.0,307.9,303.0,304.05,3516765
2016-09-21,304.9,306.0,300.7,302.0,2269578
2016-09-22,308.2,311.4,303.4,308.1,3426057
2016-09-23,309.0,309.0,301.6,302.55,2591852
2016-09-26,300.5,306.2,298.05,304.35,4719920
2016-09-27,305.2,306.8,300.85,302.75,2823671
2016-09-28,302.7,313.9,302.5,312.4,5144251
2016-09-29,315.0,318.85,292.0,297.4,7256913
2016-09-30,296.0,309.65,295.5,308.35,5574632
2016-10-03,312.0,321.95,310.25,319.3,3661931
2016-10-04,321.5,332.8,316.7,330.75,7895322
2016-10-05,334.2,338.9,331.0,335.05,5477094
2016-10-06,335.5,337.15,327.5,329.95,3622321
2016-10-07,328.2,331.45,324.25,328.6,3284801
2016-10-10,330.5,331.7,323.6,324.8,2349182
2016-10-13,319.9,321.4,305.85,310.3,4099951
2016-10-14,313.0,315.35,309.15,313.05,2654107
2016-10-17,315.0,316.95,302.15,304.8,3910808
2016-10-18,308.1,315.4,305.2,314.4,3481253
2016-10-19,316.35,316.35,311.1,314.1,2343624
2016-10-20,315.2,325.2,315.1,322.05,3856328
2016-10-21,322.6,322.6,315.6,319.4,2326470
2016-10-24,319.9,328.9,319.0,325.5,3055144
2016-10-25,325.5,326.95,321.7,323.5,1997133
2016-10-26,319.5,329.0,311.6,314.25,7665910
2016-10-27,309.0,318.2,308.4,315.0,4455839
2016-10-28,317.5,319.4,312.2,313.75,2822956
2016-10-30,315.3,316.8,312.5,314.05,237381
2016-11-01,314.55,315.9,311.05,311.65,1790925
2016-11-02,304.65,305.95,292.8,294.0,3731121
2016-11-03,294.2,299.4,292.05,295.7,3308573
2016-11-04,294.2,297.75,286.5,289.8,3326037
2016-11-07,297.0,302.55,294.25,299.05,2939219
2016-11-08,300.8,301.8,295.1,296.65,2193536
2016-11-09,267.0,306.8,252.2,300.4,7006892
2016-11-10,310.0,326.9,307.0,320.95,7986456
2016-11-11,316.0,331.15,310.05,311.9,6834299
2016-11-15,315.0,322.25,308.5,316.05,5981901
2016-11-16,322.0,323.8,313.3,319.85,3582324
2016-11-17,321.0,327.9,320.1,324.2,3860858
2016-11-18,326.0,329.8,323.7,326.3,3280381
2016-11-21,329.7,329.7,305.3,307.1,5029884
2016-11-22,311.75,312.9,295.5,302.65,4935762
