Date,Open,High,Low,Close,Volume
2016-09-15,221.0,223.82,218.3,219.85,587552
2016-09-16,223.0,224.08,219.0,221.1,713784
2016-09-19,221.0,221.0,210.02,211.28,2772745
2016-09-20,216.72,242.95,216.72,231.22,20565446
2016-09-21,231.7,232.45,227.45,229.15,3244232
2016-09-22,232.5,238.0,229.62,235.22,2835107
2016-09-23,235.25,239.05,233.0,236.05,1642500
2016-09-26,235.5,241.98,232.55,233.45,2431197
2016-09-27,234.95,239.4,234.02,235.62,1471186
2016-09-28,237.0,239.75,236.12,237.08,1594402
2016-09-29,237.5,239.85,226.92,228.12,4824398
2016-09-30,230.0,238.3,228.12,237.48,1822408
2016-10-03,239.35,245.18,238.55,243.38,2430282
2016-10-04,244.7,244.7,240.6,242.48,918072
2016-10-05,243.48,247.65,241.4,243.15,1625933
2016-10-06,243.45,245.38,235.0,237.0,1041228
2016-10-07,240.5,242.95,236.6,240.82,1275620
2016-10-10,241.02,242.32,236.28,237.28,655186
2016-10-13,237.5,237.95,231.5,233.08,1238460
2016-10-14,233.52,235.88,231.75,233.8,653424
2016-10-17,234.92,234.92,230.42,231.28,540450
2016-10-18,233.0,237.95,232.05,236.72,641348
2016-10-19,237.0,237.32,234.28,234.72,575760
2016-10-20,235.45,239.0,235.02,236.15,1032841
2016-10-21,236.45,236.85,231.9,233.68,460239
2016-10-24,233.6,236.5,233.1,233.7,878196
2016-10-25,234.75,235.5,232.72,234.18,406933
2016-10-26,234.5,236.3,232.48,235.0,535472
2016-10-27,235.1,235.82,228.0,228.82,1890616
2016-10-28,223.52,231.5,221.62,229.2,2276370
2016-10-30,230.92,230.92,227.75,228.8,91154
2016-11-01,229.0,230.42,225.02,226.08,477534
2016-11-02,224.9,224.9,216.25,217.4,1264623
2016-11-03,217.95,220.5,215.75,216.75,446224
2016-11-04,216.95,218.4,210.28,215.0,1623370
2016-11-07,216.5,219.92,215.75,217.18,868772
2016-11-08,218.3,219.42,215.0,217.2,375866
2016-11-09,209.68,219.0,195.78,217.32,1560461
2016-11-10,219.48,222.88,215.5,216.35,1077310
2016-11-11,214.85,215.28,208.5,209.85,752294
2016-11-15,210.0,210.52,196.6,202.78,1756723
2016-11-16,204.5,204.75,197.5,199.15,1560730
2016-11-17,198.9,202.18,196.2,200.52,539179
2016-11-18,199.18,200.78,194.1,195.5,1254185
2016-11-21,196.28,197.45,191.02,192.8,843406
2016-11-22,194.0,196.18,191.55,193.15,865312
2016-11-23,194.92,197.5,193.32,196.62,393853
2016-11-24,196.5,196.6,191.2,192.35,1486426
2016-11-25,193.75,200.28,192.6,198.88,1291449
2016-11-28,198.65,199.65,196.68,197.7,1178126
2016-11-29,198.0,202.88,197.28,200.92,1292994
2016-11-30,202.42,205.55,201.05,203.82,1565882
2016-12-01,203.5,204.15,198.18,198.85,479673
2016-12-02,198.12,198.4,195.15,196.65,368966
2016-12-05,196.7,200.48,195.65,198.95,619358
2016-12-06,198.5,201.05,197.82,199.0,354832
2016-12-07,200.0,200.75,197.9,199.05,288798
2016-12-08,199.35,203.12,199.35,201.82,261413
2016-12-09,202.75,204.48,200.1,200.48,342921
2016-12-12,202.0,202.0,196.12,196.58,306060
2016-12-13,197.02,199.2,193.8,194.38,436550
2016-12-14,194.95,195.75,191.05,191.55,1065007
2016-12-15,190.0,192.2,187.5,188.02,1311976
2016-12-16,187.65,188.28,185.02,185.58,1193492
2016-12-19,186.25,188.4,185.5,187.45,514320
2016-12-20,188.2,188.5,185.08,185.45,330709
2016-12-21,186.18,187.28,185.3,185.9,273882
2016-12-22,185.92,185.92,181.08,181.45,614196
2016-12-23,181.55,184.8,181.1,183.28,515766
2016-12-26,183.0,183.02,178.08,179.0,580404
2016-12-27,179.7,184.4,176.6,183.5,868738
2016-12-28,184.95,187.82,184.25,187.12,1545371
2016-12-29,187.5,189.62,186.98,188.8,1120332
2016-12-30,189.1,192.5,189.1,190.32,505193
2017-01-02,190.22,193.5,189.5,192.75,259088
2017-01-03,193.45,194.5,192.22,192.85,368274
2017-01-04,193.45,194.0,191.15,193.02,357274
2017-01-05,193.72,197.72,193.22,195.75,644796
2017-01-06,196.45,197.02,194.58,195.1,354219
2017-01-09,195.22,195.8,192.68,194.6,262239
2017-01-10,194.65,195.62,193.52,194.52,338384
2017-01-11,194.8,196.45,194.7,196.05,394936
2017-01-12,196.42,199.12,195.05,198.45,1055610
2017-01-13,199.22,200.4,196.75,197.82,393497
2017-01-16,198.15,200.02,196.6,199.18,610386
2017-01-17,198.52,200.82,196.92,197.9,310427
2017-01-18,197.98,198.5,196.25,197.52,672948
2017-01-19,196.88,203.85,196.88,203.28,689211
2017-01-20,203.5,204.28,195.55,196.58,529122
2017-01-23,196.5,199.88,196.5,197.9,315665
2017-01-24,199.35,202.22,198.38,200.98,726556
2017-01-25,202.1,202.95,198.75,199.82,705877
2017-01-27,200.55,202.95,199.22,200.08,476991
2017-01-30,200.9,207.25,200.5,206.58,894515
2017-01-31,207.92,208.88,201.75,202.62,1046957
2017-02-01,202.92,206.0,202.58,204.08,621146
2017-02-02,204.5,208.72,204.0,207.92,776484
2017-02-03,208.15,210.2,206.12,209.18,714225
2017-02-06,209.12,213.48,207.68,211.25,853976
2017-02-07,210.5,212.4,207.0,207.75,330910
2017-02-08,208.42,211.4,205.92,209.8,604945
2017-02-09,210.8,211.82,208.18,209.18,341838
2017-02-10,209.9,210.42,208.12,208.88,249099
2017-02-13,209.72,210.42,206.3,207.6,518460
2017-02-14,207.12,208.85,205.05,208.08,372395
2017-02-15,208.25,209.92,205.55,206.7,768397
2017-02-16,206.2,208.95,203.7,208.18,544035
2017-02-17,209.98,217.4,209.0,216.3,1443678
2017-02-20,217.0,219.4,215.0,215.7,948952
2017-02-21,216.5,217.92,215.05,216.52,1591182
2017-02-22,215.0,217.0,210.62,212.02,1794420
2017-02-23,212.75,213.35,207.92,208.55,1522648
2017-02-27,209.0,211.18,207.0,207.78,689325
2017-02-28,208.95,209.4,203.0,203.5,816227
2017-03-01,204.85,207.75,204.0,205.08,834043
2017-03-02,206.5,207.65,201.78,202.48,548630
2017-03-03,202.72,204.88,201.3,204.1,253871
2017-03-06,204.18,207.92,203.55,206.2,835927
2017-03-07,206.22,207.4,203.72,204.7,397448
2017-03-08,205.7,205.9,203.52,204.22,292805
2017-03-09,204.0,205.9,203.4,204.82,206501
2017-03-10,205.58,206.2,202.78,203.28,195850
2017-03-14,205.5,206.02,202.25,204.15,705601
2017-03-15,204.5,211.55,204.25,207.98,1588165
2017-03-16,209.05,211.5,208.85,211.0,637054
2017-03-17,211.72,214.0,208.52,213.5,917489
2017-03-20,213.98,213.98,210.42,210.85,391686
