Date,Open,High,Low,Close,Volume
2016-09-15,219.4,220.8,216.21,219.82,155588
2016-09-16,221.98,222.84,211.0,219.65,1209087
2016-09-19,219.6,220.95,215.0,216.96,110306
2016-09-20,216.8,220.96,216.01,216.66,109673
2016-09-21,217.8,218.86,214.2,215.4,119775
2016-09-22,218.14,225.54,216.62,223.01,481947
2016-09-23,223.2,226.96,220.4,223.43,128523
2016-09-26,223.94,229.14,220.8,226.33,139045
2016-09-27,226.8,234.2,224.45,227.17,164153
2016-09-28,227.99,229.53,224.77,227.72,135821
2016-09-29,229.46,232.15,207.99,224.68,314191
2016-09-30,227.38,237.99,219.38,231.47,181338
2016-10-03,235.0,241.4,230.29,236.21,117197
2016-10-04,236.6,245.1,235.81,242.17,273455
2016-10-05,243.0,246.98,240.02,245.63,84263
2016-10-06,247.0,248.6,240.0,242.12,55638
2016-10-07,242.0,246.0,238.0,239.78,44077
2016-10-10,239.78,242.03,236.22,236.75,133221
2016-10-13,238.86,239.0,230.84,237.2,150210
2016-10-14,239.25,241.8,236.53,240.95,48048
2016-10-17,242.8,245.8,237.8,240.32,199057
2016-10-18,240.2,242.2,235.6,239.13,53917
2016-10-19,240.84,242.4,236.3,237.55,46592
2016-10-20,236.1,240.6,236.1,237.09,38367
2016-10-21,238.98,243.59,238.4,241.73,50508
2016-10-24,241.6,243.8,236.42,237.95,31109
2016-10-25,237.8,239.78,233.68,235.14,88409
2016-10-26,235.01,238.88,224.0,230.71,95630
2016-10-27,233.56,233.6,226.72,227.83,53196
2016-10-28,229.4,239.6,229.0,237.08,139101
2016-10-30,237.2,240.0,234.26,237.16,24431
2016-11-01,237.16,237.27,231.05,233.29,32695
2016-11-02,235.08,235.08,227.2,232.51,114335
2016-11-03,233.58,233.6,224.22,227.27,178408
2016-11-04,227.6,231.97,218.0,223.66,143576
2016-11-07,232.0,232.0,221.24,223.34,233881
2016-11-08,226.98,226.99,219.68,221.64,37901
2016-11-09,209.99,215.75,186.65,210.04,175921
2016-11-10,214.28,215.2,195.27,197.5,401631
2016-11-11,197.5,199.6,174.0,187.14,534637
2016-11-15,187.6,188.0,163.2,181.47,321040
2016-11-16,184.0,200.0,180.82,195.31,414163
2016-11-17,194.0,216.0,181.13,202.91,333644
2016-11-18,207.2,208.8,191.0,196.88,287222
2016-11-21,197.0,202.2,190.0,196.81,422122
2016-11-22,196.8,205.0,196.78,199.44,479125
2016-11-23,199.8,201.56,195.44,198.06,1033352
2016-11-24,198.0,198.0,190.51,193.2,109829
2016-11-25,193.24,200.66,191.24,199.04,222491
