Date,Open,High,Low,Close,Volume
2016-09-15,325.35,326.9,321.8,323.75,2277264
2016-09-16,325.2,327.0,322.3,324.55,4151279
2016-09-19,324.0,329.1,324.0,328.3,2730095
2016-09-20,328.8,330.4,327.15,329.25,2955423
2016-09-21,329.3,331.95,327.55,331.0,3433714
2016-09-22,333.35,333.55,326.65,327.45,2589917
2016-09-23,327.15,329.95,327.15,328.4,3605797
2016-09-26,328.85,334.1,328.15,332.45,3256853
2016-09-27,335.5,337.2,332.0,332.75,3058963
2016-09-28,332.75,335.7,327.6,328.45,1620533
2016-09-29,330.3,332.45,322.55,327.65,4747212
2016-09-30,326.15,328.8,316.9,322.3,4445950
2016-10-03,323.1,328.7,321.5,327.9,3104019
2016-10-04,328.0,329.0,319.35,321.1,5945963
2016-10-05,322.1,323.6,318.75,321.25,5316324
2016-10-06,323.0,323.0,317.2,318.55,3130353
2016-10-07,319.2,319.7,315.65,318.8,2038680
2016-10-10,320.0,321.75,318.15,318.9,1976384
2016-10-13,318.0,318.9,312.0,315.5,3543786
2016-10-14,316.0,318.2,312.35,313.05,2066659
2016-10-17,314.8,316.4,309.65,311.25,5164144
2016-10-18,311.9,314.7,311.6,312.55,3335691
2016-10-19,312.0,314.9,311.65,312.55,3410851
2016-10-20,312.25,314.65,312.2,312.6,1993881
2016-10-21,312.6,314.2,312.3,313.3,3009896
2016-10-24,313.9,322.6,312.85,321.25,2802733
2016-10-25,323.9,323.9,318.05,319.65,2235089
2016-10-26,318.95,321.6,316.9,319.3,1967319
2016-10-27,320.0,320.25,315.35,316.3,2363687
2016-10-28,317.0,327.0,315.7,324.8,3058160
2016-10-30,325.4,326.85,324.8,325.4,247339
2016-11-01,326.5,331.3,323.3,330.05,5375999
2016-11-02,326.05,329.25,323.05,327.95,3362257
2016-11-03,327.8,331.0,325.25,327.0,2183816
2016-11-04,327.0,327.0,312.3,315.9,3382028
2016-11-07,318.9,322.5,316.65,319.3,2877174
2016-11-08,319.3,322.05,315.55,317.05,1759612
2016-11-09,301.1,321.0,289.3,317.05,4814661
2016-11-10,321.8,337.3,320.0,333.2,5022605
2016-11-11,329.85,332.0,321.4,324.05,2674065
2016-11-15,323.0,328.95,312.0,313.65,3886233
2016-11-16,317.3,317.3,309.05,313.05,3380097
2016-11-17,310.75,312.7,302.0,306.85,4774690
2016-11-18,307.2,309.35,304.0,306.7,2226399
2016-11-21,306.7,310.35,299.3,300.75,2929466
2016-11-22,302.0,304.95,298.85,303.4,2497312
2016-11-23,306.0,306.95,302.15,304.05,1537222
2016-11-24,304.0,304.5,298.6,300.35,3596361
2016-11-25,302.4,305.25,300.9,304.25,1621974
2016-11-28,304.9,305.7,302.1,304.9,1677056
2016-11-29,306.4,314.0,306.0,308.4,3068122
2016-11-30,310.65,310.7,305.05,308.6,3289134
2016-12-01,309.2,310.3,305.35,306.3,1906398
2016-12-02,308.15,311.7,304.5,305.85,3374258
2016-12-05,305.1,307.15,301.9,305.35,2694582
2016-12-06,306.55,309.5,304.55,305.7,3262885
2016-12-07,306.65,308.0,304.3,305.3,1896374
2016-12-08,307.8,313.65,306.5,312.1,2985532
2016-12-09,312.95,313.25,305.9,306.45,2583377
2016-12-12,305.9,309.7,304.65,305.3,1861391
2016-12-13,303.1,307.85,303.1,305.95,4145409
2016-12-14,297.0,298.9,291.05,292.0,7916342
2016-12-15,290.0,293.8,289.3,290.15,2606624
2016-12-16,292.15,292.5,287.1,288.25,4139183
2016-12-19,288.45,289.8,286.5,287.35,2396882
2016-12-20,290.0,292.6,289.2,290.6,2428442
2016-12-21,291.6,294.5,289.15,292.2,2448452
2016-12-22,291.0,291.9,287.05,287.65,1586040
2016-12-23,289.0,289.0,286.0,287.85,1478235
2016-12-26,288.4,288.4,282.6,285.0,2446568
2016-12-27,282.5,290.25,282.5,288.95,3419419
2016-12-28,290.0,296.4,288.7,295.2,3946048
2016-12-29,292.7,301.7,292.7,298.65,7139986
2016-12-30,298.0,301.3,296.1,300.0,3733367
2017-01-02,300.05,302.65,297.0,300.05,1729563
2017-01-03,301.0,307.3,299.5,305.3,1459916
2017-01-04,306.0,310.0,305.45,306.15,1954806
2017-01-05,307.1,311.4,306.6,308.3,1845973
2017-01-06,309.0,310.55,305.0,306.2,940177
2017-01-09,305.85,305.95,299.6,300.0,1947858
2017-01-10,301.05,303.25,299.1,300.6,1455309
2017-01-11,301.6,318.0,301.6,316.85,7657690
2017-01-12,318.0,318.65,310.5,313.2,2316891
2017-01-13,316.0,319.3,313.55,315.0,3458448
2017-01-16,319.0,319.0,310.35,313.8,3866192
2017-01-17,314.55,315.45,306.05,307.0,3759649
2017-01-18,304.8,309.8,304.55,308.7,3680888
2017-01-19,309.0,310.45,306.6,307.35,2434032
2017-01-20,307.0,308.35,302.45,303.7,3784930
2017-01-23,303.9,306.2,302.55,303.4,1855848
2017-01-24,304.5,310.75,303.6,309.45,2508724
2017-01-25,309.8,319.0,307.5,317.2,5594608
2017-01-27,318.0,320.4,316.0,317.75,2607499
2017-01-30,316.6,317.55,313.4,314.7,1713746
2017-01-31,313.4,314.35,303.0,309.2,17232981
2017-02-01,310.0,313.7,306.3,313.05,3168177
2017-02-02,311.4,322.8,308.75,320.45,3723534
2017-02-03,320.45,326.9,320.45,326.15,3778609
2017-02-06,326.0,329.0,322.4,325.05,1934568
2017-02-07,326.0,326.5,310.55,315.05,5669911
2017-02-08,313.0,322.5,313.0,321.75,4346528
2017-02-09,322.1,325.0,318.2,322.15,2390829
2017-02-10,324.0,325.25,321.4,324.5,2168081
2017-02-13,318.0,321.5,314.8,320.9,4142829
2017-02-14,319.0,320.7,315.25,320.2,2050709
2017-02-15,320.95,322.8,317.25,319.95,2649600
2017-02-16,317.5,319.0,315.8,318.3,2703863
2017-02-17,320.0,320.0,311.0,316.25,4292500
2017-02-20,316.25,320.9,314.1,319.9,2429373
2017-02-21,320.5,321.4,317.1,319.6,1678198
2017-02-22,322.3,329.7,320.55,328.35,3479768
2017-02-23,329.6,332.0,325.5,327.7,9869639
2017-02-27,330.0,332.3,327.7,329.95,5619203
2017-02-28,330.0,331.4,320.1,321.9,5247380
2017-03-01,323.0,324.5,318.6,320.2,4131446
2017-03-02,318.35,326.35,318.35,321.4,4008179
2017-03-03,322.0,324.4,320.5,321.25,2402666
