Date,Open,High,Low,Close,Volume
2016-09-15,416.0,417.6,404.98,411.58,191583
2016-09-16,415.36,424.64,412.8,415.95,290364
2016-09-19,419.81,421.73,414.86,418.69,158030
2016-09-20,418.69,423.36,417.26,418.99,84135
2016-09-21,418.86,427.82,417.6,423.82,214402
2016-09-22,427.2,430.08,423.74,427.55,76539
2016-09-23,428.8,436.64,427.01,427.79,284737
2016-09-26,427.81,432.59,425.6,427.81,92791
2016-09-27,428.59,433.6,427.42,432.54,174303
2016-09-28,432.77,438.38,432.26,436.05,96045
2016-09-29,437.81,439.68,417.28,434.0,928504
2016-09-30,433.57,443.26,419.84,441.41,192317
2016-10-03,441.28,444.8,436.58,443.2,56499
2016-10-04,442.24,444.67,438.72,442.18,50149
2016-10-05,441.92,452.8,441.1,449.31,107777
2016-10-06,449.63,455.3,443.74,446.94,111926
2016-10-07,446.72,452.18,442.24,448.54,111299
2016-10-10,448.64,449.92,441.02,443.02,99880
2016-10-13,441.6,443.01,430.72,436.98,126134
2016-10-14,438.05,442.24,418.05,428.19,180049
2016-10-17,431.42,436.4,420.8,422.85,91679
2016-10-18,425.58,437.44,423.04,436.13,122903
2016-10-19,436.16,439.65,433.92,436.67,41964
2016-10-20,436.37,438.4,431.36,436.3,55779
2016-10-21,436.16,441.6,428.8,430.82,55005
2016-10-24,431.2,435.66,428.88,431.44,54372
2016-10-25,431.44,434.69,429.76,431.89,51152
2016-10-26,431.89,437.44,429.76,432.5,69220
2016-10-27,431.65,438.4,426.27,434.77,227147
2016-10-28,434.51,441.73,430.91,440.18,93318
2016-10-30,432.64,441.23,432.64,439.36,3215
2016-11-01,440.0,444.8,436.8,438.56,55764
2016-11-02,433.54,441.28,433.5,437.98,86532
2016-11-03,434.66,440.77,434.13,438.1,107107
2016-11-04,436.48,445.76,436.48,442.48,349147
2016-11-07,443.2,459.04,435.23,438.61,156799
2016-11-08,440.96,444.48,432.8,442.58,56224
2016-11-09,424.96,438.4,403.95,433.15,97418
2016-11-10,437.44,442.18,435.18,436.9,100805
2016-11-11,434.53,435.15,425.92,432.34,105308
2016-11-15,426.48,439.66,411.36,417.38,173205
2016-11-16,412.83,427.25,406.02,410.66,273501
2016-11-17,409.71,416.0,398.82,401.39,325641
2016-11-18,400.0,402.88,389.12,390.08,180541
2016-11-21,392.0,394.18,363.06,370.29,174613
2016-11-22,369.6,373.44,362.58,371.57,156077
2016-11-23,371.52,375.73,358.51,360.72,154436
2016-11-24,362.88,396.78,359.23,379.1,284396
2016-11-25,375.71,375.87,367.12,369.92,334252
2016-11-28,370.38,377.41,370.38,374.03,76986
2016-11-29,376.1,379.2,373.01,373.62,79831
2016-11-30,374.56,377.09,371.52,374.4,183217
2016-12-01,376.0,377.57,367.71,369.86,458310
2016-12-02,368.64,373.34,360.72,363.65,87662
2016-12-05,365.73,366.13,353.9,359.17,255936
2016-12-06,361.6,361.6,353.6,355.71,1023342
2016-12-07,357.5,359.68,354.26,356.1,83366
2016-12-08,358.4,362.05,354.24,355.33,329757
2016-12-09,358.7,360.43,355.62,357.92,277624
2016-12-12,359.65,368.9,356.35,361.1,192154
2016-12-13,364.48,364.48,355.52,358.77,363131
2016-12-14,358.77,361.9,356.16,358.54,143805
2016-12-15,357.12,361.9,355.52,356.08,67436
2016-12-16,356.7,359.18,349.84,351.62,178349
2016-12-19,351.39,354.8,344.96,346.14,311487
2016-12-20,347.18,349.44,342.72,343.84,53095
2016-12-21,345.6,352.75,337.78,349.52,926625
2016-12-22,348.82,354.24,346.46,352.29,180113
2016-12-23,353.92,355.66,350.08,352.7,134394
2016-12-26,352.64,359.04,347.65,349.78,172366
2016-12-27,351.65,353.28,346.88,351.62,120509
2016-12-28,354.72,358.05,346.78,348.72,103071
2016-12-29,349.12,358.4,348.98,354.88,376566
2016-12-30,356.4,358.72,352.66,355.22,83184
2017-01-02,358.13,368.64,352.98,365.14,191209
2017-01-03,368.64,379.52,368.0,376.58,307917
2017-01-04,377.6,379.2,366.11,368.42,95667
2017-01-05,372.45,376.96,370.5,375.78,51280
2017-01-06,377.44,381.68,372.48,373.68,118665
2017-01-09,373.17,396.48,371.2,377.94,279999
2017-01-10,381.41,382.72,372.93,381.49,266328
2017-01-11,383.98,385.6,376.67,378.74,231507
2017-01-12,381.76,391.04,376.99,389.55,240703
2017-01-13,390.34,392.96,384.96,386.0,179047
2017-01-16,386.43,389.76,381.76,383.15,74394
2017-01-17,384.64,390.4,381.82,384.14,174236
2017-01-18,384.14,384.14,377.63,380.58,179450
2017-01-19,383.04,383.04,375.49,377.7,169047
2017-01-20,377.92,379.06,371.7,374.64,210335
2017-01-23,377.12,380.48,371.52,374.53,87524
2017-01-24,377.44,382.83,374.77,381.36,127857
2017-01-25,381.76,383.82,379.52,382.02,252342
2017-01-27,379.52,387.82,379.52,385.02,110007
2017-01-30,381.3,387.84,381.3,385.02,74402
2017-01-31,386.21,386.21,363.52,379.34,1287712
2017-02-01,380.8,385.28,372.42,380.75,283047
2017-02-02,384.32,384.32,374.08,382.82,225016
2017-02-03,383.3,392.0,377.81,389.25,169179
2017-02-06,391.2,415.68,385.94,406.51,1479119
2017-02-07,410.5,412.72,400.03,403.01,428874
2017-02-08,404.48,414.4,403.52,412.35,242830
2017-02-09,414.4,422.08,411.36,420.19,254624
2017-02-10,422.4,426.24,420.24,424.56,264718
2017-02-13,427.2,427.52,413.07,417.25,312503
2017-02-14,416.0,416.0,395.84,408.56,711557
2017-02-15,406.08,406.08,392.66,393.49,363673
2017-02-16,392.96,399.63,392.34,394.83,218970
2017-02-17,396.78,397.82,389.76,390.88,176648
2017-02-20,392.64,396.08,391.04,391.89,238552
2017-02-21,391.36,394.42,391.22,391.89,84972
2017-02-22,391.17,391.66,385.06,388.75,166600
2017-02-23,387.2,391.01,378.56,379.68,157381
2017-02-27,380.1,392.32,377.6,389.63,759911
2017-02-28,390.08,394.46,385.28,389.09,637964
2017-03-01,392.0,394.24,389.23,391.57,361212
2017-03-02,393.6,395.42,389.22,392.9,340665
2017-03-03,393.6,396.48,392.0,394.7,177274
2017-03-06,398.22,399.04,393.62,396.18,151578
2017-03-07,397.97,401.57,396.34,399.07,197107
2017-03-08,397.15,397.44,384.66,392.85,495160
2017-03-09,392.64,394.56,388.8,390.38,249386
2017-03-10,390.72,401.33,388.98,397.25,207580
2017-03-14,401.76,405.28,395.87,397.38,434364
2017-03-15,399.79,404.78,395.84,401.31,227607
2017-03-16,403.04,404.86,391.54,396.82,493759
2017-03-17,399.68,402.56,394.29,397.25,484456
2017-03-20,396.91,405.98,396.91,399.15,337603
2017-03-21,401.57,402.85,395.57,396.72,267212
2017-03-22,395.52,398.4,389.6,397.23,1228715
2017-03-23,400.64,402.56,396.94,398.54,159816
2017-03-24,400.26,405.44,399.23,400.13,300909
2017-03-27,403.2,403.55,393.63,395.02,298583
2017-03-28,395.87,399.68,392.0,398.05,600856
2017-03-29,399.04,403.65,395.07,402.51,411222
2017-03-30,402.51,410.54,397.15,405.7,736522
2017-03-31,409.36,412.19,405.95,407.58,341086
2017-04-03,407.62,412.24,399.71,404.48,767825
2017-04-05,394.4,409.48,393.76,405.12,1486402
2017-04-06,410.0,424.0,409.5,420.72,956282
2017-04-07,423.42,455.54,419.0,448.5,1985383
2017-04-10,455.98,458.4,441.02,452.52,640747
2017-04-11,452.12,464.4,451.52,462.04,469120
2017-04-12,464.0,466.0,454.42,458.64,361688
2017-04-13,459.14,475.2,456.42,471.6,441801
2017-04-17,474.0,476.0,461.64,473.5,366603
2017-04-18,470.6,478.8,470.4,476.24,347343
2017-04-19,476.28,491.0,474.0,487.38,450249
2017-04-20,488.0,496.0,464.82,471.18,948265
2017-04-21,474.0,482.68,470.06,477.74,381886
2017-04-24,479.98,484.1,472.44,481.56,210906
2017-04-25,482.04,487.22,480.68,485.44,347517
2017-04-26,486.0,490.74,483.2,485.44,259115
2017-04-27,485.98,489.74,480.4,484.7,313782
2017-04-28,485.24,488.74,484.64,487.14,346838
2017-05-02,487.2,487.5,477.02,479.84,313993
2017-05-03,479.6,485.98,468.0,469.48,141005
2017-05-04,473.64,480.0,469.4,476.14,174777
2017-05-05,475.98,476.84,470.48,475.98,184255
2017-05-08,475.86,485.2,466.36,472.22,409096
2017-05-09,477.0,480.26,468.8,478.54,198621
2017-05-10,480.0,484.8,475.6,477.56,204708
2017-05-11,483.9,483.9,458.42,465.56,390323
2017-05-12,468.0,474.8,464.74,473.16,242335
2017-05-15,477.16,477.16,470.02,473.02,126323
2017-05-16,475.94,487.08,474.64,479.72,437139
2017-05-17,480.0,483.98,474.1,477.68,130132
2017-05-18,474.0,484.0,470.46,478.18,358451
2017-05-19,482.0,492.0,476.0,479.28,455424
2017-05-22,482.8,487.0,473.2,480.06,274347
2017-05-23,480.4,500.64,467.2,488.4,1129857
2017-05-24,494.12,500.0,469.18,471.88,733720
2017-05-25,474.54,477.66,458.32,461.94,487331
2017-05-26,475.56,486.4,474.24,483.4,674182
2017-05-29,485.56,485.56,459.24,472.12,298222
2017-05-30,475.96,475.96,460.94,466.76,131564
2017-05-31,468.0,473.12,462.4,464.08,359461
2017-06-01,466.7,467.98,456.86,464.86,389400
2017-06-02,465.2,470.0,463.18,465.02,244375
2017-06-05,467.96,470.94,464.8,469.08,138853
2017-06-06,471.08,472.0,465.68,468.18,96126
2017-06-07,471.56,472.8,468.18,470.5,253297
2017-06-08,475.2,475.2,464.8,466.34,171953
2017-06-09,467.78,474.54,462.5,472.3,158864
2017-06-12,472.0,474.0,466.74,469.04,64324
2017-06-13,469.04,470.64,465.82,467.62,85032
2017-06-14,469.56,469.56,454.3,459.28,187031
2017-06-15,461.16,464.36,452.44,454.44,97917
2017-06-16,456.8,459.2,450.4,454.28,221250
2017-06-19,454.88,461.06,448.0,453.12,161886
2017-06-20,455.68,479.48,452.08,474.58,635995
2017-06-21,480.0,482.66,473.64,477.34,853721
2017-06-22,478.36,485.32,476.84,479.62,472348
2017-06-23,480.4,481.98,462.96,465.68,236039
2017-06-27,468.4,468.4,450.3,453.54,242825
2017-06-28,454.3,473.6,451.24,452.84,300686
2017-06-29,455.76,460.08,451.64,453.42,343118
2017-06-30,453.42,462.0,449.46,458.42,201186
2017-07-03,460.0,466.0,456.22,462.52,96869
2017-07-04,461.18,471.4,461.18,466.46,142517
2017-07-05,466.8,471.16,463.06,466.42,82432
2017-07-06,466.42,470.92,465.08,467.14,72844
2017-07-07,465.2,474.9,465.2,473.5,104628
2017-07-10,480.0,482.6,472.6,480.1,62012
2017-07-11,480.4,485.58,467.02,469.38,235884
2017-07-12,471.16,477.9,468.84,469.98,139760
2017-07-13,471.2,475.32,467.2,471.16,286102
2017-07-14,471.16,477.0,468.0,469.18,183613
2017-07-17,471.6,473.94,466.92,470.9,264504
2017-07-18,468.96,477.6,468.4,474.64,441144
2017-07-19,474.48,477.96,470.8,471.86,243591
2017-07-20,474.56,477.16,470.44,472.04,97494
2017-07-21,472.04,475.94,469.26,472.22,408109
2017-07-24,475.54,475.54,468.0,470.58,226412
2017-07-25,472.96,472.96,467.2,468.3,304561
2017-07-26,468.3,471.66,466.4,469.2,258259
2017-07-27,470.32,474.08,463.54,465.76,346168
2017-07-28,465.6,466.0,455.2,456.5,246053
2017-07-31,456.84,461.2,454.34,457.54,206389
2017-08-01,471.16,479.96,467.62,470.28,896563
2017-08-02,473.2,474.58,467.22,469.0,245106
2017-08-03,470.76,486.4,468.4,471.9,647280
2017-08-04,473.58,480.72,469.6,471.84,607373
2017-08-07,475.12,483.52,472.06,473.76,285967
2017-08-08,473.76,476.94,460.9,467.42,267317
2017-08-09,464.4,476.36,458.06,467.54,229607
2017-08-10,465.88,470.16,456.18,458.18,232209
2017-08-11,455.2,466.74,438.44,463.18,416998
2017-08-14,470.0,471.6,464.66,468.02,244495
2017-08-16,470.0,499.52,470.0,492.16,793455
2017-08-17,492.8,507.08,492.16,496.7,543798
2017-08-18,495.6,506.76,490.4,501.66,489938
2017-08-21,507.6,515.84,484.46,488.78,775918
2017-08-22,492.0,514.0,488.94,510.56,738465
2017-08-23,514.0,521.8,500.0,503.2,1286392
2017-08-24,507.56,510.02,502.2,507.12,350989
2017-08-28,506.26,516.4,503.78,514.76,209473
2017-08-29,512.8,512.8,500.6,503.96,173199
2017-08-30,504.2,526.4,504.2,524.54,449887
2017-08-31,527.98,537.6,525.2,527.96,842115
2017-09-01,528.96,535.08,528.96,533.34,296266
2017-09-04,530.4,532.38,517.72,526.62,385346
2017-09-05,526.0,542.72,526.0,540.12,385300
2017-09-06,534.0,558.18,528.0,554.6,689719
2017-09-07,559.74,560.0,547.22,550.0,461521
2017-09-08,554.4,554.8,539.66,543.94,349123
2017-09-11,547.52,565.2,547.44,562.6,1175797
2017-09-12,563.6,563.6,553.8,559.72,636737
2017-09-13,562.0,563.2,546.0,548.34,379516
2017-09-14,553.2,557.88,536.52,545.7,529788
2017-09-15,552.5,553.9,538.42,541.9,1710524
2017-09-18,545.2,551.6,542.8,546.82,132891
2017-09-19,549.16,551.52,540.4,541.76,120029
2017-09-20,542.96,549.54,542.88,546.26,205402
2017-09-21,546.0,547.76,533.4,537.4,162499
2017-09-22,536.0,536.0,520.0,522.64,205007
2017-09-25,522.8,522.8,503.06,513.6,368152
2017-09-26,512.9,520.4,506.02,515.4,344892
2017-09-27,516.1,519.08,502.0,505.04,371394
2017-09-28,506.56,542.98,500.34,527.74,612950
2017-09-29,525.08,541.44,518.44,538.66,459137
2017-10-03,544.0,544.0,524.26,530.0,376062
2017-10-04,531.16,534.4,525.58,531.18,347327
2017-10-05,531.18,540.12,525.74,529.1,263799
2017-10-06,529.2,535.18,528.06,531.34,262852
2017-10-09,534.8,534.8,528.5,529.88,105999
2017-10-10,534.8,540.88,528.86,531.7,544214
2017-10-11,535.16,539.7,518.94,523.56,377417
2017-10-12,528.92,546.0,528.92,542.34,444281
2017-10-13,545.78,548.4,535.44,545.74,441317
2017-10-16,546.8,554.12,540.0,543.78,267567
2017-10-17,538.4,547.2,533.02,536.62,632834
2017-10-18,537.94,542.78,526.68,528.88,484296
2017-10-19,532.4,533.28,522.0,527.7,18359
2017-10-23,525.8,537.6,522.8,532.6,417356
2017-10-24,536.0,544.0,530.02,536.24,153392
2017-10-25,538.0,547.12,532.98,543.78,267090
2017-10-26,540.4,559.68,537.0,547.28,603917
2017-10-27,547.92,553.84,538.1,545.76,302146
2017-10-30,545.4,550.32,538.38,548.36,305084
2017-10-31,546.5,559.6,544.84,552.94,730883
2017-11-01,556.74,562.0,529.22,556.04,692203
2017-11-02,552.8,556.9,544.18,551.78,666122
2017-11-03,551.6,558.8,547.62,551.96,348699
2017-11-06,552.8,567.2,552.8,556.7,601993
2017-11-07,556.8,562.38,529.62,531.54,549008
2017-11-08,535.24,544.0,531.44,535.36,130508
2017-11-09,536.44,545.68,531.2,534.74,220833
2017-11-10,531.6,541.98,531.6,539.86,162806
2017-11-13,543.6,545.6,535.14,536.12,232971
2017-11-14,537.24,540.0,529.2,534.78,176708
2017-11-15,534.3,544.06,529.4,533.06,97422
2017-11-16,533.96,538.76,520.4,530.02,183431
2017-11-17,535.2,543.16,533.28,538.14,235413
2017-11-20,539.5,556.0,536.82,544.98,493866
2017-11-21,550.8,553.56,538.82,542.82,174648
2017-11-22,542.8,547.48,540.4,543.72,404086
2017-11-23,544.0,544.0,532.62,534.62,162255
2017-11-24,538.0,542.1,533.02,538.36,145619
2017-11-27,540.26,540.26,525.58,531.74,262240
2017-11-28,531.2,535.98,526.8,532.42,292203
2017-11-29,533.6,534.8,529.46,531.02,125269
2017-11-30,530.0,530.36,521.58,523.2,295388
2017-12-01,527.44,527.44,508.68,511.1,285942
2017-12-04,512.0,521.6,504.44,518.54,222819
2017-12-05,519.96,519.96,511.34,516.02,121011
2017-12-06,514.0,524.0,512.2,519.88,307307
2017-12-07,521.6,527.54,516.42,521.3,271354
2017-12-08,521.98,523.2,517.3,519.78,204335
2017-12-11,523.2,523.2,516.0,519.74,304114
2017-12-12,519.6,522.4,517.34,519.72,290210
2017-12-13,515.2,520.14,514.84,518.28,122520
2017-12-14,514.0,520.0,510.8,516.38,56626
2017-12-15,520.0,520.8,516.38,519.8,162469
2017-12-18,519.8,526.36,504.56,524.06,131659
2017-12-19,525.56,540.0,524.48,538.64,251699
2017-12-20,538.8,544.08,536.0,539.92,216937
2017-12-21,542.4,546.7,539.42,542.4,201956
2017-12-22,542.4,547.2,539.46,545.16,202321
2017-12-26,548.76,559.18,544.8,557.7,152754
2017-12-27,559.98,567.6,540.96,544.66,348008
2017-12-28,544.66,557.24,540.82,550.24,232201
2017-12-29,551.96,557.54,548.08,551.74,163615
2018-01-01,555.2,570.0,547.2,548.3,68768
2018-01-02,551.56,551.56,538.0,541.08,93223
2018-01-03,546.0,551.32,539.96,548.02,125692
2018-01-04,548.02,558.56,544.88,550.52,497555
2018-01-05,553.16,554.0,549.32,551.72,130239
