Date,Open,High,Low,Close,Volume
2016-09-15,293.65,295.5,290.05,293.9,879097
2016-09-16,294.95,297.5,291.6,292.8,787652
2016-09-19,293.7,295.5,291.5,294.4,554995
2016-09-20,294.15,294.65,290.65,291.25,829871
2016-09-21,292.8,292.8,288.5,289.65,754702
2016-09-22,291.5,292.35,284.5,285.35,1749893
2016-09-23,283.3,285.4,281.5,282.25,1229928
2016-09-26,281.0,283.6,280.1,281.65,670064
2016-09-27,281.75,283.8,279.2,282.2,514394
2016-09-28,282.6,284.55,276.25,277.3,1505510
2016-09-29,279.9,279.9,269.3,270.6,1464634
2016-09-30,269.55,272.0,266.4,271.2,2636152
2016-10-03,272.1,278.7,271.2,276.5,3794016
2016-10-04,279.4,281.15,278.0,280.05,1676565
2016-10-05,280.6,283.9,279.2,283.05,4777111
2016-10-06,284.3,288.3,284.0,286.55,2764487
2016-10-07,286.55,286.55,283.55,284.65,1622298
2016-10-10,285.05,287.4,284.75,286.35,609807
2016-10-13,286.0,286.4,282.85,283.7,1855177
2016-10-14,283.8,285.0,279.25,279.9,1110150
2016-10-17,279.0,280.45,271.0,271.9,1415928
2016-10-18,271.15,276.4,271.15,275.0,1155764
2016-10-19,275.05,280.35,275.05,277.2,864550
2016-10-20,277.6,282.95,276.85,281.0,1067395
2016-10-21,281.4,285.8,280.25,285.15,1128598
2016-10-24,285.5,285.8,282.15,284.05,430543
2016-10-25,283.85,285.9,282.55,285.1,617238
2016-10-26,285.5,300.5,280.0,296.7,8561547
2016-10-27,294.0,294.5,289.0,290.5,6347929
2016-10-28,289.9,292.6,287.45,291.55,2385836
2016-10-30,293.0,294.0,291.0,292.05,47624
2016-11-01,292.0,294.0,290.6,291.25,3185803
2016-11-02,292.5,298.8,288.35,294.95,2247140
2016-11-03,295.0,298.5,290.7,293.15,2018310
2016-11-04,293.65,301.2,292.9,298.5,2166149
2016-11-07,300.6,303.0,296.05,297.2,2768060
2016-11-08,299.6,299.8,296.0,297.75,1398512
2016-11-09,285.0,299.4,272.45,298.45,2575414
2016-11-10,300.0,305.0,296.4,297.5,1356394
2016-11-11,296.0,296.95,277.5,280.45,1628731
2016-11-15,283.4,283.45,269.5,270.75,2138839
2016-11-16,272.3,280.2,272.3,275.05,1380725
2016-11-17,275.05,280.4,275.05,276.5,927865
2016-11-18,276.5,280.15,274.4,278.45,731690
2016-11-21,278.45,280.65,274.55,276.05,831994
2016-11-22,277.3,280.0,274.25,275.95,935629
2016-11-23,278.4,284.45,275.15,281.5,1358410
2016-11-24,281.9,281.9,275.1,276.25,1863802
2016-11-25,278.95,278.95,274.8,275.4,329605
2016-11-28,275.0,279.3,274.75,277.9,622317
2016-11-29,277.85,279.9,275.7,277.95,887651
2016-11-30,278.65,286.0,276.2,283.55,2231471
2016-12-01,285.05,288.3,283.6,286.1,1049834
2016-12-02,282.55,285.65,282.0,283.95,798369
2016-12-05,284.3,288.15,284.25,286.45,706207
2016-12-06,285.0,285.0,279.05,280.45,1718011
2016-12-07,278.4,281.0,277.2,279.55,601798
2016-12-08,280.75,282.15,277.35,279.0,918254
2016-12-09,280.0,281.6,277.7,279.45,610133
2016-12-12,279.65,280.05,275.75,276.25,244981
2016-12-13,276.85,282.2,274.0,280.85,2967017
2016-12-14,281.25,282.4,275.0,275.4,573242
2016-12-15,274.0,274.8,270.85,271.35,671616
2016-12-16,271.35,272.25,269.8,271.15,645359
2016-12-19,272.35,272.35,268.2,268.95,764992
2016-12-20,270.0,276.05,268.35,274.65,821349
2016-12-21,276.0,276.35,270.9,271.45,643909
2016-12-22,271.9,272.2,265.0,265.5,834987
2016-12-23,265.0,266.2,261.5,262.05,752585
2016-12-26,260.75,264.1,259.15,259.95,434029
2016-12-27,260.3,271.0,260.3,270.5,482175
2016-12-28,271.0,275.6,269.9,274.1,887133
2016-12-29,274.0,275.9,272.55,274.4,1210890
2016-12-30,274.0,279.7,273.55,278.15,469730
2017-01-02,278.0,278.4,274.4,277.15,265516
2017-01-03,277.5,278.0,274.4,275.5,450185
2017-01-04,275.1,278.2,272.9,276.55,2110365
2017-01-05,278.15,279.95,276.95,278.85,508994
2017-01-06,279.25,280.5,275.5,276.6,782100
2017-01-09,276.3,278.4,273.0,273.6,739964
2017-01-10,274.0,278.7,274.0,277.65,1585599
2017-01-11,278.8,280.0,277.0,278.5,1122729
2017-01-12,278.5,284.0,278.0,278.85,1149906
2017-01-13,279.2,282.6,279.2,281.65,477422
2017-01-16,281.1,282.1,277.05,277.5,406335
2017-01-17,279.2,282.95,274.95,277.9,816845
2017-01-18,278.95,282.0,277.95,278.6,679046
2017-01-19,279.0,280.1,275.6,276.9,1091009
2017-01-20,276.9,278.0,274.0,275.9,773746
2017-01-23,275.25,277.3,274.2,276.85,552232
2017-01-24,277.0,278.4,275.25,277.3,1147148
2017-01-25,277.55,284.0,275.6,281.25,1898277
2017-01-27,283.0,284.0,276.1,277.1,998644
2017-01-30,277.0,281.0,275.1,280.2,436981
2017-01-31,280.2,281.0,273.6,276.0,1578474
2017-02-01,277.75,278.0,274.3,277.35,1822865
2017-02-02,278.7,278.7,271.5,273.85,1527342
2017-02-03,275.4,275.7,267.75,268.2,2088875
2017-02-06,269.9,271.75,268.2,270.05,883622
