Date,Open,High,Low,Close,Volume
2016-09-15,1310.0,1341.95,1305.35,1337.8,403832
2016-09-16,1351.45,1360.2,1331.25,1342.6,573650
2016-09-19,1339.0,1354.9,1242.5,1344.5,452375
2016-09-20,1353.95,1357.15,1333.25,1336.4,329038
2016-09-21,1336.0,1347.7,1325.0,1329.25,189804
2016-09-22,1339.5,1343.4,1322.0,1329.0,226991
2016-09-23,1330.5,1344.3,1315.0,1334.95,346847
2016-09-26,1339.0,1351.35,1323.5,1332.35,292044
2016-09-27,1338.0,1340.95,1310.75,1319.8,168646
2016-09-28,1320.0,1323.0,1310.75,1318.3,264258
2016-09-29,1320.0,1326.45,1220.0,1295.05,1097313
2016-09-30,1275.5,1300.0,1270.0,1290.8,233870
2016-10-03,1291.0,1318.0,1291.0,1299.8,333442
2016-10-04,1305.0,1311.5,1293.4,1298.65,197552
2016-10-05,1306.0,1311.45,1269.0,1283.95,434420
2016-10-06,1280.0,1292.0,1264.5,1269.4,641255
2016-10-07,1269.45,1280.95,1264.0,1271.65,311475
2016-10-10,1280.0,1280.0,1261.1,1264.65,163028
2016-10-13,1264.65,1269.95,1230.85,1246.5,300081
2016-10-14,1250.0,1255.9,1230.25,1234.6,251771
2016-10-17,1236.1,1244.65,1211.0,1224.55,341435
2016-10-18,1215.0,1284.8,1215.0,1279.55,498335
2016-10-19,1279.0,1280.0,1261.25,1267.95,169237
2016-10-20,1269.35,1279.9,1250.0,1256.25,139088
2016-10-21,1256.0,1279.75,1241.1,1274.5,273426
2016-10-24,1282.0,1289.35,1256.3,1266.3,174109
2016-10-25,1262.15,1296.9,1262.15,1277.6,396724
2016-10-26,1281.0,1287.5,1264.0,1275.4,183546
2016-10-27,1276.8,1303.8,1265.0,1276.2,1586411
2016-10-28,1277.6,1292.45,1275.05,1279.9,302744
2016-10-30,1279.0,1291.7,1274.1,1288.95,38338
2016-11-01,1290.0,1297.0,1281.55,1287.6,243446
2016-11-02,1275.0,1285.0,1255.45,1267.35,369096
2016-11-03,1267.35,1273.0,1251.1,1259.65,267019
2016-11-04,1260.0,1264.95,1213.4,1253.95,280678
2016-11-07,1270.0,1279.3,1256.35,1266.8,362185
2016-11-08,1266.9,1266.9,1236.3,1245.05,173337
2016-11-09,1175.0,1260.0,1130.0,1251.6,496344
2016-11-10,1267.5,1277.0,1244.5,1255.6,135935
2016-11-11,1245.0,1256.0,1209.95,1221.05,287849
2016-11-15,1205.0,1205.0,1142.65,1161.5,756365
2016-11-16,1180.0,1180.0,1111.0,1153.05,542704
2016-11-17,1153.85,1175.0,1121.05,1167.0,279284
2016-11-18,1154.0,1190.0,1150.0,1184.2,190525
2016-11-21,1191.75,1197.45,1156.3,1169.9,424566
2016-11-22,1180.0,1187.8,1148.05,1179.35,356426
2016-11-23,1182.0,1191.1,1167.0,1177.7,235062
2016-11-24,1162.6,1175.35,1142.5,1147.65,565194
2016-11-25,1148.1,1168.95,1130.0,1155.05,501144
2016-11-28,1155.0,1174.45,1149.65,1166.2,322168
2016-11-29,1166.2,1193.6,1158.0,1174.45,179598
2016-11-30,1174.45,1189.8,1163.0,1174.0,519489
2016-12-01,1184.0,1184.0,1141.2,1150.35,409981
2016-12-02,1140.0,1145.2,1122.4,1135.85,315145
2016-12-05,1135.85,1149.75,1129.1,1132.35,281718
2016-12-06,1136.0,1163.45,1136.0,1154.25,252914
2016-12-07,1162.0,1166.0,1140.8,1160.75,384693
2016-12-08,1119.0,1174.0,1088.55,1161.0,1392033
2016-12-09,1164.0,1169.4,1145.5,1161.5,143298
2016-12-12,1162.0,1162.3,1142.7,1149.65,98459
2016-12-13,1150.0,1171.65,1141.8,1160.35,387406
2016-12-14,1161.65,1184.0,1160.1,1171.8,296015
