Date,Open,High,Low,Close,Volume
2016-09-15,144.25,146.4,142.25,144.5,10577943
2016-09-16,145.7,149.35,145.2,146.3,12364546
2016-09-19,147.1,152.6,145.6,152.0,12049100
2016-09-20,152.65,152.7,146.15,147.55,8883681
2016-09-21,148.4,150.2,147.5,148.15,4976653
2016-09-22,150.1,154.2,149.35,153.75,8962007
2016-09-23,155.45,159.2,153.25,155.9,17333176
2016-09-26,154.8,156.65,150.1,152.95,9509307
2016-09-27,153.7,154.75,151.2,153.4,6374076
2016-09-28,153.75,156.9,152.9,156.0,6905698
2016-09-29,157.6,158.0,138.1,140.05,16630508
2016-09-30,140.05,147.15,140.0,146.15,10650160
2016-10-03,148.0,153.7,148.0,152.85,10778413
2016-10-04,153.95,154.3,151.1,153.4,7469692
2016-10-05,154.35,160.3,152.3,158.9,15224569
2016-10-06,158.55,160.1,153.4,155.15,8221064
2016-10-07,155.8,157.25,154.1,155.95,6472064
2016-10-10,156.8,156.9,152.75,154.0,3988033
2016-10-13,152.9,152.9,144.85,147.75,7214854
2016-10-14,149.0,151.55,146.55,150.2,5895646
2016-10-17,150.95,151.8,145.65,146.75,7234378
2016-10-18,147.9,152.15,147.25,151.6,5252551
2016-10-19,152.35,152.35,149.1,150.4,4015890
2016-10-20,152.7,155.3,151.65,153.9,5925299
2016-10-21,155.15,157.3,153.15,156.15,6980247
2016-10-24,156.55,157.8,153.4,155.15,5602564
2016-10-25,155.6,155.7,153.1,154.1,3427736
2016-10-26,153.5,155.5,150.5,152.05,4650948
2016-10-27,151.2,152.2,146.5,148.55,7269720
2016-10-28,149.0,151.25,148.7,150.5,4626709
2016-10-30,151.3,151.3,149.75,150.25,600958
2016-11-01,150.3,151.9,148.5,149.55,4973982
2016-11-02,147.9,148.0,144.0,144.85,6209733
2016-11-03,144.8,146.8,142.4,143.2,4951613
2016-11-04,144.0,144.2,138.1,139.3,6647178
2016-11-07,141.0,145.25,140.6,144.05,7378917
2016-11-08,144.55,144.8,141.25,143.35,4029122
2016-11-09,129.05,129.05,108.35,118.6,36191940
2016-11-10,120.45,136.35,120.3,125.5,32695378
2016-11-11,121.0,121.35,112.6,116.45,23755323
