Date,Open,High,Low,Close,Volume
2016-09-15,2260.0,2268.0,2226.6,2244.0,39284
2016-09-16,2250.1,2323.99,2250.1,2313.52,55294
2016-09-19,2304.3,2333.28,2300.0,2312.93,29134
2016-09-20,2326.05,2354.5,2315.6,2342.78,55909
2016-09-21,2342.0,2428.0,2333.37,2419.87,95652
2016-09-22,2441.5,2485.0,2426.58,2480.9,71474
2016-09-23,2484.4,2500.0,2455.0,2485.32,53795
2016-09-26,2484.0,2499.5,2460.5,2469.38,52009
2016-09-27,2475.2,2485.0,2448.0,2464.32,32364
2016-09-28,2462.5,2604.5,2462.0,2578.65,102186
2016-09-29,2634.4,2664.13,2445.15,2491.84,138500
2016-09-30,2514.98,2555.0,2454.94,2482.78,72690
2016-10-03,2532.0,2596.9,2514.35,2579.62,55210
2016-10-04,2598.97,2607.74,2554.2,2584.24,39827
2016-10-05,2585.0,2634.59,2561.22,2628.14,39397
2016-10-06,2628.0,2650.5,2606.13,2624.08,38261
2016-10-07,2634.0,2634.0,2575.01,2581.04,25969
2016-10-10,2591.52,2608.2,2576.18,2580.46,20010
2016-10-13,2570.0,2597.8,2556.72,2580.32,49996
2016-10-14,2598.78,2599.0,2533.1,2540.02,45733
2016-10-17,2543.01,2557.82,2456.49,2464.74,45648
2016-10-18,2479.5,2522.03,2470.0,2506.91,41222
2016-10-19,2511.0,2529.9,2490.0,2497.82,22366
2016-10-20,2514.0,2524.0,2480.0,2498.86,27484
2016-10-21,2512.4,2519.38,2481.5,2512.22,17880
2016-10-24,2520.0,2532.3,2483.0,2491.44,18311
2016-10-25,2492.0,2502.39,2459.97,2463.1,33405
2016-10-26,2471.8,2479.89,2415.96,2441.88,37644
2016-10-27,2446.0,2472.4,2405.89,2449.18,50974
2016-10-28,2476.0,2479.9,2367.63,2402.0,95398
2016-10-30,2426.0,2428.8,2395.01,2401.7,5371
2016-11-01,2435.0,2552.09,2430.13,2532.1,88482
2016-11-02,2506.78,2518.4,2473.12,2477.98,36014
2016-11-03,2483.0,2510.0,2440.2,2454.94,26096
2016-11-04,2464.0,2474.5,2377.5,2392.98,33112
2016-11-07,2427.19,2458.5,2395.5,2402.15,27450
2016-11-08,2421.1,2448.5,2388.61,2426.78,24885
2016-11-09,2300.0,2378.0,2184.2,2333.12,56053
2016-11-10,2389.93,2399.9,2289.09,2306.62,36155
2016-11-11,2289.66,2289.66,2157.3,2168.52,62471
2016-11-15,2174.0,2174.0,1953.0,2028.12,153241
2016-11-16,2070.0,2180.0,2001.0,2111.67,151643
2016-11-17,2114.85,2140.0,2066.3,2103.6,57704
2016-11-18,2118.8,2193.42,2088.1,2179.23,75234
2016-11-21,2199.99,2199.99,2010.3,2036.16,85743
2016-11-22,2061.13,2098.82,2017.2,2065.3,72049
2016-11-23,2085.01,2146.6,2065.0,2096.04,70147
2016-11-24,2077.5,2077.5,2022.2,2035.66,74821
2016-11-25,2060.66,2069.9,1993.67,2022.26,88986
2016-11-28,2025.0,2065.0,2000.0,2021.39,109774
2016-11-29,2047.5,2144.0,2032.73,2129.4,112384
2016-11-30,2150.0,2177.07,2112.34,2161.98,89239
2016-12-01,2175.0,2244.4,2162.13,2220.22,129754
