Date,Open,High,Low,Close,Volume
2016-09-15,354.85,358.0,344.0,345.65,1245246
2016-09-16,347.85,357.0,337.55,345.05,1440088
2016-09-19,348.0,353.5,345.2,348.75,1061089
2016-09-20,351.0,373.8,350.1,366.85,5495696
2016-09-21,366.9,377.9,363.1,369.4,2788170
2016-09-22,373.4,385.9,371.8,382.7,3423748
2016-09-23,383.75,384.3,377.15,380.7,1228047
2016-09-26,378.0,380.9,370.5,375.1,1138704
2016-09-27,375.45,392.7,375.45,383.3,3672759
2016-09-28,384.0,392.4,384.0,386.75,1460179
2016-09-29,388.0,391.2,331.0,365.65,3626931
2016-09-30,365.0,378.45,362.3,375.6,1655898
2016-10-03,383.4,410.0,380.0,406.9,5599743
2016-10-04,408.0,414.4,400.8,408.7,2460624
2016-10-05,410.8,412.15,400.7,402.35,1211874
2016-10-06,404.75,407.2,387.0,389.8,1279047
2016-10-07,392.5,403.0,382.6,399.3,1609544
2016-10-10,403.0,406.8,396.05,397.95,1139672
2016-10-13,393.0,396.0,375.5,384.95,1210028
2016-10-14,388.4,391.4,381.25,386.05,671739
2016-10-17,386.0,395.7,384.05,392.05,985147
2016-10-18,394.0,394.75,386.5,389.6,638916
2016-10-19,391.05,394.0,384.3,386.5,619564
2016-10-20,388.0,394.5,385.1,387.25,817805
2016-10-21,388.5,400.8,387.1,397.25,1956844
2016-10-24,397.9,403.4,391.4,397.95,1428623
2016-10-25,397.5,399.0,393.0,395.35,502899
2016-10-26,394.6,410.5,392.25,401.4,2141745
2016-10-27,403.0,413.9,371.6,379.05,5522916
2016-10-28,382.0,386.35,368.05,375.25,1227979
2016-10-30,377.05,379.7,373.25,375.75,182203
2016-11-01,378.0,386.9,377.2,379.45,1217783
2016-11-02,373.4,390.8,370.05,372.15,3177947
2016-11-03,374.0,386.4,368.55,371.6,1826502
2016-11-04,374.0,374.7,350.0,352.0,1361991
2016-11-07,360.05,365.0,355.5,357.55,693282
2016-11-08,360.8,362.0,346.0,346.85,657710
2016-11-09,299.0,336.9,290.25,332.7,1717022
2016-11-10,342.0,358.6,340.25,353.8,1227643
2016-11-11,350.0,351.35,332.1,334.7,816555
2016-11-15,335.0,335.0,295.3,299.1,1093624
2016-11-16,307.0,314.0,299.05,301.05,987574
2016-11-17,303.0,307.95,295.0,299.1,504749
2016-11-18,303.9,308.5,294.05,301.4,936451
2016-11-21,303.65,303.65,280.0,283.35,833018
2016-11-22,285.15,300.0,270.0,291.95,1556945
2016-11-23,298.7,308.95,292.2,301.45,1508773
2016-11-24,300.0,304.3,295.2,297.55,712733
2016-11-25,300.0,312.4,296.7,309.25,1267568
2016-11-28,308.2,321.5,305.15,318.9,1674151
2016-11-29,320.0,327.95,318.0,320.3,1093476
2016-11-30,323.0,328.5,318.15,322.7,1041917
2016-12-01,324.9,326.5,315.95,318.95,757011
2016-12-02,316.0,320.3,311.1,313.55,489771
2016-12-05,314.55,322.75,312.1,320.95,726691
2016-12-06,322.9,325.9,318.1,319.7,437501
2016-12-07,321.65,326.35,315.9,319.45,585863
2016-12-08,324.9,329.6,322.0,325.6,768001
2016-12-09,326.5,331.0,325.15,326.25,590532
2016-12-12,326.05,328.0,316.6,319.75,459527
2016-12-13,320.0,325.5,317.0,319.3,1984127
2016-12-14,320.4,323.15,312.75,314.65,368067
2016-12-15,309.0,321.9,308.25,319.1,669926
2016-12-16,319.9,319.9,312.25,313.4,521532
2016-12-19,313.8,313.85,303.0,305.9,399145
2016-12-20,304.1,308.45,297.1,298.1,476623
2016-12-21,299.85,300.7,285.0,286.3,1157966
2016-12-22,282.0,294.6,282.0,287.25,953137
2016-12-23,286.1,295.25,284.45,290.2,1033836
2016-12-26,288.0,289.0,277.05,279.45,518588
2016-12-27,281.0,291.5,279.35,288.95,662807
2016-12-28,290.2,297.25,288.1,289.9,529442
2016-12-29,292.0,294.3,289.1,292.65,587860
2016-12-30,294.75,301.3,292.8,296.7,740082
