Date,Open,High,Low,Close,Volume
2016-09-15,188.0,195.7,186.75,194.7,4076544
2016-09-16,196.0,199.5,190.7,193.45,4534526
2016-09-19,194.95,195.9,190.7,194.05,2091804
2016-09-20,194.15,196.7,192.75,195.1,2267840
2016-09-21,194.7,196.55,191.4,192.1,1797980
2016-09-22,196.5,197.85,193.95,194.95,4533720
2016-09-23,195.7,195.8,192.35,193.05,4567335
2016-09-26,192.5,195.75,191.65,192.45,2194534
2016-09-27,192.5,194.45,188.15,189.0,1843443
2016-09-28,190.0,192.25,188.5,190.05,2178342
2016-09-29,192.0,192.0,176.5,181.35,4729193
2016-09-30,183.75,185.25,177.25,183.0,7648513
2016-10-03,184.0,189.15,184.0,188.5,1928025
2016-10-04,189.9,191.75,187.85,190.2,1903422
2016-10-05,190.4,195.3,189.2,194.4,3273245
2016-10-06,195.5,197.8,191.2,193.05,3025837
2016-10-07,193.7,194.7,191.5,193.25,1379905
2016-10-10,194.7,195.9,192.35,192.95,1086835
2016-10-13,192.5,194.1,185.7,188.1,2314329
2016-10-14,188.3,191.85,187.7,191.05,1405202
2016-10-17,191.2,192.8,184.75,185.35,1622876
2016-10-18,186.0,193.8,185.95,193.35,1815245
2016-10-19,194.45,197.0,191.2,195.8,1858926
2016-10-20,198.95,202.0,197.7,199.15,3351828
2016-10-21,199.85,205.0,196.5,204.05,3759596
2016-10-24,204.9,206.5,201.4,202.25,2429876
2016-10-25,202.25,204.15,201.3,203.5,1320176
2016-10-26,203.5,207.65,201.35,202.5,3797554
2016-10-27,205.9,207.0,189.5,191.1,7311151
2016-10-28,192.8,197.5,192.0,195.75,2993229
2016-10-30,197.6,199.9,197.0,198.45,851565
2016-11-01,198.9,204.8,197.5,202.95,3198670
2016-11-02,200.75,201.8,196.2,197.7,2840408
2016-11-03,196.8,198.65,192.0,192.8,1454647
2016-11-04,192.0,195.45,186.6,188.8,3801480
2016-11-07,192.0,195.35,191.2,193.35,1248976
2016-11-08,195.95,195.95,191.6,194.2,1267951
2016-11-09,180.0,192.0,174.8,190.3,5232128
2016-11-10,192.5,198.0,192.5,193.6,1656389
2016-11-11,190.5,193.5,179.65,181.05,2669109
2016-11-15,180.5,180.9,168.45,172.85,3543943
2016-11-16,176.0,182.0,172.1,178.25,3881207
2016-11-17,178.0,181.45,175.3,178.2,2363238
2016-11-18,179.95,181.0,176.45,178.35,1267009
2016-11-21,178.5,179.4,169.3,170.65,2401072
2016-11-22,172.5,177.9,169.8,174.7,1410444
2016-11-23,177.0,177.45,173.3,175.0,1523936
2016-11-24,173.6,174.3,170.1,171.05,1992879
2016-11-25,172.2,176.7,171.45,175.7,1019090
2016-11-28,176.85,177.9,173.85,174.4,1090792
2016-11-29,175.0,179.5,174.5,178.2,2098950
2016-11-30,179.2,181.8,177.1,181.15,2180206
2016-12-01,182.0,183.8,178.2,179.05,1975865
2016-12-02,177.5,178.95,175.45,175.95,965717
2016-12-05,175.6,178.15,174.5,176.7,754343
2016-12-06,177.35,179.5,176.75,177.3,449746
2016-12-07,177.95,178.45,174.75,175.65,751283
2016-12-08,176.8,179.35,176.55,178.55,1061652
2016-12-09,179.15,180.25,177.8,179.3,922556
2016-12-12,179.0,179.1,173.85,174.9,1158551
2016-12-13,175.0,175.25,171.55,172.75,1904672
2016-12-14,172.0,172.25,171.0,171.55,1493221
2016-12-15,170.25,176.7,170.05,174.9,2068257
2016-12-16,175.2,176.5,174.2,175.45,1251807
2016-12-19,175.0,176.2,173.85,175.35,732902
2016-12-20,175.9,177.65,173.0,173.75,1342826
2016-12-21,173.75,175.5,172.3,173.1,790297
2016-12-22,172.4,173.25,171.0,172.05,898286
2016-12-23,171.9,174.5,171.3,173.3,1042487
2016-12-26,172.5,175.0,170.2,173.05,1970757
2016-12-27,172.1,177.45,172.0,176.85,1842373
2016-12-28,178.75,180.5,176.9,177.65,1559979
2016-12-29,177.8,179.75,176.95,178.95,1562646
2016-12-30,179.2,181.2,178.9,180.1,1004842
2017-01-02,181.0,184.0,180.3,183.05,923408
