Date,Open,High,Low,Close,Volume
2016-09-15,72.75,72.9,70.2,71.55,7865539
2016-09-16,72.0,73.55,71.9,72.45,11056353
2016-09-19,72.65,74.45,72.2,74.05,5894406
2016-09-20,74.1,74.15,71.5,71.9,6794459
2016-09-21,72.35,72.45,70.7,71.0,6666568
2016-09-22,71.9,73.95,71.65,73.2,24121594
2016-09-23,73.75,73.85,72.4,72.9,6961736
2016-09-26,72.35,74.2,72.2,72.95,6201472
2016-09-27,73.3,73.65,72.3,72.4,5441100
2016-09-28,72.45,75.85,72.4,75.55,29019523
2016-09-29,76.6,76.65,68.15,70.3,18495629
2016-09-30,70.2,72.6,69.55,72.0,6218299
2016-10-03,73.0,74.7,72.45,74.3,4341550
2016-10-04,74.9,75.8,73.95,75.4,7429132
2016-10-05,75.6,75.95,73.95,74.3,6759451
2016-10-06,74.35,74.7,72.5,73.05,4579197
2016-10-07,73.35,73.6,72.65,73.2,3069265
2016-10-10,73.3,73.6,72.5,73.0,2972760
2016-10-13,72.65,72.8,69.25,70.55,5978148
2016-10-14,70.75,71.2,69.9,70.95,6368612
2016-10-17,71.3,71.7,69.65,70.1,5675890
2016-10-18,70.2,72.35,70.2,71.9,3867227
2016-10-19,72.2,72.2,70.4,70.6,4782306
2016-10-20,71.95,73.75,70.8,73.25,6750740
2016-10-21,73.0,73.5,71.55,73.15,3738067
2016-10-24,73.8,75.4,72.7,75.0,6862511
2016-10-25,75.0,81.8,74.1,81.2,31819592
2016-10-26,81.05,85.95,79.85,82.0,32173604
2016-10-27,81.75,82.3,80.15,81.55,10643052
2016-10-28,81.3,83.3,80.75,81.95,6723102
2016-10-30,82.55,82.75,82.1,82.3,914865
2016-11-01,82.6,83.2,80.8,81.9,11624949
2016-11-02,80.0,80.75,78.7,79.45,5538960
2016-11-03,79.15,80.3,76.65,76.85,10153031
2016-11-04,77.45,78.4,75.05,76.6,6653592
2016-11-07,78.25,78.3,77.0,77.25,7582760
2016-11-08,77.9,78.15,76.75,77.1,12990195
2016-11-09,70.0,76.8,69.4,76.2,19145196
2016-11-10,77.4,82.0,77.4,80.3,26573364
2016-11-11,81.0,83.1,76.75,77.3,24565702
2016-11-15,77.7,78.5,70.6,73.8,16479006
2016-11-16,75.75,76.25,71.75,72.35,12966546
2016-11-17,73.0,74.25,72.15,73.05,11953021
2016-11-18,73.8,74.0,70.8,71.1,11193629
2016-11-21,71.85,71.85,65.6,66.95,17945593
2016-11-22,68.45,69.9,66.55,69.65,13321421
2016-11-23,70.1,70.7,68.65,69.6,7841378
2016-11-24,69.0,69.15,67.55,67.9,10846663
2016-11-25,68.5,71.45,68.0,70.65,9039700
2016-11-28,68.85,70.5,68.55,69.95,8137813
2016-11-29,70.45,71.0,69.35,69.55,5027929
2016-11-30,70.0,71.3,69.6,70.8,8407205
2016-12-01,70.7,71.1,69.1,69.35,4137485
2016-12-02,68.0,69.2,67.5,68.2,7125822
2016-12-05,68.3,68.8,67.7,68.2,4307805
2016-12-06,68.55,70.0,67.55,69.85,10265103
2016-12-07,70.0,72.45,68.5,69.2,22578274
2016-12-08,69.6,70.6,69.5,70.3,4566615
2016-12-09,71.2,71.65,70.0,71.2,6304513
2016-12-12,71.7,71.75,69.9,70.55,5402939
2016-12-13,70.05,71.45,69.55,70.95,4723635
2016-12-14,71.3,71.3,69.45,69.65,5276252
2016-12-15,68.5,70.7,68.5,69.45,5290219
2016-12-16,69.7,69.95,68.4,68.6,3990349
2016-12-19,68.45,68.45,67.65,68.0,3926934
2016-12-20,68.0,68.45,67.5,67.8,4616338
2016-12-21,68.0,68.4,66.75,67.0,3179052
2016-12-22,66.8,66.95,65.55,65.8,2898256
2016-12-23,66.0,66.45,64.2,65.0,7838087
2016-12-26,65.45,65.5,61.8,62.4,5115520
2016-12-27,62.85,64.85,62.6,64.3,5719244
2016-12-28,64.55,66.1,63.8,65.3,5619455
2016-12-29,65.65,66.85,64.6,66.25,12506202
2016-12-30,66.5,67.65,66.15,66.85,2818522
2017-01-02,67.1,67.55,65.7,66.05,6869503
2017-01-03,66.5,66.8,65.7,66.15,3323564
2017-01-04,66.35,66.9,65.5,65.75,3698802
2017-01-05,66.1,68.0,65.95,67.5,10842222
2017-01-06,67.75,68.5,66.95,67.2,4708592
2017-01-09,67.85,68.5,67.15,68.35,2886785
2017-01-10,68.85,70.0,68.4,69.9,6108650
2017-01-11,70.5,73.7,70.1,72.55,16348712
2017-01-12,72.8,73.75,71.8,72.35,6726583
2017-01-13,72.9,73.45,71.2,72.55,6595497
2017-01-16,72.95,75.15,72.5,74.7,8724396
2017-01-17,75.0,76.1,74.65,75.55,9160548
2017-01-18,75.6,77.0,75.55,76.8,8962794
2017-01-19,77.25,78.0,74.3,77.1,28956770
2017-01-20,77.0,79.7,76.75,78.05,22158057
2017-01-23,78.25,79.1,77.45,78.0,9675460
2017-01-24,78.25,80.0,77.9,78.55,10442500
2017-01-25,79.7,79.7,77.95,78.8,12644279
2017-01-27,79.15,79.8,78.2,78.6,8489960
2017-01-30,78.5,78.75,77.25,77.45,4483892
2017-01-31,77.5,77.6,75.45,76.05,5736347
2017-02-01,76.5,80.0,76.3,79.35,12935817
2017-02-02,79.6,84.5,78.8,83.9,19430128
2017-02-03,85.45,85.9,84.0,84.55,14665583
2017-02-06,85.5,85.5,83.15,84.0,9154207
2017-02-07,84.45,84.45,82.4,83.05,5880732
2017-02-08,83.2,84.0,81.8,83.4,8267416
2017-02-09,84.0,85.6,83.0,83.9,17910784
2017-02-10,84.4,84.9,83.55,84.45,13089790
2017-02-13,84.85,85.0,82.75,83.95,5544027
