Date,Open,High,Low,Close,Volume
2016-09-15,108.72,110.68,108.17,108.41,1322989
2016-09-16,108.84,111.24,108.84,109.24,2824595
2016-09-19,109.3,110.82,108.88,109.26,1272016
2016-09-20,109.35,110.16,108.08,108.3,1426638
2016-09-21,108.68,110.2,108.6,108.9,2989775
2016-09-22,109.86,110.82,109.22,109.7,1631134
2016-09-23,108.88,110.62,108.28,108.6,3040261
2016-09-26,108.02,108.84,105.48,105.96,1980748
2016-09-27,106.03,106.46,104.58,104.92,1951921
2016-09-28,104.92,106.54,104.92,105.6,1963154
2016-09-29,106.54,108.0,100.62,102.22,4002401
2016-09-30,102.67,105.86,102.4,105.37,1781208
2016-10-03,104.89,109.04,104.5,108.52,2924125
2016-10-04,108.56,115.88,108.56,113.19,7794482
2016-10-05,113.85,114.7,112.25,112.62,2084692
2016-10-06,113.08,118.07,112.5,116.56,4720229
2016-10-07,117.03,117.84,115.99,116.46,2384084
2016-10-10,117.0,119.34,116.08,117.88,2064756
2016-10-13,116.8,119.53,115.33,116.36,2648443
2016-10-14,116.84,121.71,116.24,121.05,4014055
2016-10-17,122.32,123.16,119.45,120.34,2081234
2016-10-18,120.63,122.26,119.98,120.66,1829719
2016-10-19,121.22,125.16,120.86,122.64,3979560
2016-10-20,123.75,124.78,121.95,123.56,2783120
2016-10-21,123.19,126.26,123.0,123.74,2548222
2016-10-24,124.7,126.84,124.24,124.89,2544401
2016-10-25,125.27,125.32,121.84,122.36,1624269
2016-10-26,122.4,122.96,120.88,121.64,1593821
2016-10-27,121.57,122.85,121.05,122.46,1577919
2016-10-28,122.43,122.43,120.63,121.9,1669981
2016-10-30,122.34,123.19,121.28,121.48,87887
2016-11-01,121.72,124.32,121.08,121.6,1754623
2016-11-02,120.66,121.4,117.93,120.36,2190915
2016-11-03,120.18,122.06,119.34,120.39,3021692
2016-11-04,120.94,121.7,118.55,119.25,1377727
2016-11-07,119.73,120.94,118.62,119.91,1134169
2016-11-08,120.43,124.18,119.3,123.5,2069839
2016-11-09,119.53,126.2,117.56,125.58,2205922
2016-11-10,127.4,128.25,125.32,126.36,1787819
2016-11-11,124.99,126.0,120.42,123.26,2415791
2016-11-15,124.6,125.66,118.3,122.6,2458762
2016-11-16,124.03,125.4,119.4,120.46,2479614
2016-11-17,119.53,122.96,119.53,122.33,1045864
2016-11-18,122.38,124.18,119.54,120.1,1339372
2016-11-21,120.94,121.92,118.12,118.36,1531111
2016-11-22,118.97,120.58,114.75,116.59,1969958
2016-11-23,117.76,118.14,114.9,115.98,1639713
2016-11-24,115.02,116.06,112.78,113.22,1585741
2016-11-25,114.44,118.04,113.53,117.34,2098418
2016-11-28,117.06,119.2,116.3,117.42,2316407
2016-11-29,117.42,120.7,117.24,120.38,3266486
2016-11-30,121.44,121.72,118.83,119.46,2489595
2016-12-01,119.82,125.27,119.8,123.66,3873167
2016-12-02,122.62,124.7,121.29,121.76,1814172
2016-12-05,121.43,122.19,119.77,120.22,1337174
2016-12-06,120.94,122.68,120.68,121.33,1746223
2016-12-07,121.5,122.4,119.28,120.25,1050988
2016-12-08,121.48,122.82,120.53,120.91,1491382
2016-12-09,121.76,122.16,120.1,120.76,856864
2016-12-12,120.3,121.01,119.02,120.68,1158021
2016-12-13,120.5,120.94,118.52,119.5,1487736
2016-12-14,119.53,119.6,117.56,117.88,1121644
2016-12-15,117.32,119.4,116.44,117.26,933776
2016-12-16,117.56,119.11,115.5,116.75,1661016
2016-12-19,116.44,120.46,116.16,119.77,2024907
2016-12-20,119.46,121.64,119.25,120.9,1732205
2016-12-21,120.94,121.71,119.02,120.98,1257221
2016-12-22,120.32,121.06,119.34,119.8,1222877
2016-12-23,119.64,122.06,117.56,121.38,1379100
2016-12-26,120.94,121.99,119.28,120.52,1262405
2016-12-27,120.66,121.18,118.34,119.26,1807494
2016-12-28,119.4,120.04,117.9,119.44,1290256
2016-12-29,119.44,121.2,117.7,119.68,4461384
2016-12-30,119.76,124.6,119.11,123.52,2795932
2017-01-02,123.75,124.23,122.06,122.38,1990102
2017-01-03,122.54,125.08,122.06,124.16,1654622
2017-01-04,124.1,125.66,123.26,123.79,1678894
2017-01-05,125.22,125.32,123.61,124.36,1760175
2017-01-06,124.99,126.78,124.03,124.46,1562639
2017-01-09,124.74,125.08,122.33,122.54,1370493
2017-01-10,122.74,124.82,122.74,123.95,2223264
2017-01-11,124.34,125.8,123.66,125.08,3490013
2017-01-12,125.16,126.28,124.09,124.33,1856147
2017-01-13,124.38,127.97,124.38,127.2,2880200
2017-01-16,127.4,128.24,125.6,125.94,1545660
2017-01-17,125.94,127.28,123.05,125.32,1759308
2017-01-18,125.72,126.5,122.68,123.61,1871178
2017-01-19,124.18,130.78,122.77,129.84,7212650
2017-01-20,130.79,132.51,128.45,129.4,5481941
2017-01-23,129.52,133.58,129.5,132.44,3434412
2017-01-24,133.32,133.72,131.82,133.46,2340642
2017-01-25,133.6,134.44,132.33,133.85,3645278
2017-01-27,135.0,138.88,135.0,135.58,5642111
2017-01-30,135.84,136.4,134.71,136.08,2087051
2017-01-31,135.28,135.43,130.78,131.66,7760191
2017-02-01,132.1,137.25,130.39,136.38,4194412
2017-02-02,135.37,136.06,133.74,134.0,3021580
2017-02-03,134.16,135.43,132.26,134.64,2057748
2017-02-06,134.92,136.27,134.3,135.69,1879113
2017-02-07,136.4,138.0,132.9,133.93,2373673
2017-02-08,134.18,137.11,133.6,136.5,1030432
2017-02-09,136.94,139.04,136.52,137.91,1973213
2017-02-10,138.66,138.66,135.31,135.94,1882148
2017-02-13,137.53,138.29,133.74,135.49,2370243
2017-02-14,135.56,139.72,135.29,139.34,3777837
2017-02-15,140.33,140.56,137.4,138.9,3169033
2017-02-16,139.24,142.03,139.08,141.46,2609464
2017-02-17,141.78,144.28,140.4,143.5,3028622
