Date,Open,High,Low,Close,Volume
2016-09-15,899.0,904.5,882.65,889.2,553580
2016-09-16,894.0,922.55,891.0,913.35,1135887
2016-09-19,919.95,929.9,907.0,920.55,881906
2016-09-20,921.7,922.0,901.5,904.6,481781
2016-09-21,909.0,911.9,897.35,901.15,348008
2016-09-22,911.15,933.45,908.05,930.0,969524
2016-09-23,935.0,954.0,932.0,945.75,1216371
2016-09-26,941.6,955.5,921.0,923.95,756638
2016-09-27,925.95,947.75,922.3,939.85,732026
2016-09-28,944.0,955.9,939.1,950.4,876765
2016-09-29,955.0,956.0,879.55,905.75,1078808
2016-09-30,906.0,926.55,898.55,923.45,442002
2016-10-03,925.0,937.9,922.8,927.25,729861
2016-10-04,930.0,945.0,930.0,939.8,476864
2016-10-05,941.0,945.95,925.2,930.55,354109
2016-10-06,932.0,944.0,906.8,923.6,509935
2016-10-07,920.0,932.75,917.2,929.95,389209
2016-10-10,934.0,940.9,925.2,927.25,1228162
2016-10-13,929.0,931.0,886.0,899.2,416633
2016-10-14,900.05,929.15,888.15,924.9,305791
2016-10-17,922.0,927.5,905.1,908.2,172137
2016-10-18,907.5,939.95,907.2,937.2,247769
2016-10-19,940.0,951.5,931.5,936.8,740728
2016-10-20,938.0,943.55,926.0,929.6,106448
2016-10-21,929.6,935.5,918.75,932.8,193088
2016-10-24,937.0,937.0,921.85,934.65,233014
2016-10-25,945.0,945.0,925.4,933.6,320460
2016-10-26,928.0,928.8,907.0,909.6,234296
2016-10-27,901.05,925.0,900.0,902.35,467300
2016-10-28,908.5,948.85,906.05,933.05,1274084
2016-10-30,939.0,940.0,933.05,935.0,39105
2016-11-01,940.0,994.0,935.0,965.25,1818810
2016-11-02,958.9,960.0,933.65,941.2,738419
2016-11-03,943.75,954.45,903.45,912.55,1131812
2016-11-04,908.45,908.45,851.3,869.15,1386257
2016-11-07,893.5,909.95,885.0,897.1,804913
2016-11-08,899.0,907.3,884.4,896.4,670444
2016-11-09,834.2,912.1,807.0,899.5,1221384
2016-11-10,915.0,926.95,912.7,915.45,719825
2016-11-11,905.0,925.0,869.55,882.3,782359
2016-11-15,884.0,903.0,860.5,870.3,500000
2016-11-16,884.8,894.5,863.0,870.4,398557
2016-11-17,871.0,888.95,865.0,883.95,268995
2016-11-18,883.8,908.8,870.5,901.4,415648
2016-11-21,908.0,908.0,872.2,884.7,591490
2016-11-22,884.35,894.95,872.65,883.4,645738
2016-11-23,885.1,909.45,881.0,903.0,507996
2016-11-24,900.0,908.95,881.8,889.3,525224
2016-11-25,892.75,910.0,882.0,906.55,616982
2016-11-28,903.7,917.3,899.0,903.1,391420
2016-11-29,906.0,906.0,881.55,886.4,624201
2016-11-30,888.2,894.5,873.1,875.6,704720
2016-12-01,884.75,889.8,872.0,876.4,447736
2016-12-02,876.55,876.6,859.3,861.85,390408
2016-12-05,862.05,874.7,852.05,871.55,559501
2016-12-06,877.0,886.75,867.25,870.35,381637
2016-12-07,872.0,877.0,862.2,871.1,314761
2016-12-08,877.0,895.0,868.55,892.05,335232
2016-12-09,893.0,907.4,878.5,903.0,438347
2016-12-12,914.0,924.8,901.8,914.3,734160
2016-12-13,924.0,924.0,906.7,913.0,384586
2016-12-14,912.0,918.0,906.0,909.85,279403
2016-12-15,904.8,913.75,887.65,905.6,211332
2016-12-16,906.65,934.0,896.75,930.0,1005458
2016-12-19,943.9,954.9,930.7,942.05,894342
2016-12-20,943.1,944.8,927.45,937.25,444686
2016-12-21,932.5,952.2,929.8,940.95,540997
2016-12-22,939.7,941.95,922.6,925.55,494341
2016-12-23,924.7,935.5,919.75,925.7,490430
2016-12-26,925.0,925.0,877.0,888.7,371496
2016-12-27,898.5,904.5,883.3,890.2,478975
2016-12-28,893.1,912.8,893.1,897.8,442329
2016-12-29,900.0,904.0,884.3,887.75,292724
2016-12-30,890.0,894.9,885.0,888.45,383931
2017-01-02,894.0,896.45,881.2,884.0,333626
2017-01-03,888.8,895.95,880.6,893.15,203525
2017-01-04,905.0,913.3,896.1,899.0,728087
2017-01-05,902.8,909.0,896.0,897.65,438398
2017-01-06,896.0,906.0,890.0,892.65,398913
2017-01-09,893.8,901.35,886.8,894.75,415833
2017-01-10,897.0,906.7,895.2,899.9,533430
2017-01-11,904.8,909.35,901.3,904.5,376303
2017-01-12,896.1,904.4,888.2,890.4,590446
2017-01-13,886.0,898.0,870.0,894.45,545047
2017-01-16,895.85,898.95,884.5,888.1,170677
2017-01-17,890.0,895.0,883.05,884.35,177065
2017-01-18,884.8,897.0,881.0,887.9,284982
2017-01-19,887.3,896.95,887.3,891.05,324075
2017-01-20,889.0,897.8,884.0,889.1,295906
2017-01-23,881.1,885.75,865.8,876.4,622495
2017-01-24,877.4,883.85,869.25,874.75,411776
2017-01-25,881.95,881.95,863.0,874.2,405061
2017-01-27,870.0,905.0,870.0,898.55,374350
2017-01-30,901.0,924.7,901.0,917.2,464068
2017-01-31,918.25,919.85,891.0,893.85,325035
2017-02-01,890.25,903.7,880.5,898.0,368099
2017-02-02,904.95,923.8,899.55,909.05,858047
2017-02-03,970.0,970.0,940.65,947.3,2365815
2017-02-06,957.0,965.25,939.6,958.65,702654
2017-02-07,958.9,972.95,953.2,959.35,438515
2017-02-08,964.0,964.0,945.1,957.7,304604
2017-02-09,957.6,968.0,945.0,955.8,684952
2017-02-10,957.9,958.4,949.15,953.15,230641
2017-02-13,952.3,957.15,933.5,941.5,237335
2017-02-14,938.6,955.8,937.7,945.75,399735
2017-02-15,944.6,944.6,913.1,927.5,329099
2017-02-16,933.7,938.0,913.0,931.75,597300
2017-02-17,939.5,953.8,933.3,946.5,403082
2017-02-20,946.0,954.7,938.2,940.65,234638
2017-02-21,925.0,955.0,917.0,950.0,421806
2017-02-22,950.0,957.95,932.0,942.85,449000
2017-02-23,940.0,950.0,926.2,933.45,796222
2017-02-27,935.0,942.0,931.25,935.05,323851
2017-02-28,930.2,942.55,922.15,925.5,358569
2017-03-01,925.0,936.75,925.0,929.45,246632
2017-03-02,934.0,944.1,901.6,905.6,497699
2017-03-03,905.0,914.0,900.6,908.2,481792
2017-03-06,912.0,917.35,904.85,910.4,345142
