Date,Open,High,Low,Close,Volume
2016-09-15,14.55,14.65,14.1,14.3,8992938
2016-09-16,14.25,14.55,13.6,13.75,14650203
2016-09-19,13.8,14.1,13.7,13.95,14242683
2016-09-20,14.05,14.1,13.7,13.8,6184465
2016-09-21,13.95,14.0,13.55,13.65,6791639
2016-09-22,13.8,14.1,13.7,14.0,12941632
2016-09-23,14.1,14.15,13.7,13.85,6286439
2016-09-26,13.8,13.9,13.55,13.6,5882411
2016-09-27,13.75,13.8,13.4,13.45,7720546
2016-09-28,13.5,13.85,13.45,13.75,7813656
2016-09-29,13.8,13.9,12.2,12.35,26270156
2016-09-30,12.35,12.85,12.3,12.7,17330244
2016-10-03,12.9,13.2,12.75,13.15,8177223
2016-10-04,13.2,13.3,13.0,13.15,6522596
2016-10-05,13.2,13.25,12.95,13.05,4628425
2016-10-06,13.1,13.4,12.8,12.85,9205748
2016-10-07,12.9,13.0,12.8,12.85,3655945
2016-10-10,12.9,13.05,12.8,12.85,2794728
2016-10-13,12.8,12.85,12.1,12.5,7853620
2016-10-14,12.55,12.7,12.3,12.65,5733789
2016-10-17,12.7,12.85,12.3,12.4,7340642
2016-10-18,12.45,12.75,12.45,12.7,3475164
2016-10-19,12.8,13.0,12.6,12.8,8209439
2016-10-20,13.0,13.15,12.9,13.05,8513319
2016-10-21,13.05,13.2,12.9,13.1,5289506
2016-10-24,13.15,13.45,13.1,13.4,8041873
2016-10-25,13.45,13.5,13.1,13.2,6194390
2016-10-26,13.2,14.0,13.15,13.85,21605460
2016-10-27,13.85,13.85,13.2,13.6,49248618
2016-10-28,14.25,14.4,13.55,13.7,33861009
2016-10-30,13.95,14.0,13.7,13.75,2656794
2016-11-01,13.8,13.9,13.65,13.8,6327098
2016-11-02,13.7,13.7,13.15,13.25,11202959
2016-11-03,13.2,13.35,12.8,12.9,7985057
2016-11-04,12.9,13.0,12.2,12.35,11985937
2016-11-07,12.65,12.75,12.55,12.65,10089851
2016-11-08,12.65,12.75,12.55,12.7,5514394
2016-11-09,11.8,12.05,10.2,11.95,39983891
2016-11-10,12.3,12.6,12.05,12.4,9982511
2016-11-11,12.25,12.3,11.7,11.8,7372775
2016-11-15,11.85,11.85,11.05,11.35,10445938
2016-11-16,11.7,11.7,11.1,11.15,5562567
2016-11-17,11.1,11.45,11.1,11.25,6247451
2016-11-18,11.2,11.6,11.2,11.4,4791783
2016-11-21,11.55,11.6,10.9,11.0,8808402
2016-11-22,11.1,11.2,10.9,11.05,6938961
2016-11-23,11.2,11.35,11.05,11.25,11486376
2016-11-24,11.3,11.35,11.0,11.05,13324365
2016-11-25,11.15,11.4,11.05,11.3,9097406
2016-11-28,11.3,11.5,11.15,11.4,5791050
2016-11-29,11.5,11.7,11.45,11.5,4936636
2016-11-30,11.5,12.15,11.5,12.0,14534190
2016-12-01,12.05,12.1,11.65,11.75,8887308
2016-12-02,11.75,12.05,11.6,11.8,5639073
2016-12-05,11.85,12.05,11.75,11.9,2663767
2016-12-06,12.0,12.1,11.95,12.0,2080722
2016-12-07,12.15,12.25,11.65,11.75,8345991
2016-12-08,11.75,12.05,11.55,11.95,6582340
2016-12-09,11.95,11.95,11.75,11.8,4990868
2016-12-12,11.65,11.8,11.6,11.75,3481527
2016-12-13,11.7,11.85,11.65,11.75,2681640
2016-12-14,11.7,11.95,11.7,11.8,3239796
2016-12-15,11.7,11.95,11.65,11.7,3930321
2016-12-16,11.7,11.8,11.55,11.75,4559249
2016-12-19,11.8,12.05,11.7,11.85,6382307
2016-12-20,11.85,12.0,11.6,11.7,4484007
2016-12-21,11.75,12.0,11.75,11.75,6017852
2016-12-22,11.7,11.75,11.55,11.6,3204976
2016-12-23,11.6,11.85,11.5,11.7,7683430
2016-12-26,11.6,11.65,11.25,11.3,3866142
2016-12-27,11.25,11.55,11.1,11.5,5164612
2016-12-28,11.55,11.65,11.3,11.4,6115008
2016-12-29,11.4,11.8,11.35,11.6,12709474
2016-12-30,11.7,12.05,11.7,11.85,6990172
2017-01-02,11.9,12.15,11.85,12.05,9151240
2017-01-03,12.15,12.35,12.0,12.25,9111718
2017-01-04,12.25,12.9,12.25,12.75,13835864
2017-01-05,12.8,13.0,12.6,12.75,9650516
2017-01-06,12.75,12.9,12.45,12.5,6190817
2017-01-09,12.55,12.65,12.45,12.5,4121244
2017-01-10,12.6,12.75,12.45,12.65,4294711
2017-01-11,12.75,12.8,12.6,12.7,5444775
2017-01-12,12.7,12.75,12.55,12.65,5315341
2017-01-13,12.7,12.75,12.4,12.55,4285615
2017-01-16,12.6,12.7,12.45,12.6,4619932
2017-01-17,12.65,12.65,12.45,12.55,10135927
2017-01-18,12.55,12.8,12.4,12.55,12122963
2017-01-19,12.5,12.75,12.45,12.65,9476276
2017-01-20,12.75,13.1,12.6,12.7,25787910
2017-01-23,12.75,12.9,12.45,12.55,19282770
2017-01-24,12.65,12.95,12.6,12.8,17427817
2017-01-25,12.85,12.95,12.6,12.75,42526950
2017-01-27,12.8,13.3,12.75,13.15,17785058
2017-01-30,13.2,13.25,12.8,12.85,10978335
2017-01-31,12.9,13.25,12.65,12.7,19445191
2017-02-01,12.8,13.15,12.55,13.1,20409318
2017-02-02,13.05,13.05,12.75,12.85,11483562
2017-02-03,12.85,13.9,12.85,13.7,39248259
2017-02-06,13.85,14.65,13.75,14.25,43076797
2017-02-07,14.25,14.3,13.5,13.75,18957653
2017-02-08,13.8,14.05,13.65,13.95,13140615
2017-02-09,14.05,14.6,13.5,14.4,30103156
2017-02-10,14.45,15.2,14.1,14.7,34229482
2017-02-13,14.8,14.85,13.9,14.3,25983098
2017-02-14,14.0,14.35,13.65,14.25,17072181
2017-02-15,14.1,14.35,13.6,13.75,10326807
2017-02-16,13.7,14.15,13.55,14.0,7915269
2017-02-17,14.1,14.55,13.9,14.35,16979603
2017-02-20,14.4,15.75,14.2,15.45,56897246
2017-02-21,15.3,15.45,14.7,14.95,23255706
2017-02-22,14.95,15.25,14.7,14.95,20215247
2017-02-23,14.95,15.15,14.8,14.9,10415005
2017-02-27,15.1,16.0,15.05,15.4,28760593
2017-02-28,15.45,16.15,15.2,15.9,27997596
2017-03-01,15.9,16.25,15.7,15.8,20474448
2017-03-02,15.95,17.3,15.7,15.85,61078649
2017-03-03,15.85,16.55,15.6,16.3,25379666
2017-03-06,16.5,16.8,16.25,16.4,16512877
2017-03-07,16.45,16.65,16.15,16.35,18530524
2017-03-08,16.35,16.85,16.2,16.3,26948637
2017-03-09,16.3,16.4,16.0,16.2,13110591
2017-03-10,16.4,16.45,15.8,15.9,12649481
2017-03-14,16.3,16.6,16.05,16.3,13544163
2017-03-15,16.35,16.5,16.15,16.35,16180784
2017-03-16,16.5,17.35,16.4,17.2,42053264
2017-03-17,17.3,17.4,16.45,16.7,25485285
2017-03-20,16.85,16.85,16.45,16.7,11201126
2017-03-21,16.7,16.75,16.2,16.5,19198101
2017-03-22,16.3,16.35,16.0,16.05,9307243
2017-03-23,16.05,16.5,16.0,16.35,9473093
2017-03-24,16.45,16.6,16.35,16.45,7627560
2017-03-27,16.4,16.6,16.3,16.3,11389322
2017-03-28,16.3,16.6,16.3,16.5,15911484
2017-03-29,16.55,16.6,16.3,16.4,12701663
2017-03-30,16.45,16.65,16.2,16.35,40393853
2017-03-31,16.35,16.45,15.9,16.0,13052457
2017-04-03,16.1,16.4,16.0,16.3,8329625
2017-04-05,16.35,16.65,16.15,16.55,13773748
2017-04-06,16.5,16.6,16.35,16.45,9849168
2017-04-07,16.3,16.45,15.8,15.9,11252053
2017-04-10,16.0,16.15,15.75,15.8,6681975
2017-04-11,15.8,16.05,15.65,15.9,6516089
2017-04-12,15.85,16.05,15.35,15.65,13107573
2017-04-13,15.6,15.75,15.5,15.6,4981242
2017-04-17,15.6,16.35,15.35,16.1,13368779
2017-04-18,16.1,16.9,15.6,15.75,25754060
2017-04-19,15.7,15.95,15.45,15.7,7813597
2017-04-20,15.7,16.65,15.7,16.45,17556711
2017-04-21,16.6,17.8,16.5,17.55,60932892
2017-04-24,18.1,18.65,17.85,18.25,67777868
2017-04-25,18.25,18.6,17.7,17.85,51432724
2017-04-26,17.85,18.2,16.65,17.15,71071854
2017-04-27,17.25,17.75,17.0,17.55,39606526
2017-04-28,17.6,17.9,17.1,17.25,19431983
2017-05-02,17.35,17.4,16.6,17.15,25289105
2017-05-03,17.15,17.25,16.65,16.85,14947352
2017-05-04,17.0,17.4,16.8,16.85,22146219
2017-05-05,16.8,16.8,15.9,16.2,19374509
2017-05-08,16.2,17.05,16.15,16.7,14339304
2017-05-09,17.15,17.5,16.8,17.15,31392308
2017-05-10,17.2,17.35,16.9,17.0,14066476
2017-05-11,17.0,17.15,16.6,16.7,15589708
2017-05-12,16.8,16.85,16.2,16.6,13220554
2017-05-15,16.7,17.7,16.7,17.55,51996656
2017-05-16,17.6,17.7,17.05,17.4,18797177
2017-05-17,17.4,17.7,17.25,17.3,14686157
2017-05-18,17.15,17.25,16.65,16.75,17050095
2017-05-19,16.85,17.35,16.6,16.95,22080313
2017-05-22,17.1,17.25,16.65,16.8,13103012
2017-05-23,16.7,16.75,15.6,15.9,27678783
2017-05-24,15.9,16.0,14.25,14.55,34309492
2017-05-25,14.7,15.4,14.45,15.2,29769387
2017-05-26,15.3,16.05,15.15,15.95,17886317
2017-05-29,16.0,16.15,14.7,14.8,19771246
2017-05-30,14.45,15.15,14.2,15.0,22808916
2017-05-31,15.0,15.3,14.75,15.05,20483733
2017-06-01,15.25,15.25,14.6,14.95,6267102
2017-06-02,15.05,19.05,14.95,16.9,318000100
2017-06-05,17.05,17.65,16.15,16.7,119450359
2017-06-06,16.75,16.9,16.1,16.2,31427653
2017-06-07,16.3,17.05,16.3,16.65,54402871
2017-06-08,16.7,16.8,16.5,16.6,22362868
2017-06-09,16.7,17.1,16.2,17.0,23436220
2017-06-12,16.95,18.2,16.75,17.75,87581719
2017-06-13,17.95,19.5,17.9,18.85,146441624
2017-06-14,18.85,19.75,18.15,19.3,106021545
2017-06-15,19.2,20.1,19.05,19.75,98657216
2017-06-16,19.6,20.15,19.25,19.45,54266696
2017-06-19,19.45,19.7,19.15,19.3,29545324
2017-06-20,19.3,20.2,19.15,20.0,57331928
2017-06-21,20.1,21.65,19.85,21.35,132714510
2017-06-22,21.4,22.05,20.4,20.8,78981450
2017-06-23,20.65,21.75,20.35,21.35,68100893
2017-06-27,21.6,22.0,18.3,19.25,81835389
2017-06-28,19.2,20.45,18.8,19.3,64165663
2017-06-29,19.65,19.8,18.7,19.0,119030605
2017-06-30,19.15,20.1,19.0,19.65,66433073
2017-07-03,19.85,20.25,19.5,19.6,32453078
2017-07-04,19.0,19.75,18.3,18.55,58574540
