Date,Open,High,Low,Close,Volume
2016-09-15,550.33,560.83,550.32,557.65,211933
2016-09-16,555.33,571.67,555.33,562.41,284058
2016-09-19,562.67,566.25,548.27,552.79,134654
2016-09-20,559.67,559.67,540.53,544.92,282491
2016-09-21,547.45,549.3,533.35,535.57,430400
2016-09-22,540.33,549.37,527.15,529.59,235373
2016-09-23,525.61,532.97,520.33,527.05,313500
2016-09-26,528.33,537.33,523.59,534.88,200571
2016-09-27,536.67,543.0,533.35,537.7,144902
2016-09-28,540.0,544.0,530.88,533.85,220186
2016-09-29,535.17,538.88,520.8,525.68,210323
2016-09-30,528.33,531.33,516.67,528.88,160443
2016-10-03,531.67,548.0,529.1,546.3,237871
2016-10-04,548.32,551.73,537.41,547.97,193844
2016-10-05,546.99,548.33,538.33,540.59,129164
2016-10-06,547.67,549.0,539.53,545.55,164721
2016-10-07,545.48,556.0,541.5,544.68,131140
2016-10-10,545.0,549.7,536.33,538.43,92168
2016-10-13,534.4,534.4,518.67,521.6,423648
2016-10-14,519.7,529.67,517.37,524.37,173888
2016-10-17,530.0,530.0,518.43,521.5,113085
2016-10-18,521.33,532.43,520.33,530.13,143477
2016-10-19,530.13,537.8,524.68,526.01,154331
2016-10-20,526.33,534.12,525.01,527.61,71915
2016-10-21,531.33,543.3,521.67,541.4,152717
2016-10-24,541.33,544.33,530.4,531.97,102229
2016-10-25,535.12,543.0,532.01,540.83,83803
2016-10-26,540.6,540.6,524.0,526.43,190093
2016-10-27,526.33,530.0,523.73,526.68,190943
2016-10-28,534.0,537.75,525.83,536.37,164765
2016-10-30,538.97,539.67,531.79,534.48,12164
2016-11-01,537.21,537.21,522.53,524.57,304943
2016-11-02,519.0,523.65,515.33,521.01,185204
2016-11-03,517.0,523.2,510.4,511.77,344367
2016-11-04,516.67,519.95,500.33,508.75,211127
2016-11-07,509.52,514.99,500.33,506.92,411348
2016-11-08,510.0,512.8,507.68,510.48,165853
2016-11-09,483.33,503.33,476.67,493.97,285895
2016-11-10,508.83,509.0,496.47,502.25,270593
2016-11-11,498.33,500.07,477.13,483.03,376890
2016-11-15,493.33,493.33,424.07,451.23,574797
2016-11-16,455.27,478.0,451.67,472.88,437911
2016-11-17,469.33,472.1,461.7,466.43,454540
2016-11-18,468.67,476.63,463.7,473.5,127294
2016-11-21,474.03,476.21,466.65,470.97,206287
2016-11-22,471.48,479.33,462.05,473.6,184882
2016-11-23,474.33,476.97,465.12,473.28,243394
2016-11-24,474.07,480.97,468.01,478.3,141351
2016-11-25,478.33,484.33,471.2,480.01,156169
2016-11-28,480.53,480.73,474.48,477.7,185514
2016-11-29,478.21,478.21,467.72,470.21,212964
2016-11-30,470.43,517.23,468.41,485.72,639617
2016-12-01,485.72,502.67,485.6,498.85,177806
2016-12-02,496.83,496.83,477.43,483.28,503805
2016-12-05,486.67,495.95,484.59,491.59,242117
2016-12-06,494.33,498.4,487.15,488.87,213336
2016-12-07,484.0,489.92,481.48,482.75,116225
2016-12-08,490.0,496.33,484.0,493.0,185042
2016-12-09,489.33,495.5,484.81,492.48,187474
2016-12-12,493.0,493.01,478.17,480.43,76841
2016-12-13,480.67,483.67,473.17,481.05,151943
2016-12-14,480.0,487.08,477.61,483.39,135940
2016-12-15,482.67,492.33,479.0,484.9,102340
2016-12-16,486.12,497.33,482.67,492.43,227364
2016-12-19,487.47,491.97,482.0,483.57,204583
2016-12-20,482.73,488.01,480.81,483.37,96892
2016-12-21,489.5,489.5,480.03,483.7,233199
2016-12-22,484.55,486.53,477.57,480.0,197157
2016-12-23,473.68,484.97,473.33,477.87,110784
2016-12-26,474.0,481.6,470.39,477.37,94150
2016-12-27,477.37,486.17,475.08,484.72,80352
2016-12-28,485.07,496.63,484.25,490.13,120676
2016-12-29,490.65,496.67,487.03,495.48,126034
2016-12-30,495.48,507.9,493.37,503.32,207279
2017-01-02,503.88,513.01,502.67,507.3,122877
2017-01-03,507.85,513.23,503.67,511.07,147473
2017-01-04,512.55,514.23,497.63,510.45,346870
2017-01-05,510.63,512.8,505.01,508.07,411445
2017-01-06,508.61,511.67,504.41,507.43,335240
2017-01-09,508.73,515.23,503.12,513.4,177785
2017-01-10,515.32,523.27,515.0,520.95,177356
2017-01-11,518.5,526.23,518.5,525.0,163932
2017-01-12,528.95,531.61,523.33,526.0,208436
2017-01-13,527.28,527.28,519.17,522.37,179391
2017-01-16,521.01,526.67,520.1,522.05,206348
2017-01-17,521.72,531.39,520.12,529.0,113260
2017-01-18,529.67,530.4,518.97,525.52,185780
2017-01-19,525.0,528.33,521.7,523.13,115561
2017-01-20,520.72,523.27,510.93,514.63,206056
2017-01-23,513.35,517.99,508.4,513.07,133151
2017-01-24,515.93,515.93,503.83,509.93,144120
2017-01-25,511.65,523.33,504.75,513.67,364239
2017-01-27,516.0,522.6,512.63,516.52,267058
2017-01-30,516.68,536.0,514.05,534.79,392285
2017-01-31,535.0,538.6,525.01,526.79,202385
2017-02-01,526.57,542.67,523.68,539.68,215511
2017-02-02,541.0,541.67,528.63,531.99,158813
2017-02-03,531.99,533.28,521.08,527.19,107307
2017-02-06,533.33,533.33,527.03,529.93,181897
2017-02-07,529.9,529.9,521.83,525.88,124317
2017-02-08,525.88,529.33,518.37,521.45,115112
2017-02-09,521.95,524.3,515.39,521.59,145474
2017-02-10,523.33,526.65,512.0,519.08,118539
2017-02-13,519.37,522.35,513.63,518.0,62984
2017-02-14,518.0,536.53,514.08,533.85,264540
2017-02-15,535.0,543.83,532.35,538.85,292159
2017-02-16,543.3,543.81,527.19,537.17,236391
2017-02-17,537.17,543.0,536.37,538.75,70522
2017-02-20,540.65,550.0,533.35,547.55,129727
2017-02-21,549.3,573.1,548.47,567.85,141868
2017-02-22,568.0,583.67,568.0,570.47,287489
2017-02-23,569.67,570.32,553.67,555.77,321169
2017-02-27,555.77,555.99,545.0,548.37,189806
2017-02-28,549.99,558.99,545.12,549.63,307889
2017-03-01,556.63,557.6,545.45,555.99,248863
2017-03-02,558.67,558.67,531.17,536.08,828735
2017-03-03,536.67,541.1,531.77,533.43,257911
2017-03-06,536.0,541.0,530.37,539.03,323075
2017-03-07,539.33,549.79,534.43,545.4,325550
2017-03-08,543.33,544.32,536.75,540.1,54651
2017-03-09,537.3,543.33,537.1,539.03,88885
2017-03-10,538.35,542.92,533.68,538.37,91275
2017-03-14,543.37,551.67,539.19,549.65,596574
2017-03-15,551.67,555.0,545.55,551.53,168186
2017-03-16,551.53,563.08,550.05,562.01,134961
2017-03-17,557.33,563.92,555.48,561.25,196147
2017-03-20,563.33,566.0,559.67,565.2,52469
2017-03-21,562.68,573.33,548.33,565.87,258319
2017-03-22,561.85,566.32,550.67,556.01,150638
2017-03-23,559.0,566.13,557.08,564.07,141341
2017-03-24,566.32,566.32,553.33,555.9,175388
2017-03-27,555.92,560.0,550.68,558.28,89784
2017-03-28,558.0,567.32,557.88,564.45,245882
2017-03-29,564.43,566.6,551.67,560.37,190477
2017-03-30,560.7,562.27,551.68,553.99,197982
2017-03-31,556.63,560.67,551.68,557.13,224096
2017-04-03,557.13,569.6,557.13,565.3,182673
2017-04-05,566.7,570.99,563.23,565.93,257991
2017-04-06,565.93,567.37,561.25,563.93,99655
2017-04-07,563.33,574.33,560.35,566.57,147229
2017-04-10,564.17,566.17,558.33,562.57,73402
2017-04-11,562.67,565.41,557.35,559.35,99102
2017-04-12,562.17,565.99,552.33,562.27,139534
2017-04-13,568.32,568.32,557.07,558.75,109375
2017-04-17,562.63,562.63,553.33,558.03,25935
