Date,Open,High,Low,Close,Volume
2016-09-15,339.5,344.95,329.95,330.8,415142
2016-09-16,334.7,339.0,333.25,337.0,110811
2016-09-19,337.95,339.75,335.0,337.0,83692
2016-09-20,337.75,338.05,332.05,335.9,196686
2016-09-21,336.5,341.0,335.05,337.1,172118
2016-09-22,342.05,345.95,340.0,341.25,164059
2016-09-23,341.25,344.75,335.0,336.45,108519
2016-09-26,337.0,343.7,331.85,332.6,108431
2016-09-27,332.0,337.0,331.85,336.05,70206
2016-09-28,337.9,343.45,336.15,340.2,215104
2016-09-29,340.2,343.95,333.0,337.6,365673
2016-09-30,336.05,349.6,335.45,347.2,270686
2016-10-03,347.9,355.9,347.55,350.6,261143
2016-10-04,350.05,357.6,349.9,353.65,106250
2016-10-05,354.5,356.35,348.4,351.8,107276
2016-10-06,354.8,356.9,348.7,350.5,108332
2016-10-07,350.5,354.65,348.05,352.95,76845
2016-10-10,353.9,353.95,350.0,351.45,29554
2016-10-13,350.0,351.3,345.0,349.9,223697
2016-10-14,350.2,351.9,348.05,350.65,64393
2016-10-17,348.2,356.05,348.2,351.5,145344
2016-10-18,351.0,361.25,351.0,356.4,226487
2016-10-19,360.0,363.8,351.1,354.5,101877
2016-10-20,355.9,363.0,353.95,358.65,115504
2016-10-21,358.55,369.0,358.55,362.45,251078
2016-10-24,363.0,366.75,362.45,365.65,78674
2016-10-25,367.0,368.0,360.6,364.55,90909
2016-10-26,363.6,367.25,360.15,362.6,73447
2016-10-27,361.1,362.6,355.6,358.1,74911
2016-10-28,362.0,364.0,350.0,359.05,55949
2016-10-30,361.0,365.0,361.0,364.35,23793
2016-11-01,367.25,367.75,361.85,365.05,98146
2016-11-02,368.0,371.9,357.0,360.2,208072
2016-11-03,361.45,373.35,361.45,364.4,179063
2016-11-04,364.4,365.75,356.9,358.0,87468
2016-11-07,361.8,367.2,353.55,357.45,73676
2016-11-08,358.1,364.4,357.05,359.15,49081
2016-11-09,295.1,359.95,295.1,350.45,1596206
2016-11-10,352.0,353.8,335.55,340.1,1086616
2016-11-11,334.1,336.7,315.5,323.45,401723
2016-11-15,326.0,327.0,288.45,305.7,373435
2016-11-16,306.0,314.9,302.55,305.5,104847
2016-11-17,306.1,314.4,305.0,306.25,97413
2016-11-18,305.0,310.5,300.0,305.65,73860
2016-11-21,307.15,307.15,291.0,293.75,78498
2016-11-22,293.0,303.0,290.05,299.3,88602
2016-11-23,302.0,303.0,297.25,301.35,43588
2016-11-24,300.5,309.7,298.05,306.4,51891
2016-11-25,308.65,309.15,304.0,307.4,52809
2016-11-28,307.4,314.25,303.9,307.45,104098
2016-11-29,307.65,310.95,298.0,300.55,109763
2016-11-30,300.55,305.55,298.8,300.6,112457
2016-12-01,302.9,306.0,300.0,301.4,458826
2016-12-02,302.0,305.95,299.0,299.9,311194
2016-12-05,300.0,301.5,293.25,295.6,73723
2016-12-06,296.95,304.4,296.9,302.45,62208
2016-12-07,302.45,306.0,297.45,298.65,42324
2016-12-08,298.7,305.9,298.7,303.3,33052
2016-12-09,305.6,305.6,299.0,300.8,65761
2016-12-12,302.0,303.85,300.5,301.6,47830
2016-12-13,301.45,301.8,298.0,298.9,39808
2016-12-14,300.1,303.3,298.5,300.3,58804
2016-12-15,300.2,307.95,297.65,305.4,882905
2016-12-16,305.0,307.0,302.3,305.65,41946
2016-12-19,304.2,307.0,301.25,302.1,18934
2016-12-20,305.95,305.95,296.35,298.35,27748
2016-12-21,301.0,301.0,293.3,294.45,45854
2016-12-22,295.0,299.95,286.35,298.2,93790
2016-12-23,295.5,299.0,292.5,293.75,20390
2016-12-26,290.0,303.9,289.95,293.6,56599
2016-12-27,294.95,305.0,292.5,301.6,1079494
2016-12-28,304.5,305.7,299.45,302.15,1018398
2016-12-29,302.95,305.8,300.65,305.1,29222
2016-12-30,305.0,309.1,302.0,303.2,32514
2017-01-02,307.9,315.85,305.2,313.7,77550
2017-01-03,309.95,327.2,309.95,321.2,81665
2017-01-04,318.5,331.0,318.5,323.65,137174
2017-01-05,329.0,330.7,322.05,325.0,91144
2017-01-06,326.8,328.75,315.0,316.15,34285
2017-01-09,318.85,326.0,313.4,322.75,31199
2017-01-10,324.65,329.0,319.5,321.7,41288
2017-01-11,323.9,328.4,320.15,326.15,28175
2017-01-12,328.8,340.85,323.5,335.05,141319
2017-01-13,335.0,335.95,327.3,331.7,37344
2017-01-16,331.7,336.95,331.0,335.25,28351
2017-01-17,337.0,339.0,333.95,336.55,37125
2017-01-18,337.95,337.95,334.8,335.6,23960
2017-01-19,335.05,335.6,328.25,330.35,26819
2017-01-20,329.0,335.7,325.35,328.0,38643
2017-01-23,325.3,330.5,322.4,325.35,28186
2017-01-24,326.0,327.05,322.5,323.55,32199
2017-01-25,327.4,327.4,322.1,323.45,33841
2017-01-27,324.9,339.4,324.9,335.5,91422
2017-01-30,332.35,336.8,328.15,329.75,36200
2017-01-31,330.0,334.0,328.5,330.65,24964
2017-02-01,333.3,350.0,330.7,348.75,299745
2017-02-02,350.0,388.0,349.5,372.3,1728506
2017-02-03,374.55,380.0,365.35,373.5,307943
2017-02-06,377.0,394.4,377.0,386.6,647146
2017-02-07,389.9,389.9,372.7,375.15,126261
2017-02-08,376.0,379.4,370.4,372.95,116243
2017-02-09,371.5,372.05,365.35,366.2,88405
2017-02-10,367.55,378.5,362.05,363.4,251703
2017-02-13,366.0,368.7,360.3,363.25,89888
2017-02-14,365.35,367.5,360.2,361.0,57828
2017-02-15,364.95,364.95,352.4,355.05,255408
2017-02-16,357.05,362.5,355.2,359.75,237425
2017-02-17,359.0,361.75,354.45,355.4,69396
2017-02-20,355.45,359.4,351.0,354.45,90665
2017-02-21,355.15,359.0,353.5,355.65,56920
2017-02-22,355.65,376.85,354.3,366.85,518582
2017-02-23,365.05,376.0,365.0,369.75,169704
2017-02-27,370.0,370.0,363.0,365.35,64391
2017-02-28,368.9,370.5,362.0,364.1,155639
2017-03-01,367.95,379.4,365.05,373.35,1371661
2017-03-02,376.3,377.5,366.9,369.1,130546
2017-03-03,366.0,371.2,365.55,367.05,233423
2017-03-06,368.0,371.0,365.0,366.1,67049
2017-03-07,368.0,370.0,362.25,368.05,59680
2017-03-08,369.95,371.0,360.0,361.45,90574
2017-03-09,361.0,364.0,357.1,358.55,86851
2017-03-10,360.0,363.5,358.05,361.5,544405
2017-03-14,369.5,379.0,363.65,374.85,264687
2017-03-15,375.0,385.0,372.4,375.4,526974
2017-03-16,379.75,379.75,373.15,376.0,737168
2017-03-17,377.05,395.0,377.05,392.3,711774
2017-03-20,394.3,397.25,390.55,394.45,304991
2017-03-21,395.55,398.0,386.5,388.35,128510
2017-03-22,387.0,406.9,384.0,395.35,364640
2017-03-23,395.1,400.35,393.0,395.8,315893
2017-03-24,396.5,404.95,396.5,400.1,177320
2017-03-27,405.1,405.1,385.55,391.6,248479
2017-03-28,394.1,396.2,374.2,377.55,491342
2017-03-29,381.4,386.8,375.0,380.15,1029867
2017-03-30,382.0,386.95,380.5,384.55,244875
2017-03-31,387.8,390.2,380.2,385.05,198980
2017-04-03,387.9,405.0,387.15,403.05,443364
2017-04-05,405.0,447.9,405.0,436.2,1382997
2017-04-06,435.0,453.0,431.0,443.35,483231
2017-04-07,435.0,452.0,435.0,437.4,232211
2017-04-10,441.25,441.25,427.0,428.9,233586
2017-04-11,428.5,433.6,427.0,429.85,359812
2017-04-12,431.0,431.95,420.0,425.3,180569
2017-04-13,427.4,431.9,421.65,429.8,136017
2017-04-17,434.0,464.7,428.4,458.1,1111991
2017-04-18,462.6,474.0,430.0,438.3,577635
2017-04-19,441.0,453.8,435.0,448.65,156258
2017-04-20,454.9,468.0,454.9,466.85,569227
2017-04-21,473.0,475.0,464.15,469.15,277791
2017-04-24,472.0,489.0,470.0,473.85,380626
2017-04-25,478.1,478.2,468.0,470.4,148822
2017-04-26,472.0,473.0,452.0,455.25,199573
2017-04-27,457.75,465.95,452.1,458.55,136916
2017-04-28,459.0,473.5,455.1,464.3,164916
2017-05-02,467.0,513.8,466.25,506.3,1016929
2017-05-03,513.0,586.0,513.0,541.95,7805321
2017-05-04,544.5,546.5,524.35,531.0,1950539
2017-05-05,533.0,552.0,521.0,525.3,1549274
2017-05-08,530.0,538.0,512.0,532.6,625572
2017-05-09,537.0,544.5,526.0,530.25,535601
2017-05-10,535.0,535.0,525.1,528.1,256977
2017-05-11,529.9,532.45,512.0,513.5,369110
2017-05-12,515.0,524.8,500.4,509.6,349569
2017-05-15,512.0,518.4,510.25,514.1,226404
2017-05-16,518.85,520.9,512.1,514.4,157788
2017-05-17,515.8,541.45,512.5,527.05,882760
2017-05-18,522.9,524.4,511.2,515.65,318208
2017-05-19,521.7,521.7,506.0,513.5,233461
2017-05-22,513.55,517.0,498.1,501.4,201526
2017-05-23,500.0,510.5,500.0,501.4,342768
2017-05-24,504.8,504.8,478.0,484.8,1098785
2017-05-25,490.0,500.95,490.0,495.65,302908
2017-05-26,496.85,501.4,492.9,498.45,244699
2017-05-29,498.8,498.8,485.0,486.7,177630
2017-05-30,484.6,494.5,476.15,492.05,158009
2017-05-31,495.5,500.0,474.0,490.65,274225
2017-06-01,486.0,493.5,483.5,489.55,96190
2017-06-02,490.0,523.75,487.2,520.5,652279
2017-06-05,529.0,536.9,525.15,528.75,375138
2017-06-06,531.0,531.4,508.7,513.75,201688
2017-06-07,514.95,518.5,510.5,515.75,109087
2017-06-08,518.75,525.9,514.0,517.1,181221
2017-06-09,517.15,525.0,514.0,518.05,226965
2017-06-12,520.0,524.9,502.5,508.7,146451
2017-06-13,510.9,538.3,509.0,533.2,778439
2017-06-14,537.7,557.5,535.2,551.5,1069371
2017-06-15,553.9,560.0,545.0,553.55,755154
2017-06-16,554.0,563.0,552.5,559.0,475770
2017-06-19,563.0,564.5,548.0,556.9,179249
2017-06-20,556.0,556.05,548.95,550.7,150271
2017-06-21,550.7,559.25,541.0,543.6,457970
2017-06-22,546.7,564.4,542.0,552.75,290078
2017-06-23,557.0,558.0,525.55,533.3,200299
2017-06-27,530.1,545.9,503.0,515.0,231872
2017-06-28,512.65,518.0,506.0,509.25,174772
2017-06-29,512.4,524.0,509.6,514.35,238338
2017-06-30,512.0,521.45,510.0,520.0,164336
2017-07-03,525.0,536.3,513.15,524.15,201418
2017-07-04,523.9,528.9,509.0,511.0,202947
2017-07-05,511.0,520.45,508.0,514.05,179112
2017-07-06,519.0,526.0,515.1,517.6,235237
2017-07-07,515.0,520.25,515.0,516.25,89313
2017-07-10,517.0,522.0,515.4,518.35,18773
2017-07-11,520.9,522.95,512.0,513.6,127927
