Date,Open,High,Low,Close,Volume
2016-09-15,408.0,414.7,408.0,410.0,874277
2016-09-16,413.9,422.0,405.4,410.3,3674530
2016-09-19,410.8,416.0,407.1,413.15,737114
2016-09-20,413.85,417.6,411.6,412.9,804363
2016-09-21,413.95,414.0,405.1,406.4,1210920
2016-09-22,409.0,411.75,406.15,409.45,956997
2016-09-23,410.0,413.2,407.4,408.2,868961
2016-09-26,409.0,411.9,405.15,410.2,887659
2016-09-27,410.35,416.45,408.1,409.8,1099684
2016-09-28,411.0,424.8,408.5,419.25,3906014
2016-09-29,422.95,425.9,396.5,408.95,2403197
2016-09-30,406.0,420.0,405.95,418.2,992533
2016-10-03,420.0,433.0,419.0,431.2,1980927
2016-10-04,435.75,455.5,434.9,452.3,4314465
2016-10-05,454.65,454.65,445.0,448.55,1623542
2016-10-06,449.1,459.4,445.65,448.0,983294
2016-10-07,448.6,452.8,443.6,446.7,1064980
2016-10-10,447.05,452.0,445.65,447.25,523876
2016-10-13,446.0,446.0,435.45,439.4,1641218
2016-10-14,443.45,444.0,436.45,441.85,849782
2016-10-17,442.0,443.5,421.9,423.1,1323566
2016-10-18,425.1,434.5,422.25,431.85,3415632
2016-10-19,432.0,434.0,408.0,409.15,6376380
2016-10-20,411.0,414.4,406.0,408.6,1460665
2016-10-21,408.0,416.0,408.0,412.4,1111606
2016-10-24,413.4,415.6,406.7,408.0,758686
2016-10-25,407.1,411.2,407.1,407.95,645015
2016-10-26,407.05,410.9,401.75,405.45,971121
2016-10-27,405.05,410.0,400.8,407.75,1465937
2016-10-28,411.0,411.4,405.3,407.1,450311
2016-10-30,409.4,409.5,405.05,408.0,45293
2016-11-01,406.0,410.9,404.4,407.3,742038
2016-11-02,406.0,414.0,399.15,408.75,1281658
2016-11-03,407.3,409.4,391.4,395.75,1262241
2016-11-04,394.5,397.4,380.45,386.15,905797
2016-11-07,388.0,399.4,387.85,392.3,843004
2016-11-08,394.0,395.65,387.1,394.3,580260
2016-11-09,368.0,386.5,351.65,375.1,2819923
2016-11-10,385.0,392.45,374.55,378.2,1469313
2016-11-11,378.0,378.0,351.7,354.75,2120338
2016-11-15,356.0,356.0,324.8,327.1,2348171
2016-11-16,332.0,335.0,318.0,325.4,2450691
2016-11-17,327.8,337.4,320.1,327.4,1319551
2016-11-18,328.0,333.0,316.05,319.95,1077334
2016-11-21,319.5,320.4,302.8,311.4,2185633
2016-11-22,311.55,317.25,305.25,315.4,1149648
2016-11-23,316.3,334.8,314.75,327.4,1861091
2016-11-24,327.0,342.35,323.3,334.7,3235171
2016-11-25,331.25,335.0,328.65,332.35,1309349
2016-11-28,331.4,337.0,327.0,334.15,907372
2016-11-29,337.0,347.9,332.0,343.65,1726892
2016-11-30,345.6,347.9,339.55,344.35,2253643
2016-12-01,345.45,347.75,333.4,334.85,653055
2016-12-02,331.95,341.8,331.0,333.85,655854
2016-12-05,334.0,342.3,331.5,337.2,655374
2016-12-06,340.7,340.85,330.6,332.1,722918
2016-12-07,331.1,334.0,327.1,330.65,729497
2016-12-08,334.0,354.9,331.5,352.35,2290713
2016-12-09,353.45,354.0,345.15,348.85,708629
2016-12-12,348.0,348.0,336.4,338.3,694667
2016-12-13,339.1,340.0,333.6,337.45,724310
2016-12-14,339.7,343.6,336.1,337.45,562051
2016-12-15,334.7,342.5,332.4,335.85,830188
2016-12-16,337.0,338.0,320.0,321.95,1590600
2016-12-19,321.0,328.9,320.55,325.35,812853
2016-12-20,325.35,326.4,315.45,319.15,917260
2016-12-21,320.5,324.55,318.1,322.1,570929
2016-12-22,322.1,324.35,316.45,321.8,742833
2016-12-23,321.0,328.8,317.65,325.55,728803
2016-12-26,327.5,329.0,312.65,313.55,985546
2016-12-27,313.65,323.5,310.55,322.05,989159
2016-12-28,323.25,327.8,319.25,320.15,571069
2016-12-29,321.2,330.0,320.65,328.35,804224
2016-12-30,331.0,343.45,330.1,342.25,1848478
2017-01-02,345.9,345.9,337.0,341.85,753723
2017-01-03,343.0,345.35,340.0,342.85,596020
2017-01-04,342.95,355.3,342.25,351.15,1529045
2017-01-05,353.0,361.5,345.0,359.55,2533739
2017-01-06,361.8,367.6,359.0,360.8,1869451
2017-01-09,360.8,365.95,358.35,364.7,743953
2017-01-10,367.95,369.7,363.9,367.55,890387
2017-01-11,369.0,372.0,364.25,370.45,729433
2017-01-12,371.9,372.4,362.1,363.95,804786
2017-01-13,364.5,373.7,364.5,371.6,1444589
