Date,Open,High,Low,Close,Volume
2016-09-15,391.48,392.25,387.5,389.5,953499
2016-09-16,391.0,395.48,387.0,393.18,2159427
2016-09-19,395.0,399.1,390.95,394.52,1883283
2016-09-20,397.48,397.88,392.25,396.02,1515605
2016-09-21,396.98,399.0,394.25,396.3,1403065
2016-09-22,399.5,399.98,391.9,394.42,1117361
2016-09-23,397.32,402.0,396.2,398.62,2605785
2016-09-26,397.52,398.48,392.82,394.48,1825995
2016-09-27,394.48,399.9,392.0,397.92,1631598
2016-09-28,399.0,400.95,395.0,398.15,1533187
2016-09-29,399.5,402.3,390.65,395.52,2846344
2016-09-30,398.5,402.0,393.5,399.95,1831300
2016-10-03,402.5,406.0,397.2,404.3,1516868
2016-10-04,406.25,410.5,405.0,409.08,1506687
2016-10-05,409.12,411.62,403.12,408.0,798470
2016-10-06,408.0,408.38,398.6,400.78,1588731
2016-10-07,401.08,404.72,392.65,403.28,767927
2016-10-10,401.0,407.92,401.0,406.5,769244
2016-10-13,404.9,412.55,395.32,401.65,2076011
2016-10-14,402.0,411.25,399.92,406.35,1376193
2016-10-17,408.8,409.0,401.5,404.2,740093
2016-10-18,406.0,418.2,406.0,417.4,1326969
2016-10-19,417.3,420.82,413.0,415.28,2139260
2016-10-20,414.78,416.5,406.02,407.78,2488727
2016-10-21,411.5,424.35,410.62,415.88,5141259
2016-10-24,415.62,418.45,404.32,405.32,1707222
2016-10-25,403.38,405.75,401.25,402.28,1734565
2016-10-26,400.85,401.92,393.8,395.42,1611775
2016-10-27,392.4,393.32,385.65,387.15,2025316
2016-10-28,387.08,390.6,380.0,381.58,2711466
2016-10-30,385.0,387.0,382.5,383.88,141864
2016-11-01,385.9,388.2,383.5,386.45,1098171
2016-11-02,382.5,386.5,381.5,382.15,1027083
2016-11-03,382.95,384.62,380.25,381.55,1203338
2016-11-04,381.5,399.5,381.5,397.38,2841663
2016-11-07,400.0,413.75,397.45,408.6,2993787
2016-11-08,405.5,407.95,395.62,404.5,1257371
2016-11-09,382.5,398.88,381.58,392.42,2648398
2016-11-10,395.02,402.9,388.0,394.82,1822273
2016-11-11,392.42,396.5,377.5,382.05,2521761
2016-11-15,382.5,393.5,368.0,385.38,2628788
2016-11-16,388.0,393.98,382.12,386.92,2281346
2016-11-17,383.0,388.0,378.0,380.08,2688419
2016-11-18,378.8,389.48,378.8,381.92,1841117
2016-11-21,382.5,389.75,377.6,379.18,1077860
2016-11-22,382.5,383.75,377.52,381.05,1031823
2016-11-23,381.5,384.35,378.22,381.72,900878
2016-11-24,382.5,386.32,376.5,383.9,2093744
2016-11-25,385.98,406.0,385.02,400.98,2738666
2016-11-28,403.0,405.58,395.18,403.02,1516524
2016-11-29,403.0,406.85,399.65,402.65,823680
2016-11-30,405.0,405.22,399.0,401.9,1531730
2016-12-01,401.95,403.25,396.0,401.55,1256375
2016-12-02,400.85,408.45,395.0,396.8,1051697
2016-12-05,394.78,400.72,391.1,396.7,753658
2016-12-06,399.0,400.75,389.2,390.45,778814
2016-12-07,393.35,394.55,385.55,392.68,810851
2016-12-08,394.5,398.5,391.5,397.42,1031818
2016-12-09,398.5,402.95,391.62,401.65,1349777
2016-12-12,398.0,401.78,395.32,399.9,1505531
2016-12-13,400.52,401.95,395.6,400.48,938976
2016-12-14,403.05,412.15,398.12,410.4,1860577
2016-12-15,411.0,420.0,411.0,416.08,2800815
2016-12-16,417.9,417.9,407.6,410.3,1316441
2016-12-19,410.3,413.45,407.5,412.35,1074079
2016-12-20,412.5,417.08,412.18,415.08,1402284
2016-12-21,417.5,418.4,408.15,410.4,1031894
2016-12-22,409.15,411.45,403.0,408.55,791257
2016-12-23,408.0,408.0,395.5,396.88,1452634
2016-12-26,395.95,398.9,391.65,395.2,558575
2016-12-27,394.45,404.95,393.5,402.42,505709
2016-12-28,405.0,408.88,402.08,403.52,717216
