Date,Open,High,Low,Close,Volume
2016-09-15,636.0,641.95,634.92,639.8,875453
2016-09-16,641.9,652.25,641.9,648.92,1631454
2016-09-19,648.5,651.25,644.0,645.08,1473708
2016-09-20,646.33,647.5,642.02,644.22,944562
2016-09-21,646.0,649.0,643.95,646.5,1064100
2016-09-22,652.5,658.48,650.28,653.45,1638950
2016-09-23,653.02,659.22,650.75,656.35,1219202
2016-09-26,653.05,654.45,646.85,648.08,1394193
2016-09-27,649.5,653.08,647.42,649.02,1014203
2016-09-28,649.95,650.0,644.5,647.62,1247413
2016-09-29,648.98,653.0,633.98,638.75,4112503
2016-09-30,638.55,640.5,633.7,636.42,1034607
2016-10-03,640.5,644.95,638.2,643.6,975137
2016-10-04,644.3,647.5,641.15,644.78,693878
2016-10-05,649.0,650.02,638.2,643.05,911755
2016-10-06,643.55,647.8,639.52,640.98,723928
2016-10-07,642.0,643.88,638.12,640.3,834366
2016-10-10,642.5,643.95,639.38,642.17,1179828
2016-10-13,639.5,639.5,628.22,631.38,1129839
2016-10-14,632.88,634.0,627.0,630.9,1016779
2016-10-17,632.75,633.2,616.38,618.85,1283840
2016-10-18,621.6,630.0,619.5,628.92,652742
2016-10-19,630.55,631.5,624.0,629.17,761226
2016-10-20,630.12,633.72,625.5,627.75,800089
2016-10-21,628.0,636.48,625.0,635.35,989102
2016-10-24,635.88,638.42,630.52,631.78,813916
2016-10-25,634.0,634.0,622.02,625.15,1375449
2016-10-26,621.67,632.5,617.52,619.65,1341635
2016-10-27,619.5,628.5,612.08,626.05,2905965
2016-10-28,627.25,630.95,620.05,629.52,1330134
2016-10-30,631.65,631.65,625.0,626.65,191554
2016-11-01,628.0,631.92,623.52,629.9,850604
2016-11-02,625.55,627.85,620.75,623.08,1618608
2016-11-03,622.5,630.0,615.88,627.48,1578953
2016-11-04,626.4,626.4,620.88,621.85,1433730
2016-11-07,626.0,627.42,620.0,624.72,1417848
2016-11-08,625.55,629.0,620.05,627.15,1337041
2016-11-09,600.0,628.7,597.67,625.62,3411367
2016-11-10,631.88,641.5,627.05,639.28,2675184
2016-11-11,637.0,641.0,632.8,637.9,1784830
