Date,Open,High,Low,Close,Volume
2016-09-15,267.27,268.67,259.67,264.57,3463459
2016-09-16,267.6,269.97,261.7,266.9,6746348
2016-09-19,267.67,269.93,266.0,268.97,2249226
2016-09-20,269.33,270.67,266.4,267.97,1949897
2016-09-21,269.27,273.17,266.7,269.2,3480935
2016-09-22,271.27,275.67,270.63,274.93,3285225
2016-09-23,275.53,282.0,274.83,278.93,3516695
2016-09-26,279.33,286.67,275.67,285.97,4232650
2016-09-27,288.67,289.87,281.47,283.4,3540888
2016-09-28,285.37,288.23,282.53,284.93,2527957
2016-09-29,284.7,287.63,273.07,276.47,4731709
2016-09-30,276.67,285.13,273.33,282.63,2359784
2016-10-03,283.87,289.67,283.87,288.33,2126841
2016-10-04,290.0,292.5,287.1,289.53,2374826
2016-10-05,287.7,291.57,283.43,290.07,2663007
2016-10-06,291.67,306.67,290.73,301.03,5474157
2016-10-07,305.2,308.6,293.47,295.77,4212544
2016-10-10,298.6,299.97,290.23,292.1,2277216
2016-10-13,292.1,299.0,281.0,287.03,3713188
2016-10-14,289.33,294.37,285.7,292.17,2821044
2016-10-17,295.33,296.97,288.27,291.3,2849770
2016-10-18,294.6,294.6,288.5,292.93,2221719
2016-10-19,294.93,298.3,289.47,296.93,3242874
2016-10-20,299.3,299.3,293.4,295.77,2425466
2016-10-21,295.93,300.9,295.23,299.73,2235289
2016-10-24,301.67,305.63,298.37,304.8,2339165
2016-10-25,304.67,309.33,301.03,308.67,2516682
2016-10-26,307.87,309.03,303.7,306.1,1975036
2016-10-27,305.53,307.7,298.13,302.13,2520907
2016-10-28,302.67,314.3,301.33,310.93,2068453
2016-10-30,310.67,314.27,310.67,311.5,268084
2016-11-01,313.33,313.8,307.67,309.9,2447638
2016-11-02,306.0,307.0,300.53,302.0,1415560
2016-11-03,304.9,306.27,290.23,291.5,2397153
2016-11-04,292.0,294.93,281.1,290.1,2570274
2016-11-07,295.33,302.63,295.33,296.63,2244548
2016-11-08,298.0,301.5,296.67,300.67,1920896
2016-11-09,277.33,300.67,274.0,300.03,5142661
2016-11-10,303.33,311.3,300.67,308.4,3822449
2016-11-11,300.33,305.0,293.07,299.2,4924918
2016-11-15,299.2,305.2,269.3,296.17,14224298
2016-11-16,298.67,305.6,294.9,295.97,5275350
2016-11-17,298.17,302.63,293.7,295.7,4450457
2016-11-18,297.2,308.9,296.03,306.8,5815182
2016-11-21,308.17,310.37,291.03,294.63,4374895
2016-11-22,297.33,303.1,295.03,300.73,4165814
2016-11-23,300.67,304.67,295.9,302.77,3805351
2016-11-24,300.43,304.47,293.67,301.43,6836382
2016-11-25,302.67,310.0,301.7,308.03,2673436
2016-11-28,309.0,322.27,308.4,320.53,5936804
2016-11-29,320.73,324.27,313.53,316.9,6309961
2016-11-30,318.67,319.4,310.33,314.13,44957808
2016-12-01,307.4,310.17,294.77,298.0,6820367
2016-12-02,294.67,296.6,287.47,290.77,4863643
2016-12-05,289.47,293.67,284.67,288.03,3099037
2016-12-06,289.97,295.57,289.13,292.2,3111066
2016-12-07,294.4,299.93,293.33,298.57,3735413
2016-12-08,302.57,303.33,298.2,302.17,1778802
2016-12-09,304.4,307.07,295.03,302.87,4005764
2016-12-12,298.8,299.27,287.6,289.03,3711162
2016-12-13,290.4,293.97,288.5,293.1,2070797
2016-12-14,294.13,295.9,288.67,289.33,2161137
2016-12-15,289.3,294.37,279.17,284.67,5533843
2016-12-16,281.4,285.5,278.47,283.93,4267214
2016-12-19,286.33,289.37,281.67,283.0,3891923
2016-12-20,283.33,285.4,279.73,281.63,2375085
2016-12-21,281.87,283.67,277.63,281.3,2365873
2016-12-22,281.87,282.27,276.73,278.7,1484825
2016-12-23,278.4,283.17,277.6,280.37,1788239
2016-12-26,280.0,280.73,273.33,275.53,2125904
2016-12-27,275.73,283.9,275.07,282.97,1978225
2016-12-28,283.33,287.93,278.7,279.7,3288038
2016-12-29,280.0,289.03,279.73,286.33,5027551
2016-12-30,287.7,295.47,285.23,294.2,2911047
2017-01-02,295.97,301.77,294.5,300.0,2857865
2017-01-03,300.0,312.3,300.0,309.53,4036374
2017-01-04,308.33,311.87,300.97,307.3,2943290
2017-01-05,307.17,316.3,306.67,315.3,2485450
2017-01-06,313.33,317.97,309.07,311.13,1822999
2017-01-09,310.67,311.97,304.17,308.67,1695685
2017-01-10,313.4,321.33,313.4,319.5,3376785
2017-01-11,321.33,329.33,318.0,327.13,2563233
2017-01-12,326.73,332.73,323.67,329.43,2431254
2017-01-13,331.33,331.6,321.17,325.93,2154006
2017-01-16,328.8,329.17,324.0,326.37,1854804
2017-01-17,326.37,327.97,319.13,321.57,2278530
