Date,Open,High,Low,Close,Volume
2016-09-15,910.2,920.85,906.0,914.0,964711
2016-09-16,916.25,928.6,909.4,911.7,1542460
2016-09-19,915.45,922.5,909.1,911.95,793036
2016-09-20,912.15,916.8,900.9,902.9,1133099
2016-09-21,902.0,914.55,900.55,913.05,1102665
2016-09-22,913.0,917.95,903.25,910.15,1250220
2016-09-23,911.0,912.5,901.0,910.55,1498875
2016-09-26,909.0,913.9,886.5,892.6,1153660
2016-09-27,895.0,900.95,889.4,897.3,849724
2016-09-28,900.0,900.85,881.25,887.15,1877866
2016-09-29,891.0,892.8,873.5,878.3,3307074
2016-09-30,877.1,879.85,865.0,867.85,3104818
2016-10-03,878.0,878.0,860.2,868.75,2066037
2016-10-04,872.0,872.0,858.8,860.4,1465854
2016-10-05,865.0,873.7,862.4,870.95,1781339
2016-10-06,874.0,886.85,874.0,884.45,1360160
2016-10-07,889.7,889.7,868.15,877.25,1088191
2016-10-10,879.7,885.55,874.45,876.15,734544
2016-10-13,869.5,874.75,852.5,862.05,2130773
2016-10-14,854.75,855.55,837.0,842.25,2077909
2016-10-17,844.0,851.0,839.0,849.25,1136539
2016-10-18,850.3,857.0,849.0,855.6,1146943
2016-10-19,855.0,855.95,844.05,846.0,1171167
2016-10-20,848.55,849.45,838.6,840.3,818580
2016-10-21,840.0,852.25,837.05,851.2,1247395
2016-10-24,851.8,855.0,844.25,848.35,1639740
2016-10-25,847.1,849.8,829.55,832.35,1925999
2016-10-26,831.1,846.8,826.55,842.85,1928005
2016-10-27,850.0,850.0,818.4,840.3,3193498
2016-10-28,841.0,846.95,833.8,836.5,1396899
2016-10-30,838.55,841.5,837.0,839.15,69312
2016-11-01,835.0,842.7,831.65,835.25,891827
2016-11-02,835.0,848.45,832.05,841.1,1085441
2016-11-03,838.15,848.5,834.7,839.4,1975240
2016-11-04,849.0,866.4,842.5,848.0,2273336
2016-11-07,850.0,851.75,834.55,837.65,803129
2016-11-08,838.45,846.75,836.1,844.6,797363
2016-11-09,820.0,835.35,799.0,828.3,2122893
2016-11-10,840.0,841.9,813.8,818.55,1017007
2016-11-11,815.0,815.0,798.1,801.75,1758762
2016-11-15,804.0,809.8,783.25,805.45,2007604
2016-11-16,809.0,813.5,798.0,808.75,2677282
2016-11-17,808.75,816.0,803.0,811.65,665671
2016-11-18,813.0,814.8,795.55,802.85,1462211
2016-11-21,802.85,805.8,792.65,797.75,993597
2016-11-22,806.3,822.5,802.8,819.9,1226008
2016-11-23,820.35,834.0,815.1,831.7,1254013
2016-11-24,828.8,834.5,820.55,825.3,1588843
2016-11-25,830.0,838.0,825.65,833.6,788448
2016-11-28,830.45,841.95,829.0,837.85,930063
2016-11-29,837.0,841.0,830.25,832.7,1157881
2016-11-30,835.25,850.3,831.05,844.0,2734453
2016-12-01,844.0,855.7,840.9,848.1,951938
2016-12-02,845.0,848.4,828.15,831.45,623704
2016-12-05,832.9,851.4,832.0,844.9,760110
2016-12-06,845.4,849.8,833.2,836.0,611314
2016-12-07,839.85,844.0,832.05,833.7,394177
2016-12-08,836.0,846.8,836.0,843.0,609858
2016-12-09,839.9,847.0,836.35,845.05,463868
2016-12-12,845.0,845.85,830.35,832.6,317031
2016-12-13,834.0,836.4,824.9,831.15,716723
2016-12-14,831.0,832.85,818.8,821.8,418711
2016-12-15,818.0,823.7,813.65,816.05,552176
2016-12-16,817.5,827.0,813.6,816.95,907271
2016-12-19,817.0,817.8,808.0,809.75,709550
2016-12-20,808.75,812.75,798.45,801.4,1057366
2016-12-21,802.0,805.0,795.9,796.8,1024157
2016-12-22,796.0,802.5,783.85,787.05,1147406
2016-12-23,786.5,799.4,781.95,789.5,893290
2016-12-26,788.0,804.9,785.05,801.8,686679
2016-12-27,801.9,808.5,796.6,806.75,552306
2016-12-28,808.0,821.2,806.0,810.3,811567
2016-12-29,811.25,821.95,806.55,818.5,1295881
2016-12-30,819.45,829.45,818.5,826.35,709395
2017-01-02,828.0,828.0,819.1,825.35,439748
2017-01-03,826.45,832.8,819.5,829.85,617599
2017-01-04,829.85,837.4,816.55,821.6,1298675
2017-01-05,824.9,835.75,822.0,833.15,800848
2017-01-06,832.9,874.8,831.7,833.75,545826
2017-01-09,838.0,838.55,828.35,831.05,323290
2017-01-10,833.8,835.95,829.0,830.55,337793
2017-01-11,832.1,845.0,830.1,841.5,867646
2017-01-12,843.7,843.7,824.7,825.9,985100
2017-01-13,830.0,835.6,825.1,827.95,567779
2017-01-16,828.0,831.35,822.45,827.5,472383
2017-01-17,826.75,843.0,826.75,840.65,1081184
2017-01-18,840.7,867.75,837.6,864.95,2032995
