Date,Open,High,Low,Close,Volume
2016-09-15,792.6,799.5,782.35,786.25,800711
2016-09-16,792.7,814.0,789.0,808.1,2168166
2016-09-19,803.9,809.5,795.1,797.5,557016
2016-09-20,797.5,807.7,790.25,804.9,1540917
2016-09-21,805.85,805.85,792.6,796.15,472538
2016-09-22,799.35,808.0,796.0,801.55,1351061
2016-09-23,806.0,822.0,804.05,814.3,2124204
2016-09-26,809.2,816.4,803.55,813.6,862015
2016-09-27,811.1,821.8,809.95,812.7,1146393
2016-09-28,807.4,821.2,807.4,816.6,805256
2016-09-29,821.0,833.35,764.1,787.35,2547306
2016-09-30,785.0,832.0,785.0,827.4,1563036
2016-10-03,826.9,860.0,819.6,855.25,1866632
2016-10-04,857.3,878.0,848.6,873.45,1955639
2016-10-05,874.0,879.0,861.6,865.3,792037
2016-10-06,863.0,874.8,842.2,850.25,926661
2016-10-07,853.0,866.8,852.05,856.85,633916
2016-10-10,855.0,859.2,841.2,844.3,649382
2016-10-13,843.0,843.0,811.1,822.4,1439141
2016-10-14,830.95,842.75,824.1,837.8,1009752
2016-10-17,842.5,852.0,833.9,838.15,1304249
2016-10-18,838.0,865.9,837.35,862.65,1444678
2016-10-19,867.5,883.0,861.25,880.65,1039437
2016-10-20,885.95,891.0,865.5,872.2,1176933
2016-10-21,879.0,880.9,857.05,877.05,2407974
2016-10-24,880.0,885.25,864.4,871.6,853955
2016-10-25,870.0,874.95,861.25,868.05,687026
2016-10-26,863.0,870.0,850.2,854.3,1873245
2016-10-27,846.2,853.7,836.8,844.2,1934911
2016-10-28,847.2,853.8,836.8,848.9,2334563
2016-10-30,852.0,853.5,840.05,847.4,56794
2016-11-01,851.0,868.85,848.5,860.4,973797
2016-11-02,847.9,847.9,821.4,833.85,854019
2016-11-03,830.0,843.3,797.2,802.0,817290
2016-11-04,799.5,804.0,775.05,788.2,1459210
2016-11-07,795.9,811.35,788.1,792.3,821918
2016-11-08,793.0,795.95,782.1,786.1,563222
2016-11-09,707.5,746.5,630.0,721.5,5657180
2016-11-10,740.0,751.65,673.0,700.5,8455426
2016-11-11,685.5,717.9,670.15,700.3,5474793
2016-11-15,699.0,699.0,651.0,674.25,3572670
2016-11-16,687.5,699.55,658.5,669.85,2949365
2016-11-17,675.05,684.7,667.05,669.25,1553058
2016-11-18,675.0,678.85,657.0,667.85,2788041
2016-11-21,674.8,674.8,636.8,653.25,1505997
2016-11-22,659.0,674.95,639.0,671.8,2033291
2016-11-23,678.1,679.85,668.45,673.15,1223395
2016-11-24,669.5,684.75,664.25,676.7,2800003
2016-11-25,683.05,713.45,676.3,702.95,1832269
2016-11-28,695.0,712.0,687.0,707.65,864202
2016-11-29,715.9,737.8,712.05,726.5,1618258
2016-11-30,735.0,767.9,731.0,765.05,3185635
2016-12-01,765.0,767.7,753.05,756.15,680873
2016-12-02,746.1,750.0,731.05,736.9,1152470
2016-12-05,741.4,752.0,731.95,742.75,589609
2016-12-06,745.0,754.95,728.7,731.55,998258
2016-12-07,738.0,738.0,705.3,716.45,1604971
2016-12-08,718.0,728.5,715.6,720.85,1021041
2016-12-09,724.8,726.45,699.4,702.35,1504090
2016-12-12,701.9,705.0,681.2,694.15,968705
2016-12-13,692.0,694.95,667.05,670.3,1462503
2016-12-14,679.0,679.0,635.5,647.5,14631609
2016-12-15,640.0,658.45,638.0,649.55,1312793
2016-12-16,654.0,655.05,635.05,638.9,1634551
2016-12-19,636.0,655.35,632.0,651.3,1271862
2016-12-20,651.85,656.7,632.0,641.3,1317527
2016-12-21,640.5,652.4,633.1,642.1,1131120
2016-12-22,640.9,640.9,627.0,637.4,1499827
