Date,Open,High,Low,Close,Volume
2016-09-15,247.0,248.86,243.82,246.0,11032157
2016-09-16,247.05,250.55,242.09,243.05,29959544
2016-09-19,243.64,247.64,243.45,246.91,13767636
2016-09-20,247.18,249.27,244.86,247.36,10027634
2016-09-21,248.0,248.18,242.68,245.36,11578862
2016-09-22,250.91,252.64,247.55,250.45,13532986
2016-09-23,250.73,250.77,245.36,246.59,16343247
2016-09-26,244.09,244.27,238.0,238.68,14426187
2016-09-27,239.59,240.27,235.45,236.36,15778949
2016-09-28,236.73,238.59,235.5,237.05,16256169
2016-09-29,239.09,239.55,221.18,227.59,43764238
2016-09-30,225.5,230.27,224.5,229.23,13731746
2016-10-03,228.18,233.55,227.36,232.86,16420289
2016-10-04,233.5,236.32,231.73,234.73,14728477
2016-10-05,236.32,236.91,231.45,232.23,14581438
2016-10-06,233.64,233.68,226.55,228.41,12594971
2016-10-07,228.09,230.82,225.64,227.82,9551571
2016-10-10,229.0,230.18,226.5,227.36,6010192
2016-10-13,225.27,225.82,217.36,219.23,18851638
2016-10-14,219.27,220.91,217.91,219.77,9783482
2016-10-17,223.64,236.27,223.23,235.23,62802218
2016-10-18,235.95,246.73,235.91,245.77,38056096
2016-10-19,246.68,247.0,239.32,240.95,18153418
2016-10-20,242.86,253.55,242.86,252.36,32981980
2016-10-21,251.14,254.59,249.18,252.18,23966252
2016-10-24,253.77,260.41,253.77,258.68,20199480
2016-10-25,262.91,265.09,258.73,262.95,22809701
2016-10-26,258.59,258.59,251.82,253.09,27288854
2016-10-27,252.18,259.09,250.0,258.45,18061843
2016-10-28,256.36,256.82,250.5,251.68,16649205
2016-10-30,253.45,254.0,250.55,251.86,1752296
2016-11-01,254.05,254.32,249.55,250.32,10613914
2016-11-02,245.45,248.41,244.32,247.18,13764234
2016-11-03,247.27,251.27,244.0,245.23,11349716
2016-11-04,247.18,247.73,241.23,245.27,14874085
2016-11-07,250.73,255.64,247.73,253.36,17037286
2016-11-08,259.82,261.32,252.95,257.45,31957956
2016-11-09,231.73,258.86,222.73,255.86,46413698
2016-11-10,262.27,271.27,260.64,266.0,26488623
2016-11-11,261.14,267.5,249.55,251.27,30033321
2016-11-15,251.82,255.27,241.95,245.23,34510441
2016-11-16,251.45,252.91,240.18,242.0,24066530
2016-11-17,243.59,246.05,240.0,243.32,13321903
2016-11-18,244.05,244.55,238.45,240.55,9076303
2016-11-21,242.0,242.73,231.68,237.45,19659835
2016-11-22,240.91,242.36,235.73,238.82,21733444
2016-11-23,240.09,241.68,236.82,240.86,15595314
2016-11-24,239.82,239.82,234.55,235.73,20511964
2016-11-25,238.55,238.55,233.68,236.45,15101544
2016-11-28,233.32,233.32,230.45,232.09,29945199
