Date,Open,High,Low,Close,Volume
2016-09-15,83.6,85.1,83.05,84.5,6273150
2016-09-16,84.65,86.05,83.5,85.15,9389129
2016-09-19,84.3,85.7,84.3,84.85,3340291
2016-09-20,85.2,85.2,83.65,83.9,3768779
2016-09-21,84.3,84.7,83.8,84.45,5714051
2016-09-22,84.9,84.9,83.0,83.35,6186887
2016-09-23,83.4,83.5,82.1,82.5,5772899
2016-09-26,82.3,82.5,80.0,80.3,7827593
2016-09-27,79.9,80.5,79.15,79.55,9748496
2016-09-28,79.5,83.2,79.5,82.5,10044087
2016-09-29,82.95,83.1,78.5,79.8,13390649
2016-09-30,78.0,81.2,78.0,79.1,9836110
2016-10-03,80.1,81.4,79.0,81.1,6320690
2016-10-04,80.5,81.9,80.1,81.2,5319482
2016-10-05,82.3,82.6,79.5,79.95,10691648
2016-10-06,80.05,80.8,79.55,79.95,4704550
2016-10-07,80.55,80.55,79.55,80.0,4357991
2016-10-10,80.5,80.75,79.7,79.85,2035108
2016-10-13,79.75,80.05,75.7,76.05,11479724
2016-10-14,76.4,76.8,74.45,74.7,7388953
2016-10-17,75.0,75.35,72.05,72.25,7458991
2016-10-18,72.75,73.8,71.1,72.8,12077234
2016-10-19,72.65,78.2,72.55,76.3,9686670
2016-10-20,78.05,79.95,77.55,78.3,11699546
2016-10-21,78.3,80.6,77.4,80.0,9529045
2016-10-24,78.1,79.4,76.2,76.8,15832856
2016-10-25,74.05,76.95,74.05,75.3,20412117
2016-10-26,75.95,79.7,75.15,78.7,18478633
2016-10-27,78.0,79.0,76.2,77.5,19099263
2016-10-28,78.0,78.6,76.0,76.2,6669525
2016-10-30,76.75,77.2,76.6,76.8,1147476
2016-11-01,76.8,77.85,76.35,76.6,4494053
2016-11-02,76.0,76.2,74.05,74.3,5945705
2016-11-03,74.0,75.95,73.2,73.55,7406984
2016-11-04,73.8,74.45,71.6,72.15,6357913
2016-11-07,73.9,74.1,72.5,73.2,4510967
2016-11-08,72.95,73.7,71.75,73.0,5116877
2016-11-09,69.0,72.7,65.8,72.3,10839908
2016-11-10,72.9,74.45,72.6,73.05,4783829
2016-11-11,72.7,72.8,69.8,69.95,6117657
2016-11-15,70.9,72.2,69.1,71.35,6970006
2016-11-16,72.8,72.8,69.6,70.55,6466490
2016-11-17,70.0,71.45,69.5,69.95,4351246
2016-11-18,70.6,71.8,69.3,71.1,4389455
2016-11-21,71.1,72.4,70.75,71.1,9381625
2016-11-22,71.4,71.95,70.45,70.95,9318283
2016-11-23,71.5,73.4,71.0,72.9,4517520
2016-11-24,71.9,72.95,71.1,71.45,8439107
2016-11-25,72.0,74.0,71.75,73.65,3677079
2016-11-28,73.5,76.4,73.35,75.8,7104121
2016-11-29,78.3,79.7,77.5,79.25,18331314
2016-11-30,79.6,79.9,76.6,77.45,11079145
2016-12-01,77.1,77.25,72.0,72.8,15678720
2016-12-02,71.05,74.0,71.05,73.45,12503639
2016-12-05,72.65,74.25,71.7,72.65,7542233
2016-12-06,72.65,74.65,72.65,74.4,5464166
2016-12-07,74.7,76.6,73.95,75.45,11419386
2016-12-08,76.05,77.05,75.8,76.65,4707638
2016-12-09,76.55,77.4,75.8,76.8,4396974
2016-12-12,76.0,76.55,74.5,75.6,6320903
2016-12-13,75.6,77.35,75.5,77.05,5589308
2016-12-14,76.95,77.85,75.95,77.15,6911444
2016-12-15,75.6,77.5,75.6,76.95,4585361
2016-12-16,77.0,77.2,75.25,76.2,5184691
2016-12-19,76.0,77.15,75.8,76.4,4973888
2016-12-20,76.65,76.65,73.0,73.25,8448534
2016-12-21,73.8,74.65,72.0,72.75,5324199
2016-12-22,72.3,72.65,71.1,71.5,4521778
2016-12-23,72.0,72.0,70.5,70.8,3829304
2016-12-26,71.45,71.45,69.1,69.4,3545596
2016-12-27,69.45,70.35,68.15,70.0,4907288
2016-12-28,70.05,72.0,70.05,71.4,7177330
