Date,Open,High,Low,Close,Volume
2016-09-15,522.8,523.4,517.67,521.1,2350861
2016-09-16,524.5,532.25,519.05,530.08,4974692
2016-09-19,523.0,534.45,520.67,530.6,2904577
2016-09-20,526.65,528.58,522.88,525.08,2107002
2016-09-21,527.0,530.62,525.52,527.88,2115766
2016-09-22,529.5,530.5,526.0,529.4,1814757
2016-09-23,528.5,529.4,520.0,521.28,2602647
2016-09-26,521.38,522.0,515.5,517.95,3185899
2016-09-27,517.52,524.95,516.67,519.88,3262830
2016-09-28,520.0,521.15,516.62,519.48,2717354
2016-09-29,522.48,522.48,512.0,514.6,4451319
2016-09-30,515.55,521.95,515.55,518.02,3251177
2016-10-03,517.75,520.0,513.05,519.05,1828080
2016-10-04,520.0,525.7,519.15,524.6,2533293
2016-10-05,524.6,524.92,518.5,520.75,1153787
2016-10-06,522.5,522.5,512.98,513.7,1860941
2016-10-07,514.98,516.9,505.05,506.28,3144279
2016-10-10,508.5,515.88,505.0,514.98,2706585
2016-10-13,510.7,529.0,510.7,526.17,4889345
2016-10-14,526.45,541.35,498.12,513.58,16730845
2016-10-17,517.48,520.9,508.68,511.2,4007429
2016-10-18,515.0,520.25,513.65,519.52,3194067
2016-10-19,521.0,522.85,518.0,520.9,1754918
2016-10-20,522.38,525.35,516.9,518.33,1767745
2016-10-21,517.5,520.5,511.25,519.15,1931810
2016-10-24,518.75,521.35,512.75,513.55,1451487
2016-10-25,518.25,519.45,507.6,508.6,2818007
2016-10-26,508.5,509.92,504.65,507.1,1387608
2016-10-27,508.95,508.98,500.55,501.75,3613895
2016-10-28,502.6,505.0,496.58,498.75,2920353
2016-10-30,500.5,502.98,499.9,501.05,319036
2016-11-01,503.4,503.4,493.2,494.72,3166399
2016-11-02,492.4,493.75,490.0,490.52,2688597
2016-11-03,490.52,491.0,482.55,483.42,2612554
2016-11-04,483.5,489.6,480.5,485.5,3002774
2016-11-07,492.5,493.0,487.5,488.98,2268836
2016-11-08,493.45,493.88,485.3,491.3,2630554
2016-11-09,465.0,487.3,450.5,479.15,6382079
2016-11-10,481.25,481.25,467.5,469.7,3643665
2016-11-11,470.0,472.5,459.35,460.78,3548391
2016-11-15,462.0,469.98,454.28,461.78,4617925
2016-11-16,465.0,478.42,464.28,470.45,6111308
2016-11-17,467.12,474.5,463.2,464.9,2853365
2016-11-18,465.0,466.62,458.75,460.0,3020114
2016-11-21,463.45,463.45,453.48,455.55,3970284
2016-11-22,458.45,464.32,455.82,457.1,2741563
2016-11-23,461.05,461.45,456.22,460.12,4125893
2016-11-24,464.1,469.95,461.65,465.15,8390322
2016-11-25,465.22,492.5,465.22,488.75,6315690
2016-11-28,489.65,491.72,485.3,489.88,3682856
2016-11-29,489.4,492.35,483.55,486.3,3062753
2016-11-30,486.5,488.5,480.52,487.78,4250459
2016-12-01,488.0,491.78,483.5,487.8,2305795
2016-12-02,482.4,484.8,480.55,482.25,2226614
2016-12-05,482.95,484.3,479.0,480.82,1829788
2016-12-06,480.9,489.75,480.82,483.25,1781055
2016-12-07,484.0,486.5,480.1,483.2,1692990
2016-12-08,485.02,493.05,485.02,492.32,2970831
2016-12-09,492.5,504.08,490.75,494.68,4324192
2016-12-12,491.4,491.4,482.6,488.68,2672510
2016-12-13,490.25,496.42,485.55,495.1,2427141
2016-12-14,495.5,502.48,492.05,499.88,2691307
2016-12-15,498.7,509.48,494.5,496.18,3983208
2016-12-16,501.9,504.85,498.88,502.58,3218371
2016-12-19,503.05,504.12,497.05,502.32,2062067
2016-12-20,501.0,509.5,500.65,506.08,3818249
2016-12-21,508.0,511.0,499.12,500.78,3671988
2016-12-22,501.25,503.5,484.75,492.35,3530027
2016-12-23,492.45,503.3,486.8,494.22,3653018
2016-12-26,494.0,497.0,487.55,491.38,1606914
2016-12-27,491.38,500.95,490.0,499.48,2456408
2016-12-28,501.48,504.9,497.5,499.25,2738408
2016-12-29,501.88,504.0,494.08,496.18,3120062
2016-12-30,499.0,506.0,496.38,505.3,3633884
2017-01-02,505.55,506.48,499.68,500.55,1167611
2017-01-03,502.05,502.45,491.0,496.92,3389241
2017-01-04,497.52,502.1,496.12,498.88,3536793
2017-01-05,500.8,504.75,494.38,498.08,4103537
2017-01-06,497.45,499.42,484.02,486.12,7196724
2017-01-09,486.12,488.48,482.5,485.18,5272846
2017-01-10,488.5,490.5,483.98,485.28,5969927
2017-01-11,487.1,489.22,481.98,484.55,6120787
2017-01-12,488.78,502.2,488.78,500.02,5927870
2017-01-13,515.0,520.0,481.35,487.9,15638123
2017-01-16,482.5,482.72,476.22,477.82,6175686
2017-01-17,478.12,482.0,476.2,477.7,2780047
2017-01-18,479.05,480.5,474.9,475.4,2976481
2017-01-19,475.5,479.8,474.05,479.05,4438240
2017-01-20,475.0,476.58,473.0,474.35,4562371
2017-01-23,472.5,479.0,470.0,476.35,3974290
2017-01-24,475.0,475.0,470.05,472.78,3413005
2017-01-25,473.05,473.4,467.4,468.3,4989045
2017-01-27,466.92,473.78,450.58,471.08,5317569
2017-01-30,468.75,475.75,464.42,474.68,5684604
