Date,Open,High,Low,Close,Volume
2016-09-15,141.75,141.75,139.43,139.7,1924658
2016-09-16,140.99,143.36,139.88,142.55,4717996
2016-09-19,143.12,144.16,142.5,142.79,1972288
2016-09-20,142.99,143.98,142.41,142.62,1883990
2016-09-21,142.75,144.85,142.52,142.95,2150808
2016-09-22,144.12,145.25,143.38,144.82,1409474
2016-09-23,144.93,146.98,144.25,145.82,2291620
2016-09-26,146.5,149.86,145.62,148.05,3620842
2016-09-27,148.75,149.82,145.88,146.41,1686911
2016-09-28,146.88,148.62,146.5,147.94,3352708
2016-09-29,148.24,149.85,142.78,143.38,5627759
2016-09-30,143.01,146.25,142.74,145.62,1796525
2016-10-03,146.96,151.69,146.34,150.93,2600226
2016-10-04,151.7,154.49,151.5,153.16,2784681
2016-10-05,153.0,154.93,151.5,154.43,2370199
2016-10-06,155.1,165.16,154.98,162.55,6016154
2016-10-07,164.0,166.65,159.18,160.22,3497022
2016-10-10,161.49,162.28,157.5,158.55,1841773
2016-10-13,157.88,160.69,155.25,156.66,3988572
2016-10-14,157.75,161.72,157.75,160.75,4680348
2016-10-17,162.2,162.64,159.62,160.57,5430501
2016-10-18,161.5,162.2,158.7,160.85,3730647
2016-10-19,162.0,163.8,161.0,163.28,3757374
2016-10-20,164.0,164.0,159.32,160.65,2962053
2016-10-21,161.9,162.62,160.52,162.15,2789673
2016-10-24,162.5,164.22,161.65,163.62,3347611
2016-10-25,164.2,164.32,161.82,163.45,2502881
2016-10-26,163.45,164.0,159.88,160.75,2881258
2016-10-27,160.93,162.25,155.72,156.48,5006940
2016-10-28,158.25,162.22,156.52,161.75,2847157
2016-10-30,162.5,163.02,161.5,161.82,214919
2016-11-01,163.45,163.9,161.75,162.57,2442662
2016-11-02,161.5,161.5,157.5,158.05,1529758
2016-11-03,158.28,159.95,154.5,154.88,2049492
2016-11-04,155.0,155.57,147.1,153.0,3232656
2016-11-07,155.43,159.5,154.98,157.88,3168580
2016-11-08,158.18,159.62,156.52,159.22,1618064
2016-11-09,148.0,159.45,144.55,158.15,2878900
2016-11-10,159.5,162.38,159.5,160.15,2223020
2016-11-11,157.5,158.95,154.18,155.12,2950239
2016-11-15,153.88,153.93,140.98,142.9,8405509
2016-11-16,143.55,146.0,140.85,144.25,4471527
2016-11-17,144.48,148.88,143.88,146.72,4268585
2016-11-18,147.22,151.2,146.57,150.35,4071714
2016-11-21,150.75,151.2,145.25,145.93,2018347
2016-11-22,147.05,149.15,144.9,148.25,2818074
2016-11-23,149.25,150.0,145.9,149.2,3089414
2016-11-24,148.78,148.78,144.85,146.98,7166269
2016-11-25,147.48,149.5,147.48,148.25,2395650
2016-11-28,148.3,153.22,147.8,150.07,3784729
2016-11-29,150.0,153.0,148.9,149.35,2433363
2016-11-30,150.7,154.45,149.9,153.35,4817837
2016-12-01,153.45,153.45,148.05,148.93,3243061
2016-12-02,148.35,148.88,145.78,147.48,3902836
2016-12-05,146.75,148.1,145.1,145.48,2332861
2016-12-06,146.28,149.45,145.48,147.82,2154054
2016-12-07,148.2,152.3,148.2,151.8,4385241
2016-12-08,153.25,154.45,152.72,153.32,2826135
2016-12-09,152.5,152.68,149.0,151.3,3082078
2016-12-12,149.98,150.57,147.35,147.75,1233273
2016-12-13,148.15,151.15,147.02,150.5,2053021
2016-12-14,150.72,152.3,149.02,149.57,3413902
2016-12-15,149.72,153.18,147.28,148.9,5536542
2016-12-16,147.55,149.65,147.0,148.18,3267535
2016-12-19,151.5,153.25,149.6,152.52,5206207
2016-12-20,152.52,153.0,150.57,151.15,2374048
2016-12-21,151.88,154.95,150.22,154.48,4775231
2016-12-22,154.48,156.72,152.8,153.15,3390292
2016-12-23,153.5,157.72,152.05,156.62,4493160
2016-12-26,156.25,156.75,153.52,153.98,1639608
2016-12-27,154.0,159.18,153.85,158.65,5581452
2016-12-28,159.52,160.68,157.78,158.1,4585020
2016-12-29,158.25,162.57,158.25,161.48,8858890
2016-12-30,161.48,163.48,160.45,162.52,2764695
2017-01-02,163.9,165.0,162.98,163.72,2131446
2017-01-03,163.6,174.45,163.5,172.62,6186583
2017-01-04,172.5,176.0,169.55,171.48,5130720
2017-01-05,172.5,176.9,172.4,176.28,4222570
2017-01-06,175.75,177.6,172.35,173.18,2357852
2017-01-09,174.0,174.5,170.88,171.4,2596295
2017-01-10,172.7,176.1,172.7,173.35,4977510
2017-01-11,174.95,175.7,173.25,174.55,6694422
2017-01-12,176.0,180.0,176.0,177.38,4949955
2017-01-13,177.5,177.5,173.52,175.72,3025409
2017-01-16,177.22,178.95,175.78,176.42,3275012
2017-01-17,177.4,178.28,175.18,175.55,2854036
2017-01-18,176.15,176.48,173.55,174.3,3880988
2017-01-19,174.3,180.3,174.05,179.88,7316089
2017-01-20,179.88,180.22,175.3,176.18,2984395
2017-01-23,176.08,180.0,175.5,178.88,3627627
2017-01-24,178.92,184.08,178.92,183.4,3807310
2017-01-25,184.0,193.35,182.55,190.15,11134953
2017-01-27,189.25,196.25,189.0,192.02,5448609
2017-01-30,192.0,194.35,186.5,188.9,3044146
2017-01-31,188.75,189.88,175.55,183.2,23147846
2017-02-01,185.0,190.45,183.42,187.72,7326586
2017-02-02,188.0,193.65,188.0,191.3,5783462
2017-02-03,192.45,195.38,191.5,193.68,4473313
2017-02-06,195.55,198.98,195.0,198.25,3687778
2017-02-07,198.95,202.0,194.75,195.88,6365232
2017-02-08,197.5,199.7,196.72,197.88,2559885
2017-02-09,193.35,194.5,192.52,193.72,4352625
2017-02-10,192.5,192.6,185.75,190.02,6755175
2017-02-13,190.18,190.82,187.0,189.95,4304074
2017-02-14,190.82,191.1,185.08,187.2,3924839
2017-02-15,187.0,190.25,181.68,184.6,3498210
2017-02-16,185.52,188.5,183.02,187.98,2406188
2017-02-17,191.35,193.28,190.35,192.62,5454533
2017-02-20,193.7,194.2,191.25,192.75,2301618
2017-02-21,194.0,196.5,193.0,195.65,2706786
2017-02-22,196.5,197.62,194.0,195.02,2879880
2017-02-23,195.22,196.1,191.72,192.55,9270487
2017-02-27,189.0,193.88,188.12,192.95,4700826
2017-02-28,193.2,193.7,191.35,192.52,5864607
2017-03-01,192.98,193.72,188.55,190.85,4726693
2017-03-02,191.88,193.68,187.5,188.35,5143636
2017-03-03,188.28,189.5,184.22,187.52,4044710
2017-03-06,188.4,190.45,188.25,189.58,2594485
2017-03-07,190.38,190.6,188.08,189.35,3206001
2017-03-08,189.7,190.22,186.05,187.38,3072776
2017-03-09,188.88,189.28,186.8,187.38,1079361
2017-03-10,188.75,188.9,185.25,186.22,1779723
2017-03-14,189.5,189.55,186.15,187.0,3495195
2017-03-15,187.08,187.25,184.3,184.88,4816081
2017-03-16,187.0,188.5,185.5,188.08,3362186
2017-03-17,189.5,189.7,187.25,187.92,3301585
2017-03-20,187.0,187.58,184.72,185.48,5034092
2017-03-21,185.62,187.28,185.52,186.05,3275266
2017-03-22,185.0,188.25,183.78,186.38,3251372
2017-03-23,190.02,192.0,187.48,188.4,6650864
2017-03-24,187.35,187.35,185.35,186.35,3040984
2017-03-27,186.02,187.75,184.88,185.45,2127352
2017-03-28,186.82,186.82,183.1,184.52,3417995
2017-03-29,184.55,185.72,183.18,185.08,4394594
2017-03-30,185.98,190.0,185.12,188.4,18628317
2017-03-31,189.92,195.75,188.42,193.52,9327115
2017-04-03,193.52,193.52,189.38,190.58,3291241
2017-04-05,191.6,192.55,190.05,190.68,2641206
2017-04-06,190.58,193.48,189.78,192.88,2397257
