Date,Open,High,Low,Close,Volume
2016-09-15,83.0,85.4,82.0,83.2,17377657
2016-09-16,84.0,84.5,81.2,81.5,8224861
2016-09-19,81.95,82.9,81.35,81.75,5488374
2016-09-20,81.8,83.35,81.05,81.75,8176627
2016-09-21,82.15,82.65,80.6,80.85,8143374
2016-09-22,82.05,82.7,81.15,82.2,7504247
2016-09-23,82.35,84.45,81.3,82.25,12556792
2016-09-26,82.0,83.4,81.2,81.5,5609424
2016-09-27,82.2,82.4,80.0,80.4,5214742
2016-09-28,81.05,82.2,80.55,81.5,7223376
2016-09-29,82.5,82.5,73.35,74.65,16479847
2016-09-30,75.0,76.65,74.5,75.95,7949532
2016-10-03,77.0,79.0,76.6,78.65,6011094
2016-10-04,79.15,84.5,78.95,83.1,23414161
2016-10-05,84.1,85.95,83.05,83.5,19243854
2016-10-06,81.4,82.45,78.3,79.15,18200550
2016-10-07,79.3,80.6,78.6,80.2,8144787
2016-10-10,80.9,81.4,77.45,79.4,7308687
2016-10-13,78.7,80.9,76.0,77.8,11098645
2016-10-14,77.8,78.6,75.7,76.55,6799746
2016-10-17,76.8,77.3,75.2,75.8,5644548
2016-10-18,76.4,77.9,76.0,76.75,5249243
2016-10-19,77.2,77.5,75.75,76.1,5019581
2016-10-20,76.65,78.9,76.35,76.95,7365731
2016-10-21,77.45,77.45,75.65,76.15,4208830
2016-10-24,76.55,77.8,76.4,76.95,5483273
2016-10-25,78.0,78.8,76.35,76.8,8460224
2016-10-26,76.4,78.0,76.2,76.85,11847305
2016-10-27,76.35,77.3,74.0,76.25,9337442
2016-10-28,76.0,76.95,75.0,75.25,6708726
2016-10-30,75.4,75.7,75.05,75.3,750293
2016-11-01,75.95,78.9,75.5,77.65,11483449
2016-11-02,76.45,76.45,74.15,74.75,6735268
2016-11-03,75.4,76.5,72.25,73.2,9086328
2016-11-04,72.9,73.15,68.4,68.85,9500825
2016-11-07,69.55,71.7,69.55,70.9,6277675
2016-11-08,71.6,72.65,70.4,72.2,6076115
2016-11-09,66.0,70.7,62.0,70.05,11873283
2016-11-10,72.4,78.0,71.55,76.35,16254422
2016-11-11,74.1,77.8,73.45,74.9,10319369
2016-11-15,75.25,75.25,69.75,70.55,7380349
2016-11-16,71.8,72.35,67.5,67.9,8341238
2016-11-17,68.5,69.35,67.2,67.95,7999661
2016-11-18,68.05,68.1,66.1,67.55,4991163
2016-11-21,68.65,68.8,64.3,65.0,6908206
2016-11-22,65.45,67.6,65.0,66.95,5735084
2016-11-23,67.6,67.7,66.3,67.05,3999870
2016-11-24,66.6,66.6,64.1,64.7,6843457
