Date,Open,High,Low,Close,Volume
2016-09-15,525.0,530.5,518.5,521.75,330732
2016-09-16,524.0,528.5,517.0,521.42,519730
2016-09-19,522.5,530.0,500.5,502.8,891397
2016-09-20,475.0,475.65,461.52,471.88,5346852
2016-09-21,478.5,482.5,471.5,473.12,1631113
2016-09-22,477.5,493.38,475.95,488.22,897513
2016-09-23,491.45,503.0,486.5,496.92,1303780
2016-09-26,495.98,501.18,474.0,480.08,970072
2016-09-27,480.0,488.12,477.5,482.4,625560
2016-09-28,483.0,487.92,478.08,482.6,417560
2016-09-29,480.5,486.75,465.0,469.78,1169489
2016-09-30,464.0,485.0,457.78,482.0,1001924
2016-10-03,486.5,489.8,479.9,487.25,545546
2016-10-04,490.0,499.0,488.08,496.9,552685
2016-10-05,498.0,500.72,492.75,496.72,369238
2016-10-06,494.95,517.95,494.95,509.72,1044865
2016-10-07,513.0,534.42,512.48,531.83,1445474
2016-10-10,532.35,535.5,518.62,526.98,696007
2016-10-13,530.05,539.0,514.62,517.67,810521
2016-10-14,519.45,527.08,517.1,521.92,510736
2016-10-17,522.0,526.58,519.25,522.02,344823
2016-10-18,522.0,527.98,520.5,525.08,448099
2016-10-19,528.78,548.58,524.8,542.5,780337
2016-10-20,548.75,569.5,548.5,559.35,1291971
2016-10-21,555.0,557.0,544.05,548.95,437881
2016-10-24,549.0,563.95,536.52,553.52,494196
2016-10-25,554.95,581.75,547.08,573.52,571511
2016-10-26,578.7,592.0,522.0,528.65,3397675
2016-10-27,520.25,521.02,495.0,497.7,1618075
2016-10-28,496.0,514.25,496.0,500.2,812071
2016-10-30,507.5,509.42,500.62,504.48,75444
2016-11-01,503.0,507.4,497.0,499.68,388860
2016-11-02,491.55,495.98,486.5,488.4,463590
2016-11-03,488.0,492.98,480.5,482.58,363713
2016-11-04,481.75,490.25,477.0,479.98,453975
2016-11-07,487.0,490.5,480.0,481.65,218815
2016-11-08,485.05,490.42,482.82,488.82,274439
2016-11-09,450.05,475.0,440.0,466.1,1095298
2016-11-10,473.0,487.48,470.55,473.22,421299
2016-11-11,467.5,475.0,443.0,446.55,800091
2016-11-15,451.0,451.0,422.5,425.98,740101
2016-11-16,430.05,443.82,413.62,440.85,930765
2016-11-17,442.5,451.5,439.05,447.08,311932
2016-11-18,446.5,448.28,431.95,443.0,563315
2016-11-21,443.5,448.5,437.5,443.85,445386
2016-11-22,449.0,449.0,438.5,440.7,408555
2016-11-23,441.5,444.0,435.3,440.9,238993
2016-11-24,440.0,440.02,425.78,427.82,311036
2016-11-25,428.32,445.95,427.5,443.38,359777
2016-11-28,443.4,450.0,441.0,444.45,226453
2016-11-29,447.0,465.0,444.05,462.6,562483
2016-11-30,464.5,467.5,455.0,460.2,397686
2016-12-01,460.0,462.98,452.52,454.52,245631
2016-12-02,450.5,450.98,433.5,435.52,439204
2016-12-05,436.0,439.5,420.05,424.75,695420
2016-12-06,427.25,435.5,425.15,426.75,501421
2016-12-07,428.0,432.5,419.52,423.65,346689
2016-12-08,426.92,439.2,425.08,433.78,453793
2016-12-09,435.42,439.5,430.75,432.28,271013
2016-12-12,429.5,439.0,425.5,427.02,282471
2016-12-13,427.85,431.3,421.55,426.9,222052
2016-12-14,427.5,434.28,420.0,422.55,503543
2016-12-15,416.5,423.2,414.12,416.52,449189
2016-12-16,418.0,422.12,410.85,418.95,531371
2016-12-19,421.0,424.0,415.52,419.45,231533
2016-12-20,416.5,421.95,412.62,415.2,245736
2016-12-21,415.5,424.0,407.0,409.52,409138
2016-12-22,406.75,409.42,400.25,406.4,494115
2016-12-23,401.5,405.35,390.5,392.62,707563
2016-12-26,389.85,399.48,380.25,395.7,908085
2016-12-27,392.5,409.0,392.5,406.6,745294
2016-12-28,409.5,417.88,406.5,415.82,515717
2016-12-29,413.6,419.0,406.5,415.0,401644
2016-12-30,414.5,430.95,410.0,426.72,565579
2017-01-02,427.25,432.5,421.1,429.95,334040
2017-01-03,430.0,436.45,428.02,433.82,272889
2017-01-04,434.35,435.5,425.0,431.18,340511
2017-01-05,433.0,435.75,425.75,430.52,455154
2017-01-06,431.45,435.4,418.5,419.52,450050
2017-01-09,419.38,423.48,411.5,412.5,293818
2017-01-10,413.85,417.72,409.52,416.22,398215
2017-01-11,417.45,425.82,417.4,422.98,303977
2017-01-12,421.55,425.95,418.38,421.42,197284
2017-01-13,420.08,427.48,416.8,421.32,271998
2017-01-16,422.5,424.48,414.0,416.42,235837
2017-01-17,416.42,421.0,414.12,416.3,214487
2017-01-18,416.6,443.0,414.5,440.72,1119713
2017-01-19,442.0,449.62,436.18,443.5,1107410
2017-01-20,440.5,443.2,421.0,423.22,1161120
2017-01-23,423.0,426.72,418.0,421.85,326675
2017-01-24,419.0,423.58,417.0,419.75,428059
2017-01-25,423.5,432.82,417.8,427.02,852782
2017-01-27,432.4,443.9,429.18,439.35,1024062
2017-01-30,438.5,438.5,430.25,432.22,600020
2017-01-31,430.5,445.5,426.0,438.08,1195665
2017-02-01,437.9,443.4,426.92,441.68,364706
2017-02-02,442.45,466.18,437.95,461.82,1110447
2017-02-03,460.0,470.0,455.0,460.8,532598
2017-02-06,463.5,521.35,451.92,503.68,4278045
2017-02-07,509.5,513.75,491.62,499.9,2155667
2017-02-08,502.32,504.5,489.4,496.1,569631
2017-02-09,498.25,509.75,497.5,500.55,661425
2017-02-10,503.48,504.0,495.0,496.95,420393
2017-02-13,501.42,510.75,495.08,505.9,698573
2017-02-14,508.0,508.0,489.28,494.2,446107
2017-02-15,493.0,499.48,483.5,485.88,432439
2017-02-16,487.0,491.68,480.5,488.52,343726
2017-02-17,490.0,501.0,488.5,496.38,410095
2017-02-20,498.98,506.25,493.58,496.88,418893
