Date,Open,High,Low,Close,Volume
2016-09-15,575.0,575.0,563.1,564.5,1451590
2016-09-16,568.8,582.0,566.3,571.05,2209945
2016-09-19,574.0,577.8,568.55,574.35,1013963
2016-09-20,570.05,575.0,563.7,567.35,1188427
2016-09-21,571.85,574.65,567.7,570.65,938805
2016-09-22,580.0,585.4,575.45,583.45,1145274
2016-09-23,579.0,583.15,571.4,573.15,1136631
2016-09-26,574.9,574.9,562.1,568.3,965280
2016-09-27,573.9,573.9,564.25,571.0,877179
2016-09-28,572.8,590.0,570.0,588.35,1291584
2016-09-29,592.0,592.05,532.8,563.6,4014725
2016-09-30,564.9,581.0,557.2,578.8,1445130
2016-10-03,585.0,599.0,578.1,593.1,1639394
2016-10-04,598.0,603.8,584.35,597.75,2120226
2016-10-05,604.45,607.9,589.0,591.85,1893526
2016-10-06,596.8,602.0,582.1,587.9,1411775
2016-10-07,594.3,603.65,586.7,601.9,1493762
2016-10-10,605.0,605.0,591.55,592.85,983342
2016-10-13,592.0,593.5,578.15,584.25,1484059
2016-10-14,586.7,588.1,577.0,585.65,1346992
2016-10-17,589.0,593.65,576.05,577.6,1500956
2016-10-18,582.8,614.55,580.1,612.95,3810269
2016-10-19,615.0,619.8,605.6,615.65,3267041
2016-10-20,617.25,624.25,606.15,608.95,4823547
2016-10-21,610.5,612.0,595.25,599.5,2830895
2016-10-24,604.1,612.85,601.1,602.8,2053848
2016-10-25,603.0,605.0,595.5,597.85,1460675
2016-10-26,595.9,595.9,584.0,586.0,1790309
2016-10-27,584.0,589.5,581.65,585.75,2115815
2016-10-28,582.5,588.35,581.25,582.75,2111164
2016-10-30,587.0,590.95,586.3,588.4,295364
2016-11-01,586.0,592.9,584.0,589.05,1617446
2016-11-02,581.0,581.0,568.4,573.2,1953437
2016-11-03,573.0,573.0,548.35,550.25,2662737
2016-11-04,550.5,551.65,527.45,532.6,5565371
2016-11-07,544.9,551.0,539.05,542.55,3133740
2016-11-08,544.0,550.65,539.45,549.0,2286826
2016-11-09,500.0,534.7,467.85,525.7,8405778
2016-11-10,535.0,563.5,535.0,552.1,4203893
2016-11-11,536.1,544.5,517.35,520.3,4897948
2016-11-15,520.45,520.9,475.5,479.75,6308539
2016-11-16,488.0,524.75,483.75,512.5,5836917
2016-11-17,516.3,523.75,503.4,506.45,3522972
2016-11-18,506.0,522.8,506.0,518.4,2063285
