Date,Open,High,Low,Close,Volume
2016-09-15,983.4,984.7,971.43,980.17,750855
2016-09-16,984.73,999.33,979.0,982.13,1408181
2016-09-19,984.0,993.33,976.0,986.53,628360
2016-09-20,985.33,989.57,979.03,983.97,731470
2016-09-21,986.67,991.93,977.53,981.4,891381
2016-09-22,993.33,1002.67,984.67,999.97,1301967
2016-09-23,1003.33,1011.67,993.73,998.0,2081187
2016-09-26,994.67,1007.97,974.4,977.13,1414763
2016-09-27,980.03,984.2,954.3,957.6,1879473
2016-09-28,961.33,978.0,958.97,970.6,1595479
2016-09-29,974.4,979.33,946.97,958.4,2026897
2016-09-30,956.67,960.37,941.0,955.43,2331910
2016-10-03,958.7,983.17,956.8,980.47,1454479
2016-10-04,984.53,986.37,962.23,966.1,1526425
2016-10-05,973.33,974.6,960.77,969.3,1373232
2016-10-06,976.0,978.3,964.0,969.67,1084917
2016-10-07,968.67,973.27,960.67,971.3,732501
2016-10-10,973.97,976.93,964.7,966.67,583941
2016-10-13,959.27,965.0,954.2,958.93,1773330
2016-10-14,962.67,984.93,959.07,983.23,1754882
2016-10-17,983.27,984.67,960.67,965.3,1427280
2016-10-18,971.8,994.6,967.37,992.17,1322009
2016-10-19,992.17,1000.67,984.03,994.03,1431264
2016-10-20,997.33,1005.0,988.37,1002.43,1001560
2016-10-21,1002.67,1009.4,995.4,1007.23,1113866
2016-10-24,1011.1,1013.33,991.2,995.1,1011357
2016-10-25,996.67,999.57,985.8,989.4,558804
2016-10-26,986.47,992.67,980.37,988.2,578413
2016-10-27,986.5,988.6,971.4,983.53,1627119
2016-10-28,980.67,989.93,975.33,987.13,808654
2016-10-30,986.67,991.27,980.0,983.5,132919
2016-11-01,987.33,987.37,973.33,975.43,631439
2016-11-02,965.2,970.0,957.67,965.77,995629
2016-11-03,961.43,977.77,961.33,962.8,941295
2016-11-04,951.27,956.27,931.27,946.53,12426004
2016-11-07,950.0,954.47,928.23,932.0,1439102
2016-11-08,937.0,937.33,922.67,931.47,1254484
2016-11-09,880.0,939.4,863.4,926.97,3171599
2016-11-10,933.7,951.33,933.7,941.4,1844288
2016-11-11,931.27,939.33,924.0,925.87,1678857
2016-11-15,919.33,938.33,908.83,913.53,2638702
2016-11-16,924.87,925.53,900.67,917.03,2199807
2016-11-17,918.8,922.67,906.67,914.0,918428
2016-11-18,914.67,921.57,907.33,913.63,1103298
2016-11-21,919.13,919.13,893.33,898.6,1308560
2016-11-22,905.5,906.67,869.67,886.37,2056580
2016-11-23,904.67,923.33,898.67,904.83,4995426
2016-11-24,902.6,910.6,893.33,899.77,2876913
2016-11-25,905.2,916.8,890.93,913.8,2043883
2016-11-28,913.63,914.8,900.0,904.63,1185212
2016-11-29,904.67,913.13,899.37,901.63,1160885
2016-11-30,910.0,927.5,900.0,921.83,2890421
2016-12-01,924.27,935.0,915.2,925.57,1434665
2016-12-02,918.67,919.73,906.0,907.9,811885
2016-12-05,906.8,909.87,899.4,904.1,708548
2016-12-06,905.43,916.0,905.2,908.1,1181273
2016-12-07,912.0,916.73,900.0,902.53,1038510
2016-12-08,910.1,917.17,907.87,911.3,925895
2016-12-09,915.27,915.53,904.67,908.13,807503
2016-12-12,906.67,916.6,904.07,909.97,1090853
2016-12-13,910.67,919.27,910.13,917.13,1445417
2016-12-14,921.27,921.27,904.73,906.63,907292
2016-12-15,899.83,911.4,899.33,904.57,600349
2016-12-16,904.2,909.67,901.37,907.07,1051617
2016-12-19,905.0,906.0,894.37,896.63,765446
2016-12-20,896.67,907.47,896.1,903.67,785186
2016-12-21,905.47,907.03,893.33,894.67,633483
2016-12-22,893.83,896.0,874.7,876.43,905042
2016-12-23,877.17,894.67,868.33,891.63,1424432
2016-12-26,890.4,896.67,878.9,891.73,799152
2016-12-27,893.33,906.33,886.07,903.73,814904
2016-12-28,904.67,908.83,897.33,899.97,862843
2016-12-29,894.37,902.67,886.93,892.8,1340418
2016-12-30,896.67,903.67,896.0,899.4,853986
2017-01-02,904.03,912.67,899.43,906.4,984541
2017-01-03,906.67,916.67,901.47,911.47,908932
2017-01-04,916.67,920.9,913.67,917.73,1429826
2017-01-05,921.5,930.0,918.67,928.2,1854332
2017-01-06,930.0,935.8,925.07,927.3,975275
2017-01-09,928.0,931.97,917.8,920.43,546323
2017-01-10,920.17,930.0,918.37,925.0,906486
2017-01-11,932.0,945.23,930.0,941.57,1009634
2017-01-12,943.27,969.53,942.67,966.23,1804970
2017-01-13,973.33,973.33,954.8,959.17,933847
2017-01-16,956.67,966.67,954.87,961.87,701868
2017-01-17,960.0,973.3,960.0,963.83,949227
2017-01-18,964.0,979.33,964.0,968.3,1025452
2017-01-19,968.67,975.33,963.37,966.3,679943
2017-01-20,966.3,969.27,940.67,943.17,1451657
2017-01-23,941.33,942.0,921.27,929.03,2356046
2017-01-24,932.17,949.33,932.0,946.53,1253125
2017-01-25,949.87,969.33,946.93,966.5,1529849
2017-01-27,967.37,980.17,955.57,959.93,1247417
2017-01-30,962.0,978.0,958.67,961.87,1734390
2017-01-31,960.0,970.0,951.33,964.17,1262769
2017-02-01,965.3,996.57,964.2,993.5,2385089
2017-02-02,994.4,996.0,980.2,984.33,1505276
2017-02-03,984.33,992.0,971.33,987.13,1100306
2017-02-06,990.0,1000.0,986.27,989.2,1017810
2017-02-07,986.8,1003.2,981.43,1000.2,1666364
2017-02-08,1003.2,1007.33,992.83,1004.57,1126528
2017-02-09,1005.33,1007.23,984.27,993.8,1019504
2017-02-10,996.83,1005.43,994.83,1001.3,867324
2017-02-13,1003.7,1006.0,987.7,1000.1,620031
2017-02-14,1003.33,1004.63,990.67,995.07,617697
2017-02-15,995.13,1003.8,984.1,986.67,1301646
2017-02-16,989.27,990.0,974.03,980.17,1381298
2017-02-17,980.7,990.0,976.67,985.33,685794
2017-02-20,988.57,994.67,983.37,988.43,736914
2017-02-21,984.0,993.4,984.0,988.87,647077
2017-02-22,988.67,992.5,981.87,984.63,860878
2017-02-23,986.67,1004.0,978.8,991.07,1450265
2017-02-27,996.47,1000.0,973.4,977.23,1035933
2017-02-28,981.33,991.97,977.43,979.47,1182372
2017-03-01,981.33,989.9,980.77,984.1,812941
2017-03-02,988.03,996.9,980.0,982.63,1280144
2017-03-03,980.9,985.57,973.33,980.23,803346
2017-03-06,978.67,992.67,978.67,990.4,547991
2017-03-07,989.33,994.37,986.3,990.93,661044
2017-03-08,989.6,996.33,979.23,984.2,949575
2017-03-09,981.93,988.53,976.67,984.6,740700
2017-03-10,987.27,998.33,986.7,994.4,1224176
2017-03-14,1011.33,1045.8,1011.33,1038.73,4816540
2017-03-15,1038.0,1040.0,1026.8,1032.6,1605911
2017-03-16,1039.33,1050.0,1038.67,1047.37,1597431
2017-03-17,1047.37,1048.6,1029.43,1035.03,1285322
2017-03-20,1036.0,1036.93,1023.5,1025.1,961405
2017-03-21,1033.33,1043.07,1028.67,1032.7,1610142
2017-03-22,1025.23,1034.5,1016.93,1019.9,2247601
2017-03-23,1024.67,1038.93,1012.7,1029.27,1674514
2017-03-24,1032.0,1038.67,1027.67,1034.13,898437
2017-03-27,1033.27,1036.67,1025.33,1029.27,1055700
2017-03-28,1032.0,1038.53,1027.4,1029.5,1752639
2017-03-29,1036.0,1045.07,1033.33,1037.7,1520238
2017-03-30,1042.0,1046.67,1034.83,1038.3,1525551
2017-03-31,1034.73,1062.43,1034.73,1049.93,2362067
2017-04-03,1054.6,1110.67,1051.07,1107.33,4384590
2017-04-05,1107.33,1133.3,1098.57,1130.97,3453199
2017-04-06,1123.33,1134.9,1112.67,1122.13,1827211
2017-04-07,1116.67,1146.63,1114.07,1123.67,2731093
2017-04-10,1125.33,1139.4,1108.67,1116.03,1604287
2017-04-11,1116.03,1139.33,1114.0,1136.6,1316084
2017-04-12,1130.0,1141.0,1117.53,1135.2,1423376
2017-04-13,1129.67,1129.67,1114.97,1119.03,1316989
2017-04-17,1120.0,1126.4,1113.93,1120.9,756840
2017-04-18,1122.67,1132.63,1108.8,1113.0,1226326
2017-04-19,1113.33,1116.67,1107.9,1113.7,772108
2017-04-20,1115.93,1124.4,1108.8,1120.8,696126
2017-04-21,1130.0,1134.47,1120.0,1125.0,1610621
2017-04-24,1128.67,1157.6,1127.33,1155.13,2159020
2017-04-25,1160.0,1166.67,1157.33,1164.07,1919863
2017-04-26,1164.0,1176.0,1160.0,1167.53,1923815
2017-04-27,1165.23,1182.67,1162.67,1177.83,1417418
2017-04-28,1175.37,1177.17,1160.13,1166.53,1091826
2017-05-02,1166.73,1178.0,1150.0,1154.7,1240761
2017-05-03,1157.33,1163.5,1144.0,1146.8,864188
2017-05-04,1149.33,1161.3,1148.0,1154.43,836891
2017-05-05,1153.33,1154.07,1135.47,1149.6,1036761
2017-05-08,1152.0,1159.2,1136.73,1139.73,830744
2017-05-09,1141.33,1171.3,1136.67,1163.1,1224308
2017-05-10,1169.8,1176.67,1154.07,1159.5,1340085
2017-05-11,1166.67,1169.67,1146.4,1157.9,846964
2017-05-12,1158.3,1171.33,1151.07,1160.4,1202512
2017-05-15,1165.73,1167.7,1157.67,1161.6,797134
2017-05-16,1164.67,1165.5,1151.7,1160.47,1102926
2017-05-17,1162.6,1176.0,1153.67,1170.3,1668586
2017-05-18,1159.77,1166.73,1144.27,1148.4,1437220
2017-05-19,1152.67,1156.0,1131.7,1149.7,1512094
2017-05-22,1155.33,1172.67,1152.67,1167.97,1892816
2017-05-23,1170.0,1176.6,1151.6,1160.5,975870
2017-05-24,1161.4,1171.27,1118.4,1122.97,1448713
2017-05-25,1128.0,1183.33,1128.0,1179.23,3603181
2017-05-26,1180.0,1199.33,1169.23,1191.73,2044054
2017-05-29,1189.27,1206.63,1177.33,1188.27,2022439
2017-05-30,1210.67,1222.63,1169.33,1178.37,4366960
2017-05-31,1181.67,1190.0,1167.13,1173.8,2000488
2017-06-01,1173.33,1198.67,1165.33,1195.2,1932123
2017-06-02,1200.0,1203.33,1185.4,1189.33,950214
2017-06-05,1196.67,1206.27,1189.0,1203.27,1270946
2017-06-06,1205.13,1205.37,1181.43,1183.43,954046
2017-06-07,1182.67,1196.33,1182.0,1192.4,885027
2017-06-08,1192.67,1199.33,1181.0,1182.83,952653
2017-06-09,1184.67,1189.27,1174.4,1185.47,1088138
2017-06-12,1185.2,1185.33,1139.27,1157.73,2712638
2017-06-13,1163.03,1169.8,1157.7,1159.33,941516
2017-06-14,1161.33,1180.9,1156.53,1176.3,1386438
2017-06-15,1171.43,1174.6,1153.33,1156.9,987395
2017-06-16,1156.57,1167.33,1147.13,1151.13,1495435
2017-06-19,1157.33,1173.33,1154.8,1170.53,1187371
2017-06-20,1172.47,1179.3,1160.13,1167.0,1043648
2017-06-21,1172.33,1188.0,1167.33,1169.47,2371285
2017-06-22,1173.33,1177.07,1154.87,1157.6,1174506
2017-06-23,1160.0,1162.17,1146.0,1148.47,1144550
2017-06-27,1145.03,1158.63,1123.93,1134.47,1544697
2017-06-28,1132.57,1138.67,1120.9,1135.5,1052350
2017-06-29,1136.07,1148.77,1130.37,1135.77,1806368
2017-06-30,1132.67,1132.67,1107.53,1125.07,2167690
2017-07-03,1125.33,1140.33,1115.6,1124.83,1446731
2017-07-04,1133.33,1133.33,1114.0,1122.23,1093359
2017-07-05,1122.67,1132.67,1120.07,1130.2,689627
2017-07-06,1132.8,1137.97,1126.87,1131.73,945054
2017-07-07,1131.33,1145.27,1126.8,1136.27,1230066
2017-07-10,1146.73,1159.33,1140.07,1154.77,216490
2017-07-11,1159.6,1166.6,1153.33,1160.73,1415965
2017-07-12,1165.33,1171.13,1157.13,1159.7,1357936
2017-07-13,1165.1,1182.5,1160.0,1175.1,1643754
2017-07-14,1183.0,1183.0,1159.55,1171.2,1401864
2017-07-17,1178.0,1182.0,1162.4,1171.25,1646087
2017-07-18,1169.9,1187.0,1168.1,1177.9,2375324
2017-07-19,1184.0,1187.0,1170.1,1181.3,1827242
2017-07-20,1182.0,1194.45,1176.0,1185.65,1845852
2017-07-21,1190.0,1190.0,1170.2,1179.25,1912305
2017-07-24,1177.0,1182.65,1171.1,1178.0,1313657
2017-07-25,1178.0,1179.95,1165.5,1170.85,2182162
2017-07-26,1169.9,1184.0,1166.0,1180.25,1161591
2017-07-27,1180.8,1194.9,1173.0,1182.05,3881208
2017-07-28,1184.0,1190.4,1153.5,1161.4,3278658
2017-07-31,1193.7,1207.5,1180.1,1193.95,5000536
2017-08-01,1198.25,1198.25,1171.7,1190.05,2721660
2017-08-02,1191.0,1191.85,1172.5,1176.8,2154488
2017-08-03,1179.9,1184.65,1167.65,1174.75,1426006
2017-08-04,1174.0,1181.95,1169.7,1175.85,1082867
2017-08-07,1176.7,1184.6,1172.0,1179.95,1035670
2017-08-08,1180.0,1186.0,1164.0,1171.2,1531255
2017-08-09,1171.0,1171.0,1148.0,1153.9,1439328
2017-08-10,1151.0,1166.9,1140.0,1157.7,1713614
2017-08-11,1138.0,1144.05,1125.2,1131.95,2001103
2017-08-14,1143.25,1153.0,1119.0,1146.9,1866838
2017-08-16,1149.0,1152.4,1123.25,1142.25,2143899
2017-08-17,1145.0,1157.0,1131.05,1134.0,1508949
2017-08-18,1124.0,1137.65,1123.0,1130.6,1230709
2017-08-21,1133.45,1140.0,1124.6,1127.1,1651344
2017-08-22,1132.0,1135.0,1113.05,1117.7,1361351
2017-08-23,1120.0,1128.85,1114.4,1124.15,1710949
2017-08-24,1130.0,1135.8,1126.0,1131.7,1316100
2017-08-28,1134.7,1155.0,1128.8,1138.9,1884734
2017-08-29,1135.65,1138.75,1123.35,1130.05,1045267
2017-08-30,1140.0,1145.9,1133.0,1139.65,895791
2017-08-31,1144.0,1145.0,1130.5,1136.3,1926054
2017-09-01,1134.95,1144.4,1131.55,1139.2,976551
2017-09-04,1127.95,1138.95,1122.0,1130.65,1006945
2017-09-05,1131.15,1139.0,1122.3,1126.65,1110437
2017-09-06,1122.0,1126.1,1115.9,1117.6,891224
2017-09-07,1121.1,1130.95,1118.25,1129.1,1038623
2017-09-08,1137.5,1182.0,1134.05,1172.4,4947759
2017-09-11,1180.0,1225.0,1152.55,1217.85,4364705
2017-09-12,1219.5,1234.0,1219.5,1230.25,2451814
2017-09-13,1222.0,1229.0,1207.5,1223.35,2233311
2017-09-14,1223.55,1234.0,1211.5,1214.2,1440488
2017-09-15,1214.0,1221.65,1202.05,1212.4,1723247
2017-09-18,1218.55,1246.0,1218.55,1237.95,3005809
2017-09-19,1235.0,1237.8,1220.5,1225.9,900287
2017-09-20,1228.15,1250.5,1228.15,1235.95,2347635
2017-09-21,1236.9,1240.0,1208.75,1228.05,2216227
2017-09-22,1228.05,1229.15,1176.05,1184.8,2968531
2017-09-25,1187.0,1187.0,1145.0,1165.2,2720490
2017-09-26,1151.0,1170.0,1151.0,1162.9,1809036
2017-09-27,1172.9,1172.9,1131.5,1137.2,2317721
2017-09-28,1140.35,1143.7,1128.0,1133.35,3474398
