Date,Open,High,Low,Close,Volume
2016-09-15,91.2,94.1,91.1,93.7,7220505
2016-09-16,94.35,95.2,91.4,92.45,4160766
2016-09-19,92.55,93.55,92.25,92.95,1757389
2016-09-20,92.5,93.3,91.5,91.7,2357615
2016-09-21,92.05,92.9,91.05,91.65,3479712
2016-09-22,92.75,94.6,92.1,94.15,4189562
2016-09-23,94.15,94.65,92.9,93.2,2318762
2016-09-26,92.8,93.6,91.35,92.05,2926606
2016-09-27,92.3,93.4,90.05,90.8,2809758
2016-09-28,91.4,93.1,91.1,92.6,5790898
2016-09-29,93.0,94.7,84.45,85.65,16439547
2016-09-30,86.85,92.75,86.05,91.65,12077560
2016-10-03,92.0,93.45,91.75,92.8,4307288
2016-10-04,93.0,94.35,92.85,93.75,4942117
2016-10-05,94.1,97.45,92.65,96.55,10707985
2016-10-06,96.95,97.55,94.0,94.9,6374438
2016-10-07,95.0,95.85,93.6,93.95,2851540
2016-10-10,94.75,95.6,93.3,93.8,3151474
2016-10-13,93.8,94.25,90.25,92.55,8109305
2016-10-14,93.1,100.15,92.4,99.3,15859963
2016-10-17,101.0,101.25,97.1,98.8,11012421
2016-10-18,99.4,101.85,98.85,100.75,14906228
2016-10-19,101.0,102.9,100.15,101.2,17847227
2016-10-20,101.95,102.6,101.15,101.75,5135670
2016-10-21,102.0,103.15,100.3,102.15,6819409
2016-10-24,102.0,103.4,101.0,101.75,4604270
2016-10-25,102.3,103.6,100.8,102.85,5614952
2016-10-26,104.25,107.45,101.75,104.75,25317971
2016-10-27,104.75,107.95,103.25,105.65,11457513
2016-10-28,105.7,107.45,105.6,106.95,5947175
2016-10-30,107.9,108.3,107.5,107.8,1873143
2016-11-01,108.15,109.15,106.9,107.75,11847285
2016-11-02,106.15,106.6,103.8,104.3,5312516
2016-11-03,104.0,105.75,102.15,103.05,4684684
2016-11-04,103.65,103.75,98.7,101.1,8076764
2016-11-07,102.8,105.0,102.65,103.25,3054848
2016-11-08,104.5,104.75,102.2,103.85,3690163
2016-11-09,94.05,101.95,92.2,100.55,16490657
2016-11-10,103.0,104.35,100.0,100.45,5498042
2016-11-11,99.0,100.1,94.1,94.7,7217534
2016-11-15,94.0,94.35,81.55,84.75,14364273
2016-11-16,86.3,88.7,82.45,84.15,11572427
2016-11-17,84.6,87.75,84.05,85.25,6203443
2016-11-18,86.4,87.7,84.65,86.6,6107957
2016-11-21,87.85,87.85,82.25,82.75,5786773
2016-11-22,83.6,84.8,81.8,84.0,4075012
2016-11-23,84.85,85.7,83.6,85.15,3697704
2016-11-24,84.5,85.3,82.4,82.9,5382695
2016-11-25,83.8,89.0,83.0,88.65,8150333
2016-11-28,88.15,88.75,86.8,87.2,4345789
2016-11-29,87.7,90.5,87.5,88.25,5237407
2016-11-30,89.0,90.15,88.0,89.35,4867017
2016-12-01,89.85,90.0,86.8,87.4,3839088
2016-12-02,86.8,86.95,83.75,83.95,5214471
2016-12-05,83.35,85.95,83.15,85.45,3256209
2016-12-06,86.0,86.9,85.7,86.1,1965418
2016-12-07,86.25,86.95,84.6,85.55,3509164
2016-12-08,86.2,88.2,86.2,88.05,3357078
2016-12-09,88.0,90.0,87.25,89.15,3163353
2016-12-12,88.7,88.8,86.0,86.6,2261402
2016-12-13,86.15,86.5,85.1,85.9,2052020
2016-12-14,86.35,86.65,85.15,85.4,2222367
2016-12-15,84.0,87.2,84.0,86.45,2967919
2016-12-16,86.3,87.05,85.45,85.95,1600667
2016-12-19,86.0,86.05,84.55,84.95,3966855
2016-12-20,84.95,85.35,81.1,82.5,6645329
2016-12-21,82.9,83.7,81.7,82.25,3454624
2016-12-22,82.0,83.5,81.4,83.05,3480523
2016-12-23,83.15,85.4,82.5,84.35,3601375
2016-12-26,83.55,83.9,81.45,81.75,1977493
2016-12-27,82.0,84.2,80.95,84.0,3594170
2016-12-28,84.4,85.85,83.4,83.8,3305451
2016-12-29,83.85,85.25,82.85,84.75,4882624
2016-12-30,85.6,88.7,85.6,87.6,7209842
2017-01-02,88.25,89.0,87.15,88.35,4273730
2017-01-03,88.6,89.7,88.05,89.0,2678560
2017-01-04,89.3,92.45,89.1,91.35,7382566
2017-01-05,92.45,94.1,91.7,93.35,5357643
2017-01-06,93.8,94.8,92.35,92.85,4853692
2017-01-09,93.1,96.1,92.65,95.7,6048796
2017-01-10,96.75,97.25,95.5,96.4,4604280
2017-01-11,97.0,97.45,96.2,96.6,3080658
2017-01-12,96.8,97.35,95.35,95.85,2209314
2017-01-13,96.3,96.5,94.15,94.75,3985551
2017-01-16,94.7,96.25,94.1,95.45,3890126
2017-01-17,96.2,97.4,95.7,96.75,4401802
2017-01-18,97.0,97.8,96.4,96.9,3118443
2017-01-19,97.0,97.9,95.9,97.05,2593538
2017-01-20,96.9,97.0,93.95,94.2,2471741
2017-01-23,94.7,95.25,93.2,94.35,3176500
2017-01-24,95.1,99.2,94.55,98.15,10126232
2017-01-25,99.5,101.9,98.45,101.0,12266909
2017-01-27,101.95,102.2,100.2,101.1,5820204
2017-01-30,101.1,101.3,99.4,100.15,3756028
2017-01-31,100.0,100.4,97.2,97.55,3924663
2017-02-01,98.5,103.75,97.2,103.0,11286169
2017-02-02,103.0,104.25,101.0,102.55,8270278
2017-02-03,102.8,105.35,102.55,104.7,8288494
2017-02-06,105.0,105.8,104.25,104.65,4461256
2017-02-07,103.5,105.25,102.65,103.75,3064455
2017-02-08,103.95,109.4,103.7,108.3,9137026
2017-02-09,108.95,109.8,104.55,107.1,7099489
2017-02-10,107.5,110.4,106.5,109.75,7954588
2017-02-13,110.5,110.9,107.25,109.9,5606584
2017-02-14,109.9,113.2,109.3,112.45,6994751
2017-02-15,112.45,113.5,108.85,110.05,5723696
2017-02-16,110.3,115.0,108.7,114.4,7203683
2017-02-17,115.2,117.8,114.45,117.45,9594764
2017-02-20,117.0,118.7,116.65,118.2,3880912
2017-02-21,118.2,118.9,116.25,117.5,3237356
2017-02-22,117.45,119.6,116.0,117.05,6440885
2017-02-23,117.05,118.4,115.6,116.35,4864240
