Date,Open,High,Low,Close,Volume
2016-09-15,1532.0,1555.5,1530.0,1546.65,558667
2016-09-16,1543.95,1555.2,1528.0,1537.35,935307
2016-09-19,1531.4,1557.9,1530.0,1547.4,652749
2016-09-20,1535.8,1561.8,1535.1,1548.25,668059
2016-09-21,1553.0,1559.8,1538.7,1545.75,623879
2016-09-22,1560.0,1560.2,1515.75,1528.65,1230280
2016-09-23,1528.95,1529.8,1484.0,1489.45,1883166
2016-09-26,1497.0,1502.9,1465.1,1494.5,1632257
2016-09-27,1503.0,1519.0,1495.3,1512.2,1096606
2016-09-28,1512.2,1528.75,1509.05,1517.65,976298
2016-09-29,1531.8,1531.8,1455.0,1468.3,1473552
2016-09-30,1468.7,1489.5,1458.8,1486.25,860417
2016-10-03,1486.25,1506.6,1484.55,1493.55,573882
2016-10-04,1504.0,1508.0,1481.1,1488.45,516358
2016-10-05,1489.1,1502.9,1484.5,1492.4,393733
2016-10-06,1504.0,1504.0,1479.0,1486.9,551910
2016-10-07,1487.35,1505.0,1485.0,1500.15,1410496
2016-10-10,1505.05,1524.9,1499.55,1520.2,509938
2016-10-13,1509.2,1516.5,1474.6,1479.25,1120826
2016-10-14,1489.95,1489.95,1450.2,1464.7,1162063
2016-10-17,1468.7,1475.0,1442.1,1446.05,497091
2016-10-18,1450.0,1488.0,1450.0,1481.15,1488996
2016-10-19,1488.0,1518.5,1486.2,1512.7,762863
2016-10-20,1518.0,1521.45,1501.0,1505.85,460284
2016-10-21,1507.5,1518.45,1492.25,1500.1,345777
2016-10-24,1512.65,1539.6,1499.15,1528.4,905293
2016-10-25,1532.0,1544.0,1520.55,1526.25,574243
2016-10-26,1525.5,1538.9,1500.0,1507.3,483604
2016-10-27,1508.0,1508.0,1472.0,1480.35,591055
2016-10-28,1487.0,1504.95,1482.95,1488.35,531996
2016-10-30,1499.95,1526.3,1498.0,1518.2,282601
2016-11-01,1532.0,1544.0,1503.55,1508.35,800647
2016-11-02,1510.0,1524.45,1488.15,1492.55,633638
2016-11-03,1488.6,1501.0,1464.7,1470.4,829710
2016-11-04,1453.15,1472.0,1393.0,1420.9,2119494
2016-11-07,1523.0,1535.0,1488.9,1518.6,4220594
2016-11-08,1530.0,1547.2,1495.0,1507.6,1318755
2016-11-09,1432.0,1565.0,1382.6,1529.65,3320746
2016-11-10,1546.9,1550.0,1490.0,1493.9,2567989
2016-11-11,1496.85,1496.85,1452.35,1458.8,834760
2016-11-15,1460.0,1466.15,1428.65,1440.95,1037950
2016-11-16,1450.7,1454.85,1390.65,1407.05,1493431
2016-11-17,1406.6,1438.0,1402.65,1413.5,907967
2016-11-18,1414.0,1425.5,1408.1,1417.75,649572
2016-11-21,1434.25,1435.0,1390.85,1398.25,921267
2016-11-22,1408.0,1417.0,1402.55,1412.85,949507
2016-11-23,1424.0,1496.0,1415.05,1486.9,2141284
2016-11-24,1470.0,1494.25,1452.4,1458.5,1575834
2016-11-25,1470.0,1518.8,1445.6,1508.65,1241157
2016-11-28,1515.0,1517.9,1484.0,1509.2,811169
2016-11-29,1499.9,1523.0,1486.45,1518.15,768031
2016-11-30,1530.0,1547.1,1497.4,1504.85,1689417
2016-12-01,1505.0,1538.0,1499.0,1512.7,1016348
2016-12-02,1512.7,1514.0,1485.75,1489.1,602938
2016-12-05,1500.0,1540.0,1495.2,1535.85,1257617
2016-12-06,1546.9,1548.0,1523.05,1527.1,656919
2016-12-07,1535.0,1545.0,1501.25,1504.75,777319
2016-12-08,1516.4,1527.8,1505.0,1524.5,516109
2016-12-09,1526.0,1527.95,1501.5,1511.55,444998
2016-12-12,1506.0,1524.75,1498.55,1503.5,396052
2016-12-13,1507.0,1508.8,1476.25,1494.3,660269
2016-12-14,1497.95,1503.95,1482.0,1486.95,363044
2016-12-15,1479.0,1489.95,1470.0,1480.4,626694
2016-12-16,1484.0,1485.0,1461.0,1469.4,625008
2016-12-19,1467.4,1494.0,1460.8,1474.3,569313
2016-12-20,1485.0,1487.65,1446.0,1449.25,685374
2016-12-21,1459.0,1476.0,1445.0,1465.15,595663
2016-12-22,1465.1,1469.8,1442.0,1447.4,542888
2016-12-23,1447.95,1460.0,1440.0,1445.8,488669
2016-12-26,1445.0,1463.35,1397.3,1402.95,877985
2016-12-27,1404.95,1452.5,1404.0,1446.1,841430
2016-12-28,1450.0,1468.6,1447.3,1454.35,582828
2016-12-29,1464.0,1470.3,1451.05,1467.85,487712
2016-12-30,1470.0,1489.95,1470.0,1486.95,427683
2017-01-02,1488.0,1510.0,1476.2,1505.75,432507
2017-01-03,1514.95,1514.95,1492.1,1505.5,575773
2017-01-04,1505.9,1510.75,1485.0,1489.0,650696
2017-01-05,1499.9,1518.0,1486.7,1512.1,663374
2017-01-06,1513.25,1527.8,1506.0,1512.05,442853
2017-01-09,1511.0,1520.1,1486.5,1489.5,443260
2017-01-10,1490.0,1501.9,1483.4,1488.5,633637
2017-01-11,1492.5,1525.5,1492.5,1521.75,747080
2017-01-12,1495.0,1521.0,1485.1,1491.0,859263
2017-01-13,1500.0,1507.95,1487.1,1496.25,397553
2017-01-16,1498.95,1513.0,1493.05,1509.15,372811
2017-01-17,1503.0,1509.15,1490.05,1494.0,427552
2017-01-18,1492.1,1510.75,1490.5,1496.9,451242
2017-01-19,1493.0,1505.0,1470.55,1479.15,444368
2017-01-20,1483.0,1488.45,1455.25,1465.35,573900
2017-01-23,1460.0,1496.0,1450.05,1483.25,812744
2017-01-24,1477.5,1509.8,1477.5,1504.7,432795
2017-01-25,1515.0,1529.8,1502.3,1519.25,846726
2017-01-27,1518.0,1518.7,1488.15,1492.3,727852
2017-01-30,1494.1,1508.85,1487.0,1499.7,452570
2017-01-31,1510.0,1510.05,1466.35,1470.7,688000
2017-02-01,1471.0,1484.8,1435.7,1474.1,894488
2017-02-02,1482.7,1492.4,1450.0,1481.45,1006697
2017-02-03,1478.0,1505.95,1478.0,1492.0,472175
2017-02-06,1501.0,1573.6,1484.8,1496.15,2848834
2017-02-07,1495.0,1511.8,1461.0,1466.15,1101632
2017-02-08,1474.0,1491.0,1467.0,1486.75,955712
2017-02-09,1498.95,1520.0,1475.75,1491.35,3701844
2017-02-10,1509.0,1509.0,1461.0,1466.05,1510360
2017-02-13,1479.0,1479.0,1445.0,1447.6,863549
2017-02-14,1448.3,1455.95,1425.55,1431.45,797448
2017-02-15,1432.05,1442.0,1428.5,1432.9,1298433
2017-02-16,1433.0,1449.0,1424.7,1440.95,1169195
2017-02-17,1456.95,1464.95,1445.05,1458.7,1093407
2017-02-20,1460.0,1467.0,1448.6,1464.55,2218830
2017-02-21,1468.0,1473.0,1457.95,1471.0,1196203
2017-02-22,1471.0,1476.0,1446.25,1452.8,680057
2017-02-23,1450.0,1465.65,1444.85,1450.0,1225360
2017-02-27,1452.1,1469.0,1450.3,1464.1,867741
2017-02-28,1466.95,1478.0,1461.25,1474.1,1456387
2017-03-01,1479.4,1479.4,1466.35,1469.8,1381676
2017-03-02,1478.0,1483.45,1454.05,1460.9,1559024
2017-03-03,1462.4,1479.0,1457.55,1476.1,465086
2017-03-06,1474.95,1482.45,1470.0,1477.25,457610
2017-03-07,1479.95,1480.0,1440.05,1457.3,966032
2017-03-08,1460.0,1463.3,1442.0,1449.65,766037
2017-03-09,1450.35,1458.4,1443.0,1453.45,703101
2017-03-10,1456.0,1457.35,1440.0,1447.1,369219
2017-03-14,1463.0,1463.05,1440.0,1446.95,683469
2017-03-15,1449.0,1455.75,1443.55,1449.85,413467
2017-03-16,1452.95,1459.3,1450.0,1455.4,1092308
2017-03-17,1467.9,1475.45,1452.15,1456.55,1149979
2017-03-20,1467.0,1469.0,1457.6,1464.7,469478
2017-03-21,1464.0,1465.0,1448.0,1454.4,481477
2017-03-22,1450.05,1475.0,1443.0,1468.15,808660
2017-03-23,1479.0,1495.35,1466.55,1490.25,927873
2017-03-24,1494.9,1498.0,1475.0,1487.8,423331
2017-03-27,1486.9,1486.9,1455.0,1457.75,714403
2017-03-28,1473.9,1473.9,1451.55,1455.7,337687
2017-03-29,1460.8,1463.4,1447.5,1454.35,616204
2017-03-30,1457.0,1457.0,1445.0,1446.95,1258490
2017-03-31,1453.0,1455.0,1441.05,1445.2,538488
2017-04-03,1450.0,1454.0,1430.05,1434.6,968565
2017-04-05,1444.0,1457.05,1440.0,1454.95,614057
2017-04-06,1457.0,1457.0,1439.35,1448.4,468167
2017-04-07,1445.65,1448.0,1406.1,1410.05,1036712
2017-04-10,1405.0,1419.5,1397.0,1415.35,1263154
2017-04-11,1422.45,1433.45,1416.0,1429.45,728077
2017-04-12,1428.0,1444.45,1408.05,1439.45,782828
2017-04-13,1447.5,1454.9,1430.0,1434.65,747073
2017-04-17,1434.8,1442.45,1411.15,1416.95,539429
2017-04-18,1420.0,1428.95,1411.55,1414.95,387950
