Date,Open,High,Low,Close,Volume
2016-09-15,290.25,292.7,290.0,290.95,461075
2016-09-16,291.8,296.2,291.75,295.3,1516346
2016-09-19,295.5,296.4,292.15,293.45,621648
2016-09-20,294.0,294.0,290.35,291.45,325841
2016-09-21,292.0,293.5,287.1,288.05,1589164
2016-09-22,289.5,290.95,285.0,285.85,913274
2016-09-23,285.75,287.45,282.5,284.45,2188072
2016-09-26,284.45,284.95,277.15,278.5,1654052
2016-09-27,278.55,281.8,277.95,278.7,1213394
2016-09-28,281.7,285.8,279.45,284.7,815085
2016-09-29,285.45,286.3,269.9,270.8,1459391
2016-09-30,273.0,279.25,269.2,275.5,802825
2016-10-03,277.5,283.95,277.5,282.0,561754
2016-10-04,282.7,284.9,281.65,283.0,506265
2016-10-05,286.0,287.7,283.7,286.4,1130975
2016-10-06,288.5,288.9,284.15,286.05,585361
2016-10-07,287.25,287.3,278.1,279.25,827307
2016-10-10,280.4,281.65,277.6,278.25,356302
2016-10-13,281.0,283.8,276.05,277.95,1028429
2016-10-14,277.95,278.5,273.65,275.7,403204
2016-10-17,276.55,281.1,275.5,276.0,652400
2016-10-18,280.0,285.3,277.75,284.2,738610
2016-10-19,285.35,289.45,283.85,286.95,1019387
2016-10-20,288.1,289.9,282.8,283.65,758075
2016-10-21,284.15,286.15,283.4,284.95,516768
2016-10-24,287.0,287.95,282.2,283.45,954413
2016-10-25,284.15,285.75,281.05,285.05,534329
2016-10-26,283.05,283.05,278.9,280.9,842804
2016-10-27,281.0,281.0,272.6,278.55,1662579
2016-10-28,280.0,285.0,276.6,281.95,877797
2016-10-30,285.5,285.6,277.0,278.2,132640
2016-11-01,278.1,278.15,274.6,276.0,1087764
2016-11-02,275.0,275.0,266.8,268.6,1219701
2016-11-03,268.8,269.7,263.3,265.55,1733555
2016-11-04,266.95,271.6,260.5,261.6,2438479
2016-11-07,264.7,265.5,257.6,258.85,1900720
2016-11-08,261.4,261.4,256.4,260.35,1836156
2016-11-09,249.0,265.5,234.8,263.15,2553752
2016-11-10,266.25,269.9,262.5,267.1,1007348
2016-11-11,260.5,261.35,245.0,246.9,2878530
2016-11-15,244.8,248.1,235.05,239.65,3941458
2016-11-16,240.55,250.85,240.55,248.0,1716915
2016-11-17,246.15,254.3,245.05,249.15,1601412
2016-11-18,251.0,251.5,247.2,250.05,1180860
2016-11-21,249.0,253.2,248.25,249.65,2236813
2016-11-22,250.0,255.7,246.4,252.5,3571862
2016-11-23,252.2,256.75,252.2,255.3,1273867
2016-11-24,255.85,255.85,249.3,250.25,1710173
2016-11-25,250.0,256.3,250.0,255.15,565980
2016-11-28,254.7,255.0,248.3,249.7,2946125
2016-11-29,249.6,250.5,245.7,248.0,2124163
2016-11-30,249.0,254.75,245.3,252.65,5768310
2016-12-01,252.65,259.75,252.4,255.3,1492937
2016-12-02,253.65,255.7,250.85,254.65,1026768
2016-12-05,253.6,256.3,251.4,254.15,1107129
2016-12-06,254.15,255.9,252.85,255.0,825371
2016-12-07,257.2,257.5,253.35,256.0,917206
2016-12-08,257.1,259.2,253.95,256.5,1961193
2016-12-09,256.3,258.55,251.15,253.8,1490697
2016-12-12,254.6,254.65,249.5,250.35,1623930
2016-12-13,250.75,253.65,248.6,251.6,655331
2016-12-14,251.1,255.1,249.35,253.0,830101
2016-12-15,249.0,254.95,249.0,253.15,578507
2016-12-16,253.55,253.9,249.4,250.75,1985573
2016-12-19,250.75,251.35,247.75,250.0,1012230
2016-12-20,248.15,253.1,247.75,251.15,694392
2016-12-21,251.0,251.8,248.1,249.0,843728
2016-12-22,248.5,249.9,242.65,248.5,1109912
2016-12-23,249.75,250.15,244.7,245.4,620348
2016-12-26,246.15,247.2,238.05,239.15,1013424
2016-12-27,240.0,246.8,239.2,245.6,1055984
2016-12-28,246.1,251.0,245.65,250.3,1231506
2016-12-29,250.3,252.95,249.15,251.6,776753
2016-12-30,253.0,261.6,252.1,260.45,1259401
2017-01-02,260.0,260.5,252.65,253.8,767759
2017-01-03,254.15,259.1,253.75,257.75,692811
2017-01-04,259.7,259.7,254.5,257.75,1351459
2017-01-05,257.9,262.0,257.9,260.55,1172285
2017-01-06,261.55,264.5,259.1,260.4,3310990
2017-01-09,260.4,263.35,257.0,257.6,456790
2017-01-10,259.25,261.75,257.05,260.75,845215
2017-01-11,261.1,263.4,259.75,261.0,1014655
2017-01-12,261.1,263.2,259.0,259.9,973735
2017-01-13,260.2,261.0,256.5,258.35,1310681
2017-01-16,258.5,259.65,256.65,257.8,631934
2017-01-17,258.8,258.85,252.8,255.95,1403076
2017-01-18,256.0,262.35,256.0,259.9,1021462
2017-01-19,261.0,261.0,256.55,257.95,410086
2017-01-20,257.85,257.85,254.5,255.5,952405
2017-01-23,254.5,256.55,253.7,254.85,997333
2017-01-24,256.7,258.8,253.8,257.75,1269494
2017-01-25,257.75,259.8,254.7,255.85,1710729
2017-01-27,259.25,259.25,256.35,257.9,696646
2017-01-30,259.0,259.8,256.95,258.15,336598
2017-01-31,259.5,259.7,255.0,257.25,745867
2017-02-01,257.1,259.0,256.0,258.5,963780
2017-02-02,259.45,262.35,253.2,255.1,3086838
2017-02-03,255.5,256.55,252.55,255.3,1094796
2017-02-06,256.0,257.9,254.3,256.0,2516947
2017-02-07,256.95,271.0,255.8,269.4,4746036
2017-02-08,272.65,274.65,267.6,272.7,1463457
2017-02-09,272.0,272.0,265.0,267.8,1087577
2017-02-10,269.0,271.85,266.05,269.95,912914
2017-02-13,271.45,271.45,266.1,269.85,381427
2017-02-14,270.35,270.35,265.85,267.95,557902
2017-02-15,266.75,268.95,263.2,265.55,887812
2017-02-16,265.9,269.2,263.6,268.2,1475653
2017-02-17,270.65,270.8,265.6,268.75,566343
2017-02-20,267.6,268.95,265.5,267.1,297652
2017-02-21,268.0,275.3,266.0,274.45,1537924
2017-02-22,276.95,277.75,272.35,273.2,1586769
2017-02-23,273.95,274.45,267.6,268.9,2031216
2017-02-27,267.3,277.65,267.3,276.75,1745078
2017-02-28,277.0,282.8,275.35,281.2,2418430
2017-03-01,281.0,282.0,277.0,278.9,622739
2017-03-02,278.9,283.7,278.15,281.5,1613596
2017-03-03,281.0,282.0,278.85,279.25,684909
2017-03-06,280.0,280.75,276.25,277.65,527253
2017-03-07,277.5,280.3,277.5,278.5,235892
2017-03-08,278.5,279.85,276.8,279.05,790435
2017-03-09,278.95,281.9,276.9,280.4,522060
2017-03-10,280.45,282.25,278.4,279.95,525007
2017-03-14,284.75,284.75,279.0,281.95,1424636
2017-03-15,282.85,287.4,279.4,286.6,802623
2017-03-16,288.2,295.0,286.75,293.15,1813216
2017-03-17,293.9,297.0,292.4,293.6,2755214
2017-03-20,296.2,296.2,290.35,292.65,592657
2017-03-21,292.4,294.15,290.3,291.95,686749
2017-03-22,287.0,290.65,283.5,285.25,1900492
2017-03-23,280.2,295.8,280.15,291.55,1920107
2017-03-24,289.8,291.5,288.7,290.8,649622
2017-03-27,291.95,291.95,286.9,287.8,840748
2017-03-28,288.3,292.35,286.55,291.3,660489
2017-03-29,292.4,299.6,289.0,298.7,2175698
2017-03-30,299.95,299.95,294.1,296.5,2296622
2017-03-31,296.0,296.75,292.5,294.85,867262
2017-04-03,296.45,300.65,293.05,296.55,734491
2017-04-05,295.8,300.0,295.1,298.85,700530
2017-04-06,298.0,302.45,297.3,299.05,2201267
2017-04-07,299.0,302.4,295.3,300.05,2055753
2017-04-10,301.05,303.4,298.75,299.9,1393287
2017-04-11,300.65,302.4,299.2,301.15,477848
2017-04-12,302.45,307.9,298.55,303.65,1438889
2017-04-13,303.5,304.9,299.95,300.6,504276
2017-04-17,301.0,302.65,297.45,300.95,364902
2017-04-18,301.5,304.15,297.5,299.9,545525
2017-04-19,299.35,302.25,298.5,301.3,292450
