Date,Open,High,Low,Close,Volume
2016-09-15,2322.0,2328.9,2288.35,2305.35,240856
2016-09-16,2318.0,2367.5,2305.0,2344.6,382981
2016-09-19,2346.0,2359.0,2314.25,2319.7,261088
2016-09-20,2325.0,2336.0,2296.05,2307.85,179971
2016-09-21,2316.0,2326.5,2305.5,2314.8,162038
2016-09-22,2339.0,2345.0,2303.4,2310.1,183684
2016-09-23,2316.1,2333.0,2286.0,2292.05,187317
2016-09-26,2291.7,2317.0,2273.25,2282.1,247753
2016-09-27,2293.8,2301.95,2275.3,2285.35,220824
2016-09-28,2320.0,2323.0,2295.05,2305.85,166805
2016-09-29,2359.0,2458.1,2250.05,2305.6,2010806
2016-09-30,2340.0,2478.0,2340.0,2466.45,1343138
2016-10-03,2415.0,2446.95,2386.3,2425.55,343453
2016-10-04,2430.0,2561.0,2430.0,2548.05,832337
2016-10-05,2556.7,2600.0,2504.6,2558.3,582658
2016-10-06,2561.0,2585.35,2492.2,2517.6,309853
2016-10-07,2517.6,2542.9,2451.3,2475.75,288285
2016-10-10,2483.4,2536.8,2462.2,2468.75,382138
2016-10-13,2468.0,2508.8,2421.0,2454.0,309009
2016-10-14,2464.9,2483.2,2405.0,2415.95,224776
2016-10-17,2426.8,2444.0,2380.15,2387.15,197901
2016-10-18,2391.0,2454.9,2391.0,2445.75,222364
2016-10-19,2456.8,2460.0,2416.0,2423.85,178993
2016-10-20,2418.3,2442.3,2385.6,2398.7,189816
2016-10-21,2405.4,2412.85,2375.05,2387.4,125957
2016-10-24,2399.95,2406.85,2355.5,2368.45,162168
2016-10-25,2366.9,2398.75,2362.05,2374.15,158677
2016-10-26,2374.0,2386.9,2320.55,2328.35,200622
2016-10-27,2326.0,2343.25,2260.1,2271.75,513893
2016-10-28,2280.0,2309.9,2240.1,2250.25,410126
2016-10-30,2269.9,2284.0,2245.0,2266.8,30547
2016-11-01,2287.0,2287.0,2219.1,2223.65,188276
2016-11-02,2214.95,2248.4,2185.0,2192.6,367800
2016-11-03,2192.8,2225.95,2121.7,2132.5,364015
2016-11-04,2121.15,2142.0,2034.9,2047.3,513545
2016-11-07,2056.6,2075.0,2002.0,2016.15,312860
2016-11-08,2028.4,2087.9,1976.1,2040.05,663714
2016-11-09,1930.0,2044.0,1800.0,2021.9,1156453
2016-11-10,2052.0,2072.7,2011.4,2028.85,230256
2016-11-11,2013.9,2035.0,1970.0,1981.55,365803
2016-11-15,1988.8,1988.8,1872.35,1893.0,380013
2016-11-16,1910.8,1920.0,1851.1,1872.25,231980
2016-11-17,1868.0,1914.95,1861.3,1888.15,294279
2016-11-18,1900.0,1908.9,1860.0,1869.3,157172
2016-11-21,1870.0,1870.2,1780.0,1788.3,376440
2016-11-22,1806.0,1899.9,1773.45,1881.85,520103
2016-11-23,1900.0,1925.5,1862.15,1897.75,386314
2016-11-24,1898.65,1898.65,1840.1,1851.15,330476
2016-11-25,1870.0,1882.35,1852.0,1869.6,156203
2016-11-28,1862.35,1944.0,1860.2,1917.6,373609
2016-11-29,1918.8,1945.95,1881.05,1894.9,224962
2016-11-30,1930.0,1958.6,1912.25,1918.45,417704
2016-12-01,1934.9,1934.9,1890.0,1900.85,170760
2016-12-02,1898.0,1928.4,1876.8,1898.55,225816
2016-12-05,1903.95,1944.9,1895.0,1933.45,252142
2016-12-06,1937.0,1949.8,1912.0,1920.5,180836
2016-12-07,1928.9,1944.0,1920.0,1933.8,182355
2016-12-08,1945.0,1974.9,1932.8,1953.9,178616
2016-12-09,1954.0,1954.0,1891.1,1914.05,246512
2016-12-12,1916.0,1943.9,1911.2,1919.3,168686
2016-12-13,1927.0,1953.0,1910.3,1943.9,155985
2016-12-14,1941.0,1981.8,1927.05,1937.0,268561
2016-12-15,1932.0,1953.05,1906.0,1924.95,651497
2016-12-16,1925.0,1946.0,1910.0,1933.15,208713
2016-12-19,1942.85,1942.85,1921.65,1934.3,99946
2016-12-20,1944.8,1944.8,1908.05,1913.55,140179
2016-12-21,1913.0,1936.0,1882.25,1899.75,139790
2016-12-22,1890.0,1899.9,1866.0,1885.45,189563
2016-12-23,1885.0,1895.15,1846.35,1852.55,148555
2016-12-26,1847.8,1852.2,1825.1,1827.85,126331
2016-12-27,1839.0,1869.0,1819.95,1858.3,97643
2016-12-28,1873.0,1893.0,1855.0,1877.65,166999
2016-12-29,1865.0,1926.45,1865.0,1913.5,319614
2016-12-30,1925.8,1955.0,1919.4,1942.8,131501
2017-01-02,1949.65,1957.9,1923.9,1932.35,157834
2017-01-03,1944.8,1944.8,1905.0,1912.35,195550
2017-01-04,1920.0,1954.95,1913.0,1950.15,219009
2017-01-05,1965.0,1967.15,1926.25,1941.3,106212
2017-01-06,1942.0,1945.55,1915.0,1919.1,105172
2017-01-09,1900.0,1935.0,1894.95,1908.75,100592
2017-01-10,1912.0,1921.75,1900.05,1909.4,87247
2017-01-11,1918.0,1928.35,1907.5,1917.95,115968
2017-01-12,1925.0,1936.2,1895.65,1908.55,119204
2017-01-13,1915.0,1920.0,1895.2,1917.65,96546
2017-01-16,1920.0,1970.0,1910.0,1957.3,142738
2017-01-17,1961.0,2109.9,1951.1,2085.15,1260776
2017-01-18,2110.0,2232.8,2074.4,2104.6,2616889
2017-01-19,2110.0,2145.0,2025.0,2044.8,876222
2017-01-20,2053.0,2088.6,2041.3,2077.9,601083
2017-01-23,2134.0,2220.0,2126.15,2203.85,1846183
2017-01-24,2230.0,2235.95,2181.0,2208.6,794915
2017-01-25,2206.0,2225.0,2185.0,2194.15,459306
2017-01-27,2195.8,2328.1,2195.5,2270.55,914115
2017-01-30,2277.0,2277.8,2232.25,2241.9,211001
2017-01-31,2248.0,2248.0,2169.2,2178.5,255348
2017-02-01,2170.0,2302.7,2130.8,2292.0,717648
2017-02-02,2291.9,2316.3,2267.0,2278.6,421667
2017-02-03,2282.0,2297.0,2248.05,2265.45,203798
2017-02-06,2288.7,2289.75,2239.3,2255.35,225987
2017-02-07,2286.2,2330.8,2251.55,2274.95,472250
2017-02-08,2275.1,2290.0,2227.5,2267.7,341557
2017-02-09,2270.1,2288.95,2235.1,2256.4,291489
2017-02-10,2258.8,2364.0,2246.7,2352.75,585262
2017-02-13,2377.0,2383.95,2306.9,2345.3,430740
2017-02-14,2349.8,2373.7,2321.55,2359.6,252156
2017-02-15,2353.8,2359.55,2308.6,2315.1,207698
2017-02-16,2323.9,2344.6,2305.05,2316.6,277407
2017-02-17,2330.0,2375.85,2312.0,2363.7,234913
2017-02-20,2361.0,2394.0,2330.05,2339.3,272792
2017-02-21,2344.9,2426.95,2325.55,2415.5,754376
2017-02-22,2415.0,2427.7,2389.25,2397.35,305559
2017-02-23,2399.0,2400.0,2325.1,2331.35,429248
2017-02-27,2337.7,2357.0,2306.0,2319.15,338388
2017-02-28,2320.0,2372.45,2320.0,2345.1,328324
2017-03-01,2345.0,2365.0,2319.0,2328.1,173267
2017-03-02,2344.7,2377.2,2293.55,2304.25,376584
2017-03-03,2304.5,2305.0,2280.0,2285.45,159449
2017-03-06,2290.0,2319.0,2288.05,2304.65,112372
2017-03-07,2310.0,2310.0,2261.0,2270.8,174947
2017-03-08,2275.0,2285.7,2226.0,2240.8,246992
2017-03-09,2239.0,2257.7,2210.65,2217.6,160359
2017-03-10,2222.0,2246.0,2204.1,2210.55,137748
2017-03-14,2244.9,2274.3,2219.95,2241.35,239340
2017-03-15,2246.0,2317.45,2223.0,2271.7,612091
2017-03-16,2259.0,2259.0,2210.0,2217.45,353578
2017-03-17,2223.7,2238.55,2180.35,2205.55,437954
2017-03-20,2200.0,2214.0,2180.0,2189.65,316968
2017-03-21,2195.0,2201.7,2155.1,2161.8,325363
2017-03-22,2140.0,2152.5,2114.2,2134.75,798480
2017-03-23,2150.0,2214.55,2136.0,2204.7,331119
