Date,Open,High,Low,Close,Volume
2016-09-15,603.7,612.8,583.1,599.4,478466
2016-09-16,604.5,606.8,580.1,586.45,585602
2016-09-19,575.15,584.6,568.0,570.1,643819
2016-09-20,574.0,577.2,566.4,569.1,374039
2016-09-21,569.5,574.0,564.5,567.75,186871
2016-09-22,574.4,574.75,566.1,569.1,317259
2016-09-23,571.75,592.0,564.0,565.6,839516
2016-09-26,565.7,569.5,558.15,560.25,663353
2016-09-27,565.0,569.8,550.5,552.15,644953
2016-09-28,549.5,563.0,548.3,551.7,311038
2016-09-29,558.8,560.0,536.25,553.95,524669
2016-09-30,548.1,564.0,540.0,555.6,290786
2016-10-03,563.75,564.0,555.0,558.55,351677
2016-10-04,558.6,560.0,553.0,558.4,308422
2016-10-05,558.55,569.15,553.0,562.25,493393
2016-10-06,561.0,564.0,551.65,555.1,179105
2016-10-07,554.9,556.75,545.35,549.35,181694
2016-10-10,549.0,552.85,542.0,543.65,127819
2016-10-13,548.0,562.5,537.85,549.95,350066
2016-10-14,552.0,559.5,548.95,553.5,188065
2016-10-17,555.0,558.0,533.7,538.85,610149
2016-10-18,545.0,566.6,542.2,553.75,2184795
2016-10-19,558.5,560.0,551.25,555.6,178953
2016-10-20,554.0,562.9,552.35,558.15,284291
2016-10-21,558.2,573.75,556.65,561.8,1666476
2016-10-24,564.8,564.8,554.0,558.55,108849
2016-10-25,555.0,560.0,551.2,555.3,122347
2016-10-26,555.0,555.0,545.1,550.0,139126
2016-10-27,550.05,560.0,546.0,556.9,163137
2016-10-28,556.95,568.0,548.3,562.8,129780
2016-10-30,565.0,572.4,561.0,563.15,48221
2016-11-01,563.2,565.95,555.0,558.2,209488
2016-11-02,556.0,560.0,541.55,546.85,115203
2016-11-03,547.0,553.0,537.55,540.7,96904
2016-11-04,540.75,551.55,522.2,542.0,275404
2016-11-07,543.05,555.0,536.1,551.65,120625
2016-11-08,551.65,567.7,550.05,565.15,555289
2016-11-09,538.0,559.5,520.0,554.9,574309
2016-11-10,564.9,580.0,559.85,573.2,832728
2016-11-11,570.8,570.8,545.25,558.0,155492
2016-11-15,547.0,548.85,485.95,492.9,565024
2016-11-16,502.5,537.95,495.3,532.55,637364
2016-11-17,530.0,546.95,510.1,525.8,441016
2016-11-18,524.0,536.65,520.15,524.5,216452
2016-11-21,522.0,528.8,499.0,504.35,132759
2016-11-22,510.0,537.95,509.45,531.4,234303
2016-11-23,533.05,554.0,520.0,548.65,179716
2016-11-24,536.0,548.0,531.15,540.2,273286
2016-11-25,540.0,545.65,532.0,536.3,72569
2016-11-28,531.0,542.95,531.0,538.7,44574
2016-11-29,541.9,560.0,539.0,558.1,259551
2016-11-30,556.9,556.9,526.3,534.05,302325
2016-12-01,539.9,549.0,532.4,545.8,223009
2016-12-02,543.95,546.0,530.0,532.85,57332
2016-12-05,534.95,548.3,533.25,545.0,116770
2016-12-06,543.0,549.3,536.1,544.15,154144
2016-12-07,539.0,547.3,535.0,541.5,224980
2016-12-08,545.0,547.5,539.25,542.55,149828
2016-12-09,539.2,548.6,537.95,542.5,345420
2016-12-12,542.5,548.0,536.25,545.15,479540
2016-12-13,545.15,560.0,541.1,557.0,120777
2016-12-14,551.5,566.6,551.5,556.7,154630
2016-12-15,551.2,563.2,541.0,556.5,160434
2016-12-16,553.5,562.0,547.3,559.6,135451
2016-12-19,559.6,568.0,548.0,558.9,108694
2016-12-20,560.0,560.75,538.5,543.05,151222
2016-12-21,549.5,550.4,532.55,536.35,82494
2016-12-22,534.0,539.0,527.5,530.25,122361
2016-12-23,533.0,535.0,526.25,529.2,140800
2016-12-26,534.95,534.95,516.75,525.45,183333
2016-12-27,522.0,535.4,522.0,531.3,87924
2016-12-28,534.3,541.3,529.3,532.3,86633
2016-12-29,534.6,547.35,534.6,542.85,124122
2016-12-30,544.5,553.8,532.0,548.75,168589
2017-01-02,551.0,568.0,545.25,557.55,61775
2017-01-03,556.65,561.5,551.0,555.0,109407
2017-01-04,557.65,560.15,550.05,559.45,227416
2017-01-05,554.0,562.8,552.0,553.65,346446
2017-01-06,556.8,561.0,543.2,546.45,84924
2017-01-09,546.4,551.95,541.05,543.95,124487
2017-01-10,550.0,550.0,541.0,543.45,181870
2017-01-11,545.2,562.0,537.2,558.65,450076
2017-01-12,559.3,560.0,549.1,554.2,357171
2017-01-13,549.0,557.7,539.95,551.2,330610
2017-01-16,545.5,559.65,545.5,557.75,69034
2017-01-17,556.1,562.25,549.1,554.55,74469
2017-01-18,555.0,560.0,550.5,554.65,217823
2017-01-19,558.0,572.95,555.55,565.9,885847
2017-01-20,559.75,565.6,556.0,562.55,442882
2017-01-23,565.2,566.95,555.0,564.7,184885
2017-01-24,561.1,569.4,554.0,563.05,191940
2017-01-25,561.0,565.45,557.5,563.85,169972
2017-01-27,560.25,579.0,556.5,569.95,469643
2017-01-30,565.0,572.95,562.25,565.1,366738
2017-01-31,566.0,571.45,561.0,564.65,302364
2017-02-01,565.5,602.4,559.2,581.7,727196
2017-02-02,580.0,607.5,577.0,601.7,646551
2017-02-03,598.3,604.6,586.55,599.2,418168
2017-02-06,605.0,606.85,597.15,601.2,498232
2017-02-07,604.8,618.85,600.55,615.6,939252
2017-02-08,617.8,629.0,607.3,617.85,731923
2017-02-09,618.0,639.0,607.05,627.35,679725
2017-02-10,630.0,637.0,609.1,622.45,287407
2017-02-13,624.0,624.0,608.0,610.6,161018
2017-02-14,610.95,618.0,587.0,604.7,306445
2017-02-15,598.0,610.45,595.0,603.6,226201
2017-02-16,602.05,609.0,591.0,599.6,235988
2017-02-17,608.6,608.6,595.0,601.1,194149
2017-02-20,606.95,606.95,590.0,594.75,92000
2017-02-21,575.55,585.0,560.0,564.85,21755787
2017-02-22,567.7,574.7,565.2,572.6,704381
2017-02-23,572.6,579.85,567.7,578.25,541532
2017-02-27,573.0,575.2,562.6,567.15,453050
2017-02-28,577.15,583.95,561.1,563.6,715112
2017-03-01,568.7,568.7,554.4,563.65,665397
2017-03-02,564.0,569.0,560.5,563.8,671731
2017-03-03,562.35,567.55,555.15,561.7,346213
2017-03-06,561.2,566.3,554.1,556.7,171037
2017-03-07,555.0,558.0,550.05,552.4,144999
2017-03-08,552.0,556.35,539.5,542.8,326138
2017-03-09,541.0,545.7,512.3,536.55,1606744
2017-03-10,535.0,539.0,523.25,536.05,423916
2017-03-14,542.0,547.0,536.05,539.45,403156
2017-03-15,541.15,565.5,536.0,558.9,717300
2017-03-16,558.9,566.7,555.5,565.25,389961
2017-03-17,565.4,570.05,552.55,565.75,426539
2017-03-20,565.65,570.0,555.55,559.75,505338
2017-03-21,562.2,566.45,554.05,563.05,308541
2017-03-22,563.0,563.0,544.9,560.0,508633
2017-03-23,564.7,581.4,564.0,578.7,914853
2017-03-24,579.0,584.0,571.5,575.35,744934
2017-03-27,575.7,581.5,573.95,580.3,474641
2017-03-28,578.5,586.95,569.0,571.7,711182
2017-03-29,572.0,577.7,562.6,565.25,458324
2017-03-30,571.0,575.0,568.0,572.7,307182
2017-03-31,573.7,583.25,573.35,576.95,1109146
2017-04-03,577.65,579.6,563.35,567.7,786239
2017-04-05,569.0,606.2,560.0,595.55,2653585
2017-04-06,593.9,607.0,585.0,602.2,1029130
2017-04-07,600.0,653.6,600.0,633.4,3135493
2017-04-10,639.0,669.0,634.6,654.05,2953741
2017-04-11,656.9,675.95,645.65,652.45,1576610
2017-04-12,653.0,668.2,640.1,659.05,1058252
2017-04-13,659.85,668.5,651.55,655.85,539476
2017-04-17,655.0,666.05,648.25,659.25,326839
2017-04-18,660.0,666.35,635.25,644.0,650050
2017-04-19,642.0,658.9,636.65,654.5,577455
2017-04-20,655.7,666.6,647.0,650.95,460321
2017-04-21,630.0,643.9,625.0,631.1,3572489
