Date,Open,High,Low,Close,Volume
2016-09-15,512.0,516.15,511.95,514.0,459686
2016-09-16,515.25,517.5,509.0,512.2,535022
2016-09-19,515.0,515.45,505.0,505.25,1612032
2016-09-20,502.0,513.2,500.0,502.1,1924421
2016-09-21,505.0,518.4,503.0,510.25,943478
2016-09-22,516.0,519.0,508.45,509.75,365999
2016-09-23,510.5,513.4,504.05,505.2,465196
2016-09-26,505.1,505.9,496.2,497.75,380664
2016-09-27,495.0,497.0,491.5,493.0,391845
2016-09-28,495.0,496.85,491.5,492.95,322152
2016-09-29,496.0,497.05,463.75,481.6,629135
2016-09-30,481.0,485.0,475.0,482.15,331125
2016-10-03,485.0,499.1,484.3,488.55,358594
2016-10-04,494.95,497.85,488.65,495.95,431668
2016-10-05,497.0,503.0,495.0,498.4,243588
2016-10-06,500.0,501.9,487.55,491.2,238126
2016-10-07,491.25,493.45,486.6,491.85,127789
2016-10-10,492.0,503.5,492.0,500.9,395508
2016-10-13,496.35,502.15,485.0,489.7,350240
2016-10-14,497.0,509.95,485.3,501.05,518351
2016-10-17,501.05,503.85,486.8,490.6,338164
2016-10-18,490.6,493.5,475.0,476.85,1407550
2016-10-19,477.0,485.9,474.85,476.95,901113
2016-10-20,478.95,482.0,476.4,479.05,550097
2016-10-21,484.1,489.0,477.0,479.0,1022279
2016-10-24,460.0,465.5,451.55,456.0,3054170
2016-10-25,456.05,458.4,450.5,454.9,1282622
2016-10-26,456.7,458.95,447.05,450.2,487349
2016-10-27,449.8,450.1,438.0,441.5,1092899
2016-10-28,442.0,446.4,434.2,435.95,596777
2016-10-30,440.6,442.0,437.0,440.3,63257
2016-11-01,441.0,445.7,436.0,439.55,344508
2016-11-02,436.0,436.9,430.0,433.55,336448
2016-11-03,435.0,435.0,425.0,428.35,694279
2016-11-04,433.0,433.0,421.0,425.15,597659
2016-11-07,411.0,431.0,411.0,429.25,395769
2016-11-08,435.0,447.2,434.9,442.65,775453
2016-11-09,420.0,439.9,399.0,436.15,820980
2016-11-10,446.5,452.2,435.05,437.4,511782
2016-11-11,437.0,438.0,421.35,423.55,467791
2016-11-15,424.7,433.7,415.2,430.55,641117
2016-11-16,435.0,450.0,430.6,437.9,768862
