Date,Open,High,Low,Close,Volume
2016-09-15,709.45,711.55,697.78,703.12,682836
2016-09-16,706.0,715.6,700.52,703.32,774423
2016-09-19,708.95,714.75,703.5,708.5,553728
2016-09-20,711.5,713.32,702.75,704.92,613237
2016-09-21,704.0,712.98,700.6,703.45,1047587
2016-09-22,710.0,711.25,704.1,706.8,968035
2016-09-23,709.45,713.5,703.52,705.05,736383
2016-09-26,705.05,705.05,688.0,690.1,890593
2016-09-27,690.0,695.38,684.32,685.85,979381
2016-09-28,687.82,694.95,685.0,688.38,1042651
2016-09-29,693.45,707.98,679.18,682.2,2635103
2016-09-30,685.25,707.68,675.0,702.85,1068875
2016-10-03,706.5,726.0,700.02,721.92,1801610
2016-10-04,725.25,727.38,705.5,707.68,1583938
2016-10-05,712.95,712.95,697.4,699.6,1150299
2016-10-06,703.95,703.95,682.75,686.45,1063811
2016-10-07,687.5,694.0,685.0,687.0,687365
2016-10-10,689.05,694.0,687.48,688.45,364693
2016-10-13,680.02,692.45,676.5,684.88,827113
2016-10-14,688.5,688.5,676.55,678.55,797923
2016-10-17,679.85,680.2,654.02,656.55,932761
2016-10-18,660.2,667.45,658.78,666.68,788484
2016-10-19,669.35,669.35,656.02,663.95,1155301
2016-10-20,665.0,671.85,661.5,663.7,520128
2016-10-21,663.45,665.0,660.2,663.38,406448
2016-10-24,664.25,671.6,660.18,669.62,889305
2016-10-25,670.0,670.42,649.65,651.95,1452754
2016-10-26,650.05,662.5,646.33,654.48,625272
2016-10-27,655.0,658.05,646.5,649.88,954282
2016-10-28,649.0,657.42,645.0,655.9,749008
2016-10-30,656.5,662.5,655.5,658.5,84411
2016-11-01,660.45,668.9,652.0,663.18,927448
2016-11-02,659.5,693.25,653.25,684.65,3025246
2016-11-03,680.52,687.78,676.5,680.48,1112404
2016-11-04,680.0,696.0,673.12,686.18,1599025
2016-11-07,692.0,696.68,685.3,688.98,1061785
2016-11-08,692.0,694.3,683.52,692.3,442381
2016-11-09,657.0,679.5,626.92,666.68,1871510
2016-11-10,678.98,689.22,655.0,660.65,1256420
2016-11-11,650.0,658.5,615.8,620.1,2277753
2016-11-15,621.0,628.98,584.62,619.15,2065468
2016-11-16,626.0,639.17,609.78,618.67,1348466
2016-11-17,615.0,622.5,605.5,609.83,529216
2016-11-18,611.12,623.5,610.5,619.92,547225
2016-11-21,622.22,622.85,595.0,599.7,755318
2016-11-22,605.0,611.8,592.5,609.55,643999
2016-11-23,612.48,613.25,593.55,595.9,580706
2016-11-24,594.0,599.9,579.0,581.85,1633434
2016-11-25,584.95,589.25,576.62,586.5,763588
2016-11-28,587.5,591.98,578.0,581.25,663942
2016-11-29,580.5,600.5,580.02,592.92,1038178
2016-11-30,596.0,598.95,590.28,592.55,938090
2016-12-01,595.0,597.0,578.45,580.05,665802
2016-12-02,579.0,582.0,570.83,572.78,1096755
2016-12-05,578.92,592.8,575.0,590.65,662827
2016-12-06,593.0,596.22,586.02,587.7,543702
2016-12-07,591.45,597.95,585.0,591.0,937700
2016-12-08,593.5,607.1,593.5,604.6,901569
2016-12-09,609.5,609.5,591.5,594.17,977333
2016-12-12,593.6,597.7,581.1,582.8,541323
2016-12-13,582.0,587.25,576.55,583.7,750916
2016-12-14,587.4,592.0,579.52,586.98,552388
2016-12-15,585.0,598.4,583.05,593.28,961665
2016-12-16,592.5,594.48,583.95,590.5,801230
2016-12-19,591.65,594.9,586.0,588.52,741307
2016-12-20,589.05,593.02,585.0,589.3,532361
2016-12-21,593.0,602.35,587.5,595.22,838016
2016-12-22,593.5,596.45,586.52,591.8,855701
2016-12-23,585.5,590.9,577.5,585.8,770271
2016-12-26,586.0,586.5,572.88,574.35,1062180
2016-12-27,574.5,585.72,570.7,583.62,580928
2016-12-28,585.55,592.45,585.0,587.05,1069415
2016-12-29,588.9,589.5,584.17,587.48,833778
2016-12-30,589.12,594.4,586.0,592.35,511509
2017-01-02,592.25,616.5,585.12,614.9,1053264
