Date,Open,High,Low,Close,Volume
2016-09-15,140.82,141.07,138.22,138.69,1077330
2016-09-16,139.91,144.13,139.4,141.65,2153913
2016-09-19,142.53,144.15,141.55,142.18,1181305
2016-09-20,142.67,144.33,140.73,143.49,1633715
2016-09-21,144.0,144.67,142.45,143.22,1776553
2016-09-22,144.49,145.65,142.78,143.89,1415350
2016-09-23,144.45,145.33,141.35,141.85,1284882
2016-09-26,141.69,142.0,139.6,140.33,986888
2016-09-27,140.67,142.11,139.07,139.58,1456079
2016-09-28,141.33,141.45,139.69,140.53,1837574
2016-09-29,140.78,141.47,126.78,136.22,8049447
2016-09-30,136.0,142.0,135.8,141.33,3372930
2016-10-03,142.22,148.55,142.22,146.38,9548103
2016-10-04,145.78,146.67,144.22,145.95,2185372
2016-10-05,148.29,149.07,146.0,148.15,3092150
2016-10-06,149.29,150.22,145.85,147.6,2055598
2016-10-07,148.0,148.13,145.78,146.27,1132982
2016-10-10,146.67,148.22,146.49,147.31,1158976
2016-10-13,147.55,147.55,140.45,142.98,2281458
2016-10-14,142.89,147.6,142.25,146.87,1932325
2016-10-17,145.93,147.49,142.2,142.89,1391585
2016-10-18,143.78,147.65,143.15,147.29,2785741
2016-10-19,147.55,149.75,145.62,147.8,1983561
2016-10-20,148.75,148.75,146.02,146.78,1021060
2016-10-21,146.93,148.98,144.73,148.51,1791563
2016-10-24,148.89,149.51,146.82,147.75,1068777
2016-10-25,147.33,148.67,145.27,146.71,1031561
2016-10-26,146.22,147.98,142.93,146.55,2156118
2016-10-27,146.98,146.98,143.71,145.75,1981589
2016-10-28,145.78,148.42,145.78,147.2,1196414
2016-10-30,147.55,148.65,146.71,147.45,66805
2016-11-01,146.67,147.27,144.91,146.11,1399149
2016-11-02,144.33,145.25,141.51,143.49,1054579
2016-11-03,142.89,144.65,138.22,139.58,990686
2016-11-04,139.53,139.53,133.2,134.18,2626860
2016-11-07,135.95,142.58,135.55,140.29,2455382
2016-11-08,140.67,141.98,136.35,138.6,1203594
2016-11-09,135.11,139.2,124.89,137.05,3504624
2016-11-10,140.4,149.11,137.38,144.98,7675774
2016-11-11,142.22,143.02,133.35,134.0,3227533
2016-11-15,134.0,135.67,123.71,127.07,3434435
2016-11-16,131.11,135.2,125.13,130.87,4183517
2016-11-17,131.15,132.78,128.09,131.85,2328320
2016-11-18,132.31,133.65,128.62,129.09,1580615
2016-11-21,129.15,130.38,123.87,124.55,2230676
2016-11-22,125.82,128.87,124.45,126.71,3498964
2016-11-23,128.45,132.67,126.67,131.87,2289569
2016-11-24,131.05,133.33,129.02,131.62,1882233
2016-11-25,131.11,134.87,130.87,134.29,1831452
2016-11-28,134.18,135.78,132.07,134.07,1697500
2016-11-29,134.07,137.93,133.4,134.85,2434780
2016-11-30,135.73,138.58,135.33,137.69,2385505
2016-12-01,139.6,139.95,137.33,138.35,1738365
2016-12-02,137.47,139.45,135.27,136.07,2498545
2016-12-05,135.47,140.15,135.33,139.2,2716960
2016-12-06,138.31,140.95,137.78,138.33,1268924
2016-12-07,139.07,140.75,138.22,139.15,1097968
2016-12-08,140.0,147.38,140.0,146.67,2872867
2016-12-09,146.45,146.58,141.65,142.93,4227116
2016-12-12,143.42,144.89,141.42,142.78,1030247
2016-12-13,142.47,147.0,142.42,144.91,2400728
2016-12-14,145.31,145.89,141.78,142.2,1652658
2016-12-15,140.42,144.18,140.25,142.75,1493263
2016-12-16,142.95,145.53,142.69,143.67,4204051
2016-12-19,144.11,144.98,141.78,142.38,1247769
2016-12-20,141.6,143.51,141.33,141.75,1345118
2016-12-21,142.09,144.4,140.89,143.33,1450350
2016-12-22,143.53,144.18,141.33,141.82,1633939
2016-12-23,141.78,142.0,136.49,137.38,1782683
2016-12-26,136.87,137.78,134.4,136.51,1284467
2016-12-27,137.78,138.58,135.33,137.89,1028118
2016-12-28,138.58,140.75,138.45,139.87,1571056
2016-12-29,138.98,146.62,138.95,145.33,2844209
2016-12-30,146.2,146.53,144.22,145.09,1419743
2017-01-02,145.29,148.25,144.33,145.71,1374012
2017-01-03,145.45,146.67,142.95,143.75,1058966
2017-01-04,143.98,144.67,141.78,142.62,1922659
2017-01-05,143.33,146.31,143.33,146.02,2158076
2017-01-06,146.67,150.0,146.67,147.4,2828724
2017-01-09,149.2,149.2,146.0,146.33,1342984
2017-01-10,146.38,147.8,144.31,145.8,2148226
2017-01-11,145.98,147.38,144.71,146.75,3368155
2017-01-12,147.11,148.2,145.4,146.55,1140494
2017-01-13,147.95,147.95,144.45,145.18,1104637
2017-01-16,145.11,147.0,144.27,146.09,989907
2017-01-17,146.29,148.09,144.31,145.05,8925758
2017-01-18,144.89,147.33,144.65,147.05,1345795
2017-01-19,147.11,147.62,144.05,144.73,2278045
2017-01-20,143.78,150.45,142.67,145.05,7717771
2017-01-23,146.22,146.22,142.67,143.85,2958185
2017-01-24,144.05,147.4,143.85,147.05,1933229
2017-01-25,147.4,148.6,146.38,147.33,2805879
2017-01-27,147.47,153.55,146.78,153.05,4007977
2017-01-30,152.85,155.07,151.33,152.69,2795109
2017-01-31,151.8,152.87,146.78,147.49,2042842
2017-02-01,148.0,150.13,144.62,149.6,2057602
2017-02-02,149.78,152.71,147.85,148.85,3145814
2017-02-03,148.85,151.65,148.25,151.18,2706859
2017-02-06,152.87,152.87,149.4,150.8,1639349
2017-02-07,152.0,152.0,148.47,150.25,2611607
2017-02-08,150.6,154.07,150.47,152.71,2599185
2017-02-09,153.31,155.55,151.89,155.05,2023455
2017-02-10,156.0,159.73,155.67,158.18,3637304
2017-02-13,159.45,159.45,151.2,155.98,7476527
2017-02-14,156.67,158.35,154.62,156.98,2482112
2017-02-15,156.49,158.49,152.07,152.62,2376388
2017-02-16,151.58,154.71,150.62,154.25,2257467
2017-02-17,155.07,156.13,153.15,155.47,1512382
2017-02-20,156.35,156.85,155.02,156.02,1014258
2017-02-21,156.42,157.09,153.49,155.82,1106657
2017-02-22,156.27,157.71,155.0,156.55,1964017
2017-02-23,156.73,157.42,153.87,155.25,3462764
2017-02-27,155.78,155.78,152.98,153.6,1268687
2017-02-28,154.22,156.13,153.69,155.65,1114819
2017-03-01,156.42,161.49,155.45,160.78,4238337
2017-03-02,162.6,164.38,156.05,156.87,3992187
2017-03-03,156.13,157.55,153.78,157.15,2486186
2017-03-06,157.18,159.55,157.18,158.78,1200179
2017-03-07,158.22,160.11,156.69,157.18,964490
2017-03-08,157.27,158.67,155.65,157.71,824830
2017-03-09,159.09,161.11,157.38,158.87,2406688
2017-03-10,159.55,159.95,156.95,157.91,1013508
2017-03-14,160.0,161.98,159.02,161.29,1344376
2017-03-15,160.4,162.65,160.35,161.87,1059377
2017-03-16,161.89,164.31,161.89,163.27,762820
2017-03-17,163.6,164.13,161.35,163.11,1386400
2017-03-20,163.78,166.0,163.62,164.78,1591230
2017-03-21,164.58,165.13,162.35,164.49,1119372
2017-03-22,163.6,163.6,159.35,160.33,1792028
2017-03-23,160.78,163.11,157.38,161.91,1950928
2017-03-24,161.71,163.78,160.22,162.58,1155453
2017-03-27,164.42,164.42,162.07,162.71,1250667
2017-03-28,161.82,166.67,161.82,165.27,1442316
2017-03-29,166.65,170.22,166.6,168.67,3405053
2017-03-30,169.0,169.95,167.45,168.27,2035003
2017-03-31,168.27,168.78,164.6,165.29,1695701
2017-04-03,164.89,167.69,164.89,166.87,645417
2017-04-05,167.11,170.29,165.4,169.82,1905311
2017-04-06,169.98,171.11,168.47,170.75,1545104
2017-04-07,169.69,170.49,166.93,168.0,874039
2017-04-10,168.11,169.8,167.82,169.2,721912
2017-04-11,168.45,170.22,168.11,169.05,588551
2017-04-12,169.49,170.65,165.45,166.49,1435226
2017-04-13,166.2,168.6,165.82,167.29,633526
2017-04-17,167.55,167.82,165.13,165.73,773554
2017-04-18,165.78,170.8,164.49,165.13,1701621
2017-04-19,165.58,168.51,164.51,166.89,4415931
2017-04-20,167.15,169.25,166.13,167.35,790288
2017-04-21,167.75,170.58,165.69,168.67,1181328
2017-04-24,169.78,172.09,169.11,170.45,694968
2017-04-25,171.15,171.51,169.02,170.31,1113526
2017-04-26,170.53,172.8,169.4,171.55,1864647
2017-04-27,172.25,173.55,170.27,172.8,1144287
2017-04-28,172.49,179.53,171.51,178.33,2858402
2017-05-02,178.33,179.87,174.78,178.69,1668146
2017-05-03,179.2,182.35,177.35,180.4,1670665
2017-05-04,179.55,182.07,178.95,179.45,840260
2017-05-05,178.71,179.69,174.45,175.53,1236733
