Date,Open,High,Low,Close,Volume
2016-09-15,46.1,47.0,45.9,46.05,832878
2016-09-16,46.3,47.4,43.75,44.5,2992423
2016-09-19,44.95,45.9,44.85,45.7,559780
2016-09-20,46.0,46.35,45.5,45.9,342229
2016-09-21,46.15,46.75,45.9,46.4,318897
2016-09-22,46.7,46.95,45.4,45.7,712690
2016-09-23,46.25,46.4,45.55,46.0,476818
2016-09-26,46.0,46.4,45.6,45.95,331759
2016-09-27,45.5,46.1,45.4,45.7,987091
2016-09-28,45.9,46.85,45.65,46.45,530475
2016-09-29,46.65,46.9,42.65,45.5,1378285
2016-09-30,46.0,46.75,44.55,45.75,1176126
2016-10-03,46.0,46.9,45.55,46.3,759508
2016-10-04,46.55,49.0,46.5,47.25,1936847
2016-10-05,47.8,48.8,47.25,48.1,1127602
2016-10-06,48.2,49.5,47.4,47.95,1438185
2016-10-07,47.75,49.5,47.6,49.1,1109440
2016-10-10,52.0,52.7,51.05,52.4,4091913
2016-10-13,52.7,53.4,50.0,50.65,2373864
2016-10-14,50.65,52.0,50.65,51.7,993639
2016-10-17,51.2,52.45,50.25,50.8,978883
2016-10-18,50.8,52.4,50.1,51.15,1118853
2016-10-19,52.25,52.8,51.15,51.45,1339297
2016-10-20,52.25,52.4,51.1,51.35,1268715
2016-10-21,51.55,52.0,50.7,50.95,777764
2016-10-24,51.25,51.5,50.25,50.4,556883
2016-10-25,50.6,50.75,49.3,49.95,568634
2016-10-26,50.3,51.65,49.65,50.4,894230
2016-10-27,50.2,50.75,49.55,49.8,553666
2016-10-28,50.2,53.7,49.8,53.3,2759286
2016-10-30,54.0,54.9,53.75,54.65,1260924
2016-11-01,54.5,56.3,54.15,55.1,3296102
2016-11-02,54.25,55.8,53.35,54.45,2820703
2016-11-03,54.7,56.65,52.6,53.15,3450306
2016-11-04,53.0,53.75,50.7,51.45,1328228
2016-11-07,51.9,53.0,51.5,51.85,1166309
2016-11-08,52.0,52.35,51.4,51.9,718809
2016-11-09,47.1,51.8,45.0,51.35,2625645
2016-11-10,52.5,54.0,52.5,52.75,1698214
2016-11-11,52.2,52.7,50.4,50.8,872609
