Date,Open,High,Low,Close,Volume
2016-09-15,840.05,850.0,835.1,847.2,43388
2016-09-16,839.05,878.95,839.0,861.9,103600
2016-09-19,856.6,872.0,851.5,862.35,111553
2016-09-20,870.0,870.0,854.1,862.5,53274
2016-09-21,853.25,868.0,851.55,858.5,25357
2016-09-22,860.5,864.2,842.5,852.95,8804
2016-09-23,865.0,869.0,850.55,859.55,82032
2016-09-26,860.0,860.0,845.2,857.85,14934
2016-09-27,862.65,868.0,853.0,858.05,78750
2016-09-28,860.6,862.45,845.05,850.25,4796
2016-09-29,858.9,867.0,833.5,862.3,46347
2016-09-30,865.2,867.9,836.5,849.95,42869
2016-10-03,851.85,869.95,845.15,864.75,26087
2016-10-04,858.55,907.0,855.2,892.2,53521
2016-10-05,893.5,955.0,888.05,940.8,229152
2016-10-06,950.0,1012.8,940.8,983.85,357259
2016-10-07,990.0,1004.0,931.05,936.3,63596
2016-10-10,935.0,935.0,910.1,916.55,70993
2016-10-13,916.05,919.15,872.3,898.9,157145
2016-10-14,900.0,900.55,881.0,885.6,12002
2016-10-17,887.1,888.85,856.05,861.3,24645
2016-10-18,863.6,893.0,846.3,860.4,115314
2016-10-19,865.0,903.0,856.1,891.95,158740
2016-10-20,910.0,910.0,877.5,898.4,21449
2016-10-21,895.6,900.0,883.0,898.95,8610
2016-10-24,909.15,909.15,875.5,879.95,8073
2016-10-25,879.95,888.75,868.0,880.85,7731
2016-10-26,871.0,895.0,871.0,880.1,401925
2016-10-27,883.35,909.8,852.25,898.2,158544
2016-10-28,900.95,914.0,884.0,901.95,99412
2016-10-30,912.45,912.45,901.0,902.1,2834
2016-11-01,913.9,1025.0,896.1,970.55,139227
2016-11-02,970.0,988.9,940.0,945.3,60419
2016-11-03,941.25,969.3,941.05,945.25,21280
2016-11-04,945.5,949.8,884.1,914.55,33478
2016-11-07,917.05,949.45,880.0,896.3,32001
2016-11-08,910.8,929.2,885.05,913.65,40779
2016-11-09,862.0,922.95,840.0,909.35,41482
2016-11-10,926.8,926.8,902.8,910.55,21761
2016-11-11,920.95,923.0,890.05,892.5,8377
2016-11-15,875.0,884.95,864.6,869.35,256404
2016-11-16,877.95,889.5,855.0,884.6,92314
2016-11-17,889.0,895.0,871.0,872.75,3597
2016-11-18,876.05,899.0,862.05,890.25,22688
2016-11-21,884.8,939.9,875.15,928.0,42855
2016-11-22,929.95,964.0,920.05,954.35,51930
2016-11-23,958.65,967.95,925.5,934.0,67716
2016-11-24,934.0,934.0,919.0,920.65,4214
2016-11-25,925.0,925.0,907.55,909.95,30976
2016-11-28,915.55,917.95,888.55,899.6,62724
2016-11-29,903.1,911.45,895.0,896.6,5777
2016-11-30,905.5,906.95,892.0,897.6,37614
2016-12-01,892.0,905.0,888.7,899.9,94363
2016-12-02,891.05,899.45,880.1,884.95,7120
2016-12-05,888.0,891.9,867.5,875.5,3321
2016-12-06,879.95,879.95,868.0,870.85,7459
2016-12-07,872.7,878.0,858.0,863.65,36442
2016-12-08,879.8,879.8,860.1,870.7,30775
2016-12-09,868.65,868.65,855.1,856.7,10226
2016-12-12,860.0,864.0,847.35,859.0,7564
2016-12-13,857.1,863.45,848.5,852.6,12471
2016-12-14,849.0,877.45,843.2,847.9,29399
2016-12-15,849.0,865.45,838.0,855.55,12196
2016-12-16,854.9,885.0,848.05,871.85,46704
2016-12-19,881.0,881.0,843.0,845.1,19468
2016-12-20,842.7,848.5,837.0,838.6,9121
2016-12-21,846.95,849.0,820.15,826.05,53354
2016-12-22,826.05,844.95,810.1,818.3,20430
2016-12-23,821.15,845.45,816.05,826.25,13913
2016-12-26,825.2,950.0,822.05,884.6,28612
2016-12-27,891.0,949.0,860.3,909.45,112134
2016-12-28,900.0,924.9,886.45,918.7,78593
2016-12-29,919.0,921.0,902.0,909.65,32645
2016-12-30,911.0,920.0,881.55,895.9,27700
2017-01-02,899.9,904.3,882.45,890.25,76160
2017-01-03,891.2,911.0,860.2,884.35,20918
2017-01-04,884.9,884.95,855.1,860.45,25594
2017-01-05,858.9,870.0,855.65,861.55,25347
2017-01-06,867.95,889.0,862.0,874.45,141123
2017-01-09,866.0,868.0,852.3,858.15,53985
2017-01-10,864.0,865.0,845.45,849.15,29301
2017-01-11,857.65,858.95,842.6,848.05,116330
2017-01-12,851.05,860.0,849.35,850.4,127716
2017-01-13,850.05,855.0,842.0,849.2,38930
2017-01-16,856.55,856.55,845.3,851.2,4082
2017-01-17,852.35,867.7,846.2,862.0,14832
2017-01-18,862.0,887.4,857.65,879.7,27662
2017-01-19,882.0,887.95,871.1,879.75,30118
2017-01-20,879.75,879.75,852.7,858.8,21547
2017-01-23,862.7,868.95,852.85,862.45,8220
2017-01-24,864.15,870.25,848.95,851.15,12788
2017-01-25,850.95,864.0,807.5,848.2,31433
2017-01-27,851.5,858.0,845.0,851.85,6732
2017-01-30,859.0,879.0,844.0,863.45,161164
2017-01-31,856.0,858.0,819.0,824.0,45830
2017-02-01,830.0,844.2,820.4,833.5,59326
2017-02-02,842.9,850.25,825.0,829.2,76813
2017-02-03,828.0,839.8,828.0,835.0,20356
2017-02-06,831.3,841.35,828.0,833.2,18687
2017-02-07,825.1,839.95,825.1,836.15,44069
2017-02-08,835.55,839.95,831.0,836.7,17284
2017-02-09,841.3,841.5,827.85,831.7,6761
2017-02-10,831.7,863.0,830.3,858.85,26811
2017-02-13,861.0,863.95,842.25,849.8,3964
2017-02-14,852.0,862.0,835.05,857.0,9186
2017-02-15,860.0,860.0,831.55,833.75,13437
2017-02-16,834.5,846.9,833.8,838.7,3354
2017-02-17,843.8,849.7,838.2,840.55,2691
2017-02-20,841.75,841.75,831.15,835.6,89214
2017-02-21,839.3,841.8,832.4,834.8,18476
2017-02-22,843.95,844.0,834.75,839.3,6201
2017-02-23,840.45,857.9,835.05,852.9,86781
2017-02-27,855.0,857.85,840.15,854.3,37147
2017-02-28,855.95,862.0,843.5,856.85,12919
2017-03-01,852.0,856.05,843.85,846.0,6393
2017-03-02,852.6,852.6,843.95,845.0,50395
2017-03-03,844.05,847.45,835.25,839.4,35631
2017-03-06,839.4,847.0,821.0,824.55,11738
2017-03-07,825.0,837.75,820.0,826.05,20657
2017-03-08,818.0,828.0,818.0,823.15,15205
2017-03-09,816.05,824.35,810.2,822.9,51396
2017-03-10,820.0,826.45,815.0,820.15,20271
2017-03-14,822.1,833.95,808.3,815.3,63184
2017-03-15,815.1,829.65,804.1,821.9,27968
2017-03-16,829.8,840.9,824.65,837.8,130258
2017-03-17,837.05,844.0,827.15,840.0,430440
2017-03-20,845.0,845.0,825.0,830.8,14529
2017-03-21,828.15,840.0,826.95,839.5,15496
2017-03-22,835.45,839.95,830.55,837.55,8840
2017-03-23,833.45,837.45,822.75,826.9,32380
2017-03-24,829.0,832.1,813.0,817.8,22059
2017-03-27,818.1,821.05,806.2,808.35,20316
2017-03-28,805.0,821.95,805.0,810.65,146535
2017-03-29,819.95,819.95,804.3,808.85,58489
2017-03-30,811.05,815.0,806.0,811.6,72144
2017-03-31,813.95,814.0,796.3,801.2,557913
2017-04-03,801.2,827.5,796.2,820.15,46864
2017-04-05,817.5,867.95,811.1,842.95,78457
2017-04-06,839.95,848.75,835.55,839.5,58296
2017-04-07,840.0,881.55,831.6,840.8,339359
2017-04-10,850.0,858.0,844.35,854.45,33151
2017-04-11,849.15,855.0,848.2,854.9,20386
2017-04-12,854.7,855.0,831.0,837.15,12458
2017-04-13,840.9,854.0,835.3,841.0,14383
2017-04-17,841.0,849.4,830.15,836.55,422520
2017-04-18,839.9,847.45,834.0,838.3,16848
2017-04-19,830.0,840.5,822.05,826.4,15342
2017-04-20,826.4,835.7,812.3,815.4,19998
2017-04-21,817.7,823.4,808.0,810.3,22704
2017-04-24,814.25,833.6,810.3,825.15,17535
2017-04-25,827.1,833.0,811.0,812.3,24719
2017-04-26,818.65,820.0,801.1,804.55,30386
2017-04-27,808.9,828.0,803.3,824.25,28332
2017-04-28,823.7,838.8,820.05,835.55,40671
2017-05-02,838.0,849.0,827.3,845.75,45511
2017-05-03,849.5,849.5,840.15,847.95,16318
2017-05-04,845.05,847.9,838.05,844.9,29089
2017-05-05,844.35,850.0,822.05,842.05,7857
2017-05-08,842.0,847.15,837.0,843.75,10745
2017-05-09,841.2,859.0,836.9,846.55,60188
2017-05-10,849.0,852.1,838.5,849.1,29532
