Date,Open,High,Low,Close,Volume
2016-09-15,3948.1,3960.8,3933.45,3953.3,89087810.0
2016-09-16,3963.8,4011.15,3959.15,3972.45,96893270.0
2016-09-19,3981.75,3987.0,3963.95,3967.6,48298542.0
2016-09-20,3971.4,3972.3,3934.75,3938.75,50136756.0
2016-09-21,3945.75,3963.9,3934.8,3938.6,55726942.0
2016-09-22,3971.5,3986.45,3961.3,3976.0,58680839.0
2016-09-23,3982.45,3983.95,3962.2,3965.7,51470464.0
2016-09-26,3963.2,3963.9,3914.3,3921.2,61728216.0
2016-09-27,3934.1,3939.3,3910.9,3915.0,67753304.0
2016-09-28,3922.6,3943.3,3918.8,3935.05,64710941.0
2016-09-29,3959.15,3961.6,3841.95,3863.05,136066751.0
2016-09-30,3859.95,3888.45,3834.15,3879.2,105512177.0
2016-10-03,3914.9,3971.45,3906.7,3968.3,63608279.0
2016-10-04,3987.3,3987.65,3956.1,3966.9,55756818.0
2016-10-05,3979.85,3981.0,3957.8,3963.15,62377407.0
2016-10-06,3979.4,3983.5,3938.9,3951.45,54900836.0
2016-10-07,3958.2,3964.15,3924.2,3944.3,57538356.0
2016-10-10,3957.25,3968.95,3950.85,3954.4,41305410.0
2016-10-13,3945.05,3950.85,3886.25,3905.4,71929104.0
2016-10-14,3914.65,3915.25,3875.1,3880.3,68475184.0
2016-10-17,3886.85,3889.75,3825.7,3828.15,67150397.0
2016-10-18,3837.5,3873.4,3836.85,3871.5,62579338.0
2016-10-19,3878.6,3879.55,3845.5,3849.3,63838252.0
2016-10-20,3861.85,3878.1,3855.7,3858.45,52816660.0
2016-10-21,3864.75,3872.8,3851.8,3871.25,51435623.0
2016-10-24,3875.7,3878.6,3853.4,3857.3,56407479.0
2016-10-25,3857.4,3858.6,3834.8,3848.55,63155209.0
2016-10-26,3855.15,3871.35,3834.9,3857.65,90479126.0
2016-10-27,3861.7,3861.7,3809.75,3825.9,112040870.0
2016-10-28,3836.9,3851.7,3822.7,3846.85,72265186.0
2016-10-30,3864.65,3866.55,3845.9,3850.4,5385343.0
2016-11-01,3857.3,3859.2,3834.75,3838.5,49984773.0
2016-11-02,3808.5,3834.1,3794.05,3812.15,58591931.0
